caseID,caseName,rackID,rackPowerW,TavgRackInlet_mean,T95RackInlet_mean,TmaxRackInlet_mean,rackInletHotspotFraction_mean
C00,baseline,L1,3000,305.1107073296,313.83116,314.42108,0.5818181818182
C00,baseline,L2,3000,303.162554375,311.86446,312.83598,0.47897727272716
C00,baseline,L3,3000,302.6226625568,311.06502,311.87968,0.5005681818182
C00,baseline,R1,3000,301.8277365342,310.96838,311.39478,0.484090909091
C00,baseline,R2,3000,301.0941898864,312.73812,313.71294,0.3698863636364
C00,baseline,R3,3000,302.3489423296,311.49554,312.30928,0.4710227272728
C01,lowSupplyVelocity,L1,3000,311.6871992044,320.71994,321.37268,0.7522727272726
C01,lowSupplyVelocity,L2,3000,308.8791655682,319.29254,320.09638,0.6948863636364
C01,lowSupplyVelocity,L3,3000,313.1369281816,320.05708,320.9258,0.8306818181818
C01,lowSupplyVelocity,R1,3000,311.3641267046,318.45064,319.00302,0.80625
C01,lowSupplyVelocity,R2,3000,310.969814659,318.69412,319.20072,0.7829545454548
C01,lowSupplyVelocity,R3,3000,312.0354843182,319.50416,320.4741,0.809659090909
C02,highSupplyVelocity,L1,3000,296.5811615908,303.7653,306.08216,0.1232954545455
C02,highSupplyVelocity,L2,3000,297.9320073296,304.74582,306.93006,0.07045454545444
C02,highSupplyVelocity,L3,3000,297.7713146024,306.45004,308.19586,0.13977272727246
C02,highSupplyVelocity,R1,3000,296.5530043748,305.55656,306.6753,0.10909090909088
C02,highSupplyVelocity,R2,3000,297.791530625,307.04606,308.10062,0.1829545454544
C02,highSupplyVelocity,R3,3000,297.4305114206,305.77724,308.05084,0.184659090908964
C03,warmerSupplyAir,L1,3000,306.6614982954,315.9538,317.04638,0.5676136363636
C03,warmerSupplyAir,L2,3000,308.6984584088,317.78112,318.51874,0.6357954545456
C03,warmerSupplyAir,L3,3000,304.2922466478,313.62636,314.9037,0.447159090909
C03,warmerSupplyAir,R1,3000,308.9269557958,318.22038,318.73446,0.6198863636364
C03,warmerSupplyAir,R2,3000,308.9028505114,317.051,317.67286,0.6545454545454
C03,warmerSupplyAir,R3,3000,305.9042306818,314.726,315.88692,0.5511363636366
C04,highRackLoad,L1,5000,310.483145909,321.9266,323.61546,0.6619318181818
C04,highRackLoad,L2,5000,313.1651537502,325.19514,326.23262,0.693181818182
C04,highRackLoad,L3,5000,313.5552560228,329.84178,331.32834,0.6534090909092
C04,highRackLoad,R1,5000,314.7129564774,328.65276,329.78232,0.6852272727274
C04,highRackLoad,R2,5000,314.0766259658,325.20924,325.7335,0.7113636363638
C04,highRackLoad,R3,5000,314.897664659,325.64098,326.20586,0.7289772727274
C05,overloadedRack_L2,L1,3000,309.7934093182,320.47906,321.34302,0.6545454545454
C05,overloadedRack_L2,L2,8000,306.5933765342,319.1748,320.79696,0.5744318181818
C05,overloadedRack_L2,L3,3000,309.3655139204,315.8136,316.52878,0.7471590909092
C05,overloadedRack_L2,R1,3000,309.3490638068,318.53554,319.14418,0.6636363636364
C05,overloadedRack_L2,R2,3000,305.44305125,315.4725,316.11962,0.5960227272728
C05,overloadedRack_L2,R3,3000,305.2889463068,316.17058,317.3365,0.574431818182
C06,worstCase_lowFlow_highLoad,L1,5000,325.872640341,338.82416,340.25216,0.8517045454546
C06,worstCase_lowFlow_highLoad,L2,5000,326.5563060794,338.27826,339.2102,0.8528409090908
C06,worstCase_lowFlow_highLoad,L3,5000,331.2932986364,342.84482,343.93712,0.865909090909
C06,worstCase_lowFlow_highLoad,R1,5000,328.1112960224,337.7844,338.6968,0.8988636363636
C06,worstCase_lowFlow_highLoad,R2,5000,326.8696992046,339.18708,339.8691,0.8477272727276
C06,worstCase_lowFlow_highLoad,R3,5000,330.8792096024,342.74026,343.9333,0.8613636363636
C07,mitigation_highFlow_highLoad,L1,5000,303.6380207384,316.90434,318.05648,0.4369318181818
C07,mitigation_highFlow_highLoad,L2,5000,307.4616439774,319.5779,320.41794,0.5613636363638
C07,mitigation_highFlow_highLoad,L3,5000,303.981058068,317.8832,319.77808,0.4818181818184
C07,mitigation_highFlow_highLoad,R1,5000,305.1521114774,319.19356,320.59166,0.4738636363636
C07,mitigation_highFlow_highLoad,R2,5000,308.1377967614,321.04806,321.91014,0.5676136363634
C07,mitigation_highFlow_highLoad,R3,5000,307.8901550568,321.3258,322.49876,0.5414772727272
C08,overloadedRack_L2_lowFlow,L1,3000,316.6401403974,326.89058,328.30364,0.819318181818
C08,overloadedRack_L2_lowFlow,L2,8000,317.588575284,329.4032,331.11732,0.8113636363638
C08,overloadedRack_L2_lowFlow,L3,3000,317.0485423294,328.34708,329.21706,0.7897727272726
C08,overloadedRack_L2_lowFlow,R1,3000,315.8512111364,327.3062,328.52246,0.7897727272728
C08,overloadedRack_L2_lowFlow,R2,3000,316.3135720456,327.11392,327.87354,0.809659090909
C08,overloadedRack_L2_lowFlow,R3,3000,319.3999718182,327.9561,328.57742,0.844318181818
C09,overloadedRack_L2_highFlow,L1,3000,303.4882761362,313.20598,314.03286,0.434090909091
C09,overloadedRack_L2_highFlow,L2,8000,300.244090341,312.18178,314.0193,0.3096590909092
C09,overloadedRack_L2_highFlow,L3,3000,301.6812660794,313.52682,314.69122,0.3607954545454
C09,overloadedRack_L2_highFlow,R1,3000,297.2068036364,307.041,308.76522,0.114772727272762
C09,overloadedRack_L2_highFlow,R2,3000,297.2674957952,306.79036,308.47656,0.14090909090928
C09,overloadedRack_L2_highFlow,R3,3000,299.2482286364,311.2602,312.14248,0.2710227272728
