caseID,caseName,caseDir,Usupply,Tsupply,totalRackPowerW,expectedSupplyFlow,TavgRackInlet_mean,TavgRackInlet_std,TavgRackInlet_min,TavgRackInlet_max,TavgRackInlet_final8000,T95RackInlet_mean,T95RackInlet_std,T95RackInlet_min,T95RackInlet_max,T95RackInlet_final8000,TmaxRackInlet_mean,TmaxRackInlet_std,TmaxRackInlet_min,TmaxRackInlet_max,TmaxRackInlet_final8000,TavgRoom_mean,TavgRoom_std,TavgRoom_min,TavgRoom_max,TavgRoom_final8000,T95Room_mean,T95Room_std,T95Room_min,T95Room_max,T95Room_final8000,TmaxRoom_mean,TmaxRoom_std,TmaxRoom_min,TmaxRoom_max,TmaxRoom_final8000,roomHotspotVolumeFraction_mean,roomHotspotVolumeFraction_std,roomHotspotVolumeFraction_min,roomHotspotVolumeFraction_max,roomHotspotVolumeFraction_final8000,rackInletHotspotFraction_mean,rackInletHotspotFraction_std,rackInletHotspotFraction_min,rackInletHotspotFraction_max,rackInletHotspotFraction_final8000,returnOutletTareaAvg_mean,returnOutletTareaAvg_std,returnOutletTareaAvg_min,returnOutletTareaAvg_max,returnOutletTareaAvg_final8000,returnOutletTmassFlowAvg_mean,returnOutletTmassFlowAvg_std,returnOutletTmassFlowAvg_min,returnOutletTmassFlowAvg_max,returnOutletTmassFlowAvg_final8000,returnOutletOutflowFlux_mean,returnOutletOutflowFlux_std,returnOutletOutflowFlux_min,returnOutletOutflowFlux_max,returnOutletOutflowFlux_final8000,deltaP_supply_minus_return_mean,deltaP_supply_minus_return_std,deltaP_supply_minus_return_min,deltaP_supply_minus_return_max,deltaP_supply_minus_return_final8000,TavgRackRise_mean,TavgRackRise_std,TavgRackRise_min,TavgRackRise_max,TavgRackRise_final8000,T95RackRise_mean,T95RackRise_std,T95RackRise_min,T95RackRise_max,T95RackRise_final8000,TmaxRackRise_mean,TmaxRackRise_std,TmaxRackRise_min,TmaxRackRise_max,TmaxRackRise_final8000,TavgRoomRise_mean,TavgRoomRise_std,TavgRoomRise_min,TavgRoomRise_max,TavgRoomRise_final8000,T95RoomRise_mean,T95RoomRise_std,T95RoomRise_min,T95RoomRise_max,T95RoomRise_final8000,TmaxRoomRise_mean,TmaxRoomRise_std,TmaxRoomRise_min,TmaxRoomRise_max,TmaxRoomRise_final8000,returnTempRise_mean,returnTempRise_std,returnTempRise_min,returnTempRise_max,returnTempRise_final8000,flowBalanceErrorPercent_mean,flowBalanceErrorPercent_std,flowBalanceErrorPercent_min,flowBalanceErrorPercent_max,flowBalanceErrorPercent_final8000,pressurePowerProxy_mean,pressurePowerProxy_std,pressurePowerProxy_min,pressurePowerProxy_max,pressurePowerProxy_final8000,airChangesPerHour_mean,airChangesPerHour_std,airChangesPerHour_min,airChangesPerHour_max,airChangesPerHour_final8000,estimatedHeatRemovedW_mean,estimatedHeatRemovedW_std,estimatedHeatRemovedW_min,estimatedHeatRemovedW_max,estimatedHeatRemovedW_final8000,heatBalanceErrorPercent_mean,heatBalanceErrorPercent_std,heatBalanceErrorPercent_min,heatBalanceErrorPercent_max,heatBalanceErrorPercent_final8000,nLateSamples,lateTimeMin,lateTimeMax
C00,baseline,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C00_baseline,0.75,291.0,18000.0,1.08,302.6944655018,1.376888962173413,300.662464725,304.490670502,304.490670502,313.54242,0.6383216015458159,312.4983,314.1041,314.1041,316.07716000000005,1.0587986555525977,314.4526,317.3276,316.4301,307.1230966116,0.25072759772154024,306.915765089,307.531919131,307.191293715,313.51290000000006,0.5046161808741405,312.7466,314.0248,313.3296,318.06374,1.5535298252688885,315.6451,319.3866,318.4192,0.016119999999980004,0.009706001603125958,0.0011619047619,0.0264666666666,0.0142380952381,0.4810606060606,0.0870188638356419,0.348484848485,0.582386363636,0.582386363636,310.6435012668,1.5870411296230942,309.172097333,312.700074667,309.287279667,310.0302262938,2.0817405134557125,307.606051745,312.461215617,307.606051745,1.0207081359,0.0033112592484700124,1.0179445109,1.0253627817,1.0253627817,0.5661582333332,0.05775318128662509,0.50628695625,0.655780157639,0.546873263194,11.694465501799993,1.376888962173413,9.662464725000007,13.490670502,13.490670502,22.542419999999993,0.6383216015458159,21.498299999999972,23.104100000000017,23.104100000000017,25.077160000000003,1.0587986555525977,23.452600000000018,26.327600000000018,25.43009999999998,16.123096611599987,0.25072759772154024,15.91576508899999,16.531919130999995,16.191293714999972,22.512900000000013,0.5046161808741405,21.7466,23.024800000000027,22.329600000000028,27.063740000000006,1.5535298252688885,24.645100000000014,28.386599999999987,27.41919999999999,19.030226293800002,2.0817405134557125,16.606051745000002,21.461215616999993,16.606051745000002,5.489987416666673,0.30659807856203825,5.059001694444455,5.745878620370372,5.059001694444455,0.5777910600030722,0.05778457735364592,0.5179631832304765,0.6675478118257567,0.5607434903859561,34.99570751657143,0.11352888851897446,34.90095465942857,35.15529537257143,35.15529537257143,23421.197736816688,2511.6819374433617,20534.83625683065,26363.214857339677,20534.83625683065,30.117765204537143,13.95378854135201,14.082423649059171,46.46230476299821,14.082423649059171,5,4000.0,8000.0
C01,lowSupplyVelocity,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C01_lowSupplyVelocity,0.5,291.0,18000.0,0.7200000000000001,311.34545310600004,1.580049986033151,309.098006013,313.158940294,311.549830208,321.09468000000004,2.2537826740837295,318.6931,324.1247,321.6323,322.87832000000003,2.32861630738084,320.3554,325.5859,323.113,315.2705423364,0.5071554454658636,314.624479676,316.020221854,315.081000173,321.95336,0.6291966648036112,321.2457,322.7981,321.2457,326.40250000000003,1.1246727790784337,324.7892,327.8795,326.78,0.6326019047608,0.051130873562861875,0.548476190475,0.688161904761,0.642038095237,0.7794507575757998,0.044603680090980695,0.719696969697,0.842803030303,0.763257575758,317.6837072668,1.316745729118337,316.52029,319.676547667,316.52029,316.9555504724,1.7716586154855982,315.397996536,319.394722761,315.397996536,0.6864245926220001,0.011337312095442927,0.67560857035,0.7038192245,0.67560857035,0.6135161916668,0.12568605386430684,0.468947961806,0.788224904167,0.689772707639,20.345453106,1.5800499860331507,18.098006012999974,22.15894029399999,20.549830208000003,30.094680000000004,2.2537826740837295,27.693100000000015,33.12470000000002,30.632299999999987,31.878319999999995,2.3286163073808406,29.355399999999975,34.58589999999998,32.113,24.270542336400013,0.5071554454658636,23.62447967600002,25.020221854,24.081000173000007,30.953359999999996,0.6291966648036112,30.2457,31.798099999999977,30.2457,35.40249999999999,1.1246727790784339,33.789199999999994,36.87950000000001,35.77999999999997,25.9555504724,1.7716586154855984,24.397996535999994,28.394722761000025,24.397996535999994,4.663251024722234,1.5746266799226287,2.247329930555566,6.16547634027779,6.16547634027779,0.42114921187131593,0.08666786644483936,0.32080258672685136,0.5443733573062266,0.4660163528744333,23.53455746132571,0.3887078432723282,23.163722412000002,24.130944839999998,23.163722412000002,21505.688300010643,1826.584052418277,19879.095644263994,24101.61061476868,19879.095644263994,19.476046111170245,10.14768918010154,10.43942024591108,33.897836748714894,10.43942024591108,5,4000.0,8000.0
C02,highSupplyVelocity,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C02_highSupplyVelocity,1.0,291.0,18000.0,1.4400000000000002,297.34325499060003,1.2168207295094662,296.102138021,298.697475805,297.405712405,306.49235999999996,2.0611283749441753,304.0027,308.2221,307.7247,311.44219999999996,1.1437182629476441,310.2676,313.0918,310.2676,303.54612338799996,0.7289114027782675,302.532664425,304.212173448,302.532664425,309.41572,0.8907939363287183,308.5823,310.5108,308.6836,314.87001999999995,2.190402431518008,311.769,317.8632,311.769,0.0005085714285707999,0.0010240996266713527,0.0,0.00233333333333,0.0,0.13503787878806,0.09674941966339543,0.0326704545455,0.232954545455,0.146306818182,306.1243544668,1.766206570957921,303.837659667,307.909788667,307.732454,305.95480996020007,1.817122260039697,303.645442092,307.725392146,307.64291064,1.3623250902,0.008643516438156569,1.349900891,1.369925398,1.368109669,0.4838115275,0.08291347060261017,0.377204848611,0.569797902083,0.569797902083,6.343254990599997,1.2168207295094662,5.102138020999973,7.6974758050000105,6.405712404999974,15.492359999999996,2.0611283749441753,13.002700000000004,17.22210000000001,16.724699999999984,20.442199999999993,1.1437182629476441,19.267600000000016,22.091799999999978,19.267600000000016,12.546123388000002,0.7289114027782674,11.532664425000007,13.212173447999987,11.532664425000007,18.41572,0.8907939363287183,17.582299999999975,19.510800000000017,17.683600000000013,23.87002,2.190402431518008,20.769000000000005,26.863200000000006,20.769000000000005,14.95480996020001,1.817122260039697,12.645442091999996,16.72539214599999,16.642910640000025,5.394090958333344,0.600244197094206,4.866291805555573,6.256882569444448,4.992384097222228,0.6591727033441417,0.11366315124965487,0.5167425023609539,0.7795460192156676,0.7795460192156676,46.70828880685714,0.2963491350225112,46.282316262857144,46.96887078857142,46.90661722285715,24570.244618444547,2992.2333314746124,20891.91462266747,27459.80832206574,27459.80832206574,36.50135899135858,16.62351850819229,16.06619234815262,52.554490678143,52.554490678143,5,4000.0,8000.0
C03,warmerSupplyAir,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C03_warmerSupplyAir,0.75,295.0,18000.0,1.08,307.2310400568,0.955405915245322,305.722867566,308.27425232,305.722867566,317.91818,1.0706363654387976,316.3173,319.181,316.3173,319.82888,1.46969461181566,317.9343,322.0093,317.9343,311.7504781222,0.2608678737779946,311.494553359,312.155279964,311.578176929,318.75484,0.5768238145222497,317.9484,319.3741,317.9484,323.81244,1.042395092083599,322.3711,325.1604,323.3501,0.32999238095199995,0.04595449657077653,0.290704761905,0.406123809523,0.290704761905,0.5793560606062,0.039529037903387874,0.527935606061,0.638731060606,0.527935606061,315.20221699999996,1.0218700911871845,313.869574,316.373452333,315.952444,314.2413868152,1.3421879417619629,312.035965829,315.532342647,314.89564246,1.008507951928,0.009061516320570413,1.0001636516,1.0223096652,1.007592624,0.5401041569444,0.060748477980532845,0.48143279375,0.621656052778,0.621656052778,12.231040056799998,0.955405915245322,10.72286756599999,13.274252320000016,10.72286756599999,22.918179999999996,1.0706363654387976,21.31729999999999,24.180999999999983,21.31729999999999,24.82887999999999,1.4696946118156597,22.934300000000007,27.009299999999996,22.934300000000007,16.7504781222,0.2608678737779946,16.494553359000008,17.155279963999988,16.578176928999994,23.75484,0.5768238145222497,22.948399999999992,24.3741,22.948399999999992,28.81243999999999,1.042395092083599,27.371100000000013,30.16039999999998,28.350099999999998,19.24138681520001,1.3421879417619629,17.03596582900002,20.532342647000007,19.895642459999976,6.619634080740743,0.8390292889417048,5.341697666666663,7.392254481481479,6.704386666666679,0.5446097389755742,0.060297297878400026,0.48151158099698965,0.6263760534440674,0.6263760534440674,34.577415494674284,0.31068055956241486,34.29132519771429,35.050617092571436,34.54603282285714,23396.813791230896,1541.1855044889408,20783.366480710876,24784.046078854306,24176.32332647925,29.982298840171644,8.562141691605225,15.463147115060423,37.68914488252392,34.31290736932917,5,4000.0,8000.0
C04,highRackLoad,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C04_highRackLoad,0.75,291.0,30000.0,1.08,313.481800464,2.4091312696487104,310.817225852,315.558230303,315.357012595,328.96734,2.776274936493133,325.1403,331.9208,331.9208,332.26748000000003,2.5094190367493514,329.5879,335.2823,335.2823,318.3580790542,0.7644246619643622,317.542209997,319.232619644,319.113060113,328.85916000000003,1.0681403479880216,327.4716,330.2489,330.2489,335.05549999999994,2.312400448667996,332.6686,338.5703,338.5703,0.6936647619036,0.0251277438342736,0.667466666666,0.73098095238,0.695990476189,0.689015151515,0.039930805085673385,0.637784090909,0.734848484848,0.700284090909,324.54986440000005,1.786122252969737,322.308082,326.191320667,322.308082,323.5224704406,2.3033725370548734,320.604218897,325.949061904,320.604218897,1.04015698667,0.006638019747306699,1.0300006764,1.04598930065,1.04447164806,0.8275942277776001,0.08870293317160412,0.734168488194,0.947250567361,0.790452983333,22.481800464000003,2.4091312696487104,19.81722585199998,24.558230303000016,24.357012595000015,37.96734,2.776274936493133,34.140300000000025,40.920799999999986,40.920799999999986,41.26748,2.5094190367493514,38.58789999999999,44.28230000000002,44.28230000000002,27.358079054200005,0.7644246619643622,26.542209996999986,28.23261964400001,28.113060113000017,37.85916000000001,1.0681403479880214,36.471600000000024,39.24889999999999,39.24889999999999,44.055499999999995,2.312400448667996,41.668600000000026,47.570299999999975,47.570299999999975,32.52247044060001,2.3033725370548734,29.60421889700001,34.94906190400002,29.60421889700001,3.6891679009259315,0.6146314580839534,3.149138828703704,4.629567000000002,3.28966221666667,0.8603682047275113,0.0866558683796509,0.7679323835253099,0.9756687251021138,0.8256057302157622,35.662525257257144,0.22758924847908601,35.31430890514286,35.862490308,35.81045650491429,40785.84143643317,2692.7932940727214,37290.44536485959,43413.054225202584,37290.44536485959,35.952804788110555,8.975977646909072,24.30148454953196,44.710180750675285,24.30148454953196,5,4000.0,8000.0
C06,worstCase_lowFlow_highLoad,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C06_worstCase_lowFlow_highLoad,0.5,291.0,30000.0,0.7200000000000001,328.26374164759994,0.9194732533598419,327.434061837,329.286361174,329.286361174,342.63122000000004,2.1133787490650966,339.6992,345.4881,345.4881,346.12932,1.390452178969129,343.9139,347.6725,347.6725,332.2352737052,0.6177033361440278,331.506204782,333.161878373,333.161878373,342.32734,1.0918919763419859,341.3924,343.7489,343.257,348.6272,1.9087489292727682,345.3036,350.1525,350.1525,0.9418952380947999,0.012550272602843396,0.924028571428,0.957752380952,0.957752380952,0.8630681818184002,0.010715831432042643,0.847064393939,0.873579545455,0.871685606061,337.5402633998,2.066867472061257,335.020586333,340.286419,335.020586333,336.3650873266,2.872691144795431,332.033152503,339.009287274,332.033152503,0.7174877797760001,0.01229260576847181,0.70077437658,0.73000067123,0.70077437658,0.8574709393054001,0.09929751182807117,0.755767747222,0.988551053472,0.788096605556,37.2637416476,0.9194732533598419,36.434061837,38.28636117399998,38.28636117399998,51.63122,2.1133787490650966,48.69920000000002,54.488099999999974,54.488099999999974,55.12932000000001,1.390452178969129,52.91390000000001,56.672500000000014,56.672500000000014,41.235273705199994,0.6177033361440278,40.506204782,42.16187837299998,42.16187837299998,51.32733999999999,1.0918919763419859,50.39240000000001,52.74889999999999,52.257000000000005,57.627199999999995,1.9087489292727682,54.30360000000002,59.152499999999975,59.152499999999975,45.3650873266,2.872691144795431,41.033152503,48.00928727399997,41.033152503,1.3432857005555543,0.9008636992460876,0.25452785833331926,2.6702254750000156,2.6702254750000156,0.6155098354168296,0.07530764053836135,0.551710962766045,0.7135683777337923,0.5522779074433201,24.599581020891428,0.4214607692047479,24.026550054171427,25.02859444217143,24.026550054171427,39271.311908631906,2859.7731699468236,34678.508128468675,42038.60151814368,34678.508128468675,30.90437302877303,9.532577233156077,15.595027094895583,40.1286717271456,15.595027094895583,5,4000.0,8000.0
C07,mitigation_highFlow_highLoad,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C07_mitigation_highFlow_highLoad,1.0,291.0,30000.0,1.4400000000000002,306.0434643466,1.7087583426918795,304.477468419,308.826723674,304.834092661,321.5029,1.2837135856568627,320.1558,323.481,320.1558,325.36512000000005,1.7974068952243305,323.1566,327.5152,323.9851,311.7132231824,0.32725478449900297,311.332842653,312.17550157,312.17550157,321.07486000000006,0.68827317832384,320.3521,322.1365,322.1365,329.18018,1.3809550543011802,327.5226,330.818,329.1521,0.3636857142852,0.03227162847641991,0.329876190476,0.40938095238,0.40938095238,0.5105113636362,0.06638284593374812,0.431818181818,0.610795454545,0.47490530303,317.0289428002,0.9301239594602498,315.589947667,317.913851667,315.589947667,316.7655108584,0.9899502773334423,315.259641463,317.690766124,315.259641463,1.3779078366,0.01402778133423793,1.3551520476,1.391732822,1.391732822,0.6731139841666,0.06378058342703909,0.584382404167,0.740424407639,0.584382404167,15.0434643466,1.7087583426918795,13.47746841899999,17.826723673999993,13.834092661,30.50289999999999,1.2837135856568627,29.1558,32.480999999999995,29.1558,34.365120000000005,1.7974068952243303,32.156600000000026,36.51519999999999,32.98509999999999,20.713223182399997,0.32725478449900297,20.332842653,21.175501569999994,21.175501569999994,30.07486,0.68827317832384,29.352100000000007,31.136500000000012,31.136500000000012,38.18018000000001,1.3809550543011802,36.52260000000001,39.817999999999984,38.15210000000002,25.76551085839999,0.9899502773334423,24.25964146299998,26.690766123999992,24.25964146299998,4.311955791666676,0.9741514815443005,3.3518873611111197,5.892218916666672,3.3518873611111197,0.9270898251828493,0.08332692201593206,0.8133041724784835,1.0262533852030733,0.8133041724784835,47.24255439771429,0.4809525028881557,46.46235591771429,47.71655389714286,47.71655389714286,42807.02286328923,1398.38843791041,40718.104764455056,44343.41656660339,40718.104764455056,42.6900762109641,4.661294793034701,35.727015881516856,47.81138855534463,35.727015881516856,5,4000.0,8000.0
C05,overloadedRack_L2,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C05_overloadedRack_L2,0.75,291.0,23000.0,1.08,307.63889352260003,1.781526766921877,305.132629167,309.845315814,309.845315814,319.7607,1.9485357797587306,317.9014,322.2916,322.2916,321.9252,2.140449156135222,320.0469,324.546,323.8857,312.27464235159994,0.2620703588371266,311.913310468,312.50679586,312.50679586,319.89376,0.9083743517955626,318.8228,320.8916,320.8916,327.12128,2.3104665463927527,323.3225,329.0869,328.8373,0.4060590476186,0.05501255943976525,0.334295238095,0.451923809523,0.44459047619,0.635037878788,0.06536697986671584,0.530776515152,0.698390151515,0.698390151515,316.0858969334,1.4747675430191975,314.094789333,317.902256,316.938143667,315.5792399512,0.8320113251559031,314.481808846,316.385395173,316.385395173,1.0393621268,0.013544938122944493,1.017131053,1.0502538457,1.0360401671,0.7218418223612,0.0556362848068268,0.678414691667,0.808505275,0.678414691667,16.638893522599993,1.781526766921877,14.132629167000005,18.845315814000003,18.845315814000003,28.760700000000007,1.9485357797587306,26.901400000000024,31.291600000000017,31.291600000000017,30.925199999999997,2.140449156135222,29.046899999999994,33.54599999999999,32.885699999999986,21.274642351599994,0.2620703588371266,20.91331046800002,21.50679586000001,21.50679586000001,28.893759999999986,0.9083743517955626,27.822799999999972,29.891599999999983,29.891599999999983,36.12128000000001,2.3104665463927527,32.32249999999999,38.086900000000014,37.83730000000003,24.579239951199998,0.8320113251559031,23.48180884599998,25.385395173000006,25.385395173000006,3.7627660370370477,1.2541609373096752,2.754273546296311,5.821198796296307,4.070354898148163,0.7502157161799211,0.05833490843303437,0.7028648705177736,0.847160342726809,0.7028648705177736,35.63527291885714,0.4643978785009532,34.873064674285715,36.00870328114286,35.521377157714284,30801.790769207524,819.9638034201332,29673.01087697448,31718.148602662954,31718.148602662954,33.92082943133706,3.565060014870145,29.01309076945426,37.904993924621536,37.904993924621536,5,4000.0,8000.0
C08,overloadedRack_L2_lowFlow,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C08_overloadedRack_L2_lowFlow,0.5,291.0,23000.0,0.7200000000000001,317.14033550199997,1.1859393982567938,315.839434612,318.5855509,316.043517282,330.50386,0.7546223247426368,329.834,331.6799,329.8453,333.96564,1.1329598682212805,332.9228,335.2257,335.1122,323.0149468114,0.48004328285436726,322.390324286,323.56609663,323.062590771,332.48478,1.1472931652371994,331.3288,334.318,332.7773,340.17634,2.1597107533186057,337.743,342.0836,341.0532,0.8619904761899999,0.041283175074166074,0.80679047619,0.913485714285,0.838676190476,0.8107007575758001,0.023281303444028387,0.780303030303,0.834753787879,0.797821969697,327.5355512666,1.3371575547078633,325.737265333,329.501792,327.376514667,327.0597956614,0.7614093227297425,325.731334552,327.648303412,327.272454508,0.695120866899,0.014766168264951411,0.67639612259,0.710398959043,0.683473935162,0.7922388538887999,0.13032701643676123,0.654348597917,0.973262714583,0.676613128472,26.140335501999992,1.1859393982567938,24.83943461199999,27.585550899999987,25.043517281999982,39.503859999999996,0.7546223247426369,38.834,40.679899999999975,38.84530000000001,42.96564000000001,1.1329598682212805,41.922799999999995,44.22570000000002,44.11219999999997,32.0149468114,0.4800432828543673,31.39032428600001,32.566096630000004,32.062590770999975,41.48478,1.1472931652371994,40.3288,43.317999999999984,41.777300000000025,49.176339999999996,2.1597107533186057,46.742999999999995,51.08359999999999,50.053200000000004,36.0597956614,0.7614093227297425,34.73133455200002,36.64830341200002,36.27245450800001,3.4554351529166767,2.0508567034654734,1.3334779106944576,6.056094084722228,5.073064560833352,0.5521343193797286,0.10154951232297223,0.44259885445326175,0.6914048193151275,0.4624474374990296,23.832715436537143,0.5062686262269054,23.19072420308572,24.356535738617143,23.43339206269714,30222.074179917072,517.9262050578377,29755.763317769484,30880.87263833752,29898.280328004275,31.400322521378587,2.251853065468859,29.372883990302103,34.26466364494574,29.99252316523598,5,4000.0,8000.0
C09,overloadedRack_L2_highFlow,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C09_overloadedRack_L2_highFlow,1.0,291.0,23000.0,1.4400000000000002,299.8560267708,0.8774025777378278,298.498055114,300.508255019,300.508255019,313.10604,0.9761327845124224,312.3584,314.7684,313.1202,315.78812,1.1620416051071394,314.7608,317.2041,316.8873,306.81511589440004,0.4013132021363554,306.323719882,307.436193261,306.75126684,314.79604000000006,1.0943530157129433,313.4867,316.3786,314.5088,324.10553999999996,1.6969348699935436,322.8083,327.0351,323.675,0.05265142857136,0.028743264694575586,0.0237142857143,0.0996285714284,0.0437714285714,0.271875,0.06559636602556392,0.170928030303,0.34990530303,0.299715909091,306.8767481998,1.6524893244645469,305.411388333,309.407715333,305.67939,306.5915683413999,1.545992494558816,305.346117958,308.969875672,305.734589347,1.37623227518,0.006753215212938702,1.3669020194,1.383355092,1.377649793,0.596640058889,0.034021345355604686,0.557400845139,0.639035296528,0.57255051875,8.856026770799996,0.8774025777378278,7.49805511400001,9.50825501899999,9.50825501899999,22.106040000000007,0.9761327845124224,21.358400000000017,23.768399999999986,22.12020000000001,24.788119999999992,1.1620416051071394,23.760800000000017,26.204099999999983,25.887299999999982,15.815115894400003,0.40131320213635535,15.323719881999978,16.436193261000028,15.751266840000028,23.796040000000005,1.0943530157129433,22.486699999999985,25.378600000000006,23.508800000000008,33.10554,1.6969348699935434,31.808299999999974,36.0351,32.67500000000001,15.5915683414,1.545992494558816,14.34611795799998,17.969875672,14.734589346999996,4.428314223611124,0.46897327867629884,3.9336741666666812,5.076248652777797,4.3298754861111215,0.8211477971037036,0.047716727183094484,0.7647693187109958,0.8840127314197386,0.7887741036379801,47.185106577599996,0.23153880730075535,46.86521209371428,47.42931743999999,47.23370718857143,25873.560173354817,2504.6953623927984,23738.022589661505,29623.04956937502,24480.719380384468,12.493739884151386,10.88997983649043,3.208793868093499,28.79586769293487,6.4379103494976855,5,4000.0,8000.0
