caseID,caseName,caseDir,rackID,rackPowerW,TavgRackInlet_mean,TavgRackInlet_std,TavgRackInlet_min,TavgRackInlet_max,TavgRackInlet_final8000,T95RackInlet_mean,T95RackInlet_std,T95RackInlet_min,T95RackInlet_max,T95RackInlet_final8000,TmaxRackInlet_mean,TmaxRackInlet_std,TmaxRackInlet_min,TmaxRackInlet_max,TmaxRackInlet_final8000,rackInletHotspotFraction_mean,rackInletHotspotFraction_std,rackInletHotspotFraction_min,rackInletHotspotFraction_max,rackInletHotspotFraction_final8000,rackInletHotspotVolume_mean,rackInletHotspotVolume_std,rackInletHotspotVolume_min,rackInletHotspotVolume_max,rackInletHotspotVolume_final8000,nRackInletCells_mean,nRackInletCells_std,nRackInletCells_min,nRackInletCells_max,nRackInletCells_final8000,nLateSamples,lateTimeMin,lateTimeMax
C00,baseline,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C00_baseline,L1,3000.0,305.11070732959996,1.1951863894530588,303.999302841,306.919636932,306.919636932,313.83116,1.6429556333023634,311.1761,315.6334,314.4891,314.42107999999996,1.7336153774698642,311.6132,316.3676,314.8763,0.5818181818182,0.046913723674351857,0.53125,0.644886363636,0.644886363636,0.2048,0.016513630733427462,0.187,0.227,0.227,352.0,0.0,352,352,352,5,4000.0,8000.0
C00,baseline,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C00_baseline,L2,3000.0,303.162554375,4.979423758635924,296.249014489,309.582446023,305.793634943,311.86446,4.195507427951954,304.4582,314.7372,313.8504,312.83597999999995,3.7276783380544125,306.3185,315.8079,314.2141,0.47897727272716006,0.3311127990459887,0.0369318181818,0.957386363636,0.5625,0.1686,0.11655170526423027,0.013,0.337,0.198,352.0,0.0,352,352,352,5,4000.0,8000.0
C00,baseline,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C00_baseline,L3,3000.0,302.6226625568,1.5038123552383513,301.589327557,305.141709659,305.141709659,311.06501999999995,1.3910796767259426,309.3362,312.8101,312.8101,311.87968,1.381971241379491,310.0502,313.4815,313.4815,0.5005681818182,0.09796812287239916,0.403409090909,0.642045454545,0.642045454545,0.1762,0.0344847792511421,0.142,0.226,0.226,352.0,0.0,352,352,352,5,4000.0,8000.0
C00,baseline,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C00_baseline,R1,3000.0,301.82773653419997,0.8324196522099384,300.789668466,302.898477273,301.290369886,310.96837999999997,1.36571730859647,309.5025,313.054,310.0164,311.39477999999997,1.353343669213403,310.0433,313.4376,310.2999,0.48409090909099994,0.03267662985107157,0.443181818182,0.528409090909,0.46875,0.17040000000000002,0.011502173707608485,0.156,0.186,0.165,352.0,0.0,352,352,352,5,4000.0,8000.0
C00,baseline,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C00_baseline,R2,3000.0,301.09418988639993,3.49168054435091,296.934686648,304.523745455,304.523745455,312.73812000000004,3.5437942522104673,307.689,316.7645,315.4101,313.71294,3.1766602230959378,309.5289,317.3276,316.4301,0.36988636363640004,0.17702078177377908,0.142045454545,0.553977272727,0.553977272727,0.1302,0.06231131518432267,0.05,0.195,0.195,352.0,0.0,352,352,352,5,4000.0,8000.0
C00,baseline,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C00_baseline,R3,3000.0,302.3489423296,1.8806769774815557,300.657761648,305.183303977,303.274926136,311.49554,2.0085119997151977,309.793,314.7852,310.3403,312.30927999999994,2.0183912274383276,310.9085,315.6425,310.9085,0.4710227272728,0.11001693262786351,0.349431818182,0.622159090909,0.622159090909,0.1658,0.03872596028505943,0.123,0.219,0.219,352.0,0.0,352,352,352,5,4000.0,8000.0
C01,lowSupplyVelocity,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C01_lowSupplyVelocity,L1,3000.0,311.6871992044,1.8418448405195573,308.654430398,313.165257102,312.09143267,320.71994,2.0428562291556447,319.1179,324.091,321.1325,321.37268,2.028367797516031,319.7141,324.6499,321.9211,0.7522727272725999,0.05091492458475236,0.678977272727,0.821022727273,0.767045454545,0.26480000000000004,0.01792205345377588,0.239,0.289,0.27,352.0,0.0,352,352,352,5,4000.0,8000.0
C01,lowSupplyVelocity,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C01_lowSupplyVelocity,L2,3000.0,308.8791655682,1.3609864988840699,307.435289205,310.784546591,309.70732017,319.29254000000003,1.6376533922048266,317.7712,322.0143,317.7712,320.09638000000007,1.5741601259084186,318.4652,322.7088,318.4652,0.6948863636364,0.07313892729534913,0.605113636364,0.772727272727,0.744318181818,0.24459999999999998,0.025744902408049646,0.213,0.272,0.262,352.0,0.0,352,352,352,5,4000.0,8000.0
C01,lowSupplyVelocity,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C01_lowSupplyVelocity,L3,3000.0,313.13692818159996,5.311876198134886,308.089023295,321.709607386,314.02292017,320.05708,3.6804881513190666,316.6201,325.2156,322.4917,320.9258,3.3070348833963057,318.0532,325.5859,323.0717,0.8306818181818001,0.09259359097058527,0.721590909091,0.965909090909,0.778409090909,0.2924,0.03259294402167439,0.254,0.34,0.274,352.0,0.0,352,352,352,5,4000.0,8000.0
C01,lowSupplyVelocity,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C01_lowSupplyVelocity,R1,3000.0,311.3641267045999,3.58286520855907,308.772456534,317.089797727,308.77395483,318.45064,1.4476659120805524,316.4855,320.4836,317.9589,319.00302,1.3289443355535926,317.1898,320.8391,318.4873,0.8062499999999998,0.11988165113525033,0.701704545455,1.0,0.701704545455,0.2838,0.04219834119962536,0.247,0.352,0.247,352.0,0.0,352,352,352,5,4000.0,8000.0
C01,lowSupplyVelocity,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C01_lowSupplyVelocity,R2,3000.0,310.969814659,1.694855433834274,308.278334659,312.30718267,310.355317614,318.69412,2.2563542523282876,316.6356,322.2743,318.8151,319.20072,2.3487491313463065,317.086,322.9311,319.5303,0.7829545454548,0.04743552605610834,0.730113636364,0.84375,0.758522727273,0.2756,0.016697305171793426,0.257,0.297,0.267,352.0,0.0,352,352,352,5,4000.0,8000.0
C01,lowSupplyVelocity,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C01_lowSupplyVelocity,R3,3000.0,312.0354843182,3.1927499052383475,306.676295455,314.348035795,314.348035795,319.50416,2.164083409436884,316.2167,322.2467,322.2467,320.4741,2.121768646671918,317.43,323.113,323.113,0.809659090909,0.08520359519595472,0.673295454545,0.900568181818,0.829545454545,0.28500000000000003,0.029991665508937646,0.237,0.317,0.292,352.0,0.0,352,352,352,5,4000.0,8000.0
