"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","epsilon","k","nut","p","p_rgh","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.020768,291,0.007444,0.009842,0.74262,0.74272,0.007444,0.009842,0.74262,0.0083134,0.0089267,0.00080996,-0.03761,0.5683,-0.14862,0.11299,2.3981e-05,0,0,0,0,0,1,0,3.5,2.5,0
-0.024188,291,0.0078014,0.010324,0.74137,0.74148,0.0078014,0.010324,0.74137,0.0082457,0.0088813,0.00080849,-0.097355,0.56899,-0.14629,0.1113,2.4965e-05,0,0,0,0,0,1,0.01,3.5,2.5,0.01
-0.027608,291,0.0081587,0.010806,0.74011,0.74024,0.0081587,0.010806,0.74011,0.0081779,0.0088359,0.00080703,-0.1571,0.56968,-0.14395,0.10962,2.5949e-05,0,0,0,0,0,1,0.02,3.5,2.5,0.02
-0.031027,291,0.0085161,0.011288,0.73886,0.739,0.0085161,0.011288,0.73886,0.0081102,0.0087904,0.00080557,-0.21685,0.57037,-0.14161,0.10793,2.6933e-05,0,0,0,0,0,1,0.03,3.5,2.5,0.03
-0.034447,291,0.0088734,0.011769,0.73761,0.73776,0.0088734,0.011769,0.73761,0.0080425,0.008745,0.00080411,-0.27659,0.57106,-0.13928,0.10624,2.7917e-05,0,0,0,0,0,1,0.04,3.5,2.5,0.04
-0.037867,291,0.0092307,0.012251,0.73635,0.73652,0.0092307,0.012251,0.73635,0.0079747,0.0086996,0.00080264,-0.33634,0.57175,-0.13694,0.10456,2.8901e-05,0,0,0,0,0,1,0.05,3.5,2.5,0.05
-0.041287,291,0.0095881,0.012733,0.7351,0.73528,0.0095881,0.012733,0.7351,0.007907,0.0086542,0.00080118,-0.39608,0.57244,-0.1346,0.10287,2.9885e-05,0,0,0,0,0,1,0.06,3.5,2.5,0.06
-0.044707,291,0.0099454,0.013215,0.73385,0.73404,0.0099454,0.013215,0.73385,0.0078393,0.0086088,0.00079972,-0.45583,0.57313,-0.13226,0.10119,3.0869e-05,0,0,0,0,0,1,0.07,3.5,2.5,0.07
-0.048127,291,0.010303,0.013697,0.73259,0.7328,0.010303,0.013697,0.73259,0.0077715,0.0085633,0.00079826,-0.51557,0.57382,-0.12993,0.099499,3.1853e-05,0,0,0,0,0,1,0.08,3.5,2.5,0.08
-0.051546,291,0.01066,0.014179,0.73134,0.73156,0.01066,0.014179,0.73134,0.0077038,0.0085179,0.00079679,-0.57532,0.57451,-0.12759,0.097812,3.2837e-05,0,0,0,0,0,1,0.09,3.5,2.5,0.09
-0.054966,291,0.011017,0.014661,0.73009,0.73032,0.011017,0.014661,0.73009,0.0076361,0.0084725,0.00079533,-0.63507,0.5752,-0.12525,0.096126,3.3821e-05,0,0,0,0,0,1,0.1,3.5,2.5,0.1
-0.062808,291,0.011685,0.015597,0.72673,0.727,0.011685,0.015597,0.72673,0.0075134,0.0083892,0.00079283,-0.75369,0.57743,-0.12305,0.094682,3.4922e-05,0,0,0,0,0,1,0.11,3.5,2.5,0.11
-0.070649,291,0.012352,0.016532,0.72338,0.72369,0.012352,0.016532,0.72338,0.0073908,0.0083058,0.00079033,-0.87231,0.57966,-0.12086,0.093238,3.6023e-05,0,0,0,0,0,1,0.12,3.5,2.5,0.12
-0.078491,291,0.01302,0.017468,0.72003,0.72038,0.01302,0.017468,0.72003,0.0072681,0.0082225,0.00078784,-0.99093,0.58188,-0.11866,0.091793,3.7124e-05,0,0,0,0,0,1,0.13,3.5,2.5,0.13
-0.086332,291,0.013688,0.018404,0.71668,0.71707,0.013688,0.018404,0.71668,0.0071454,0.0081391,0.00078534,-1.1096,0.58411,-0.11646,0.090349,3.8225e-05,0,0,0,0,0,1,0.14,3.5,2.5,0.14
-0.094174,291,0.014355,0.01934,0.71333,0.71376,0.014355,0.01934,0.71333,0.0070228,0.0080558,0.00078284,-1.2282,0.58633,-0.11426,0.088905,3.9326e-05,0,0,0,0,0,1,0.15,3.5,2.5,0.15
-0.10202,291,0.015023,0.020276,0.70997,0.71045,0.015023,0.020276,0.70997,0.0069001,0.0079724,0.00078034,-1.3468,0.58856,-0.11206,0.087461,4.0427e-05,0,0,0,0,0,1,0.16,3.5,2.5,0.16
-0.10986,291,0.01569,0.021212,0.70662,0.70714,0.01569,0.021212,0.70662,0.0067775,0.0078891,0.00077784,-1.4654,0.59079,-0.10986,0.086016,4.1528e-05,0,0,0,0,0,1,0.17,3.5,2.5,0.17
-0.1177,291,0.016358,0.022148,0.70327,0.70383,0.016358,0.022148,0.70327,0.0066548,0.0078058,0.00077534,-1.584,0.59301,-0.10767,0.084572,4.2629e-05,0,0,0,0,0,1,0.18,3.5,2.5,0.18
-0.12554,291,0.017025,0.023084,0.69992,0.70052,0.017025,0.023084,0.69992,0.0065321,0.0077224,0.00077284,-1.7027,0.59524,-0.10547,0.083128,4.373e-05,0,0,0,0,0,1,0.19,3.5,2.5,0.19
-0.13338,291,0.017693,0.024019,0.69657,0.6972,0.017693,0.024019,0.69657,0.0064095,0.0076391,0.00077035,-1.8213,0.59747,-0.10327,0.081684,4.4831e-05,0,0,0,0,0,1,0.2,3.5,2.5,0.2
-0.14303,291,0.018252,0.024876,0.69173,0.69243,0.018252,0.024876,0.69173,0.0063092,0.00757,0.00076887,-1.9385,0.60101,-0.1036,0.082273,3.9961e-05,0,0,0,0,0,1,0.21,3.5,2.5,0.21
-0.15268,291,0.018812,0.025732,0.68689,0.68765,0.018812,0.025732,0.68689,0.0062089,0.0075009,0.0007674,-2.0558,0.60456,-0.10392,0.082862,3.5091e-05,0,0,0,0,0,1,0.22,3.5,2.5,0.22
-0.16233,291,0.019371,0.026588,0.68206,0.68287,0.019371,0.026588,0.68206,0.0061087,0.0074317,0.00076592,-2.173,0.60811,-0.10425,0.083451,3.0221e-05,0,0,0,0,0,1,0.23,3.5,2.5,0.23
