"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","epsilon","k","nut","p","p_rgh","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.023942,308.02,0.018229,-0.05413,-0.24744,0.25394,0.018229,-0.05413,-0.24744,0.00078092,0.0022174,0.00053269,-17.059,0.44777,0.38362,2.4683,-0.43847,0,0,0,0,0,1,0,0,2.5,1.5
-0.025379,307.9,0.019667,-0.052455,-0.24715,0.25345,0.019667,-0.052455,-0.24715,0.00075461,0.0022291,0.00056599,-17.058,0.4477,0.35325,2.182,-0.37469,0,0,0,0,0,1,0.023333,0.023333,2.5,1.5
-0.026815,307.78,0.021104,-0.050781,-0.24686,0.25296,0.021104,-0.050781,-0.24686,0.00072831,0.0022408,0.00059929,-17.058,0.44762,0.32288,1.8957,-0.31091,0,0,0,0,0,1,0.046667,0.046667,2.5,1.5
-0.028252,307.66,0.022542,-0.049107,-0.24658,0.25246,0.022542,-0.049107,-0.24658,0.000702,0.0022525,0.00063259,-17.058,0.44754,0.29252,1.6094,-0.24713,0,0,0,0,0,1,0.07,0.07,2.5,1.5
-0.029689,307.55,0.02398,-0.047433,-0.24629,0.25197,0.02398,-0.047433,-0.24629,0.00067569,0.0022643,0.00066589,-17.058,0.44746,0.26215,1.3231,-0.18335,0,0,0,0,0,1,0.093333,0.093333,2.5,1.5
-0.031499,307.33,0.026024,-0.045555,-0.24563,0.25122,0.026024,-0.045555,-0.24563,0.0006463,0.0023008,0.00072399,-17.058,0.44815,0.21427,1.0498,-0.12929,0,0,0,0,0,1,0.11667,0.11667,2.5,1.5
-0.033459,307.07,0.02831,-0.043596,-0.24482,0.25035,0.02831,-0.043596,-0.24482,0.00061567,0.0023472,0.00079199,-17.058,0.44915,0.15939,0.78178,-0.079112,0,0,0,0,0,1,0.14,0.14,2.5,1.5
-0.035419,306.8,0.030597,-0.041636,-0.244,0.24949,0.030597,-0.041636,-0.244,0.00058505,0.0023936,0.00086,-17.058,0.45015,0.10452,0.51375,-0.028936,0,0,0,0,0,1,0.16333,0.16333,2.5,1.5
-0.037379,306.54,0.032883,-0.039677,-0.24319,0.24863,0.032883,-0.039677,-0.24319,0.00055442,0.00244,0.00092801,-17.058,0.45114,0.049637,0.24572,0.02124,0,0,0,0,0,1,0.18667,0.18667,2.5,1.5
-0.041066,306.25,0.03342,-0.038673,-0.24283,0.24816,0.03342,-0.038673,-0.24283,0.00054617,0.0025299,0.00099973,-17.057,0.45326,0.0024836,0.1156,0.039744,0,0,0,0,0,1,0.21,0.21,2.5,1.5
-0.047058,305.91,0.031624,-0.038942,-0.24306,0.24821,0.031624,-0.038942,-0.24306,0.00056777,0.0026778,0.0010764,-17.057,0.45686,-0.03437,0.16935,0.016018,0,0,0,0,0,1,0.23333,0.23333,2.5,1.5
-0.053049,305.58,0.029827,-0.039212,-0.24328,0.24825,0.029827,-0.039212,-0.24328,0.00058937,0.0028257,0.0011531,-17.057,0.46045,-0.071224,0.2231,-0.0077069,0,0,0,0,0,1,0.25667,0.25667,2.5,1.5
-0.059041,305.24,0.028031,-0.039482,-0.24351,0.2483,0.028031,-0.039482,-0.24351,0.00061097,0.0029736,0.0012297,-17.057,0.46405,-0.10808,0.27685,-0.031432,0,0,0,0,0,1,0.28,0.28,2.5,1.5
-0.066834,304.89,0.025228,-0.039916,-0.24411,0.24873,0.025228,-0.039916,-0.24411,0.00064355,0.0031459,0.0013066,-17.057,0.46801,-0.14187,0.33105,-0.053495,0,0,0,0,0,1,0.30333,0.30333,2.5,1.5
-0.085439,304.46,0.016387,-0.041342,-0.2469,0.25145,0.016387,-0.041342,-0.2469,0.00074199,0.0034649,0.0013847,-17.056,0.47415,-0.15731,0.38791,-0.065587,0,0,0,0,0,1,0.32667,0.32667,2.5,1.5
-0.10404,304.03,0.0075464,-0.042768,-0.24968,0.25416,0.0075464,-0.042768,-0.24968,0.00084043,0.0037839,0.0014628,-17.056,0.4803,-0.17275,0.44476,-0.077678,0,0,0,0,0,1,0.35,0.35,2.5,1.5
-0.12265,303.59,-0.0012944,-0.044194,-0.25247,0.25688,-0.0012944,-0.044194,-0.25247,0.00093887,0.0041029,0.0015409,-17.055,0.48644,-0.18819,0.50162,-0.08977,0,0,0,0,0,1,0.37333,0.37333,2.5,1.5
-0.14125,303.16,-0.010135,-0.04562,-0.25526,0.25959,-0.010135,-0.04562,-0.25526,0.0010373,0.0044219,0.001619,-17.055,0.49258,-0.20363,0.55847,-0.10186,0,0,0,0,0,1,0.39667,0.39667,2.5,1.5
-0.16803,302.69,-0.02335,-0.047226,-0.25846,0.26476,-0.02335,-0.047226,-0.25846,0.001199,0.0048362,0.0016845,-17.054,0.50017,-0.20726,0.57356,-0.10226,0,0,0,0,0,1,0.42,0.42,2.5,1.5
-0.19617,302.21,-0.037293,-0.048863,-0.26173,0.27033,-0.037293,-0.048863,-0.26173,0.0013712,0.0052664,0.0017479,-17.054,0.50801,-0.20892,0.5817,-0.1007,0,0,0,0,0,1,0.44333,0.44333,2.5,1.5
-0.22431,301.73,-0.051237,-0.050499,-0.265,0.2759,-0.051237,-0.050499,-0.265,0.0015434,0.0056966,0.0018113,-17.053,0.51585,-0.21059,0.58983,-0.099149,0,0,0,0,0,1,0.46667,0.46667,2.5,1.5
-0.25244,301.25,-0.065181,-0.052135,-0.26826,0.28147,-0.065181,-0.052135,-0.26826,0.0017156,0.0061268,0.0018748,-17.052,0.52369,-0.21225,0.59796,-0.097595,0,0,0,0,0,1,0.49,0.49,2.5,1.5
-0.28053,300.76,-0.079859,-0.053647,-0.26928,0.28672,-0.079859,-0.053647,-0.26928,0.0019116,0.0065516,0.0019244,-17.052,0.5322,-0.21004,0.56767,-0.09272,0,0,0,0,0,1,0.51333,0.51333,2.5,1.5
-0.30858,300.27,-0.095089,-0.055066,-0.2686,0.29174,-0.095089,-0.055066,-0.2686,0.0021254,0.0069724,0.0019637,-17.051,0.5412,-0.20492,0.50855,-0.085354,0,0,0,0,0,1,0.53667,0.53667,2.5,1.5
-0.33662,299.78,-0.11032,-0.056484,-0.26793,0.29676,-0.11032,-0.056484,-0.26793,0.0023392,0.0073931,0.002003,-17.05,0.55021,-0.1998,0.44943,-0.077989,0,0,0,0,0,1,0.56,0.56,2.5,1.5
-0.36467,299.28,-0.12555,-0.057903,-0.26726,0.30178,-0.12555,-0.057903,-0.26726,0.002553,0.0078139,0.0020423,-17.049,0.55921,-0.19468,0.39031,-0.070623,0,0,0,0,0,1,0.58333,0.58333,2.5,1.5
-0.38996,298.78,-0.14023,-0.059252,-0.26421,0.30541,-0.14023,-0.059252,-0.26421,0.0027721,0.0082092,0.0020716,-17.049,0.56857,-0.18791,0.31456,-0.062306,0,0,0,0,0,1,0.60667,0.60667,2.5,1.5
