"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","epsilon","k","nut","p","p_rgh","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.10326,299.63,-0.04562,-0.0086959,0.086986,0.098607,-0.04562,-0.0086959,0.086986,0.001396,0.0031548,0.00060304,-17.074,0.49707,1.1642,-0.75575,0.28997,0,0,0,0,0,1,0,3.5,0,1.5
0.10507,299.62,-0.042664,-0.0089981,0.092038,0.10234,-0.042664,-0.0089981,0.092038,0.0013751,0.0034597,0.00083867,-17.074,0.49603,1.1103,-0.75876,0.24597,0,0,0,0,0,1,0.016667,3.5,0.016667,1.5
0.10687,299.62,-0.039708,-0.0093004,0.097089,0.10608,-0.039708,-0.0093004,0.097089,0.0013541,0.0037646,0.0010743,-17.074,0.495,1.0564,-0.76178,0.20197,0,0,0,0,0,1,0.033333,3.5,0.033333,1.5
0.10867,299.61,-0.036753,-0.0096027,0.10214,0.10981,-0.036753,-0.0096027,0.10214,0.0013331,0.0040695,0.0013099,-17.074,0.49396,1.0025,-0.76479,0.15797,0,0,0,0,0,1,0.05,3.5,0.05,1.5
0.11047,299.61,-0.033797,-0.0099049,0.10719,0.11355,-0.033797,-0.0099049,0.10719,0.0013121,0.0043744,0.0015455,-17.074,0.49293,0.9486,-0.76781,0.11397,0,0,0,0,0,1,0.066667,3.5,0.066667,1.5
0.11227,299.6,-0.030842,-0.010207,0.11224,0.11729,-0.030842,-0.010207,0.11224,0.0012911,0.0046794,0.0017812,-17.074,0.49189,0.89469,-0.77082,0.069964,0,0,0,0,0,1,0.083333,3.5,0.083333,1.5
0.11407,299.59,-0.027886,-0.010509,0.11729,0.12102,-0.027886,-0.010509,0.11729,0.0012701,0.0049843,0.0020168,-17.074,0.49086,0.84079,-0.77383,0.025962,0,0,0,0,0,1,0.1,3.5,0.1,1.5
0.11473,299.59,-0.023626,-0.01083,0.12585,0.12904,-0.023626,-0.01083,0.12585,0.001253,0.0054307,0.002395,-17.074,0.48898,0.7772,-0.77295,-0.0063289,0,0,0,0,0,1,0.11667,3.5,0.11667,1.5
0.11539,299.58,-0.019366,-0.01115,0.13441,0.13706,-0.019366,-0.01115,0.13441,0.001236,0.0058771,0.0027732,-17.073,0.4871,0.7136,-0.77206,-0.038619,0,0,0,0,0,1,0.13333,3.5,0.13333,1.5
0.11605,299.58,-0.015106,-0.01147,0.14298,0.14508,-0.015106,-0.01147,0.14298,0.0012189,0.0063236,0.0031514,-17.073,0.48522,0.65001,-0.77117,-0.07091,0,0,0,0,0,1,0.15,3.5,0.15,1.5
