"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","epsilon","k","nut","p","p_rgh","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.012259,291,0.0030986,0.018314,0.99633,0.9965,0.0030986,0.018314,0.99633,0.0086557,0.0091573,0.00081864,-0.023417,0.58157,-0.27341,0.047652,-8.8877e-05,0,0,0,0,0,1,0,3.5,2.5,0
-0.013301,291,0.0032681,0.019085,0.99579,0.99598,0.0032681,0.019085,0.99579,0.0085993,0.0091201,0.00081743,-0.08341,0.58203,-0.26864,0.047001,-0.00010248,0,0,0,0,0,1,0.01,3.5,2.5,0.01
-0.014343,291,0.0034376,0.019857,0.99524,0.99545,0.0034376,0.019857,0.99524,0.0085429,0.0090829,0.00081622,-0.1434,0.58249,-0.26387,0.04635,-0.00011609,0,0,0,0,0,1,0.02,3.5,2.5,0.02
-0.015385,291,0.0036071,0.020628,0.9947,0.99492,0.0036071,0.020628,0.9947,0.0084866,0.0090456,0.000815,-0.20339,0.58295,-0.2591,0.045699,-0.00012969,0,0,0,0,0,1,0.03,3.5,2.5,0.03
-0.016426,291,0.0037766,0.0214,0.99415,0.9944,0.0037766,0.0214,0.99415,0.0084302,0.0090084,0.00081379,-0.26339,0.5834,-0.25433,0.045048,-0.00014329,0,0,0,0,0,1,0.04,3.5,2.5,0.04
-0.017468,291,0.0039462,0.022171,0.99361,0.99387,0.0039462,0.022171,0.99361,0.0083738,0.0089712,0.00081258,-0.32338,0.58386,-0.24956,0.044397,-0.0001569,0,0,0,0,0,1,0.05,3.5,2.5,0.05
-0.01851,291,0.0041157,0.022943,0.99306,0.99334,0.0041157,0.022943,0.99306,0.0083174,0.008934,0.00081137,-0.38337,0.58432,-0.24479,0.043745,-0.0001705,0,0,0,0,0,1,0.06,3.5,2.5,0.06
-0.019552,291,0.0042852,0.023714,0.99252,0.99282,0.0042852,0.023714,0.99252,0.0082611,0.0088968,0.00081016,-0.44336,0.58478,-0.24002,0.043094,-0.00018411,0,0,0,0,0,1,0.07,3.5,2.5,0.07
-0.020594,291,0.0044547,0.024486,0.99197,0.99229,0.0044547,0.024486,0.99197,0.0082047,0.0088595,0.00080895,-0.50336,0.58523,-0.23525,0.042443,-0.00019771,0,0,0,0,0,1,0.08,3.5,2.5,0.08
-0.021636,291,0.0046242,0.025257,0.99143,0.99177,0.0046242,0.025257,0.99143,0.0081483,0.0088223,0.00080774,-0.56335,0.58569,-0.23048,0.041792,-0.00021131,0,0,0,0,0,1,0.09,3.5,2.5,0.09
-0.022677,291,0.0047938,0.026029,0.99089,0.99124,0.0047938,0.026029,0.99089,0.0080919,0.0087851,0.00080653,-0.62334,0.58615,-0.22571,0.041141,-0.00022492,0,0,0,0,0,1,0.1,3.5,2.5,0.1
