"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","epsilon","k","nut","p","p_rgh","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.028557,326.79,-0.011569,-0.1195,-0.55262,0.56551,-0.011569,-0.1195,-0.55262,0.012169,0.013504,0.0012664,-16.206,0.5213,0.48785,5.6321,-0.89353,0,0,0,0,0,1,0,0,2.5,1.5
-0.02496,326.54,-0.013067,-0.11185,-0.55608,0.56756,-0.013067,-0.11185,-0.55608,0.011463,0.014437,0.0018635,-16.206,0.52891,0.4813,4.9742,-0.71202,0,0,0,0,0,1,0.023333,0.023333,2.5,1.5
-0.021363,326.28,-0.014566,-0.1042,-0.55954,0.56962,-0.014566,-0.1042,-0.55954,0.010757,0.01537,0.0024606,-16.207,0.53651,0.47475,4.3163,-0.5305,0,0,0,0,0,1,0.046667,0.046667,2.5,1.5
-0.017765,326.02,-0.016064,-0.096553,-0.563,0.57168,-0.016064,-0.096553,-0.563,0.010051,0.016303,0.0030577,-16.208,0.54411,0.4682,3.6584,-0.34899,0,0,0,0,0,1,0.07,0.07,2.5,1.5
-0.014168,325.76,-0.017562,-0.088905,-0.56646,0.57373,-0.017562,-0.088905,-0.56646,0.0093452,0.017236,0.0036548,-16.208,0.55171,0.46165,3.0005,-0.16748,0,0,0,0,0,1,0.093333,0.093333,2.5,1.5
-0.0068902,325.35,-0.020098,-0.075265,-0.56879,0.5747,-0.020098,-0.075265,-0.56879,0.008577,0.018507,0.0045768,-16.209,0.56208,0.4491,2.3091,0.016536,0,0,0,0,0,1,0.11667,0.11667,2.5,1.5
0.0018601,324.89,-0.023049,-0.059228,-0.57067,0.57523,-0.023049,-0.059228,-0.57067,0.0077837,0.019914,0.0056287,-16.21,0.57356,0.43415,1.6044,0.20155,0,0,0,0,0,1,0.14,0.14,2.5,1.5
0.01061,324.42,-0.026,-0.043191,-0.57255,0.57576,-0.026,-0.043191,-0.57255,0.0069905,0.021321,0.0066806,-16.212,0.58504,0.4192,0.89961,0.38656,0,0,0,0,0,1,0.16333,0.16333,2.5,1.5
0.019361,323.95,-0.028952,-0.027155,-0.57443,0.5763,-0.028952,-0.027155,-0.57443,0.0061973,0.022728,0.0077325,-16.213,0.59652,0.40425,0.19486,0.57157,0,0,0,0,0,1,0.18667,0.18667,2.5,1.5
0.029056,323.52,-0.031606,-0.010906,-0.57284,0.57423,-0.031606,-0.010906,-0.57284,0.0057016,0.023861,0.0086475,-16.214,0.60521,0.38808,-0.24125,0.67627,0,0,0,0,0,1,0.21,0.21,2.5,1.5
