"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","epsilon","k","nut","p","p_rgh","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.066692,291,-0.0033807,-0.0019107,0.7373,0.73732,-0.0033807,-0.0019107,0.7373,0.0083263,0.0089461,0.00081222,0.16606,0.77043,0.027471,-0.050872,5.5497e-06,0,0,0,0,0,1,0,3.5,2.5,0
-0.078291,291,-0.0035357,-0.0019158,0.73512,0.73513,-0.0035357,-0.0019158,0.73512,0.0082592,0.0089044,0.00081142,0.10681,0.77162,0.026887,-0.050074,-5.7473e-06,0,0,0,0,0,1,0.01,3.5,2.5,0.01
-0.08989,291,-0.0036908,-0.0019209,0.73293,0.73294,-0.0036908,-0.0019209,0.73293,0.008192,0.0088627,0.00081062,0.047551,0.77281,0.026303,-0.049275,-1.7044e-05,0,0,0,0,0,1,0.02,3.5,2.5,0.02
-0.10149,291,-0.0038459,-0.001926,0.73074,0.73075,-0.0038459,-0.001926,0.73074,0.0081249,0.008821,0.00080982,-0.011705,0.774,0.025718,-0.048476,-2.8342e-05,0,0,0,0,0,1,0.03,3.5,2.5,0.03
-0.11309,291,-0.004001,-0.0019312,0.72855,0.72856,-0.004001,-0.0019312,0.72855,0.0080578,0.0087793,0.00080902,-0.070962,0.77519,0.025134,-0.047678,-3.9639e-05,0,0,0,0,0,1,0.04,3.5,2.5,0.04
-0.12469,291,-0.0041561,-0.0019363,0.72636,0.72637,-0.0041561,-0.0019363,0.72636,0.0079906,0.0087376,0.00080822,-0.13022,0.77638,0.02455,-0.046879,-5.0936e-05,0,0,0,0,0,1,0.05,3.5,2.5,0.05
-0.13629,291,-0.0043112,-0.0019414,0.72417,0.72419,-0.0043112,-0.0019414,0.72417,0.0079235,0.0086959,0.00080742,-0.18947,0.77757,0.023965,-0.046081,-6.2233e-05,0,0,0,0,0,1,0.06,3.5,2.5,0.06
-0.14789,291,-0.0044663,-0.0019465,0.72198,0.722,-0.0044663,-0.0019465,0.72198,0.0078564,0.0086542,0.00080662,-0.24873,0.77876,0.023381,-0.045282,-7.353e-05,0,0,0,0,0,1,0.07,3.5,2.5,0.07
-0.15949,291,-0.0046214,-0.0019516,0.71979,0.71981,-0.0046214,-0.0019516,0.71979,0.0077892,0.0086125,0.00080582,-0.30799,0.77995,0.022797,-0.044483,-8.4827e-05,0,0,0,0,0,1,0.08,3.5,2.5,0.08
-0.17109,291,-0.0047765,-0.0019567,0.7176,0.71762,-0.0047765,-0.0019567,0.7176,0.0077221,0.0085707,0.00080502,-0.36724,0.78114,0.022213,-0.043685,-9.6124e-05,0,0,0,0,0,1,0.09,3.5,2.5,0.09
-0.18269,291,-0.0049316,-0.0019618,0.71541,0.71543,-0.0049316,-0.0019618,0.71541,0.007655,0.008529,0.00080422,-0.4265,0.78233,0.021628,-0.042886,-0.00010742,0,0,0,0,0,1,0.1,3.5,2.5,0.1
-0.21072,291,-0.005227,-0.0018605,0.70943,0.70945,-0.005227,-0.0018605,0.70943,0.0075339,0.0084583,0.00080419,-0.54357,0.78615,0.020984,-0.042221,-0.00013707,0,0,0,0,0,1,0.11,3.5,2.5,0.11
-0.23875,291,-0.0055225,-0.0017593,0.70345,0.70347,-0.0055225,-0.0017593,0.70345,0.0074128,0.0083875,0.00080416,-0.66063,0.78996,0.02034,-0.041556,-0.00016671,0,0,0,0,0,1,0.12,3.5,2.5,0.12
-0.26678,291,-0.0058179,-0.001658,0.69746,0.69749,-0.0058179,-0.001658,0.69746,0.0072918,0.0083168,0.00080412,-0.7777,0.79378,0.019696,-0.040891,-0.00019635,0,0,0,0,0,1,0.13,3.5,2.5,0.13
-0.29481,291,-0.0061133,-0.0015567,0.69148,0.69151,-0.0061133,-0.0015567,0.69148,0.0071707,0.008246,0.00080409,-0.89477,0.7976,0.019052,-0.040226,-0.000226,0,0,0,0,0,1,0.14,3.5,2.5,0.14
-0.32284,291,-0.0064088,-0.0014554,0.6855,0.68553,-0.0064088,-0.0014554,0.6855,0.0070496,0.0081753,0.00080406,-1.0118,0.80142,0.018407,-0.03956,-0.00025564,0,0,0,0,0,1,0.15,3.5,2.5,0.15
-0.35087,291,-0.0067042,-0.0013542,0.67952,0.67955,-0.0067042,-0.0013542,0.67952,0.0069285,0.0081045,0.00080403,-1.1289,0.80524,0.017763,-0.038895,-0.00028529,0,0,0,0,0,1,0.16,3.5,2.5,0.16
-0.37891,291,-0.0069996,-0.0012529,0.67353,0.67357,-0.0069996,-0.0012529,0.67353,0.0068075,0.0080337,0.000804,-1.246,0.80906,0.017119,-0.03823,-0.00031493,0,0,0,0,0,1,0.17,3.5,2.5,0.17
-0.40694,291,-0.0072951,-0.0011516,0.66755,0.66759,-0.0072951,-0.0011516,0.66755,0.0066864,0.007963,0.00080397,-1.363,0.81288,0.016475,-0.037565,-0.00034458,0,0,0,0,0,1,0.18,3.5,2.5,0.18
-0.43497,291,-0.0075905,-0.0010503,0.66157,0.66161,-0.0075905,-0.0010503,0.66157,0.0065653,0.0078922,0.00080394,-1.4801,0.8167,0.015831,-0.0369,-0.00037422,0,0,0,0,0,1,0.19,3.5,2.5,0.19
-0.463,291,-0.0078859,-0.00094907,0.65559,0.65563,-0.0078859,-0.00094907,0.65559,0.0064443,0.0078215,0.00080391,-1.5972,0.82052,0.015186,-0.036235,-0.00040386,0,0,0,0,0,1,0.2,3.5,2.5,0.2
-0.49898,291,-0.0081884,-0.00065083,0.64667,0.64672,-0.0081884,-0.00065083,0.64667,0.0063517,0.0077796,0.00080766,-1.712,0.82656,0.015156,-0.036664,-0.00044284,0,0,0,0,0,1,0.21,3.5,2.5,0.21
-0.53496,291,-0.0084909,-0.0003526,0.63775,0.63781,-0.0084909,-0.0003526,0.63775,0.0062591,0.0077376,0.00081141,-1.8268,0.8326,0.015125,-0.037094,-0.00048181,0,0,0,0,0,1,0.22,3.5,2.5,0.22
-0.57094,291,-0.0087933,-5.4364e-05,0.62883,0.6289,-0.0087933,-5.4364e-05,0.62883,0.0061665,0.0076957,0.00081515,-1.9416,0.83865,0.015094,-0.037524,-0.00052078,0,0,0,0,0,1,0.23,3.5,2.5,0.23
-0.60693,291,-0.0090958,0.00024387,0.61992,0.61999,-0.0090958,0.00024387,0.61992,0.0060739,0.0076538,0.0008189,-2.0565,0.84469,0.015063,-0.037953,-0.00055975,0,0,0,0,0,1,0.24,3.5,2.5,0.24
-0.64291,291,-0.0093982,0.00054211,0.611,0.61108,-0.0093982,0.00054211,0.611,0.0059813,0.0076119,0.00082265,-2.1713,0.85074,0.015033,-0.038383,-0.00059872,0,0,0,0,0,1,0.25,3.5,2.5,0.25
-0.67889,291,-0.0097007,0.00084034,0.60208,0.60217,-0.0097007,0.00084034,0.60208,0.0058887,0.0075699,0.00082639,-2.2861,0.85678,0.015002,-0.038813,-0.0006377,0,0,0,0,0,1,0.26,3.5,2.5,0.26
-0.71487,291,-0.010003,0.0011386,0.59317,0.59326,-0.010003,0.0011386,0.59317,0.0057961,0.007528,0.00083014,-2.401,0.86282,0.014971,-0.039242,-0.00067667,0,0,0,0,0,1,0.27,3.5,2.5,0.27
-0.75085,291,-0.010306,0.0014368,0.58425,0.58434,-0.010306,0.0014368,0.58425,0.0057035,0.0074861,0.00083389,-2.5158,0.86887,0.01494,-0.039672,-0.00071564,0,0,0,0,0,1,0.28,3.5,2.5,0.28
-0.78683,291,-0.010608,0.001735,0.57533,0.57543,-0.010608,0.001735,0.57533,0.0056109,0.0074442,0.00083763,-2.6306,0.87491,0.01491,-0.040102,-0.00075461,0,0,0,0,0,1,0.29,3.5,2.5,0.29
-0.82281,291,-0.010911,0.0020333,0.56641,0.56652,-0.010911,0.0020333,0.56641,0.0055183,0.0074023,0.00084138,-2.7454,0.88095,0.014879,-0.040531,-0.00079359,0,0,0,0,0,1,0.3,3.5,2.5,0.3
-0.86289,291,-0.011306,0.0024737,0.55503,0.55516,-0.011306,0.0024737,0.55503,0.005468,0.0074036,0.00085006,-2.8593,0.88797,0.015221,-0.041504,-0.00083273,0,0,0,0,0,1,0.31,3.5,2.5,0.31
-0.90296,291,-0.011701,0.0029142,0.54365,0.54379,-0.011701,0.0029142,0.54365,0.0054177,0.007405,0.00085874,-2.9731,0.89499,0.015563,-0.042477,-0.00087187,0,0,0,0,0,1,0.32,3.5,2.5,0.32
-0.94303,291,-0.012096,0.0033547,0.53227,0.53243,-0.012096,0.0033547,0.53227,0.0053674,0.0074063,0.00086743,-3.087,0.90201,0.015905,-0.043449,-0.00091102,0,0,0,0,0,1,0.33,3.5,2.5,0.33
-0.98311,291,-0.012491,0.0037952,0.52088,0.52107,-0.012491,0.0037952,0.52088,0.0053171,0.0074077,0.00087611,-3.2008,0.90903,0.016247,-0.044422,-0.00095016,0,0,0,0,0,1,0.34,3.5,2.5,0.34
-1.0232,291,-0.012886,0.0042356,0.5095,0.5097,-0.012886,0.0042356,0.5095,0.0052668,0.007409,0.00088479,-3.3146,0.91605,0.016589,-0.045395,-0.0009893,0,0,0,0,0,1,0.35,3.5,2.5,0.35
-1.0633,291,-0.013282,0.0046761,0.49812,0.49834,-0.013282,0.0046761,0.49812,0.0052166,0.0074104,0.00089347,-3.4285,0.92307,0.016931,-0.046367,-0.0010284,0,0,0,0,0,1,0.36,3.5,2.5,0.36
