"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","epsilon","k","nut","p","p_rgh","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.21934,291,0.018842,-0.022216,0.47616,0.47705,0.018842,-0.022216,0.47616,0.0078108,0.0086929,0.0008175,0.29903,0.90233,0.33614,0.29154,-0.00041364,0,0,0,0,0,1,0,3.5,2.5,0
-0.25208,291,0.019801,-0.023244,0.47215,0.47317,0.019801,-0.023244,0.47215,0.0077335,0.0086607,0.00082033,0.24007,0.90382,0.33087,0.28811,-0.00047384,0,0,0,0,0,1,0.01,3.5,2.5,0.01
-0.28483,291,0.02076,-0.024272,0.46815,0.46929,0.02076,-0.024272,0.46815,0.0076561,0.0086285,0.00082316,0.18112,0.90532,0.3256,0.28468,-0.00053403,0,0,0,0,0,1,0.02,3.5,2.5,0.02
-0.31757,291,0.02172,-0.025301,0.46415,0.46541,0.02172,-0.025301,0.46415,0.0075788,0.0085964,0.00082599,0.12216,0.90681,0.32033,0.28125,-0.00059422,0,0,0,0,0,1,0.03,3.5,2.5,0.03
-0.35031,291,0.022679,-0.026329,0.46014,0.46153,0.022679,-0.026329,0.46014,0.0075014,0.0085642,0.00082882,0.063206,0.90831,0.31506,0.27782,-0.00065441,0,0,0,0,0,1,0.04,3.5,2.5,0.04
-0.38305,291,0.023638,-0.027357,0.45614,0.45765,0.023638,-0.027357,0.45614,0.0074241,0.008532,0.00083165,0.0042503,0.9098,0.30978,0.27439,-0.0007146,0,0,0,0,0,1,0.05,3.5,2.5,0.05
-0.41579,291,0.024597,-0.028385,0.45213,0.45377,0.024597,-0.028385,0.45213,0.0073468,0.0084999,0.00083448,-0.054705,0.9113,0.30451,0.27096,-0.00077479,0,0,0,0,0,1,0.06,3.5,2.5,0.06
-0.44853,291,0.025556,-0.029414,0.44813,0.44989,0.025556,-0.029414,0.44813,0.0072694,0.0084677,0.00083731,-0.11366,0.91279,0.29924,0.26753,-0.00083498,0,0,0,0,0,1,0.07,3.5,2.5,0.07
-0.48127,291,0.026515,-0.030442,0.44413,0.44601,0.026515,-0.030442,0.44413,0.0071921,0.0084356,0.00084014,-0.17262,0.91429,0.29397,0.2641,-0.00089517,0,0,0,0,0,1,0.08,3.5,2.5,0.08
-0.51401,291,0.027474,-0.03147,0.44012,0.44213,0.027474,-0.03147,0.44012,0.0071147,0.0084034,0.00084297,-0.23157,0.91578,0.2887,0.26067,-0.00095536,0,0,0,0,0,1,0.09,3.5,2.5,0.09
-0.54675,291,0.028433,-0.032499,0.43612,0.43825,0.028433,-0.032499,0.43612,0.0070374,0.0083712,0.0008458,-0.29053,0.91728,0.28343,0.25724,-0.0010156,0,0,0,0,0,1,0.1,3.5,2.5,0.1
-0.61743,291.02,0.0303,-0.034399,0.42571,0.42836,0.0303,-0.034399,0.42571,0.0069592,0.008396,0.00086203,-0.40723,0.92141,0.27578,0.25644,-0.0012364,0,0,0,0,0,1,0.11,3.5,2.5,0.11
-0.6881,291.04,0.032167,-0.0363,0.41531,0.41847,0.032167,-0.0363,0.41531,0.006881,0.0084208,0.00087825,-0.52393,0.92554,0.26814,0.25563,-0.0014573,0,0,0,0,0,1,0.12,3.5,2.5,0.12
-0.75877,291.05,0.034033,-0.0382,0.40491,0.40858,0.034033,-0.0382,0.40491,0.0068028,0.0084455,0.00089447,-0.64063,0.92967,0.26049,0.25483,-0.0016781,0,0,0,0,0,1,0.13,3.5,2.5,0.13
-0.82944,291.07,0.0359,-0.040101,0.3945,0.39869,0.0359,-0.040101,0.3945,0.0067246,0.0084703,0.0009107,-0.75734,0.9338,0.25285,0.25402,-0.001899,0,0,0,0,0,1,0.14,3.5,2.5,0.14
-0.90011,291.08,0.037766,-0.042001,0.3841,0.38879,0.037766,-0.042001,0.3841,0.0066464,0.0084951,0.00092692,-0.87404,0.93793,0.2452,0.25322,-0.0021198,0,0,0,0,0,1,0.15,3.5,2.5,0.15
-0.97078,291.1,0.039633,-0.043902,0.3737,0.3789,0.039633,-0.043902,0.3737,0.0065682,0.0085198,0.00094314,-0.99074,0.94206,0.23756,0.25241,-0.0023407,0,0,0,0,0,1,0.16,3.5,2.5,0.16
-1.0415,291.12,0.0415,-0.045803,0.36329,0.36901,0.0415,-0.045803,0.36329,0.00649,0.0085446,0.00095937,-1.1074,0.94619,0.22991,0.2516,-0.0025616,0,0,0,0,0,1,0.17,3.5,2.5,0.17
-1.1121,291.13,0.043366,-0.047703,0.35289,0.35912,0.043366,-0.047703,0.35289,0.0064118,0.0085693,0.00097559,-1.2241,0.95032,0.22227,0.2508,-0.0027824,0,0,0,0,0,1,0.18,3.5,2.5,0.18
-1.1828,291.15,0.045233,-0.049604,0.34249,0.34923,0.045233,-0.049604,0.34249,0.0063336,0.0085941,0.00099181,-1.3408,0.95445,0.21462,0.24999,-0.0030033,0,0,0,0,0,1,0.19,3.5,2.5,0.19
-1.2535,291.16,0.047099,-0.051504,0.33208,0.33934,0.047099,-0.051504,0.33208,0.0062555,0.0086189,0.001008,-1.4575,0.95858,0.20698,0.24919,-0.0032241,0,0,0,0,0,1,0.2,3.5,2.5,0.2
-1.311,291.45,0.049012,-0.052633,0.31723,0.3259,0.049012,-0.052633,0.31723,0.0064851,0.0091334,0.0010953,-1.5735,0.96178,0.18721,0.25342,-0.0020275,0,0,0,0,0,1,0.21,3.5,2.5,0.21
-1.3685,291.73,0.050925,-0.053762,0.30237,0.31246,0.050925,-0.053762,0.30237,0.0067147,0.0096479,0.0011825,-1.6894,0.96499,0.16745,0.25764,-0.00083078,0,0,0,0,0,1,0.22,3.5,2.5,0.22
-1.426,292.02,0.052838,-0.054891,0.28751,0.29902,0.052838,-0.054891,0.28751,0.0069443,0.010162,0.0012697,-1.8054,0.96819,0.14769,0.26187,0.0003659,0,0,0,0,0,1,0.23,3.5,2.5,0.23
-1.4836,292.3,0.054751,-0.05602,0.27265,0.28558,0.054751,-0.05602,0.27265,0.0071739,0.010677,0.001357,-1.9213,0.9714,0.12793,0.2661,0.0015626,0,0,0,0,0,1,0.24,3.5,2.5,0.24
-1.5411,292.59,0.056664,-0.057149,0.25779,0.27214,0.056664,-0.057149,0.25779,0.0074036,0.011191,0.0014442,-2.0372,0.97461,0.10817,0.27033,0.0027593,0,0,0,0,0,1,0.25,3.5,2.5,0.25
-1.5986,292.87,0.058577,-0.058277,0.24293,0.2587,0.058577,-0.058277,0.24293,0.0076332,0.011706,0.0015315,-2.1532,0.97781,0.088406,0.27456,0.0039559,0,0,0,0,0,1,0.26,3.5,2.5,0.26
-1.6561,293.16,0.06049,-0.059406,0.22807,0.24526,0.06049,-0.059406,0.22807,0.0078628,0.012221,0.0016187,-2.2691,0.98102,0.068644,0.27879,0.0051526,0,0,0,0,0,1,0.27,3.5,2.5,0.27
-1.7137,293.45,0.062403,-0.060535,0.21322,0.23182,0.062403,-0.060535,0.21322,0.0080924,0.012735,0.0017059,-2.385,0.98423,0.048883,0.28301,0.0063493,0,0,0,0,0,1,0.28,3.5,2.5,0.28
-1.7712,293.73,0.064316,-0.061664,0.19836,0.21838,0.064316,-0.061664,0.19836,0.0083221,0.01325,0.0017932,-2.501,0.98743,0.029121,0.28724,0.007546,0,0,0,0,0,1,0.29,3.5,2.5,0.29
-1.8287,294.02,0.066228,-0.062793,0.1835,0.20494,0.066228,-0.062793,0.1835,0.0085517,0.013764,0.0018804,-2.6169,0.99064,0.0093596,0.29147,0.0087426,0,0,0,0,0,1,0.3,3.5,2.5,0.3
-1.772,295.3,0.067608,-0.060749,0.16691,0.19367,0.067608,-0.060749,0.16691,0.0087207,0.014769,0.0021995,-2.7333,0.98161,-0.025575,0.28518,0.015647,0,0,0,0,0,1,0.31,3.5,2.5,0.31
-1.7152,296.58,0.068987,-0.058704,0.15032,0.1824,0.068987,-0.058704,0.15032,0.0088898,0.015773,0.0025186,-2.8496,0.97259,-0.060509,0.27889,0.02255,0,0,0,0,0,1,0.32,3.5,2.5,0.32
-1.6585,297.86,0.070366,-0.05666,0.13373,0.17113,0.070366,-0.05666,0.13373,0.0090588,0.016777,0.0028377,-2.966,0.96356,-0.095444,0.2726,0.029454,0,0,0,0,0,1,0.33,3.5,2.5,0.33
-1.6017,299.15,0.071746,-0.054616,0.11715,0.15986,0.071746,-0.054616,0.11715,0.0092279,0.017782,0.0031568,-3.0824,0.95454,-0.13038,0.26631,0.036358,0,0,0,0,0,1,0.34,3.5,2.5,0.34
-1.545,300.43,0.073125,-0.052572,0.10056,0.14859,0.073125,-0.052572,0.10056,0.009397,0.018786,0.0034758,-3.1987,0.94552,-0.16531,0.26001,0.043262,0,0,0,0,0,1,0.35,3.5,2.5,0.35
-1.4882,301.71,0.074504,-0.050527,0.08397,0.13732,0.074504,-0.050527,0.08397,0.009566,0.019791,0.0037949,-3.3151,0.93649,-0.20025,0.25372,0.050166,0,0,0,0,0,1,0.36,3.5,2.5,0.36
-1.4315,302.99,0.075884,-0.048483,0.067382,0.12605,0.075884,-0.048483,0.067382,0.0097351,0.020795,0.004114,-3.4315,0.92747,-0.23518,0.24743,0.05707,0,0,0,0,0,1,0.37,3.5,2.5,0.37
