"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","epsilon","k","nut","p","p_rgh","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.21794,319.85,0.029887,0.16144,-0.049578,0.1715,0.029887,0.16144,-0.049578,0.0019155,0.0038584,0.00065726,-16.681,0.21282,0.91368,0.41631,1.5978,0,0,0,0,0,1,0,0,2.5,1.5
-0.19047,319.85,0.033495,0.16211,-0.048578,0.17264,0.033495,0.16211,-0.048578,0.0019052,0.0042248,0.00084486,-16.681,0.21313,0.91719,0.34981,1.4106,0,0,0,0,0,1,0.023333,0.023333,2.5,1.5
-0.163,319.84,0.037103,0.16278,-0.047578,0.17378,0.037103,0.16278,-0.047578,0.001895,0.0045913,0.0010325,-16.681,0.21344,0.9207,0.28332,1.2234,0,0,0,0,0,1,0.046667,0.046667,2.5,1.5
-0.13554,319.83,0.040711,0.16346,-0.046578,0.17492,0.040711,0.16346,-0.046578,0.0018848,0.0049577,0.0012201,-16.681,0.21375,0.9242,0.21682,1.0361,0,0,0,0,0,1,0.07,0.07,2.5,1.5
-0.10807,319.83,0.04432,0.16413,-0.045578,0.17606,0.04432,0.16413,-0.045578,0.0018746,0.0053242,0.0014077,-16.681,0.21406,0.92771,0.15033,0.84893,0,0,0,0,0,1,0.093333,0.093333,2.5,1.5
-0.077023,319.82,0.050453,0.16509,-0.043736,0.17843,0.050453,0.16509,-0.043736,0.0018753,0.0058983,0.0017304,-16.681,0.21406,0.9303,0.082263,0.66092,0,0,0,0,0,1,0.11667,0.11667,2.5,1.5
-0.044547,319.81,0.057596,0.16617,-0.041556,0.18131,0.057596,0.16617,-0.041556,0.0018804,0.0065555,0.0021071,-16.681,0.21393,0.93252,0.013568,0.47261,0,0,0,0,0,1,0.14,0.14,2.5,1.5
-0.01207,319.79,0.064739,0.16726,-0.039376,0.18418,0.064739,0.16726,-0.039376,0.0018856,0.0072126,0.0024839,-16.681,0.2138,0.93474,-0.055126,0.28429,0,0,0,0,0,1,0.16333,0.16333,2.5,1.5
0.020407,319.78,0.071882,0.16834,-0.037196,0.18706,0.071882,0.16834,-0.037196,0.0018907,0.0078698,0.0028607,-16.682,0.21367,0.93697,-0.12382,0.09598,0,0,0,0,0,1,0.18667,0.18667,2.5,1.5
0.04199,319.77,0.078633,0.16917,-0.034865,0.18994,0.078633,0.16917,-0.034865,0.0019069,0.0084708,0.0032301,-16.682,0.21309,0.93579,-0.16371,-0.01128,0,0,0,0,0,1,0.21,0.21,2.5,1.5
0.049048,319.76,0.084862,0.16968,-0.032334,0.19284,0.084862,0.16968,-0.032334,0.0019378,0.0089968,0.0035896,-16.683,0.21192,0.93009,-0.16519,-0.010467,0,0,0,0,0,1,0.23333,0.23333,2.5,1.5
0.056106,319.75,0.09109,0.17019,-0.029803,0.19575,0.09109,0.17019,-0.029803,0.0019688,0.0095228,0.0039492,-16.684,0.21075,0.92438,-0.16667,-0.0096538,0,0,0,0,0,1,0.25667,0.25667,2.5,1.5
0.063164,319.74,0.097319,0.17069,-0.027272,0.19865,0.097319,0.17069,-0.027272,0.0019998,0.010049,0.0043088,-16.685,0.20957,0.91868,-0.16815,-0.0088409,0,0,0,0,0,1,0.28,0.28,2.5,1.5
0.069281,319.73,0.10339,0.17113,-0.024692,0.2015,0.10339,0.17113,-0.024692,0.0020314,0.010563,0.004662,-16.685,0.20833,0.91215,-0.16895,-0.0073297,0,0,0,0,0,1,0.30333,0.30333,2.5,1.5
0.069751,319.71,0.10852,0.17116,-0.021819,0.20408,0.10852,0.17116,-0.021819,0.0020669,0.011006,0.0049775,-16.686,0.20664,0.90071,-0.16569,-0.0016289,0,0,0,0,0,1,0.32667,0.32667,2.5,1.5
