"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","epsilon","k","nut","p","p_rgh","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.03016,304.13,-0.0079075,-0.011927,0.4432,0.44343,-0.0079075,-0.011927,0.4432,0.0036338,0.0058439,0.00079416,-16.654,0.34885,4.3844,-0.15066,0.36335,0,0,0,0,0,1,0,3.5,0,1.5
-0.026226,304.31,-0.011996,-0.012592,0.44295,0.44339,-0.011996,-0.012592,0.44295,0.0034841,0.006073,0.0010111,-16.654,0.34579,4.0061,-0.15122,0.37425,0,0,0,0,0,1,0.016667,3.5,0.016667,1.5
-0.022293,304.5,-0.016085,-0.013256,0.44271,0.44335,-0.016085,-0.013256,0.44271,0.0033343,0.0063021,0.0012279,-16.655,0.34272,3.6278,-0.15178,0.38515,0,0,0,0,0,1,0.033333,3.5,0.033333,1.5
-0.01836,304.68,-0.020174,-0.01392,0.44246,0.44331,-0.020174,-0.01392,0.44246,0.0031846,0.0065312,0.0014448,-16.655,0.33966,3.2495,-0.15234,0.39605,0,0,0,0,0,1,0.05,3.5,0.05,1.5
-0.014427,304.86,-0.024263,-0.014584,0.44221,0.44327,-0.024263,-0.014584,0.44221,0.0030348,0.0067603,0.0016617,-16.655,0.33659,2.8712,-0.1529,0.40696,0,0,0,0,0,1,0.066667,3.5,0.066667,1.5
-0.010494,305.05,-0.028351,-0.015249,0.44196,0.44323,-0.028351,-0.015249,0.44196,0.0028851,0.0069894,0.0018786,-16.656,0.33353,2.4929,-0.15347,0.41786,0,0,0,0,0,1,0.083333,3.5,0.083333,1.5
-0.0065605,305.23,-0.03244,-0.015913,0.44171,0.44319,-0.03244,-0.015913,0.44171,0.0027353,0.0072185,0.0020955,-16.656,0.33046,2.1146,-0.15403,0.42876,0,0,0,0,0,1,0.1,3.5,0.1,1.5
-0.00055414,305.52,-0.039685,-0.017434,0.44028,0.44273,-0.039685,-0.017434,0.44028,0.0025785,0.00758,0.0024462,-16.657,0.3253,1.7282,-0.15514,0.43363,0,0,0,0,0,1,0.11667,3.5,0.11667,1.5
0.0054523,305.81,-0.04693,-0.018955,0.43885,0.44227,-0.04693,-0.018955,0.43885,0.0024216,0.0079415,0.002797,-16.657,0.32015,1.3418,-0.15626,0.43849,0,0,0,0,0,1,0.13333,3.5,0.13333,1.5
0.011459,306.1,-0.054175,-0.020476,0.43742,0.44181,-0.054175,-0.020476,0.43742,0.0022647,0.008303,0.0031477,-16.658,0.31499,0.95543,-0.15737,0.44336,0,0,0,0,0,1,0.15,3.5,0.15,1.5
0.017465,306.39,-0.06142,-0.021996,0.43599,0.44136,-0.06142,-0.021996,0.43599,0.0021078,0.0086646,0.0034984,-16.659,0.30983,0.56902,-0.15849,0.44823,0,0,0,0,0,1,0.16667,3.5,0.16667,1.5
0.023471,306.68,-0.068665,-0.023517,0.43456,0.4409,-0.068665,-0.023517,0.43456,0.001951,0.0090261,0.0038492,-16.659,0.30468,0.18262,-0.1596,0.45309,0,0,0,0,0,1,0.18333,3.5,0.18333,1.5
0.029478,306.97,-0.07591,-0.025038,0.43313,0.44044,-0.07591,-0.025038,0.43313,0.0017941,0.0093876,0.0041999,-16.66,0.29952,-0.20378,-0.16072,0.45796,0,0,0,0,0,1,0.2,3.5,0.2,1.5
0.032219,307.14,-0.081403,-0.026284,0.43083,0.43944,-0.081403,-0.026284,0.43083,0.0018021,0.0096316,0.0044004,-16.661,0.29555,-0.2142,-0.16311,0.44532,0,0,0,0,0,1,0.21667,3.5,0.21667,1.5
0.034959,307.3,-0.086895,-0.02753,0.42853,0.43845,-0.086895,-0.02753,0.42853,0.0018101,0.0098755,0.0046009,-16.662,0.29158,-0.22462,-0.16549,0.43267,0,0,0,0,0,1,0.23333,3.5,0.23333,1.5
0.0377,307.47,-0.092388,-0.028776,0.42623,0.43745,-0.092388,-0.028776,0.42623,0.0018181,0.010119,0.0048014,-16.662,0.28761,-0.23504,-0.16788,0.42003,0,0,0,0,0,1,0.25,3.5,0.25,1.5
0.040441,307.64,-0.09788,-0.030022,0.42393,0.43645,-0.09788,-0.030022,0.42393,0.0018261,0.010363,0.0050019,-16.663,0.28363,-0.24546,-0.17027,0.40738,0,0,0,0,0,1,0.26667,3.5,0.26667,1.5
0.043181,307.8,-0.10337,-0.031268,0.42164,0.43545,-0.10337,-0.031268,0.42164,0.0018341,0.010607,0.0052025,-16.664,0.27966,-0.25588,-0.17266,0.39474,0,0,0,0,0,1,0.28333,3.5,0.28333,1.5
0.045922,307.97,-0.10887,-0.032514,0.41934,0.43446,-0.10887,-0.032514,0.41934,0.0018421,0.010851,0.005403,-16.665,0.27569,-0.2663,-0.17505,0.38209,0,0,0,0,0,1,0.3,3.5,0.3,1.5
0.045945,308.08,-0.11246,-0.033206,0.41731,0.43357,-0.11246,-0.033206,0.41731,0.0018842,0.011097,0.0055244,-16.666,0.2721,-0.27111,-0.18022,0.36783,0,0,0,0,0,1,0.31667,3.5,0.31667,1.5
0.045967,308.18,-0.11606,-0.033897,0.41528,0.43268,-0.11606,-0.033897,0.41528,0.0019263,0.011343,0.0056458,-16.667,0.2685,-0.27592,-0.18539,0.35357,0,0,0,0,0,1,0.33333,3.5,0.33333,1.5
0.04599,308.28,-0.11965,-0.034589,0.41325,0.43178,-0.11965,-0.034589,0.41325,0.0019683,0.011589,0.0057672,-16.667,0.2649,-0.28073,-0.19057,0.33931,0,0,0,0,0,1,0.35,3.5,0.35,1.5
0.046012,308.38,-0.12325,-0.03528,0.41122,0.43089,-0.12325,-0.03528,0.41122,0.0020104,0.011834,0.0058887,-16.668,0.26131,-0.28554,-0.19574,0.32505,0,0,0,0,0,1,0.36667,3.5,0.36667,1.5
0.046035,308.49,-0.12685,-0.035972,0.40919,0.43,-0.12685,-0.035972,0.40919,0.0020525,0.01208,0.0060101,-16.669,0.25771,-0.29036,-0.20091,0.31078,0,0,0,0,0,1,0.38333,3.5,0.38333,1.5
0.046057,308.59,-0.13044,-0.036663,0.40716,0.42911,-0.13044,-0.036663,0.40716,0.0020946,0.012326,0.0061315,-16.67,0.25412,-0.29517,-0.20608,0.29652,0,0,0,0,0,1,0.4,3.5,0.4,1.5
0.044365,308.67,-0.13187,-0.03714,0.40539,0.42794,-0.13187,-0.03714,0.40539,0.002157,0.012622,0.0062447,-16.671,0.25074,-0.30221,-0.21333,0.28315,0,0,0,0,0,1,0.41667,3.5,0.41667,1.5
0.042673,308.74,-0.1333,-0.037616,0.40362,0.42676,-0.1333,-0.037616,0.40362,0.0022194,0.012918,0.0063578,-16.673,0.24737,-0.30924,-0.22057,0.26979,0,0,0,0,0,1,0.43333,3.5,0.43333,1.5
0.040981,308.81,-0.13473,-0.038092,0.40186,0.42559,-0.13473,-0.038092,0.40186,0.0022818,0.013214,0.006471,-16.674,0.24399,-0.31628,-0.22782,0.25642,0,0,0,0,0,1,0.45,3.5,0.45,1.5
0.039289,308.89,-0.13616,-0.038569,0.40009,0.42442,-0.13616,-0.038569,0.40009,0.0023442,0.01351,0.0065842,-16.675,0.24061,-0.32332,-0.23506,0.24305,0,0,0,0,0,1,0.46667,3.5,0.46667,1.5
0.037597,308.96,-0.13759,-0.039045,0.39832,0.42324,-0.13759,-0.039045,0.39832,0.0024066,0.013806,0.0066973,-16.676,0.23724,-0.33036,-0.24231,0.22969,0,0,0,0,0,1,0.48333,3.5,0.48333,1.5
0.035905,309.04,-0.13902,-0.039522,0.39655,0.42207,-0.13902,-0.039522,0.39655,0.002469,0.014102,0.0068105,-16.677,0.23386,-0.3374,-0.24955,0.21632,0,0,0,0,0,1,0.5,3.5,0.5,1.5
0.034453,309.13,-0.13859,-0.039819,0.3947,0.42022,-0.13859,-0.039819,0.3947,0.0025444,0.014437,0.0069286,-16.678,0.23047,-0.34839,-0.2564,0.21,0,0,0,0,0,1,0.51667,3.5,0.51667,1.5
0.033001,309.21,-0.13817,-0.040117,0.39285,0.41837,-0.13817,-0.040117,0.39285,0.0026197,0.014773,0.0070467,-16.68,0.22708,-0.35938,-0.26325,0.20369,0,0,0,0,0,1,0.53333,3.5,0.53333,1.5
0.031549,309.3,-0.13774,-0.040415,0.39101,0.41653,-0.13774,-0.040415,0.39101,0.0026951,0.015109,0.0071648,-16.681,0.22369,-0.37037,-0.2701,0.19737,0,0,0,0,0,1,0.55,3.5,0.55,1.5
0.030096,309.39,-0.13732,-0.040712,0.38916,0.41468,-0.13732,-0.040712,0.38916,0.0027704,0.015445,0.0072829,-16.683,0.2203,-0.38136,-0.27695,0.19105,0,0,0,0,0,1,0.56667,3.5,0.56667,1.5
