"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","epsilon","k","nut","p","p_rgh","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.034623,291,0.003991,-0.011788,0.99091,0.99099,0.003991,-0.011788,0.99091,0.0086594,0.009162,0.00081914,0.060883,0.67035,0.17752,0.059837,-6.2513e-05,0,0,0,0,0,1,0,3.5,2.5,0
-0.040473,291,0.0041609,-0.012334,0.98936,0.98945,0.0041609,-0.012334,0.98936,0.0086032,0.0091261,0.00081814,0.0015346,0.67149,0.17467,0.05884,-6.9716e-05,0,0,0,0,0,1,0.01,3.5,2.5,0.01
-0.046323,291,0.0043308,-0.012879,0.98782,0.98791,0.0043308,-0.012879,0.98782,0.0085471,0.0090901,0.00081714,-0.057814,0.67263,0.17182,0.057843,-7.692e-05,0,0,0,0,0,1,0.02,3.5,2.5,0.02
-0.052173,291,0.0045007,-0.013425,0.98627,0.98637,0.0045007,-0.013425,0.98627,0.008491,0.0090541,0.00081614,-0.11716,0.67377,0.16898,0.056846,-8.4124e-05,0,0,0,0,0,1,0.03,3.5,2.5,0.03
-0.058023,291,0.0046706,-0.01397,0.98472,0.98483,0.0046706,-0.01397,0.98472,0.0084348,0.0090182,0.00081514,-0.17651,0.67491,0.16613,0.055849,-9.1328e-05,0,0,0,0,0,1,0.04,3.5,2.5,0.04
-0.063872,291,0.0048405,-0.014515,0.98317,0.98329,0.0048405,-0.014515,0.98317,0.0083787,0.0089822,0.00081414,-0.23586,0.67605,0.16328,0.054853,-9.8532e-05,0,0,0,0,0,1,0.05,3.5,2.5,0.05
-0.069722,291,0.0050104,-0.015061,0.98162,0.98175,0.0050104,-0.015061,0.98162,0.0083226,0.0089462,0.00081314,-0.29521,0.67719,0.16044,0.053856,-0.00010574,0,0,0,0,0,1,0.06,3.5,2.5,0.06
-0.075572,291,0.0051803,-0.015606,0.98007,0.98021,0.0051803,-0.015606,0.98007,0.0082664,0.0089102,0.00081214,-0.35456,0.67833,0.15759,0.052859,-0.00011294,0,0,0,0,0,1,0.07,3.5,2.5,0.07
-0.081422,291,0.0053502,-0.016152,0.97852,0.97867,0.0053502,-0.016152,0.97852,0.0082103,0.0088743,0.00081114,-0.41391,0.67947,0.15474,0.051862,-0.00012014,0,0,0,0,0,1,0.08,3.5,2.5,0.08
-0.087272,291,0.0055201,-0.016697,0.97697,0.97713,0.0055201,-0.016697,0.97697,0.0081541,0.0088383,0.00081015,-0.47326,0.68061,0.1519,0.050865,-0.00012735,0,0,0,0,0,1,0.09,3.5,2.5,0.09
-0.093122,291,0.00569,-0.017242,0.97543,0.9756,0.00569,-0.017242,0.97543,0.008098,0.0088023,0.00080915,-0.53261,0.68175,0.14905,0.049868,-0.00013455,0,0,0,0,0,1,0.1,3.5,2.5,0.1
-0.10843,291,0.0059784,-0.01825,0.97116,0.97135,0.0059784,-0.01825,0.97116,0.0079945,0.0087368,0.00080772,-0.6499,0.68549,0.14632,0.048891,-0.00015451,0,0,0,0,0,1,0.11,3.5,2.5,0.11
-0.12374,291,0.0062669,-0.019258,0.96689,0.96711,0.0062669,-0.019258,0.96689,0.007891,0.0086713,0.00080629,-0.76719,0.68924,0.14359,0.047914,-0.00017447,0,0,0,0,0,1,0.12,3.5,2.5,0.12
-0.13905,291,0.0065554,-0.020265,0.96262,0.96287,0.0065554,-0.020265,0.96262,0.0077876,0.0086058,0.00080486,-0.88449,0.69298,0.14086,0.046937,-0.00019443,0,0,0,0,0,1,0.13,3.5,2.5,0.13
-0.15435,291,0.0068438,-0.021273,0.95836,0.95863,0.0068438,-0.021273,0.95836,0.0076841,0.0085403,0.00080343,-1.0018,0.69673,0.13813,0.04596,-0.00021439,0,0,0,0,0,1,0.14,3.5,2.5,0.14
-0.16966,291,0.0071323,-0.02228,0.95409,0.95439,0.0071323,-0.02228,0.95409,0.0075806,0.0084748,0.00080201,-1.1191,0.70047,0.1354,0.044983,-0.00023435,0,0,0,0,0,1,0.15,3.5,2.5,0.15
-0.18497,291,0.0074208,-0.023288,0.94982,0.95015,0.0074208,-0.023288,0.94982,0.0074771,0.0084093,0.00080058,-1.2364,0.70421,0.13267,0.044006,-0.00025431,0,0,0,0,0,1,0.16,3.5,2.5,0.16
-0.20028,291,0.0077092,-0.024296,0.94555,0.94591,0.0077092,-0.024296,0.94555,0.0073736,0.0083438,0.00079915,-1.3537,0.70796,0.12994,0.043029,-0.00027427,0,0,0,0,0,1,0.17,3.5,2.5,0.17
