"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","epsilon","k","nut","p","p_rgh","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0064547,319.68,-0.003763,0.14022,-0.21474,0.25649,-0.003763,0.14022,-0.21474,0.0027615,0.0049288,0.00074347,-16.121,0.3483,-0.18019,1.8854,1.2368,0,0,0,0,0,1,0,0,2.5,1.5
0.0013862,319.9,-0.0041511,0.13587,-0.20888,0.24922,-0.0041511,0.13587,-0.20888,0.0026928,0.0055602,0.0011425,-16.121,0.34592,-0.2,1.6152,1.0515,0,0,0,0,0,1,0.023333,0.023333,2.5,1.5
-0.0036823,320.12,-0.0045392,0.13152,-0.20303,0.24195,-0.0045392,0.13152,-0.20303,0.0026242,0.0061916,0.0015415,-16.121,0.34354,-0.21982,1.345,0.86613,0,0,0,0,0,1,0.046667,0.046667,2.5,1.5
-0.0087508,320.34,-0.0049273,0.12717,-0.19717,0.23468,-0.0049273,0.12717,-0.19717,0.0025555,0.0068229,0.0019406,-16.121,0.34117,-0.23963,1.0748,0.68078,0,0,0,0,0,1,0.07,0.07,2.5,1.5
-0.013819,320.56,-0.0053154,0.12282,-0.19132,0.22741,-0.0053154,0.12282,-0.19132,0.0024869,0.0074543,0.0023396,-16.121,0.33879,-0.25945,0.80454,0.49542,0,0,0,0,0,1,0.093333,0.093333,2.5,1.5
-0.020631,320.85,-0.0059663,0.11476,-0.18262,0.21584,-0.0059663,0.11476,-0.18262,0.0024808,0.0084416,0.0029076,-16.121,0.33549,-0.29023,0.54407,0.30572,0,0,0,0,0,1,0.11667,0.11667,2.5,1.5
-0.028139,321.18,-0.0067224,0.10522,-0.17279,0.20255,-0.0067224,0.10522,-0.17279,0.0024998,0.0095714,0.0035431,-16.121,0.33183,-0.32539,0.28749,0.11428,0,0,0,0,0,1,0.14,0.14,2.5,1.5
-0.035647,321.51,-0.0074786,0.095673,-0.16296,0.18925,-0.0074786,0.095673,-0.16296,0.0025188,0.010701,0.0041786,-16.121,0.32817,-0.36056,0.030915,-0.077164,0,0,0,0,0,1,0.16333,0.16333,2.5,1.5
-0.043156,321.83,-0.0082347,0.086129,-0.15313,0.17596,-0.0082347,0.086129,-0.15313,0.0025377,0.011831,0.0048141,-16.121,0.3245,-0.39572,-0.22566,-0.26861,0,0,0,0,0,1,0.18667,0.18667,2.5,1.5
-0.050209,322.08,-0.0088415,0.075766,-0.14433,0.16356,-0.0088415,0.075766,-0.14433,0.0026415,0.012886,0.0053301,-16.121,0.32159,-0.42745,-0.36449,-0.38299,0,0,0,0,0,1,0.21,0.21,2.5,1.5
-0.056656,322.22,-0.0092492,0.064311,-0.13689,0.15235,-0.0092492,0.064311,-0.13689,0.0028583,0.013843,0.0056869,-16.121,0.31967,-0.45459,-0.34633,-0.39463,0,0,0,0,0,1,0.23333,0.23333,2.5,1.5
-0.063102,322.36,-0.0096569,0.052856,-0.12945,0.14114,-0.009657,0.052856,-0.12945,0.0030751,0.014799,0.0060436,-16.12,0.31775,-0.48173,-0.32816,-0.40627,0,0,0,0,0,1,0.25667,0.25667,2.5,1.5
-0.069549,322.5,-0.010065,0.041401,-0.12201,0.12993,-0.010065,0.041401,-0.12201,0.003292,0.015755,0.0064004,-16.12,0.31583,-0.50888,-0.31,-0.41792,0,0,0,0,0,1,0.28,0.28,2.5,1.5
