"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","epsilon","k","nut","p","p_rgh","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.0025955,304.8,-0.086686,0.006598,0.25088,0.26552,-0.086686,0.006598,0.25088,0.0018374,0.0037674,0.00065301,-16.888,0.40507,2.6565,0.22595,0.65407,0,0,0,0,0,1,0,3.5,0,1.5
-0.0032581,304.78,-0.082849,0.0072814,0.25344,0.26692,-0.082849,0.0072814,0.25344,0.0017895,0.0039587,0.0008037,-16.888,0.40527,2.4564,0.22565,0.56305,0,0,0,0,0,1,0.016667,3.5,0.016667,1.5
-0.0039207,304.75,-0.079013,0.0079648,0.25599,0.26832,-0.079013,0.0079648,0.25599,0.0017416,0.00415,0.00095439,-16.888,0.40548,2.2564,0.22535,0.47204,0,0,0,0,0,1,0.033333,3.5,0.033333,1.5
-0.0045833,304.72,-0.075176,0.0086483,0.25854,0.26972,-0.075176,0.0086483,0.25854,0.0016936,0.0043413,0.0011051,-16.888,0.40568,2.0563,0.22505,0.38103,0,0,0,0,0,1,0.05,3.5,0.05,1.5
-0.0052458,304.69,-0.071339,0.0093317,0.2611,0.27112,-0.071339,0.0093317,0.2611,0.0016457,0.0045327,0.0012558,-16.888,0.40588,1.8563,0.22475,0.29001,0,0,0,0,0,1,0.066667,3.5,0.066667,1.5
-0.0059084,304.66,-0.067503,0.010015,0.26365,0.27252,-0.067503,0.010015,0.26365,0.0015978,0.004724,0.0014065,-16.887,0.40609,1.6563,0.22445,0.199,0,0,0,0,0,1,0.083333,3.5,0.083333,1.5
-0.006571,304.63,-0.063666,0.010699,0.26621,0.27392,-0.063666,0.010699,0.26621,0.0015499,0.0049153,0.0015571,-16.887,0.40629,1.4562,0.22415,0.10799,0,0,0,0,0,1,0.1,3.5,0.1,1.5
-0.0075982,304.61,-0.055983,0.012269,0.27075,0.27738,-0.055983,0.012269,0.27075,0.0014936,0.0051861,0.0018011,-16.887,0.40604,1.249,0.21939,0.017947,0,0,0,0,0,1,0.11667,3.5,0.11667,1.5
-0.0086254,304.59,-0.0483,0.01384,0.27529,0.28084,-0.0483,0.01384,0.27529,0.0014374,0.0054569,0.0020451,-16.887,0.40579,1.0418,0.21464,-0.072091,0,0,0,0,0,1,0.13333,3.5,0.13333,1.5
-0.0096526,304.56,-0.040617,0.01541,0.27983,0.28429,-0.040617,0.01541,0.27983,0.0013811,0.0057277,0.0022891,-16.887,0.40555,0.8346,0.20988,-0.16213,0,0,0,0,0,1,0.15,3.5,0.15,1.5
-0.01068,304.54,-0.032934,0.016981,0.28437,0.28775,-0.032934,0.016981,0.28437,0.0013249,0.0059985,0.0025331,-16.887,0.4053,0.62739,0.20512,-0.25217,0,0,0,0,0,1,0.16667,3.5,0.16667,1.5
-0.011707,304.52,-0.02525,0.018552,0.28891,0.29121,-0.02525,0.018552,0.28891,0.0012687,0.0062694,0.002777,-16.887,0.40505,0.42018,0.20036,-0.34221,0,0,0,0,0,1,0.18333,3.5,0.18333,1.5
-0.012734,304.49,-0.017567,0.020122,0.29345,0.29466,-0.017567,0.020122,0.29345,0.0012124,0.0065402,0.003021,-16.887,0.4048,0.21297,0.1956,-0.43224,0,0,0,0,0,1,0.2,3.5,0.2,1.5
-0.013635,304.52,-0.010406,0.022104,0.29707,0.29852,-0.010406,0.022104,0.29707,0.0012017,0.0066516,0.0031563,-16.887,0.40333,0.20313,0.18308,-0.42542,0,0,0,0,0,1,0.21667,3.5,0.21667,1.5
-0.014536,304.55,-0.0032443,0.024085,0.3007,0.30238,-0.0032443,0.024085,0.3007,0.001191,0.0067631,0.0032916,-16.888,0.40186,0.19328,0.17055,-0.41859,0,0,0,0,0,1,0.23333,3.5,0.23333,1.5
-0.015437,304.58,0.0039172,0.026067,0.30432,0.30624,0.0039172,0.026067,0.30432,0.0011802,0.0068745,0.0034269,-16.888,0.4004,0.18344,0.15803,-0.41177,0,0,0,0,0,1,0.25,3.5,0.25,1.5
-0.016338,304.62,0.011079,0.028048,0.30794,0.3101,0.011079,0.028048,0.30794,0.0011695,0.006986,0.0035621,-16.888,0.39893,0.1736,0.1455,-0.40494,0,0,0,0,0,1,0.26667,3.5,0.26667,1.5
-0.017239,304.65,0.01824,0.030029,0.31156,0.31396,0.01824,0.030029,0.31156,0.0011588,0.0070974,0.0036974,-16.888,0.39746,0.16375,0.13297,-0.39812,0,0,0,0,0,1,0.28333,3.5,0.28333,1.5
-0.01814,304.68,0.025402,0.032011,0.31519,0.31783,0.025402,0.032011,0.31519,0.0011481,0.0072088,0.0038327,-16.888,0.396,0.15391,0.12045,-0.39129,0,0,0,0,0,1,0.3,3.5,0.3,1.5
-0.020031,304.74,0.030962,0.03405,0.31875,0.32228,0.030962,0.03405,0.31875,0.0011568,0.0073046,0.0039053,-16.888,0.39328,0.15569,0.10272,-0.37698,0,0,0,0,0,1,0.31667,3.5,0.31667,1.5
-0.021923,304.8,0.036523,0.036088,0.32232,0.32673,0.036523,0.036088,0.32232,0.0011656,0.0074004,0.003978,-16.888,0.39056,0.15746,0.084992,-0.36268,0,0,0,0,0,1,0.33333,3.5,0.33333,1.5
-0.023814,304.87,0.042083,0.038127,0.32589,0.33118,0.042083,0.038127,0.32589,0.0011743,0.0074962,0.0040506,-16.889,0.38784,0.15924,0.067265,-0.34837,0,0,0,0,0,1,0.35,3.5,0.35,1.5
-0.025706,304.93,0.047644,0.040166,0.32946,0.33563,0.047644,0.040166,0.32946,0.001183,0.007592,0.0041233,-16.889,0.38512,0.16102,0.049538,-0.33406,0,0,0,0,0,1,0.36667,3.5,0.36667,1.5
-0.027597,305,0.053204,0.042205,0.33303,0.34008,0.053204,0.042205,0.33303,0.0011918,0.0076878,0.0041959,-16.889,0.3824,0.16279,0.031811,-0.31975,0,0,0,0,0,1,0.38333,3.5,0.38333,1.5
-0.029489,305.06,0.058764,0.044244,0.33659,0.34454,0.058764,0.044244,0.33659,0.0012005,0.0077836,0.0042686,-16.889,0.37969,0.16457,0.014084,-0.30544,0,0,0,0,0,1,0.4,3.5,0.4,1.5
