"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","alphat","epsilon","k","nut","p","p_rgh","rho","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.50619,306.84,0.036355,0.13954,-0.0087336,0.14446,0.036355,0.13954,-0.0087336,0.00060867,0.00080059,0.002229,0.00052825,-16.878,0.35898,1.1712,0.64675,0.35227,1.0449,0,0,0,0,0,1,0,0,2.5,1.5
-0.46142,306.79,0.040312,0.13306,-0.012709,0.14027,0.040312,0.13306,-0.012709,0.00072572,0.00083033,0.0024534,0.00062789,-16.878,0.35976,1.1712,0.63757,0.35017,0.86307,0,0,0,0,0,1,0.023333,0.023333,2.5,1.5
-0.41665,306.75,0.044269,0.12659,-0.016684,0.13608,0.044269,0.12659,-0.016684,0.00084277,0.00086007,0.0026777,0.00072754,-16.878,0.36054,1.1713,0.6284,0.34806,0.68121,0,0,0,0,0,1,0.046667,0.046667,2.5,1.5
-0.37189,306.7,0.048225,0.12011,-0.020659,0.13189,0.048225,0.12011,-0.020659,0.00095982,0.00088981,0.002902,0.00082718,-16.879,0.36132,1.1714,0.61922,0.34596,0.49935,0,0,0,0,0,1,0.07,0.07,2.5,1.5
-0.32712,306.65,0.052182,0.11364,-0.024635,0.1277,0.052182,0.11364,-0.024635,0.0010769,0.00091955,0.0031264,0.00092683,-16.879,0.36209,1.1715,0.61004,0.34385,0.31749,0,0,0,0,0,1,0.093333,0.093333,2.5,1.5
-0.27725,306.59,0.057744,0.10415,-0.030286,0.12481,0.057744,0.10415,-0.030286,0.0012891,0.00094898,0.0034488,0.0011023,-16.88,0.36303,1.1716,0.59458,0.3302,0.1513,0,0,0,0,0,1,0.11667,0.11667,2.5,1.5
-0.22533,306.51,0.063947,0.09347,-0.036607,0.12243,0.063947,0.09347,-0.036607,0.0015393,0.00097828,0.0038104,0.0013081,-16.88,0.36402,1.1717,0.57661,0.31193,-0.0086316,0,0,0,0,0,1,0.14,0.14,2.5,1.5
-0.17341,306.44,0.070151,0.082786,-0.042928,0.12006,0.070151,0.082786,-0.042928,0.0017896,0.0010076,0.0041721,0.0015139,-16.881,0.36502,1.1718,0.55863,0.29366,-0.16856,0,0,0,0,0,1,0.16333,0.16333,2.5,1.5
-0.1215,306.36,0.076355,0.072101,-0.049249,0.11769,0.076355,0.072101,-0.049249,0.0020399,0.0010369,0.0045337,0.0017197,-16.882,0.36601,1.1719,0.54066,0.27539,-0.32849,0,0,0,0,0,1,0.18667,0.18667,2.5,1.5
-0.088519,306.3,0.081199,0.063163,-0.054426,0.11684,0.081199,0.063163,-0.054426,0.0023106,0.0010551,0.004863,0.0019394,-16.883,0.36676,1.172,0.52376,0.25222,-0.40158,0,0,0,0,0,1,0.21,0.21,2.5,1.5
-0.080786,306.26,0.084231,0.056552,-0.058075,0.11803,0.084231,0.056552,-0.058075,0.0026085,0.0010584,0.0051491,0.0021777,-16.883,0.36719,1.1721,0.5083,0.22252,-0.35888,0,0,0,0,0,1,0.23333,0.23333,2.5,1.5
-0.073053,306.23,0.087263,0.049941,-0.061725,0.11921,0.087263,0.049941,-0.061725,0.0029065,0.0010616,0.0054352,0.0024159,-16.884,0.36762,1.1722,0.49283,0.19281,-0.31618,0,0,0,0,0,1,0.25667,0.25667,2.5,1.5
-0.065321,306.19,0.090294,0.04333,-0.065375,0.12039,0.090294,0.04333,-0.065375,0.0032044,0.0010649,0.0057213,0.0026542,-16.885,0.36805,1.1723,0.47737,0.16311,-0.27349,0,0,0,0,0,1,0.28,0.28,2.5,1.5
-0.058711,306.16,0.093054,0.037206,-0.068755,0.12157,0.093054,0.037206,-0.068755,0.0035076,0.0010708,0.0060142,0.0028974,-16.886,0.36848,1.1724,0.46237,0.134,-0.23106,0,0,0,0,0,1,0.30333,0.30333,2.5,1.5
-0.058839,306.16,0.094179,0.034004,-0.070521,0.12267,0.094179,0.034004,-0.070521,0.0038416,0.0010917,0.0063473,0.0031703,-16.887,0.36895,1.1725,0.45018,0.10844,-0.19029,0,0,0,0,0,1,0.32667,0.32667,2.5,1.5
-0.058968,306.17,0.095304,0.030802,-0.072287,0.12377,0.095304,0.030802,-0.072287,0.0041757,0.0011126,0.0066805,0.0034432,-16.888,0.36943,1.1726,0.43798,0.082879,-0.14951,0,0,0,0,0,1,0.35,0.35,2.5,1.5
-0.059096,306.18,0.096429,0.0276,-0.074052,0.12487,0.096429,0.0276,-0.074052,0.0045098,0.0011335,0.0070137,0.0037161,-16.889,0.3699,1.1727,0.42579,0.057319,-0.10873,0,0,0,0,0,1,0.37333,0.37333,2.5,1.5
-0.059224,306.19,0.097555,0.024398,-0.075818,0.12597,0.097555,0.024398,-0.075818,0.0048438,0.0011544,0.0073469,0.003989,-16.889,0.37037,1.1728,0.4136,0.03176,-0.067951,0,0,0,0,0,1,0.39667,0.39667,2.5,1.5
-0.060353,306.23,0.098454,0.023869,-0.076131,0.12673,0.098454,0.023869,-0.076131,0.0051593,0.0012007,0.0077411,0.0042541,-16.89,0.3709,1.1729,0.40286,0.00806,-0.028928,0,0,0,0,0,1,0.42,0.42,2.5,1.5
-0.061648,306.27,0.099316,0.023786,-0.076202,0.12743,0.099316,0.023786,-0.076202,0.0054717,0.0012512,0.0081456,0.0045177,-16.891,0.37142,1.1729,0.39236,-0.01533,0.0098027,0,0,0,0,0,1,0.44333,0.44333,2.5,1.5
-0.062944,306.31,0.10018,0.023703,-0.076273,0.12813,0.10018,0.023703,-0.076273,0.0057841,0.0013016,0.00855,0.0047814,-16.892,0.37195,1.173,0.38186,-0.038719,0.048534,0,0,0,0,0,1,0.46667,0.46667,2.5,1.5
-0.064239,306.36,0.10104,0.02362,-0.076344,0.12882,0.10104,0.02362,-0.076344,0.0060965,0.0013521,0.0089544,0.0050451,-16.892,0.37248,1.1731,0.37137,-0.062109,0.087265,0,0,0,0,0,1,0.49,0.49,2.5,1.5
-0.065457,306.41,0.10222,0.025249,-0.075403,0.12961,0.10222,0.025249,-0.075403,0.0063723,0.0014211,0.0093937,0.0052813,-16.893,0.373,1.1732,0.36148,-0.084433,0.12407,0,0,0,0,0,1,0.51333,0.51333,2.5,1.5
-0.066616,306.48,0.10365,0.028162,-0.073703,0.13047,0.10365,0.028162,-0.073703,0.0066207,0.0015039,0.0098591,0.0054968,-16.894,0.37351,1.1733,0.35204,-0.10596,0.15942,0,0,0,0,0,1,0.53667,0.53667,2.5,1.5
-0.067775,306.54,0.10507,0.031075,-0.072003,0.13132,0.10507,0.031075,-0.072003,0.006869,0.0015868,0.010325,0.0057124,-16.894,0.37403,1.1734,0.3426,-0.12748,0.19478,0,0,0,0,0,1,0.56,0.56,2.5,1.5
-0.068934,306.61,0.10649,0.033988,-0.070303,0.13218,0.10649,0.033988,-0.070303,0.0071174,0.0016696,0.01079,0.0059279,-16.895,0.37454,1.1735,0.33317,-0.14901,0.23013,0,0,0,0,0,1,0.58333,0.58333,2.5,1.5
-0.070246,306.68,0.10812,0.037741,-0.068092,0.13343,0.10812,0.037741,-0.068092,0.0073449,0.0017601,0.011262,0.0061263,-16.896,0.37503,1.1735,0.3239,-0.1693,0.26377,0,0,0,0,0,1,0.60667,0.60667,2.5,1.5
-0.07194,306.76,0.11024,0.043593,-0.0646,0.13566,0.11024,0.043593,-0.0646,0.0075202,0.00187,0.011752,0.0062817,-16.896,0.37549,1.1736,0.31506,-0.18652,0.29311,0,0,0,0,0,1,0.63,0.63,2.5,1.5
-0.073634,306.83,0.11237,0.049445,-0.061109,0.1379,0.11237,0.049445,-0.061109,0.0076955,0.0019798,0.012242,0.0064371,-16.897,0.37594,1.1737,0.30621,-0.20373,0.32244,0,0,0,0,0,1,0.65333,0.65333,2.5,1.5
-0.075328,306.91,0.1145,0.055298,-0.057617,0.14013,0.1145,0.055298,-0.057617,0.0078709,0.0020896,0.012732,0.0065925,-16.898,0.3764,1.1738,0.29737,-0.22094,0.35178,0,0,0,0,0,1,0.67667,0.67667,2.5,1.5
-0.077022,306.99,0.11662,0.06115,-0.054126,0.14237,0.11662,0.06115,-0.054126,0.0080462,0.0021994,0.013222,0.0067478,-16.898,0.37685,1.1738,0.28853,-0.23816,0.38112,0,0,0,0,0,1,0.7,0.7,2.5,1.5
-0.08056,307.08,0.11912,0.069733,-0.049089,0.14739,0.11912,0.069733,-0.049089,0.0081578,0.0023195,0.013675,0.0068484,-16.899,0.37717,1.1739,0.27864,-0.24836,0.39933,0,0,0,0,0,1,0.72333,0.72333,2.5,1.5
-0.084098,307.18,0.12162,0.078316,-0.044051,0.15242,0.12162,0.078316,-0.044051,0.0082694,0.0024396,0.014128,0.0069489,-16.9,0.37749,1.174,0.26875,-0.25857,0.41754,0,0,0,0,0,1,0.74667,0.74667,2.5,1.5
-0.087636,307.27,0.12412,0.0869,-0.039014,0.15744,0.12412,0.0869,-0.039014,0.008381,0.0025597,0.014581,0.0070494,-16.9,0.37781,1.174,0.25886,-0.26877,0.43574,0,0,0,0,0,1,0.77,0.77,2.5,1.5
-0.091174,307.36,0.12662,0.095483,-0.033977,0.16247,0.12662,0.095483,-0.033977,0.0084926,0.0026798,0.015033,0.00715,-16.901,0.37812,1.1741,0.24897,-0.27898,0.45395,0,0,0,0,0,1,0.79333,0.79333,2.5,1.5
-0.096417,307.48,0.12896,0.10549,-0.028127,0.16965,0.12896,0.10549,-0.028127,0.0085698,0.002788,0.015411,0.0072201,-16.902,0.37813,1.1742,0.23563,-0.28495,0.45966,0,0,0,0,0,1,0.81667,0.81667,2.5,1.5
-0.10234,307.61,0.13123,0.11607,-0.021953,0.1777,0.13123,0.11607,-0.021953,0.0086333,0.0028916,0.015758,0.0072781,-16.902,0.37802,1.1742,0.22091,-0.28922,0.46036,0,0,0,0,0,1,0.84,0.84,2.5,1.5
-0.10827,307.73,0.1335,0.12665,-0.015778,0.18574,0.1335,0.12665,-0.015778,0.0086967,0.0029951,0.016104,0.0073361,-16.903,0.37791,1.1742,0.2062,-0.2935,0.46106,0,0,0,0,0,1,0.86333,0.86333,2.5,1.5
-0.11419,307.86,0.13578,0.13723,-0.0096027,0.19379,0.13578,0.13723,-0.0096027,0.0087602,0.0030986,0.016451,0.0073941,-16.904,0.37779,1.1743,0.19148,-0.29777,0.46176,0,0,0,0,0,1,0.88667,0.88667,2.5,1.5
-0.12005,308.01,0.13773,0.14803,-0.0030492,0.20254,0.13773,0.14803,-0.0030492,0.0088113,0.0031825,0.01673,0.007441,-16.904,0.37723,1.1743,0.1724,-0.30086,0.45314,0,0,0,0,0,1,0.91,0.91,2.5,1.5
-0.12583,308.19,0.13924,0.15911,0.0040092,0.21225,0.13924,0.15911,0.0040092,0.008846,0.0032403,0.016919,0.0074731,-16.905,0.37606,1.1743,0.14749,-0.30237,0.43206,0,0,0,0,0,1,0.93333,0.93333,2.5,1.5
-0.13161,308.37,0.14075,0.17019,0.011068,0.22196,0.14075,0.17019,0.011068,0.0088807,0.0032981,0.017107,0.0075051,-16.906,0.37489,1.1742,0.12258,-0.30388,0.41099,0,0,0,0,0,1,0.95667,0.95667,2.5,1.5
-0.13739,308.55,0.14227,0.18128,0.018126,0.23166,0.14227,0.18128,0.018126,0.0089154,0.0033559,0.017296,0.0075372,-16.907,0.37372,1.1742,0.097671,-0.30539,0.38992,0,0,0,0,0,1,0.98,0.98,2.5,1.5
-0.14232,308.73,0.14362,0.19213,0.025279,0.24128,0.14362,0.19213,0.025279,0.0089491,0.0034052,0.017461,0.0075683,-16.907,0.37233,1.1742,0.07109,-0.30631,0.36587,0,0,0,0,0,1,1.0033,1.0033,2.5,1.5
-0.14215,308.95,0.14399,0.2016,0.033003,0.25041,0.14399,0.2016,0.033003,0.0089767,0.0034034,0.017485,0.0075939,-16.909,0.36961,1.1741,0.034475,-0.30372,0.32394,0,0,0,0,0,1,1.0267,1.0267,2.5,1.5
-0.14197,309.17,0.14437,0.21108,0.040726,0.25953,0.14437,0.21108,0.040726,0.0090044,0.0034016,0.01751,0.0076195,-16.91,0.3669,1.174,-0.0021393,-0.30114,0.28201,0,0,0,0,0,1,1.05,1.05,2.5,1.5
-0.1418,309.39,0.14474,0.22055,0.04845,0.26866,0.14474,0.22055,0.04845,0.009032,0.0033998,0.017535,0.007645,-16.911,0.36418,1.1738,-0.038754,-0.29855,0.24008,0,0,0,0,0,1,1.0733,1.0733,2.5,1.5
-0.14163,309.6,0.14512,0.23002,0.056173,0.27778,0.14512,0.23002,0.056173,0.0090597,0.0033981,0.017559,0.0076706,-16.912,0.36146,1.1737,-0.075369,-0.29597,0.19815,0,0,0,0,0,1,1.0967,1.0967,2.5,1.5
-0.13428,309.8,0.14411,0.23645,0.063874,0.28447,0.14411,0.23645,0.063874,0.0090993,0.0033629,0.017508,0.0077081,-16.913,0.35785,1.1736,-0.11539,-0.28445,0.14552,0,0,0,0,0,1,1.12,1.12,2.5,1.5
-0.12572,309.98,0.14287,0.24238,0.071572,0.29075,0.14287,0.24238,0.071572,0.009141,0.0033222,0.017445,0.0077476,-16.914,0.35409,1.1734,-0.15597,-0.27144,0.091102,0,0,0,0,0,1,1.1433,1.1433,2.5,1.5
-0.11717,310.17,0.14162,0.2483,0.079269,0.29703,0.14162,0.2483,0.079269,0.0091827,0.0032815,0.017382,0.0077872,-16.916,0.35032,1.1733,-0.19656,-0.25843,0.036685,0,0,0,0,0,1,1.1667,1.1667,2.5,1.5
-0.10862,310.36,0.14038,0.25423,0.086967,0.30331,0.14038,0.25423,0.086967,0.0092244,0.0032408,0.017318,0.0078267,-16.917,0.34656,1.1731,-0.23714,-0.24543,-0.017733,0,0,0,0,0,1,1.19,1.19,2.5,1.5
-0.098335,310.49,0.13796,0.25769,0.093903,0.30718,0.13796,0.25769,0.093903,0.0092876,0.0032024,0.017281,0.0078871,-16.919,0.34308,1.173,-0.2724,-0.22438,-0.071435,0,0,0,0,0,1,1.2133,1.2133,2.5,1.5
-0.086761,310.58,0.13465,0.25931,0.10027,0.30926,0.13465,0.25931,0.10027,0.009367,0.0031658,0.017263,0.0079631,-16.92,0.33982,1.1729,-0.30366,-0.1973,-0.1246,0,0,0,0,0,1,1.2367,1.2367,2.5,1.5
