"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","alphat","epsilon","k","nut","p","p_rgh","rho","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.00032591,308.46,-0.27707,0.0024342,-0.41686,0.50055,-0.27707,0.0024342,-0.41686,0.00094532,0.0033493,0.0056556,0.00080704,-16.919,0.42584,1.1788,-4.0234,-0.058577,2.77,0,0,0,0,0,1,0,3.5,0,1.5
-7.0046e-05,308.42,-0.27707,0.0029859,-0.41465,0.49872,-0.27707,0.0029859,-0.41465,0.0012134,0.0032115,0.005888,0.0010359,-16.919,0.42654,1.1788,-3.6618,-0.060459,2.5295,0,0,0,0,0,1,0.016667,3.5,0.016667,1.5
0.00018582,308.39,-0.27707,0.0035376,-0.41245,0.4969,-0.27707,0.0035376,-0.41245,0.0014816,0.0030737,0.0061203,0.0012647,-16.919,0.42725,1.1789,-3.3002,-0.062342,2.289,0,0,0,0,0,1,0.033333,3.5,0.033333,1.5
0.00044169,308.35,-0.27707,0.0040892,-0.41024,0.49508,-0.27707,0.0040892,-0.41024,0.0017497,0.0029359,0.0063527,0.0014936,-16.919,0.42795,1.1789,-2.9385,-0.064224,2.0485,0,0,0,0,0,1,0.05,3.5,0.05,1.5
0.00069756,308.32,-0.27707,0.0046409,-0.40804,0.49325,-0.27707,0.0046409,-0.40804,0.0020178,0.0027981,0.0065851,0.0017224,-16.919,0.42865,1.179,-2.5769,-0.066106,1.808,0,0,0,0,0,1,0.066667,3.5,0.066667,1.5
0.00095343,308.29,-0.27708,0.0051926,-0.40583,0.49143,-0.27708,0.0051926,-0.40583,0.0022859,0.0026603,0.0068175,0.0019513,-16.919,0.42936,1.179,-2.2153,-0.067989,1.5675,0,0,0,0,0,1,0.083333,3.5,0.083333,1.5
0.0012093,308.25,-0.27708,0.0057443,-0.40362,0.48961,-0.27708,0.0057443,-0.40362,0.0025541,0.0025225,0.0070499,0.0021801,-16.919,0.43006,1.1791,-1.8536,-0.069871,1.3271,0,0,0,0,0,1,0.1,3.5,0.1,1.5
0.002232,308.2,-0.27535,0.0067936,-0.39874,0.48464,-0.27535,0.0067936,-0.39874,0.0031216,0.0023818,0.0075292,0.0026647,-16.92,0.43093,1.1791,-1.4866,-0.072372,1.0735,0,0,0,0,0,1,0.11667,3.5,0.11667,1.5
0.0032547,308.15,-0.27363,0.007843,-0.39385,0.47967,-0.27363,0.007843,-0.39385,0.0036891,0.0022411,0.0080084,0.0031493,-16.92,0.4318,1.1792,-1.1196,-0.074873,0.81997,0,0,0,0,0,1,0.13333,3.5,0.13333,1.5
0.0042774,308.1,-0.27191,0.0088923,-0.38897,0.4747,-0.27191,0.0088923,-0.38897,0.0042567,0.0021003,0.0084877,0.0036339,-16.92,0.43267,1.1793,-0.75257,-0.077374,0.56643,0,0,0,0,0,1,0.15,3.5,0.15,1.5
0.0053001,308.05,-0.27018,0.0099416,-0.38408,0.46973,-0.27018,0.0099416,-0.38408,0.0048242,0.0019596,0.008967,0.0041185,-16.92,0.43353,1.1794,-0.38556,-0.079875,0.31289,0,0,0,0,0,1,0.16667,3.5,0.16667,1.5
0.0063228,308,-0.26846,0.010991,-0.37919,0.46475,-0.26846,0.010991,-0.37919,0.0053918,0.0018188,0.0094463,0.0046031,-16.92,0.4344,1.1794,-0.018545,-0.082376,0.059343,0,0,0,0,0,1,0.18333,3.5,0.18333,1.5
0.0073455,307.95,-0.26674,0.01204,-0.37431,0.45978,-0.26674,0.01204,-0.37431,0.0059593,0.0016781,0.0099256,0.0050876,-16.92,0.43527,1.1795,0.34847,-0.084877,-0.1942,0,0,0,0,0,1,0.2,3.5,0.2,1.5
0.0090849,307.92,-0.26271,0.013155,-0.36852,0.45278,-0.26271,0.013155,-0.36852,0.0064596,0.0017024,0.010414,0.0055161,-16.921,0.43497,1.1795,0.36031,-0.085331,-0.2137,0,0,0,0,0,1,0.21667,3.5,0.21667,1.5
0.010824,307.9,-0.25869,0.014269,-0.36274,0.44577,-0.25869,0.014269,-0.36274,0.00696,0.0017267,0.010902,0.0059446,-16.921,0.43467,1.1795,0.37215,-0.085785,-0.23319,0,0,0,0,0,1,0.23333,3.5,0.23333,1.5
0.012564,307.88,-0.25466,0.015384,-0.35695,0.43877,-0.25466,0.015384,-0.35695,0.0074603,0.0017511,0.01139,0.0063731,-16.922,0.43437,1.1795,0.38398,-0.086239,-0.25269,0,0,0,0,0,1,0.25,3.5,0.25,1.5
