"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","alphat","epsilon","k","nut","p","p_rgh","rho","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.19085,308.5,-0.045281,0.0072188,0.029256,0.054391,-0.045281,0.0072188,0.029256,0.00033704,0.00016056,0.0007326,0.00028245,-0.039655,0.53751,1.183,0.21925,-0.642,0.60525,0,0,0,0,0,1,0,0,0,0
-0.1956,308.5,-0.050084,0.0089569,0.02935,0.059282,-0.050084,0.0089569,0.02935,0.00034398,0.00017182,0.00076482,0.00028829,-0.09825,0.53689,1.1829,0.1839,-0.63645,0.60507,0,0,0,0,0,1,0.030368,0.023333,0.016667,0.01
-0.19781,308.51,-0.054843,0.010759,0.029372,0.063936,-0.054843,0.010759,0.029372,0.00035186,0.00018349,0.00079882,0.00029493,-0.15686,0.53624,1.1829,0.14888,-0.6208,0.59648,0,0,0,0,0,1,0.060736,0.046667,0.033333,0.02
-0.19749,308.51,-0.059559,0.012625,0.029326,0.068365,-0.059559,0.012625,0.029326,0.00036141,0.00019537,0.00083499,0.00030297,-0.21547,0.53558,1.1828,0.11456,-0.59513,0.57955,0,0,0,0,0,1,0.091104,0.07,0.05,0.03
-0.19463,308.52,-0.06423,0.014551,0.029214,0.072586,-0.06423,0.014551,0.029214,0.00037334,0.00020727,0.00087374,0.00031302,-0.2741,0.5349,1.1827,0.081316,-0.55951,0.55433,0,0,0,0,0,1,0.12147,0.093333,0.066667,0.04
-0.17991,308.53,-0.072216,0.016871,0.027698,0.080084,-0.072216,0.016871,0.027698,0.0003911,0.00022354,0.00092759,0.00032801,-0.33316,0.53377,1.1826,0.039423,-0.53806,0.53758,0,0,0,0,0,1,0.15184,0.11667,0.083333,0.05
-0.15959,308.55,-0.081478,0.019446,0.025452,0.088726,-0.081478,0.019446,0.025452,0.0004143,0.0002411,0.00098992,0.00034759,-0.39239,0.53244,1.1824,-0.0025454,-0.51156,0.5126,0,0,0,0,0,1,0.18221,0.14,0.1,0.06
-0.13796,308.56,-0.090498,0.023816,0.02306,0.097564,-0.090498,0.023816,0.02306,0.00044894,0.0002606,0.0010682,0.00037691,-0.45162,0.53111,1.1823,-0.049971,-0.47027,0.47089,0,0,0,0,0,1,0.21258,0.16333,0.11667,0.07
-0.11476,308.57,-0.099461,0.028353,0.020532,0.10619,-0.099461,0.028353,0.020532,0.00049298,0.00027892,0.0011539,0.0004142,-0.51087,0.52976,1.1821,-0.089697,-0.41441,0.41007,0,0,0,0,0,1,0.24294,0.18667,0.13333,0.08
-0.093736,308.59,-0.10762,0.032791,0.017681,0.11438,-0.10762,0.032791,0.017681,0.00054272,0.00029498,0.0012404,0.00045636,-0.57003,0.5285,1.182,-0.12001,-0.36691,0.33612,0,0,0,0,0,1,0.27331,0.21,0.15,0.09
-0.077656,308.6,-0.11472,0.037104,0.014363,0.12213,-0.11472,0.037104,0.014363,0.00059427,0.00030873,0.0013233,0.00050008,-0.62908,0.5274,1.1819,-0.1401,-0.33958,0.25685,0,0,0,0,0,1,0.30368,0.23333,0.16667,0.1
-0.059554,308.62,-0.1212,0.041501,0.01115,0.12936,-0.1212,0.041501,0.01115,0.00065953,0.00032058,0.0014155,0.00055518,-0.74633,0.52596,1.1817,-0.14772,-0.29293,0.16762,0,0,0,0,0,1,0.33405,0.25667,0.18333,0.11
-0.04155,308.64,-0.1276,0.046133,0.0073666,0.13633,-0.1276,0.046133,0.0073666,0.00073436,0.00033031,0.001513,0.00061828,-0.86357,0.52451,1.1815,-0.1433,-0.23768,0.069212,0,0,0,0,0,1,0.36442,0.28,0.2,0.12
-0.025554,308.66,-0.13253,0.051011,0.0031479,0.14231,-0.13253,0.051011,0.0031479,0.0008105,0.00034002,0.0016078,0.00068255,-0.98081,0.52309,1.1814,-0.12902,-0.17194,0.065171,0,0,0,0,0,1,0.39479,0.30333,0.21667,0.13
-0.020658,308.68,-0.13429,0.055992,-0.0013376,0.14622,-0.13429,0.055992,-0.0013376,0.00089337,0.00035027,0.0017114,0.0007527,-1.0977,0.52209,1.1813,-0.10976,-0.10079,0.063405,0,0,0,0,0,1,0.42515,0.32667,0.23333,0.14
-0.015518,308.7,-0.13606,0.06115,-0.0062427,0.15023,-0.13606,0.06115,-0.0062427,0.00098549,0.00035936,0.0018214,0.00083065,-1.2146,0.52105,1.1812,-0.084833,-0.027881,0.062138,0,0,0,0,0,1,0.45552,0.35,0.25,0.15
-0.010094,308.71,-0.13785,0.066476,-0.011528,0.15431,-0.13785,0.066476,-0.011528,0.0010873,0.00036705,0.0019379,0.00091675,-1.3315,0.51998,1.1811,-0.053893,0.047015,0.06143,0,0,0,0,0,1,0.48589,0.37333,0.26667,0.16
-0.0043461,308.73,-0.13966,0.071962,-0.017154,0.15843,-0.13966,0.071962,-0.017154,0.0011993,0.00037312,0.0020606,0.0010114,-1.4484,0.51887,1.1809,-0.016599,0.12411,0.061341,0,0,0,0,0,1,0.51626,0.39667,0.28333,0.17
-0.0062205,308.75,-0.13918,0.077316,-0.021734,0.16099,-0.13918,0.077316,-0.021734,0.0013241,0.00038052,0.0022017,0.0011171,-1.565,0.51806,1.1808,0.025811,0.19467,0.059472,0,0,0,0,0,1,0.54663,0.42,0.3,0.18
-0.0092694,308.76,-0.13794,0.081882,-0.026238,0.16312,-0.13794,0.081882,-0.026238,0.0014482,0.00038647,0.0023378,0.0012227,-1.6815,0.51731,1.1806,0.073654,0.26173,0.057868,0,0,0,0,0,1,0.57699,0.44333,0.31667,0.19
-0.011843,308.78,-0.13678,0.086517,-0.030879,0.16536,-0.13678,0.086517,-0.030879,0.0015828,0.00039117,0.0024815,0.0013372,-1.798,0.51647,1.1805,0.12747,0.32825,0.056384,0,0,0,0,0,1,0.60736,0.46667,0.33333,0.2
-0.013037,308.78,-0.13539,0.091416,-0.035985,0.16791,-0.13539,0.091416,-0.035985,0.0016747,0.00040362,0.0025933,0.0014156,-1.9146,0.51542,1.1803,0.13627,0.31745,0.056541,0,0,0,0,0,1,0.63773,0.49,0.35,0.21
-0.015418,308.79,-0.13318,0.096035,-0.039701,0.16962,-0.13318,0.096035,-0.039701,0.0017761,0.00041658,0.0027143,0.0015022,-2.0311,0.51442,1.1801,0.1434,0.3027,0.054568,0,0,0,0,0,1,0.6681,0.51333,0.36667,0.22
-0.01878,308.79,-0.13036,0.10043,-0.042405,0.17069,-0.13036,0.10043,-0.042405,0.001888,0.0004302,0.002846,0.0015979,-2.1474,0.51344,1.1799,0.14928,0.28485,0.050559,0,0,0,0,0,1,0.69847,0.53667,0.38333,0.23
-0.022177,308.79,-0.12755,0.10491,-0.045236,0.17188,-0.12755,0.10491,-0.045236,0.0020077,0.0004442,0.0029854,0.0017005,-2.2637,0.5124,1.1797,0.15543,0.26664,0.04586,0,0,0,0,0,1,0.72883,0.56,0.4,0.24
-0.026633,308.8,-0.1246,0.10867,-0.047947,0.17295,-0.1246,0.10867,-0.047947,0.0021238,0.00045787,0.0031177,0.0018005,-2.38,0.51133,1.1795,0.16149,0.24581,0.040219,0,0,0,0,0,1,0.7592,0.58333,0.41667,0.25
-0.030204,308.8,-0.12154,0.11223,-0.049914,0.17362,-0.12154,0.11223,-0.049914,0.0022498,0.00047116,0.0032558,0.0019089,-2.4964,0.51022,1.1793,0.16719,0.22638,0.034295,0,0,0,0,0,1,0.78957,0.60667,0.43333,0.26
-0.031814,308.8,-0.11809,0.11517,-0.049946,0.17316,-0.11809,0.11517,-0.049946,0.0023899,0.00048312,0.0033988,0.0020288,-2.6126,0.50914,1.1791,0.17135,0.20974,0.02823,0,0,0,0,0,1,0.81994,0.63,0.45,0.27
-0.033548,308.8,-0.11453,0.1181,-0.050042,0.17264,-0.11453,0.1181,-0.050042,0.0025404,0.00049545,0.0035504,0.0021577,-2.7289,0.50801,1.1789,0.17561,0.19265,0.021688,0,0,0,0,0,1,0.85031,0.65333,0.46667,0.28
-0.035405,308.81,-0.11083,0.12103,-0.050221,0.17205,-0.11083,0.12103,-0.050221,0.0027011,0.00050807,0.0037102,0.0022956,-2.8452,0.50683,1.1787,0.17996,0.17532,0.014684,0,0,0,0,0,1,0.88068,0.67667,0.48333,0.29
-0.037379,308.81,-0.10698,0.12397,-0.0505,0.17136,-0.10698,0.12397,-0.0505,0.002872,0.00052095,0.003878,0.0024426,-2.9615,0.50559,1.1785,0.18434,0.15791,0.0072327,0,0,0,0,0,1,0.91104,0.7,0.5,0.3
-0.03648,308.8,-0.10349,0.12611,-0.048464,0.1706,-0.10349,0.12611,-0.048464,0.0030012,0.0005295,0.0039966,0.0025538,-3.0778,0.50437,1.1784,0.18732,0.15023,0.001888,0,0,0,0,0,1,0.94141,0.72333,0.51667,0.31
-0.035844,308.8,-0.099862,0.12819,-0.046492,0.16969,-0.099862,0.12819,-0.046492,0.0031384,0.00053885,0.0041235,0.002672,-3.1942,0.50311,1.1783,0.19013,0.14172,-0.0038739,0,0,0,0,0,1,0.97178,0.74667,0.53333,0.32
