"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","alphat","epsilon","k","nut","p","p_rgh","rho","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.30224,309.09,-0.043895,-0.17847,-0.088083,0.20489,-0.043895,-0.17847,-0.088083,0.00067136,0.0012486,0.0029244,0.00058005,-32.343,0.21142,1.1644,-0.43888,0.85363,-1.7717,0,0,0,0,0,1,0,0,2.5,2.85
-0.28908,309.12,-0.048677,-0.17812,-0.086329,0.20512,-0.048677,-0.17812,-0.086329,0.00078805,0.0012539,0.0031118,0.00067885,-32.344,0.20992,1.1643,-0.43573,0.75262,-1.561,0,0,0,0,0,1,0.023333,0.023333,2.5,2.85
-0.27592,309.15,-0.053459,-0.17778,-0.084575,0.20536,-0.053459,-0.17778,-0.084575,0.00090475,0.0012592,0.0032991,0.00077765,-32.345,0.20843,1.1643,-0.43258,0.65162,-1.3503,0,0,0,0,0,1,0.046667,0.046667,2.5,2.85
-0.26276,309.18,-0.058241,-0.17743,-0.082821,0.2056,-0.058241,-0.17743,-0.082821,0.0010214,0.0012645,0.0034865,0.00087646,-32.345,0.20693,1.1643,-0.42944,0.55062,-1.1397,0,0,0,0,0,1,0.07,0.07,2.5,2.85
-0.2496,309.2,-0.063023,-0.17708,-0.081067,0.20583,-0.063023,-0.17708,-0.081067,0.0011381,0.0012698,0.0036738,0.00097526,-32.346,0.20544,1.1643,-0.42629,0.44961,-0.92902,0,0,0,0,0,1,0.093333,0.093333,2.5,2.85
-0.23177,309.26,-0.07189,-0.17596,-0.078675,0.20748,-0.07189,-0.17596,-0.078675,0.0012956,0.0013038,0.0039588,0.001108,-32.348,0.20321,1.1642,-0.42084,0.36007,-0.71527,0,0,0,0,0,1,0.11667,0.11667,2.5,2.85
-0.21208,309.32,-0.082392,-0.17453,-0.076028,0.20969,-0.082392,-0.17453,-0.076028,0.0014695,0.0013493,0.0042828,0.0012543,-32.349,0.20069,1.1642,-0.41448,0.2751,-0.50029,0,0,0,0,0,1,0.14,0.14,2.5,2.85
-0.19239,309.39,-0.092894,-0.1731,-0.07338,0.2119,-0.092894,-0.1731,-0.07338,0.0016433,0.0013947,0.0046067,0.0014006,-32.351,0.19816,1.1642,-0.40812,0.19014,-0.2853,0,0,0,0,0,1,0.16333,0.16333,2.5,2.85
-0.1727,309.45,-0.1034,-0.17167,-0.070733,0.2141,-0.1034,-0.17167,-0.070733,0.0018172,0.0014402,0.0049307,0.0015469,-32.352,0.19564,1.1642,-0.40176,0.10518,-0.070316,0,0,0,0,0,1,0.18667,0.18667,2.5,2.85
-0.15677,309.52,-0.11371,-0.16964,-0.068709,0.21686,-0.11371,-0.16964,-0.068709,0.0019578,0.0015026,0.0052271,0.0016651,-32.353,0.19328,1.1641,-0.3962,0.068485,0.056309,0,0,0,0,0,1,0.21,0.21,2.5,2.85
-0.14583,309.6,-0.12377,-0.16683,-0.067518,0.22034,-0.12377,-0.16683,-0.067518,0.0020543,0.0015876,0.0054869,0.0017458,-32.355,0.19113,1.1641,-0.3917,0.096152,0.065119,0,0,0,0,0,1,0.23333,0.23333,2.5,2.85
-0.13489,309.68,-0.13384,-0.16403,-0.066327,0.22383,-0.13384,-0.16403,-0.066327,0.0021507,0.0016726,0.0057466,0.0018265,-32.356,0.18897,1.1641,-0.38721,0.12382,0.073929,0,0,0,0,0,1,0.25667,0.25667,2.5,2.85
