"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","alphat","epsilon","k","nut","p","p_rgh","rho","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.21468,305.18,-0.03982,0.1793,0.08942,0.20556,-0.03982,0.1793,0.08942,0.00069767,0.001364,0.0030751,0.00058698,-1.2648,0.48857,1.1923,-0.53823,-0.57728,1.8789,0,0,0,0,0,1,0,0,2.5,0.15
-0.18336,305.19,-0.042023,0.18071,0.084368,0.20554,-0.042023,0.18071,0.084368,0.00079515,0.0013826,0.0032593,0.00067083,-1.266,0.48734,1.1922,-0.54904,-0.43717,1.6718,0,0,0,0,0,1,0.023333,0.023333,2.5,0.15
-0.15204,305.21,-0.044226,0.18211,0.079316,0.20553,-0.044226,0.18211,0.079316,0.00089262,0.0014012,0.0034435,0.00075468,-1.2672,0.48611,1.1921,-0.55984,-0.29705,1.4646,0,0,0,0,0,1,0.046667,0.046667,2.5,0.15
-0.12072,305.22,-0.046429,0.18351,0.074264,0.20551,-0.046429,0.18351,0.074264,0.0009901,0.0014199,0.0036277,0.00083852,-1.2683,0.48489,1.1921,-0.57065,-0.15693,1.2574,0,0,0,0,0,1,0.07,0.07,2.5,0.15
-0.089398,305.23,-0.048632,0.18491,0.069212,0.2055,-0.048632,0.18491,0.069212,0.0010876,0.0014385,0.0038119,0.00092237,-1.2695,0.48366,1.192,-0.58146,-0.016819,1.0503,0,0,0,0,0,1,0.093333,0.093333,2.5,0.15
-0.04567,305.26,-0.053609,0.18667,0.060818,0.20672,-0.053609,0.18667,0.060818,0.0012546,0.0014859,0.0041252,0.0010653,-1.271,0.48209,1.1919,-0.59622,0.12205,0.83749,0,0,0,0,0,1,0.11667,0.11667,2.5,0.15
0.0030214,305.28,-0.059696,0.18858,0.051088,0.20844,-0.059696,0.18858,0.051088,0.0014495,0.0015448,0.0044902,0.0012319,-1.2726,0.48038,1.1918,-0.61257,0.26041,0.62245,0,0,0,0,0,1,0.14,0.14,2.5,0.15
0.051713,305.31,-0.065784,0.19048,0.041358,0.21015,-0.065784,0.19048,0.041358,0.0016444,0.0016037,0.0048551,0.0013985,-1.2742,0.47867,1.1917,-0.62892,0.39877,0.40741,0,0,0,0,0,1,0.16333,0.16333,2.5,0.15
0.1004,305.34,-0.071871,0.19238,0.031628,0.21187,-0.071871,0.19238,0.031628,0.0018393,0.0016626,0.0052201,0.0015651,-1.2758,0.47697,1.1917,-0.64527,0.53714,0.19237,0,0,0,0,0,1,0.18667,0.18667,2.5,0.15
0.1357,305.35,-0.07776,0.19373,0.022026,0.21395,-0.07776,0.19373,0.022026,0.0020183,0.0017333,0.0055679,0.0017174,-1.2768,0.47585,1.1916,-0.65739,0.612,0.062696,0,0,0,0,0,1,0.21,0.21,2.5,0.15
0.15315,305.34,-0.083385,0.19435,0.012595,0.21651,-0.083385,0.19435,0.012595,0.0021763,0.0018199,0.0058929,0.0018506,-1.2772,0.47553,1.1917,-0.66389,0.6022,0.046834,0,0,0,0,0,1,0.23333,0.23333,2.5,0.15
0.17059,305.34,-0.08901,0.19496,0.0031645,0.21908,-0.08901,0.19496,0.0031645,0.0023344,0.0019064,0.0062178,0.0019839,-1.2775,0.47522,1.1917,-0.67039,0.59239,0.030971,0,0,0,0,0,1,0.25667,0.25667,2.5,0.15
0.18804,305.33,-0.094635,0.19558,-0.0062662,0.22164,-0.094635,0.19558,-0.0062662,0.0024924,0.0019929,0.0065428,0.0021171,-1.2779,0.4749,1.1918,-0.67689,0.58259,0.015109,0,0,0,0,0,1,0.28,0.28,2.5,0.15
0.20121,305.3,-0.099678,0.19606,-0.015729,0.22408,-0.099678,0.19606,-0.015729,0.0026419,0.0020823,0.0068632,0.0022429,-1.2781,0.47479,1.1919,-0.68206,0.57121,-0.00089938,0,0,0,0,0,1,0.30333,0.30333,2.5,0.15
0.18874,305.19,-0.10123,0.19573,-0.025384,0.22578,-0.10123,0.19573,-0.025384,0.0027408,0.0021893,0.0071561,0.0023244,-1.2773,0.47599,1.1921,-0.67925,0.55042,-0.017782,0,0,0,0,0,1,0.32667,0.32667,2.5,0.15
0.17627,305.07,-0.10279,0.1954,-0.03504,0.22747,-0.10279,0.1954,-0.03504,0.0028397,0.0022962,0.007449,0.0024059,-1.2764,0.47718,1.1924,-0.67645,0.52963,-0.034665,0,0,0,0,0,1,0.35,0.35,2.5,0.15
0.1638,304.96,-0.10434,0.19507,-0.044695,0.22917,-0.10434,0.19507,-0.044695,0.0029386,0.0024031,0.0077419,0.0024874,-1.2756,0.47838,1.1927,-0.67364,0.50885,-0.051549,0,0,0,0,0,1,0.37333,0.37333,2.5,0.15
0.15133,304.84,-0.1059,0.19475,-0.05435,0.23087,-0.1059,0.19475,-0.05435,0.0030374,0.00251,0.0080349,0.0025689,-1.2748,0.47957,1.193,-0.67084,0.48806,-0.068432,0,0,0,0,0,1,0.39667,0.39667,2.5,0.15
0.10668,304.57,-0.10351,0.19353,-0.064057,0.23158,-0.10351,0.19353,-0.064057,0.0030934,0.0026323,0.008303,0.0026119,-1.2732,0.48187,1.1936,-0.65995,0.45526,-0.084421,0,0,0,0,0,1,0.42,0.42,2.5,0.15
0.056674,304.27,-0.10047,0.19217,-0.073773,0.23212,-0.10047,0.19217,-0.073773,0.0031421,0.0027571,0.008567,0.0026484,-1.2715,0.48436,1.1942,-0.64772,0.42046,-0.10026,0,0,0,0,0,1,0.44333,0.44333,2.5,0.15
0.0066666,303.97,-0.097428,0.19081,-0.083488,0.23267,-0.097428,0.19081,-0.083488,0.0031909,0.002882,0.008831,0.0026849,-1.2697,0.48684,1.1948,-0.63548,0.38566,-0.1161,0,0,0,0,0,1,0.46667,0.46667,2.5,0.15
-0.043341,303.68,-0.094386,0.18945,-0.093204,0.23321,-0.094386,0.18945,-0.093204,0.0032397,0.0030068,0.009095,0.0027214,-1.268,0.48932,1.1954,-0.62325,0.35086,-0.13194,0,0,0,0,0,1,0.49,0.49,2.5,0.15
-0.093203,303.25,-0.088721,0.18782,-0.10183,0.23326,-0.088721,0.18782,-0.10183,0.0032437,0.00312,0.0092746,0.0027189,-1.2668,0.49169,1.1962,-0.60637,0.2904,-0.14142,0,0,0,0,0,1,0.51333,0.51333,2.5,0.15
-0.14296,302.73,-0.081088,0.18598,-0.10963,0.23293,-0.081088,0.18598,-0.10963,0.0032142,0.0032246,0.009391,0.002687,-1.2658,0.49396,1.1973,-0.58601,0.21069,-0.14611,0,0,0,0,0,1,0.53667,0.53667,2.5,0.15
-0.19271,302.21,-0.073456,0.18415,-0.11743,0.23261,-0.073456,0.18415,-0.11743,0.0031846,0.0033291,0.0095073,0.0026552,-1.2649,0.49623,1.1983,-0.56565,0.13099,-0.15081,0,0,0,0,0,1,0.56,0.56,2.5,0.15
-0.24247,301.69,-0.065823,0.18231,-0.12523,0.23228,-0.065823,0.18231,-0.12523,0.0031551,0.0034336,0.0096237,0.0026234,-1.264,0.4985,1.1993,-0.54529,0.051277,-0.15551,0,0,0,0,0,1,0.58333,0.58333,2.5,0.15
-0.26445,301.14,-0.057625,0.18087,-0.13057,0.23138,-0.057625,0.18087,-0.13057,0.003102,0.0035215,0.0096787,0.0025724,-1.2639,0.5002,1.2005,-0.5232,-0.052797,-0.15644,0,0,0,0,0,1,0.60667,0.60667,2.5,0.15
-0.21701,300.49,-0.048016,0.1804,-0.12977,0.22903,-0.048016,0.1804,-0.12977,0.0029897,0.0035678,0.0095804,0.0024735,-1.2658,0.50045,1.2019,-0.4968,-0.21778,-0.14794,0,0,0,0,0,1,0.63,0.63,2.5,0.15
-0.16957,299.85,-0.038407,0.17994,-0.12896,0.22667,-0.038407,0.17994,-0.12896,0.0028775,0.0036142,0.0094821,0.0023746,-1.2677,0.5007,1.2033,-0.4704,-0.38277,-0.13945,0,0,0,0,0,1,0.65333,0.65333,2.5,0.15
-0.12213,299.2,-0.028798,0.17948,-0.12815,0.22432,-0.028798,0.17948,-0.12815,0.0027653,0.0036605,0.0093838,0.0022757,-1.2696,0.50096,1.2047,-0.444,-0.54775,-0.13095,0,0,0,0,0,1,0.67667,0.67667,2.5,0.15
-0.07469,298.55,-0.019188,0.17901,-0.12734,0.22197,-0.019188,0.17901,-0.12734,0.002653,0.0037068,0.0092855,0.0021768,-1.2715,0.50121,1.2062,-0.4176,-0.71274,-0.12246,0,0,0,0,0,1,0.7,0.7,2.5,0.15
0.14217,298.1,-0.011422,0.18071,-0.10919,0.21658,-0.011422,0.18071,-0.10919,0.0025246,0.0037499,0.0091338,0.0020688,-1.2755,0.49948,1.2074,-0.40185,-0.96961,-0.17248,0,0,0,0,0,1,0.72333,0.72333,2.5,0.15
0.35904,297.64,-0.0036561,0.18241,-0.091036,0.2112,-0.0036561,0.18241,-0.091036,0.0023962,0.0037929,0.0089821,0.0019609,-1.2794,0.49775,1.2087,-0.38609,-1.2265,-0.22251,0,0,0,0,0,1,0.74667,0.74667,2.5,0.15
0.5759,297.19,0.0041101,0.1841,-0.072883,0.20581,0.0041101,0.1841,-0.072883,0.0022677,0.003836,0.0088305,0.0018529,-1.2834,0.49601,1.2099,-0.37034,-1.4834,-0.27253,0,0,0,0,0,1,0.77,0.77,2.5,0.15
0.79276,296.73,0.011876,0.1858,-0.054731,0.20042,0.011876,0.1858,-0.054731,0.0021393,0.003879,0.0086788,0.0017449,-1.2873,0.49428,1.2111,-0.35459,-1.7402,-0.32256,0,0,0,0,0,1,0.79333,0.79333,2.5,0.15
0.96087,296.35,0.0079498,0.18116,-0.0188,0.20142,0.0079498,0.18116,-0.0188,0.0020075,0.0040237,0.0085515,0.0016363,-1.2908,0.49279,1.2123,-0.35674,-2.0445,-0.42867,0,0,0,0,0,1,0.81667,0.81667,2.5,0.15
1.1095,296.01,-0.00065361,0.17398,0.024242,0.20498,-0.00065361,0.17398,0.024242,0.0018743,0.004209,0.008434,0.0015275,-1.294,0.49139,1.2134,-0.36606,-2.3678,-0.55722,0,0,0,0,0,1,0.84,0.84,2.5,0.15
1.2581,295.66,-0.0092571,0.16681,0.067284,0.20854,-0.0092571,0.16681,0.067284,0.0017411,0.0043944,0.0083164,0.0014186,-1.2973,0.49,1.2145,-0.37538,-2.6911,-0.68577,0,0,0,0,0,1,0.86333,0.86333,2.5,0.15
1.4067,295.31,-0.017861,0.15963,0.11033,0.21209,-0.017861,0.15963,0.11033,0.0016079,0.0045797,0.0081989,0.0013098,-1.3006,0.4886,1.2155,-0.3847,-3.0143,-0.81432,0,0,0,0,0,1,0.88667,0.88667,2.5,0.15
1.4263,294.87,-0.02829,0.14656,0.16888,0.24131,-0.02829,0.14656,0.16888,0.0014871,0.0048307,0.0081127,0.0012111,-1.3005,0.49107,1.2171,-0.37452,-3.2088,-0.88814,0,0,0,0,0,1,0.91,0.91,2.5,0.15
1.2738,294.28,-0.041153,0.1256,0.24812,0.30473,-0.041153,0.1256,0.24812,0.001383,0.0051692,0.0080682,0.0011261,-1.2958,0.49868,1.2193,-0.33834,-3.2316,-0.889,0,0,0,0,0,1,0.93333,0.93333,2.5,0.15
1.1213,293.7,-0.054016,0.10465,0.32736,0.36815,-0.054016,0.10465,0.32736,0.0012788,0.0055078,0.0080236,0.001041,-1.2912,0.5063,1.2214,-0.30217,-3.2544,-0.88986,0,0,0,0,0,1,0.95667,0.95667,2.5,0.15
0.96877,293.12,-0.066879,0.083702,0.4066,0.43158,-0.066879,0.083702,0.4066,0.0011747,0.0058463,0.0079791,0.00095596,-1.2865,0.51391,1.2236,-0.26599,-3.2773,-0.89071,0,0,0,0,0,1,0.98,0.98,2.5,0.15
0.81204,292.57,-0.077506,0.064034,0.48203,0.49318,-0.077506,0.064034,0.48203,0.0010815,0.006165,0.0079447,0.00087983,-1.2813,0.52198,1.2257,-0.22948,-3.2369,-0.87173,0,0,0,0,0,1,1.0033,1.0033,2.5,0.15
0.62998,292.2,-0.074722,0.052068,0.53462,0.54391,-0.074722,0.052068,0.53462,0.0010544,0.0063644,0.007971,0.00085722,-1.2727,0.53275,1.2273,-0.19096,-2.8175,-0.73369,0,0,0,0,0,1,1.0267,1.0267,2.5,0.15
0.44791,291.83,-0.071938,0.040103,0.58721,0.59464,-0.071938,0.040103,0.58721,0.0010272,0.0065639,0.0079973,0.00083462,-1.264,0.54353,1.2289,-0.15244,-2.398,-0.59564,0,0,0,0,0,1,1.05,1.05,2.5,0.15
0.26584,291.46,-0.069154,0.028137,0.6398,0.64536,-0.069154,0.028137,0.6398,0.0010001,0.0067633,0.0080236,0.00081201,-1.2554,0.5543,1.2304,-0.11392,-1.9786,-0.4576,0,0,0,0,0,1,1.0733,1.0733,2.5,0.15
0.083774,291.09,-0.066371,0.016172,0.69238,0.69609,-0.066371,0.016172,0.69238,0.00097291,0.0069628,0.0080499,0.00078941,-1.2468,0.56507,1.232,-0.075397,-1.5591,-0.31956,0,0,0,0,0,1,1.0967,1.0967,2.5,0.15
0.025465,291.03,-0.060781,0.01505,0.70185,0.70488,-0.060781,0.01505,0.70185,0.00096874,0.0069986,0.0080569,0.00078596,-1.2413,0.57099,1.2323,-0.078056,-1.2528,-0.24132,0,0,0,0,0,1,1.12,1.12,2.5,0.15
-0.012218,291.02,-0.054725,0.015736,0.70412,0.70668,-0.054725,0.015736,0.70412,0.0009684,0.0070071,0.0080607,0.0007857,-1.2364,0.5761,1.2323,-0.087577,-0.96536,-0.17305,0,0,0,0,0,1,1.1433,1.1433,2.5,0.15
-0.049901,291.01,-0.048668,0.016422,0.70639,0.70849,-0.048668,0.016422,0.70639,0.00096806,0.0070156,0.0080644,0.00078545,-1.2314,0.5812,1.2323,-0.097099,-0.6779,-0.10477,0,0,0,0,0,1,1.1667,1.1667,2.5,0.15
-0.087584,291,-0.042612,0.017108,0.70866,0.71029,-0.042612,0.017108,0.70866,0.00096772,0.0070241,0.0080682,0.00078519,-1.2264,0.58631,1.2324,-0.10662,-0.39044,-0.0365,0,0,0,0,0,1,1.19,1.19,2.5,0.15
-0.10361,291,-0.037854,0.01753,0.70983,0.71116,-0.037854,0.01753,0.70983,0.00096733,0.0070272,0.0080686,0.00078489,-1.2224,0.59044,1.2324,-0.11144,-0.25014,-0.0062946,0,0,0,0,0,1,1.2133,1.2133,2.5,0.15
