"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","alphat","epsilon","k","nut","p","p_rgh","rho","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.18372,318.65,0.12162,0.026239,-0.059461,0.1379,0.12162,0.026239,-0.059461,0.00079508,0.0028611,0.0047785,0.00067501,-16.447,0.31343,1.139,-0.43513,-0.17749,-1.251,0,0,0,0,0,1,0,3.5,0,1.5
-0.17208,318.62,0.12207,0.028389,-0.057902,0.13819,0.12207,0.028389,-0.057902,0.0010113,0.002808,0.0051002,0.00085513,-16.447,0.31427,1.1391,-0.37324,-0.17276,-1.15,0,0,0,0,0,1,0.016667,3.5,0.016667,1.5
-0.16043,318.59,0.12252,0.030538,-0.056343,0.13847,0.12252,0.030538,-0.056343,0.0012274,0.0027549,0.0054219,0.0010353,-16.447,0.3151,1.1391,-0.31135,-0.16802,-1.0489,0,0,0,0,0,1,0.033333,3.5,0.033333,1.5
-0.14879,318.56,0.12296,0.032688,-0.054784,0.13876,0.12296,0.032688,-0.054784,0.0014436,0.0027019,0.0057437,0.0012154,-16.447,0.31593,1.1392,-0.24947,-0.16329,-0.94788,0,0,0,0,0,1,0.05,3.5,0.05,1.5
-0.13714,318.53,0.12341,0.034837,-0.053224,0.13904,0.12341,0.034837,-0.053224,0.0016598,0.0026488,0.0060654,0.0013955,-16.447,0.31676,1.1392,-0.18758,-0.15855,-0.84684,0,0,0,0,0,1,0.066667,3.5,0.066667,1.5
-0.1255,318.5,0.12385,0.036987,-0.051665,0.13933,0.12385,0.036987,-0.051665,0.0018759,0.0025958,0.0063871,0.0015756,-16.447,0.3176,1.1393,-0.12569,-0.15382,-0.74581,0,0,0,0,0,1,0.083333,3.5,0.083333,1.5
-0.11385,318.46,0.1243,0.039136,-0.050106,0.13962,0.1243,0.039136,-0.050106,0.0020921,0.0025427,0.0067089,0.0017557,-16.447,0.31843,1.1393,-0.063799,-0.14908,-0.64477,0,0,0,0,0,1,0.1,3.5,0.1,1.5
-0.09877,318.4,0.12451,0.042936,-0.046545,0.14017,0.12451,0.042936,-0.046545,0.0025273,0.0024778,0.0072397,0.0021201,-16.448,0.32007,1.1395,0.0030947,-0.14053,-0.53816,0,0,0,0,0,1,0.11667,3.5,0.11667,1.5
-0.083688,318.34,0.12473,0.046736,-0.042985,0.14073,0.12473,0.046736,-0.042985,0.0029626,0.0024128,0.0077704,0.0024844,-16.448,0.3217,1.1396,0.069989,-0.13199,-0.43155,0,0,0,0,0,1,0.13333,3.5,0.13333,1.5
-0.068606,318.27,0.12495,0.050535,-0.039425,0.14128,0.12495,0.050535,-0.039425,0.0033978,0.0023479,0.0083012,0.0028487,-16.448,0.32334,1.1397,0.13688,-0.12344,-0.32495,0,0,0,0,0,1,0.15,3.5,0.15,1.5
-0.053524,318.21,0.12516,0.054335,-0.035865,0.14184,0.12516,0.054335,-0.035865,0.003833,0.0022829,0.008832,0.003213,-16.448,0.32498,1.1399,0.20378,-0.11489,-0.21834,0,0,0,0,0,1,0.16667,3.5,0.16667,1.5
-0.038442,318.15,0.12538,0.058135,-0.032304,0.1424,0.12538,0.058135,-0.032304,0.0042682,0.002218,0.0093628,0.0035774,-16.448,0.32662,1.14,0.27067,-0.10635,-0.11173,0,0,0,0,0,1,0.18333,3.5,0.18333,1.5
-0.02336,318.08,0.12559,0.061934,-0.028744,0.14295,0.12559,0.061934,-0.028744,0.0047034,0.002153,0.0098936,0.0039417,-16.449,0.32825,1.1401,0.33757,-0.097798,-0.0051224,0,0,0,0,0,1,0.2,3.5,0.2,1.5
-0.018732,318.01,0.1245,0.064428,-0.024516,0.14275,0.1245,0.064428,-0.024516,0.0051137,0.0021391,0.010262,0.0042892,-16.449,0.32999,1.1403,0.34248,-0.089989,0.0067881,0,0,0,0,0,1,0.21667,3.5,0.21667,1.5
-0.014104,317.94,0.1234,0.066922,-0.020288,0.14255,0.1234,0.066922,-0.020288,0.0055239,0.0021253,0.010631,0.0046368,-16.449,0.33173,1.1404,0.3474,-0.08218,0.018699,0,0,0,0,0,1,0.23333,3.5,0.23333,1.5
-0.0094759,317.87,0.12231,0.069416,-0.01606,0.14235,0.12231,0.069416,-0.01606,0.0059342,0.0021114,0.010999,0.0049843,-16.45,0.33347,1.1406,0.35232,-0.074371,0.030609,0,0,0,0,0,1,0.25,3.5,0.25,1.5
-0.004848,317.8,0.12122,0.07191,-0.011832,0.14215,0.12122,0.07191,-0.011832,0.0063445,0.0020976,0.011368,0.0053319,-16.45,0.33521,1.1407,0.35724,-0.066562,0.042519,0,0,0,0,0,1,0.26667,3.5,0.26667,1.5
-0.00021997,317.73,0.12012,0.074403,-0.0076041,0.14195,0.12012,0.074403,-0.0076041,0.0067548,0.0020837,0.011736,0.0056794,-16.45,0.33695,1.1408,0.36215,-0.058752,0.05443,0,0,0,0,0,1,0.28333,3.5,0.28333,1.5
0.004408,317.66,0.11903,0.076897,-0.0033761,0.14175,0.11903,0.076897,-0.0033761,0.007165,0.0020698,0.012105,0.006027,-16.451,0.33869,1.141,0.36707,-0.050943,0.06634,0,0,0,0,0,1,0.3,3.5,0.3,1.5
0.0051884,317.6,0.11652,0.077936,0.00089695,0.14061,0.11652,0.077936,0.00089695,0.0075347,0.0020763,0.012431,0.0063459,-16.451,0.34049,1.1411,0.36396,-0.042638,0.081114,0,0,0,0,0,1,0.31667,3.5,0.31667,1.5
0.0059689,317.54,0.114,0.078974,0.00517,0.13948,0.114,0.078974,0.00517,0.0079044,0.0020828,0.012757,0.0066648,-16.452,0.34229,1.1413,0.36085,-0.034332,0.095888,0,0,0,0,0,1,0.33333,3.5,0.33333,1.5
0.0067493,317.47,0.11149,0.080012,0.009443,0.13835,0.11149,0.080012,0.009443,0.008274,0.0020893,0.013083,0.0069836,-16.452,0.34409,1.1415,0.35774,-0.026027,0.11066,0,0,0,0,0,1,0.35,3.5,0.35,1.5
0.0075297,317.41,0.10898,0.081051,0.013716,0.13722,0.10898,0.081051,0.013716,0.0086437,0.0020958,0.013409,0.0073025,-16.452,0.34589,1.1416,0.35463,-0.017721,0.12543,0,0,0,0,0,1,0.36667,3.5,0.36667,1.5
