"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","alphat","epsilon","k","nut","p","p_rgh","rho","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.090205,291,0.0057241,-0.0077856,0.4851,0.48519,0.0057241,-0.0077856,0.4851,0.00098453,0.0077599,0.0085658,0.00079899,0.14697,0.75048,1.2324,0.11714,0.085254,-5.8707e-05,0,0,0,0,0,1,0,3.5,2.5,0
-0.10369,291,0.005928,-0.0081178,0.48258,0.48269,0.005928,-0.0081178,0.48258,0.0009836,0.0076755,0.0085129,0.00079825,0.087451,0.75142,1.2324,0.11523,0.083839,-7.5698e-05,0,0,0,0,0,1,0.01,3.5,2.5,0.01
-0.11717,291,0.0061319,-0.0084501,0.48007,0.48019,0.0061319,-0.0084501,0.48007,0.00098267,0.0075911,0.00846,0.00079752,0.027932,0.75236,1.2324,0.11332,0.082424,-9.2688e-05,0,0,0,0,0,1,0.02,3.5,2.5,0.02
-0.13065,291,0.0063358,-0.0087824,0.47756,0.47769,0.0063358,-0.0087824,0.47756,0.00098174,0.0075068,0.008407,0.00079678,-0.031588,0.7533,1.2324,0.11141,0.081009,-0.00010968,0,0,0,0,0,1,0.03,3.5,2.5,0.03
-0.14413,291,0.0065396,-0.0091147,0.47505,0.47518,0.0065396,-0.0091147,0.47505,0.00098081,0.0074224,0.0083541,0.00079604,-0.091107,0.75424,1.2324,0.1095,0.079593,-0.00012667,0,0,0,0,0,1,0.04,3.5,2.5,0.04
-0.15761,291,0.0067435,-0.0094469,0.47254,0.47268,0.0067435,-0.0094469,0.47254,0.00097987,0.007338,0.0083012,0.00079531,-0.15063,0.75518,1.2324,0.10758,0.078178,-0.00014366,0,0,0,0,0,1,0.05,3.5,2.5,0.05
-0.1711,291,0.0069474,-0.0097792,0.47002,0.47018,0.0069474,-0.0097792,0.47002,0.00097894,0.0072536,0.0082482,0.00079457,-0.21015,0.75612,1.2324,0.10567,0.076763,-0.00016065,0,0,0,0,0,1,0.06,3.5,2.5,0.06
-0.18458,291,0.0071513,-0.010112,0.46751,0.46768,0.0071513,-0.010112,0.46751,0.00097801,0.0071692,0.0081953,0.00079383,-0.26967,0.75707,1.2324,0.10376,0.075348,-0.00017764,0,0,0,0,0,1,0.07,3.5,2.5,0.07
-0.19806,291,0.0073552,-0.010444,0.465,0.46518,0.0073552,-0.010444,0.465,0.00097708,0.0070849,0.0081424,0.0007931,-0.32919,0.75801,1.2324,0.10185,0.073933,-0.00019463,0,0,0,0,0,1,0.08,3.5,2.5,0.08
-0.21154,291,0.0075591,-0.010776,0.46249,0.46268,0.0075591,-0.010776,0.46249,0.00097615,0.0070005,0.0080894,0.00079236,-0.3887,0.75895,1.2324,0.099942,0.072518,-0.00021162,0,0,0,0,0,1,0.09,3.5,2.5,0.09
-0.22502,291,0.007763,-0.011108,0.45998,0.46018,0.007763,-0.011108,0.45998,0.00097522,0.0069161,0.0080365,0.00079162,-0.44822,0.75989,1.2324,0.098031,0.071103,-0.00022861,0,0,0,0,0,1,0.1,3.5,2.5,0.1
-0.25187,291,0.0080403,-0.011695,0.45341,0.45364,0.0080403,-0.011695,0.45341,0.00097642,0.0067681,0.0079494,0.00079266,-0.56634,0.7627,1.2324,0.096155,0.06998,-0.00029013,0,0,0,0,0,1,0.11,3.5,2.5,0.11
-0.27872,291,0.0083176,-0.012282,0.44684,0.4471,0.0083176,-0.012282,0.44684,0.00097763,0.0066202,0.0078624,0.0007937,-0.68445,0.76551,1.2324,0.09428,0.068857,-0.00035165,0,0,0,0,0,1,0.12,3.5,2.5,0.12
-0.30556,291,0.0085949,-0.012868,0.44028,0.44057,0.0085949,-0.012868,0.44028,0.00097883,0.0064722,0.0077753,0.00079475,-0.80257,0.76832,1.2324,0.092404,0.067734,-0.00041317,0,0,0,0,0,1,0.13,3.5,2.5,0.13
-0.33241,291,0.0088723,-0.013455,0.43371,0.43403,0.0088723,-0.013455,0.43371,0.00098004,0.0063242,0.0076883,0.00079579,-0.92068,0.77113,1.2324,0.090529,0.066612,-0.00047469,0,0,0,0,0,1,0.14,3.5,2.5,0.14
-0.35926,291,0.0091496,-0.014042,0.42714,0.4275,0.0091496,-0.014042,0.42714,0.00098124,0.0061763,0.0076012,0.00079683,-1.0388,0.77394,1.2324,0.088653,0.065489,-0.00053621,0,0,0,0,0,1,0.15,3.5,2.5,0.15
-0.3861,291,0.0094269,-0.014629,0.42058,0.42096,0.0094269,-0.014629,0.42058,0.00098245,0.0060283,0.0075141,0.00079787,-1.1569,0.77676,1.2324,0.086778,0.064366,-0.00059773,0,0,0,0,0,1,0.16,3.5,2.5,0.16
-0.41295,291,0.0097043,-0.015215,0.41401,0.41443,0.0097043,-0.015215,0.41401,0.00098366,0.0058803,0.0074271,0.00079891,-1.275,0.77957,1.2324,0.084903,0.063243,-0.00065925,0,0,0,0,0,1,0.17,3.5,2.5,0.17
-0.4398,291,0.0099816,-0.015802,0.40745,0.40789,0.0099816,-0.015802,0.40745,0.00098486,0.0057324,0.00734,0.00079995,-1.3931,0.78238,1.2324,0.083027,0.06212,-0.00072077,0,0,0,0,0,1,0.18,3.5,2.5,0.18
