"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","alphat","epsilon","k","nut","p","p_rgh","rho","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.75769,298.93,-0.12552,0.030317,0.054933,0.14033,-0.12552,0.030317,0.054933,0.00046218,0.00041651,0.0014067,0.00040148,-0.0015383,0.56782,1.1546,0.23911,-1.5723,1.3791,0,0,0,0,0,1,0,0,0,0
-0.73448,299,-0.12929,0.031472,0.055162,0.14489,-0.12929,0.031472,0.055162,0.00046567,0.00042559,0.001427,0.00040449,-0.060648,0.5651,1.1546,0.20078,-1.4948,1.2943,0,0,0,0,0,1,0.030368,0.023333,0.016667,0.01
-0.70514,299.07,-0.13282,0.032467,0.055149,0.14873,-0.13282,0.032467,0.055149,0.0004702,0.00043528,0.0014498,0.00040841,-0.11971,0.56243,1.1546,0.16311,-1.4024,1.1918,0,0,0,0,0,1,0.060736,0.046667,0.033333,0.02
-0.66958,299.16,-0.13611,0.033298,0.0549,0.15186,-0.13611,0.033298,0.0549,0.00047654,0.00044537,0.0014758,0.0004139,-0.17873,0.55981,1.1547,0.1265,-1.2953,1.0718,0,0,0,0,0,1,0.091104,0.07,0.05,0.03
-0.62768,299.24,-0.13914,0.033962,0.054426,0.15426,-0.13914,0.033962,0.054426,0.00048546,0.00045568,0.0015059,0.00042165,-0.2377,0.55725,1.1547,0.091324,-1.1735,0.93483,0,0,0,0,0,1,0.12147,0.093333,0.066667,0.04
-0.55009,299.35,-0.14716,0.033974,0.05204,0.1613,-0.14716,0.033974,0.05204,0.00050032,0.00047077,0.0015519,0.0004345,-0.2975,0.5538,1.1548,0.050318,-1.081,0.81652,0,0,0,0,0,1,0.15184,0.11667,0.083333,0.05
-0.45949,299.46,-0.15694,0.033622,0.048547,0.16965,-0.15694,0.033622,0.048547,0.00052141,0.00048715,0.0016085,0.00045274,-0.35759,0.55007,1.155,0.010227,-0.98478,0.68582,0,0,0,0,0,1,0.18221,0.14,0.1,0.06
-0.36847,299.64,-0.16367,0.03429,0.044852,0.17531,-0.16367,0.03429,0.044852,0.00055264,0.00050262,0.0016774,0.0004799,-0.41779,0.54619,1.1551,-0.02735,-0.84875,0.52306,0,0,0,0,0,1,0.21258,0.16333,0.11667,0.07
-0.27845,299.83,-0.16985,0.034798,0.040763,0.17956,-0.16985,0.034798,0.040763,0.00059416,0.00051749,0.0017591,0.00051606,-0.47783,0.54251,1.1552,-0.057489,-0.69185,0.33281,0,0,0,0,0,1,0.24294,0.18667,0.13333,0.08
-0.20426,300.03,-0.17493,0.036129,0.036947,0.18319,-0.17493,0.036129,0.036947,0.00064359,0.0005288,0.0018437,0.00055905,-0.53734,0.5394,1.1553,-0.083406,-0.56369,0.14735,0,0,0,0,0,1,0.27331,0.21,0.15,0.09
-0.15554,300.23,-0.17898,0.038824,0.033603,0.1872,-0.17898,0.038824,0.033603,0.00069882,0.00053458,0.0019231,0.00060691,-0.59627,0.53693,1.1554,-0.10735,-0.49044,-0.013679,0,0,0,0,0,1,0.30368,0.23333,0.16667,0.1
-0.1099,300.48,-0.1812,0.041387,0.031336,0.1899,-0.1812,0.041387,0.031336,0.00077191,0.00053655,0.0020158,0.00067042,-0.71215,0.534,1.1555,-0.11479,-0.40167,-0.18916,0,0,0,0,0,1,0.33405,0.25667,0.18333,0.11
-0.072144,300.74,-0.1832,0.044067,0.028435,0.19167,-0.1832,0.044067,0.028435,0.00085961,0.00053529,0.0021191,0.0007466,-0.82793,0.53124,1.1556,-0.11298,-0.30618,-0.37539,0,0,0,0,0,1,0.36442,0.28,0.2,0.12
-0.047095,300.97,-0.18374,0.046136,0.026012,0.19208,-0.18374,0.046136,0.026012,0.00094172,0.00053847,0.0022206,0.0008184,-0.9435,0.5287,1.1557,-0.077525,-0.1971,-0.35718,0,0,0,0,0,1,0.39479,0.30333,0.21667,0.13
-0.032869,301.2,-0.18072,0.049044,0.023968,0.19023,-0.18072,0.049044,0.023968,0.001031,0.00053917,0.0023216,0.00089647,-1.0584,0.52696,1.1558,-0.042639,-0.075525,-0.34967,0,0,0,0,0,1,0.42515,0.32667,0.23333,0.14
-0.016454,301.44,-0.17785,0.0521,0.021368,0.18823,-0.17785,0.0521,0.021368,0.0011345,0.00053737,0.0024305,0.00098694,-1.1734,0.52526,1.1559,-0.0035631,0.046082,-0.34135,0,0,0,0,0,1,0.45552,0.35,0.25,0.15
0.0021019,301.68,-0.17516,0.055308,0.018213,0.18603,-0.17516,0.055308,0.018213,0.0012538,0.00053241,0.0025471,0.0010912,-1.2884,0.52359,1.1561,0.040166,0.16798,-0.33219,0,0,0,0,0,1,0.48589,0.37333,0.26667,0.16
0.022751,301.93,-0.17268,0.058671,0.014509,0.18355,-0.17268,0.058671,0.014509,0.0013904,0.00052365,0.0026714,0.0012104,-1.4034,0.52194,1.1562,0.089011,0.29043,-0.32216,0,0,0,0,0,1,0.51626,0.39667,0.28333,0.17
0.035012,302.17,-0.16774,0.062013,0.011137,0.17969,-0.16774,0.062013,0.011137,0.0015323,0.00051843,0.002808,0.0013342,-1.5178,0.52121,1.1565,0.13851,0.40841,-0.31926,0,0,0,0,0,1,0.54663,0.42,0.3,0.18
0.047031,302.38,-0.16243,0.064301,0.0081882,0.17599,-0.16243,0.064301,0.0081882,0.0016559,0.00051492,0.0029315,0.0014422,-1.6321,0.52062,1.1568,0.19066,0.52636,-0.31375,0,0,0,0,0,1,0.57699,0.44333,0.31667,0.19
0.060455,302.61,-0.15745,0.066707,0.0046799,0.17233,-0.15745,0.066707,0.0046799,0.0017936,0.0005089,0.0030616,0.0015626,-1.7464,0.52,1.157,0.24715,0.64199,-0.30742,0,0,0,0,0,1,0.60736,0.46667,0.33333,0.2
0.077283,302.86,-0.15235,0.068086,0.0012933,0.16793,-0.15235,0.068086,0.0012933,0.0018926,0.00051776,0.0031748,0.0016501,-1.861,0.51904,1.1573,0.27965,0.65297,-0.30137,0,0,0,0,0,1,0.63773,0.49,0.35,0.21
0.089778,303.1,-0.146,0.069243,-0.0017585,0.16254,-0.146,0.069243,-0.0017585,0.0019915,0.00053106,0.0033001,0.0017374,-1.9752,0.51853,1.1575,0.30945,0.66051,-0.29792,0,0,0,0,0,1,0.6681,0.51333,0.36667,0.22
0.098159,303.34,-0.1388,0.070342,-0.0048343,0.15688,-0.1388,0.070342,-0.0048343,0.0020897,0.00054782,0.0034338,0.001824,-2.0893,0.51837,1.1578,0.33545,0.66397,-0.29606,0,0,0,0,0,1,0.69847,0.53667,0.38333,0.23
0.1069,303.6,-0.13199,0.071626,-0.0086477,0.15145,-0.13199,0.071626,-0.0086477,0.0021937,0.00056488,0.0035733,0.0019157,-2.2035,0.51819,1.1581,0.36151,0.66794,-0.29325,0,0,0,0,0,1,0.72883,0.56,0.4,0.24
0.116,303.84,-0.12553,0.071991,-0.012027,0.14643,-0.12553,0.071991,-0.012027,0.0022769,0.00058067,0.0036917,0.0019896,-2.3175,0.51808,1.1583,0.38432,0.67583,-0.28537,0,0,0,0,0,1,0.7592,0.58333,0.41667,0.25
0.12426,304.09,-0.11875,0.072478,-0.015503,0.14092,-0.11875,0.072478,-0.015503,0.0023654,0.00059801,0.0038193,0.0020679,-2.4316,0.51806,1.1586,0.40603,0.68433,-0.27776,0,0,0,0,0,1,0.78957,0.60667,0.43333,0.26
