"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","alphat","epsilon","k","nut","p","p_rgh","rho","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.33271,318.75,-0.046126,-0.019364,-0.097409,0.10993,-0.046126,-0.019364,-0.097409,0.00083168,0.0029575,0.0050335,0.00073259,-31.441,0.3048,1.1356,-0.053157,1.147,-0.082627,0,0,0,0,0,1,0,0,2.5,2.85
-0.33566,318.79,-0.052519,-0.016652,-0.098185,0.11363,-0.052519,-0.016652,-0.098185,0.001025,0.002974,0.0054692,0.00090428,-31.442,0.30436,1.1356,-0.049933,1.0392,-0.052244,0,0,0,0,0,1,0.023333,0.023333,2.5,2.85
-0.33862,318.83,-0.058912,-0.01394,-0.09896,0.11732,-0.058912,-0.01394,-0.09896,0.0012182,0.0029905,0.0059049,0.001076,-31.444,0.30392,1.1356,-0.04671,0.93144,-0.02186,0,0,0,0,0,1,0.046667,0.046667,2.5,2.85
-0.34157,318.87,-0.065305,-0.011228,-0.099736,0.12101,-0.065305,-0.011228,-0.099736,0.0014115,0.003007,0.0063405,0.0012477,-31.445,0.30349,1.1357,-0.043486,0.82368,0.0085232,0,0,0,0,0,1,0.07,0.07,2.5,2.85
-0.34453,318.91,-0.071698,-0.0085158,-0.10051,0.12471,-0.071698,-0.0085157,-0.10051,0.0016048,0.0030235,0.0067762,0.0014194,-31.446,0.30305,1.1357,-0.040263,0.71592,0.038907,0,0,0,0,0,1,0.093333,0.093333,2.5,2.85
-0.34141,318.96,-0.08338,-0.0042552,-0.10019,0.13252,-0.08338,-0.0042552,-0.10019,0.0018624,0.0030854,0.00737,0.0016484,-31.449,0.3017,1.1357,-0.03496,0.60864,0.065399,0,0,0,0,0,1,0.11667,0.11667,2.5,2.85
-0.33586,319.02,-0.097178,0.00062468,-0.099419,0.14198,-0.097178,0.00062468,-0.099419,0.0021457,0.0031654,0.0080271,0.0019003,-31.452,0.29998,1.1358,-0.028826,0.50157,0.090334,0,0,0,0,0,1,0.14,0.14,2.5,2.85
-0.33031,319.08,-0.11098,0.0055046,-0.098653,0.15144,-0.11098,0.0055046,-0.098653,0.002429,0.0032454,0.0086842,0.0021522,-31.455,0.29826,1.1358,-0.022692,0.39449,0.11527,0,0,0,0,0,1,0.16333,0.16333,2.5,2.85
-0.32476,319.14,-0.12477,0.010385,-0.097887,0.1609,-0.12477,0.010385,-0.097887,0.0027122,0.0033255,0.0093413,0.0024041,-31.457,0.29654,1.1358,-0.016558,0.28742,0.1402,0,0,0,0,0,1,0.18667,0.18667,2.5,2.85
-0.31133,319.18,-0.13836,0.014955,-0.095844,0.17063,-0.13836,0.014955,-0.095844,0.0029435,0.0034158,0.0098755,0.0026099,-31.46,0.29425,1.1359,-0.010614,0.23029,0.15107,0,0,0,0,0,1,0.21,0.21,2.5,2.85
-0.2874,319.21,-0.15166,0.019114,-0.092098,0.18072,-0.15166,0.019114,-0.092098,0.0031053,0.00352,0.010246,0.0027541,-31.463,0.2912,1.1358,-0.0049226,0.23976,0.14316,0,0,0,0,0,1,0.23333,0.23333,2.5,2.85
-0.26346,319.24,-0.16496,0.023273,-0.088352,0.19081,-0.16496,0.023273,-0.088352,0.0032671,0.0036241,0.010617,0.0028983,-31.466,0.28816,1.1358,0.00076827,0.24924,0.13525,0,0,0,0,0,1,0.25667,0.25667,2.5,2.85
-0.23953,319.27,-0.17827,0.027432,-0.084606,0.2009,-0.17827,0.027432,-0.084606,0.003429,0.0037282,0.010987,0.0030425,-31.469,0.28512,1.1358,0.0064592,0.25871,0.12734,0,0,0,0,0,1,0.28,0.28,2.5,2.85
