"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","alphat","epsilon","k","nut","p","p_rgh","rho","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.1729,300.89,-0.045346,-0.026412,0.069227,0.090399,-0.045346,-0.026412,0.069227,0.00055548,0.00072528,0.002008,0.00047174,-1.1186,0.61511,1.1809,0.072407,-0.36275,-0.19148,0,0,0,0,0,1,0,0,2.5,0.15
-0.14167,301,-0.044003,-0.025952,0.064741,0.087082,-0.044003,-0.025952,0.064741,0.00061424,0.00074632,0.0021253,0.00052176,-1.1195,0.6141,1.181,0.06995,-0.23981,-0.15553,0,0,0,0,0,1,0.023333,0.023333,2.5,0.15
-0.11044,301.11,-0.042659,-0.025493,0.060254,0.083764,-0.042659,-0.025493,0.060254,0.00067301,0.00076737,0.0022425,0.00057179,-1.1204,0.61309,1.181,0.067493,-0.11686,-0.11958,0,0,0,0,0,1,0.046667,0.046667,2.5,0.15
-0.07921,301.22,-0.041316,-0.025034,0.055768,0.080446,-0.041316,-0.025034,0.055768,0.00073177,0.00078842,0.0023598,0.00062181,-1.1213,0.61208,1.1811,0.065037,0.006083,-0.083627,0,0,0,0,0,1,0.07,0.07,2.5,0.15
-0.04798,301.33,-0.039972,-0.024575,0.051282,0.077129,-0.039972,-0.024575,0.051282,0.00079053,0.00080946,0.002477,0.00067183,-1.1223,0.61107,1.1811,0.06258,0.12903,-0.047675,0,0,0,0,0,1,0.093333,0.093333,2.5,0.15
-0.010163,301.51,-0.040052,-0.024122,0.044476,0.074538,-0.040052,-0.024122,0.044476,0.00089022,0.00085801,0.0026931,0.00075668,-1.1235,0.60981,1.1812,0.05887,0.25668,-0.012859,0,0,0,0,0,1,0.11667,0.11667,2.5,0.15
0.030289,301.73,-0.040702,-0.023673,0.036741,0.072238,-0.040702,-0.023673,0.036741,0.0010063,0.00091756,0.0029488,0.00085546,-1.1248,0.60847,1.1814,0.054658,0.38621,0.021503,0,0,0,0,0,1,0.14,0.14,2.5,0.15
0.070741,301.94,-0.041351,-0.023223,0.029006,0.069939,-0.041351,-0.023223,0.029006,0.0011223,0.00097711,0.0032045,0.00095424,-1.1261,0.60712,1.1816,0.050446,0.51575,0.055864,0,0,0,0,0,1,0.16333,0.16333,2.5,0.15
0.11119,302.15,-0.042001,-0.022773,0.021271,0.067639,-0.042001,-0.022773,0.021271,0.0012384,0.0010367,0.0034601,0.001053,-1.1275,0.60577,1.1818,0.046233,0.64528,0.090226,0,0,0,0,0,1,0.18667,0.18667,2.5,0.15
0.13783,302.32,-0.044236,-0.022767,0.014189,0.067019,-0.044236,-0.022767,0.014189,0.0013402,0.0011005,0.0037013,0.0011394,-1.1284,0.60501,1.1821,0.043354,0.72302,0.10657,0,0,0,0,0,1,0.21,0.21,2.5,0.15
0.14606,302.44,-0.048587,-0.023352,0.0079776,0.068638,-0.048587,-0.023352,0.0079776,0.0014229,0.00117,0.0039232,0.0012091,-1.1288,0.60503,1.1826,0.04225,0.7317,0.098898,0,0,0,0,0,1,0.23333,0.23333,2.5,0.15
0.15428,302.55,-0.052937,-0.023936,0.0017661,0.070257,-0.052937,-0.023936,0.0017661,0.0015057,0.0012395,0.0041451,0.0012789,-1.1292,0.60506,1.1832,0.041147,0.74037,0.091224,0,0,0,0,0,1,0.25667,0.25667,2.5,0.15
0.1625,302.67,-0.057287,-0.024521,-0.0044454,0.071877,-0.057287,-0.024521,-0.0044454,0.0015885,0.001309,0.004367,0.0013486,-1.1296,0.60508,1.1837,0.040044,0.74905,0.083549,0,0,0,0,0,1,0.28,0.28,2.5,0.15
0.16921,302.76,-0.061739,-0.025206,-0.010643,0.074089,-0.061739,-0.025206,-0.010643,0.0016658,0.0013774,0.0045801,0.0014134,-1.1299,0.60532,1.1842,0.039491,0.75595,0.07531,0,0,0,0,0,1,0.30333,0.30333,2.5,0.15
0.16684,302.69,-0.066805,-0.026496,-0.016756,0.079859,-0.066805,-0.026496,-0.016756,0.0017099,0.0014395,0.0047408,0.0014486,-1.1295,0.60682,1.1851,0.042243,0.75219,0.063676,0,0,0,0,0,1,0.32667,0.32667,2.5,0.15
0.16447,302.62,-0.07187,-0.027785,-0.02287,0.08563,-0.07187,-0.027785,-0.02287,0.0017539,0.0015015,0.0049015,0.0014838,-1.1291,0.60833,1.1859,0.044995,0.74844,0.052043,0,0,0,0,0,1,0.35,0.35,2.5,0.15
0.16211,302.56,-0.076936,-0.029074,-0.028983,0.0914,-0.076936,-0.029074,-0.028983,0.001798,0.0015636,0.0050622,0.001519,-1.1287,0.60984,1.1868,0.047747,0.74468,0.040409,0,0,0,0,0,1,0.37333,0.37333,2.5,0.15
0.15974,302.49,-0.082001,-0.030363,-0.035096,0.09717,-0.082001,-0.030363,-0.035096,0.001842,0.0016256,0.0052229,0.0015542,-1.1283,0.61135,1.1877,0.050499,0.74092,0.028776,0,0,0,0,0,1,0.39667,0.39667,2.5,0.15
0.14873,302.22,-0.087148,-0.03167,-0.042219,0.10466,-0.087148,-0.03167,-0.042219,0.0018719,0.0017,0.0053858,0.001576,-1.127,0.6143,1.1888,0.055016,0.71345,0.016969,0,0,0,0,0,1,0.42,0.42,2.5,0.15
0.13627,301.91,-0.092308,-0.032979,-0.04951,0.11244,-0.092308,-0.03298,-0.04951,0.0018994,0.0017764,0.0055492,0.0015954,-1.1257,0.61749,1.1901,0.059827,0.68203,0.0051339,0,0,0,0,0,1,0.44333,0.44333,2.5,0.15
0.12382,301.61,-0.097468,-0.034289,-0.056801,0.12022,-0.097468,-0.034289,-0.056801,0.0019269,0.0018529,0.0057125,0.0016149,-1.1243,0.62068,1.1913,0.064638,0.65061,-0.0067014,0,0,0,0,0,1,0.46667,0.46667,2.5,0.15
0.11136,301.31,-0.10263,-0.035598,-0.064093,0.128,-0.10263,-0.035598,-0.064093,0.0019543,0.0019293,0.0058758,0.0016344,-1.123,0.62387,1.1925,0.069449,0.61918,-0.018537,0,0,0,0,0,1,0.49,0.49,2.5,0.15
0.0888,300.85,-0.10672,-0.036688,-0.071593,0.1353,-0.10672,-0.036688,-0.071593,0.0019678,0.0020097,0.0060222,0.0016419,-1.1213,0.62782,1.194,0.070689,0.55737,-0.028286,0,0,0,0,0,1,0.51333,0.51333,2.5,0.15
0.058658,300.29,-0.11002,-0.037613,-0.079251,0.14224,-0.11002,-0.037613,-0.079251,0.0019707,0.0020931,0.0061558,0.0016404,-1.1194,0.63235,1.1956,0.069252,0.47277,-0.036469,0,0,0,0,0,1,0.53667,0.53667,2.5,0.15
0.028516,299.72,-0.11331,-0.038537,-0.086909,0.14918,-0.11331,-0.038537,-0.086909,0.0019735,0.0021764,0.0062894,0.0016389,-1.1176,0.63687,1.1973,0.067815,0.38816,-0.044653,0,0,0,0,0,1,0.56,0.56,2.5,0.15
-0.0016256,299.16,-0.11661,-0.039462,-0.094567,0.15612,-0.11661,-0.039462,-0.094567,0.0019764,0.0022598,0.006423,0.0016374,-1.1157,0.6414,1.1989,0.066377,0.30356,-0.052837,0,0,0,0,0,1,0.58333,0.58333,2.5,0.15
-0.022798,298.56,-0.11929,-0.040279,-0.10108,0.16201,-0.11929,-0.040279,-0.10108,0.0019672,0.0023334,0.0065202,0.0016261,-1.1141,0.64584,1.2007,0.061865,0.19997,-0.059581,0,0,0,0,0,1,0.60667,0.60667,2.5,0.15
-0.021545,297.85,-0.12045,-0.040825,-0.10475,0.16527,-0.12045,-0.040825,-0.10475,0.0019275,0.0023828,0.0065262,0.0015903,-1.1132,0.65007,1.2028,0.049666,0.048958,-0.062724,0,0,0,0,0,1,0.63,0.63,2.5,0.15
-0.020292,297.15,-0.12161,-0.041372,-0.10841,0.16853,-0.12161,-0.041372,-0.10841,0.0018878,0.0024322,0.0065322,0.0015545,-1.1124,0.6543,1.2049,0.037467,-0.10206,-0.065867,0,0,0,0,0,1,0.65333,0.65333,2.5,0.15
-0.019039,296.45,-0.12277,-0.041918,-0.11208,0.17178,-0.12277,-0.041918,-0.11208,0.0018481,0.0024816,0.0065382,0.0015186,-1.1115,0.65853,1.207,0.025268,-0.25308,-0.06901,0,0,0,0,0,1,0.67667,0.67667,2.5,0.15
-0.017787,295.75,-0.12393,-0.042465,-0.11574,0.17504,-0.12393,-0.042465,-0.11574,0.0018085,0.002531,0.0065442,0.0014828,-1.1106,0.66276,1.2091,0.01307,-0.40409,-0.072152,0,0,0,0,0,1,0.7,0.7,2.5,0.15
0.059498,295.12,-0.12352,-0.042965,-0.10808,0.17087,-0.12352,-0.042965,-0.10808,0.0017295,0.0025604,0.0064344,0.0014162,-1.1115,0.66548,1.2114,0.0010769,-0.64902,-0.062801,0,0,0,0,0,1,0.72333,0.72333,2.5,0.15
0.13678,294.5,-0.12311,-0.043466,-0.10042,0.1667,-0.12311,-0.043466,-0.10042,0.0016506,0.0025898,0.0063246,0.0013495,-1.1125,0.66819,1.2137,-0.010916,-0.89395,-0.05345,0,0,0,0,0,1,0.74667,0.74667,2.5,0.15
0.21407,293.88,-0.12269,-0.043966,-0.092758,0.16253,-0.12269,-0.043966,-0.092758,0.0015717,0.0026192,0.0062149,0.0012829,-1.1134,0.67091,1.216,-0.022908,-1.1389,-0.044099,0,0,0,0,0,1,0.77,0.77,2.5,0.15
0.29135,293.25,-0.12228,-0.044467,-0.085097,0.15836,-0.12228,-0.044467,-0.085097,0.0014927,0.0026486,0.0061051,0.0012162,-1.1144,0.67363,1.2184,-0.034901,-1.3838,-0.034748,0,0,0,0,0,1,0.79333,0.79333,2.5,0.15
0.3867,292.83,-0.1242,-0.043929,-0.060494,0.15648,-0.1242,-0.043929,-0.060494,0.0014276,0.002772,0.0060945,0.001162,-1.115,0.67615,1.2204,-0.036187,-1.617,-0.015097,0,0,0,0,0,1,0.81667,0.81667,2.5,0.15
0.48929,292.48,-0.12706,-0.042977,-0.029115,0.15551,-0.12706,-0.042977,-0.029115,0.0013681,0.0029329,0.0061236,0.0011127,-1.1156,0.67859,1.2224,-0.03319,-1.8455,0.0086729,0,0,0,0,0,1,0.84,0.84,2.5,0.15
0.59187,292.13,-0.12992,-0.042024,0.0022642,0.15454,-0.12992,-0.042024,0.0022642,0.0013085,0.0030938,0.0061527,0.0010634,-1.1162,0.68104,1.2243,-0.030194,-2.0741,0.032443,0,0,0,0,0,1,0.86333,0.86333,2.5,0.15
