"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","alphat","epsilon","k","nut","p","p_rgh","rho","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.01167,318.65,0.00089316,-0.031774,-0.38297,0.38428,0.00089316,-0.031774,-0.38297,0.001166,0.0074461,0.0094666,0.0010171,-16.484,0.32131,1.1421,-0.031112,3.3982,-0.20516,0,0,0,0,0,1,0,0,2.5,1.5
-0.0052458,318.64,0.0024551,-0.029403,-0.37383,0.37502,0.0024551,-0.029403,-0.37383,0.0016868,0.0070831,0.010214,0.0014719,-16.485,0.32222,1.1422,-0.034767,2.8965,-0.15389,0,0,0,0,0,1,0.023333,0.023333,2.5,1.5
0.0011788,318.62,0.004017,-0.027032,-0.3647,0.36576,0.004017,-0.027032,-0.3647,0.0022075,0.00672,0.010962,0.0019267,-16.485,0.32314,1.1423,-0.038421,2.3947,-0.10262,0,0,0,0,0,1,0.046667,0.046667,2.5,1.5
0.0076035,318.61,0.0055789,-0.024661,-0.35557,0.3565,0.0055789,-0.024661,-0.35557,0.0027283,0.0063569,0.01171,0.0023815,-16.485,0.32405,1.1424,-0.042076,1.893,-0.051343,0,0,0,0,0,1,0.07,0.07,2.5,1.5
0.014028,318.6,0.0071408,-0.02229,-0.34644,0.34724,0.0071408,-0.02229,-0.34644,0.0032491,0.0059938,0.012458,0.0028363,-16.486,0.32496,1.1425,-0.045731,1.3912,-6.8619e-05,0,0,0,0,0,1,0.093333,0.093333,2.5,1.5
0.024952,318.57,0.0097215,-0.018286,-0.33034,0.3311,0.0097215,-0.018286,-0.33034,0.0040249,0.0055908,0.013434,0.0035146,-16.486,0.32614,1.1426,-0.05044,0.88217,0.053157,0,0,0,0,0,1,0.11667,0.11667,2.5,1.5
0.037675,318.53,0.01271,-0.013629,-0.31145,0.31223,0.01271,-0.013629,-0.31145,0.0049028,0.0051719,0.014501,0.0042824,-16.487,0.32744,1.1427,-0.055572,0.37024,0.10716,0,0,0,0,0,1,0.14,0.14,2.5,1.5
0.050398,318.49,0.015698,-0.0089718,-0.29256,0.29335,0.015698,-0.0089718,-0.29256,0.0057807,0.004753,0.015568,0.0050502,-16.487,0.32874,1.1428,-0.060704,-0.1417,0.16117,0,0,0,0,0,1,0.16333,0.16333,2.5,1.5
0.063121,318.45,0.018686,-0.0043147,-0.27368,0.27447,0.018686,-0.0043147,-0.27368,0.0066585,0.0043341,0.016635,0.0058179,-16.488,0.33003,1.1429,-0.065836,-0.65363,0.21518,0,0,0,0,0,1,0.18667,0.18667,2.5,1.5
0.075071,318.41,0.021831,0.00036664,-0.25445,0.2556,0.021831,0.00036664,-0.25445,0.0073828,0.0040561,0.017415,0.0064522,-16.488,0.33101,1.143,-0.069088,-0.9522,0.24895,0,0,0,0,0,1,0.21,0.21,2.5,1.5
0.08599,318.35,0.025183,0.0050802,-0.23478,0.23674,0.025183,0.0050802,-0.23478,0.0079021,0.003966,0.017813,0.0069084,-16.489,0.33157,1.1431,-0.069835,-0.9663,0.25573,0,0,0,0,0,1,0.23333,0.23333,2.5,1.5
0.09691,318.3,0.028535,0.0097937,-0.21511,0.21788,0.028535,0.0097937,-0.21511,0.0084215,0.003876,0.01821,0.0073646,-16.49,0.33212,1.1432,-0.070582,-0.98039,0.26252,0,0,0,0,0,1,0.25667,0.25667,2.5,1.5
0.10783,318.24,0.031888,0.014507,-0.19543,0.19903,0.031888,0.014507,-0.19543,0.0089409,0.0037859,0.018607,0.0078208,-16.49,0.33268,1.1433,-0.071329,-0.99448,0.2693,0,0,0,0,0,1,0.28,0.28,2.5,1.5
0.11827,318.18,0.035312,0.019279,-0.17578,0.18061,0.035312,0.019279,-0.17578,0.0094146,0.0036974,0.018946,0.0082374,-16.491,0.33321,1.1434,-0.071441,-1.0067,0.27636,0,0,0,0,0,1,0.30333,0.30333,2.5,1.5
0.12586,318.12,0.039168,0.024398,-0.15628,0.16484,0.039168,0.024398,-0.15628,0.0096148,0.0036181,0.018934,0.0084158,-16.492,0.33362,1.1435,-0.06775,-1.0079,0.28508,0,0,0,0,0,1,0.32667,0.32667,2.5,1.5
0.13345,318.05,0.043023,0.029517,-0.13678,0.14907,0.043023,0.029517,-0.13678,0.009815,0.0035387,0.018922,0.0085942,-16.493,0.33402,1.1435,-0.06406,-1.0091,0.29379,0,0,0,0,0,1,0.35,0.35,2.5,1.5
0.14104,317.99,0.046879,0.034635,-0.11727,0.13331,0.046879,0.034635,-0.11727,0.010015,0.0034594,0.018911,0.0087726,-16.493,0.33443,1.1436,-0.060369,-1.0103,0.30251,0,0,0,0,0,1,0.37333,0.37333,2.5,1.5
0.14863,317.92,0.050734,0.039754,-0.097769,0.11754,0.050734,0.039754,-0.097769,0.010215,0.0033801,0.018899,0.008951,-16.494,0.33484,1.1437,-0.056678,-1.0115,0.31123,0,0,0,0,0,1,0.39667,0.39667,2.5,1.5
