"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","alphat","epsilon","k","nut","p","p_rgh","rho","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.31512,299.28,-0.064551,0.029176,0.019873,0.073573,-0.064551,0.029176,0.019873,0.00045961,0.00039949,0.0013441,0.00038211,0.021984,0.61,1.1977,-0.067005,-0.87711,0.86112,0,0,0,0,0,1,0,0,0,0
-0.31743,299.28,-0.069864,0.030445,0.021808,0.07985,-0.069864,0.030445,0.021808,0.00046924,0.00042755,0.0014032,0.00039,-0.03783,0.60891,1.1977,-0.064884,-0.88368,0.83367,0,0,0,0,0,1,0.030368,0.023333,0.016667,0.01
-0.31494,299.28,-0.075224,0.031375,0.02382,0.085776,-0.075224,0.031375,0.02382,0.0004804,0.00045707,0.0014667,0.00039919,-0.097668,0.60779,1.1977,-0.060931,-0.88264,0.78794,0,0,0,0,0,1,0.060736,0.046667,0.033333,0.02
-0.3077,299.29,-0.080626,0.031972,0.025914,0.091365,-0.080626,0.031972,0.025914,0.00049419,0.00048754,0.0015354,0.00041058,-0.15753,0.60665,1.1977,-0.05572,-0.87387,0.72402,0,0,0,0,0,1,0.091104,0.07,0.05,0.03
-0.29575,299.29,-0.086069,0.032241,0.028091,0.096631,-0.086069,0.032241,0.028091,0.00051169,0.00051845,0.00161,0.00042507,-0.21742,0.60548,1.1976,-0.049824,-0.85728,0.642,0,0,0,0,0,1,0.12147,0.093333,0.066667,0.04
-0.26897,299.29,-0.095452,0.030379,0.030489,0.10566,-0.095452,0.030379,0.030489,0.00053812,0.00056205,0.0017164,0.00044699,-0.27789,0.60376,1.1976,-0.029622,-0.85953,0.56556,0,0,0,0,0,1,0.15184,0.11667,0.083333,0.05
-0.23539,299.3,-0.10644,0.027162,0.033073,0.11606,-0.10644,0.027162,0.033073,0.00057292,0.00061001,0.0018415,0.0004759,-0.33861,0.60179,1.1976,-0.0042231,-0.85959,0.47258,0,0,0,0,0,1,0.18221,0.14,0.1,0.06
-0.19409,299.29,-0.11695,0.024373,0.03597,0.12644,-0.11695,0.024373,0.03597,0.00061876,0.00065776,0.0019819,0.00051387,-0.39999,0.59912,1.1975,0.0087014,-0.84498,0.33155,0,0,0,0,0,1,0.21258,0.16333,0.11667,0.07
-0.151,299.27,-0.12739,0.019919,0.039118,0.13577,-0.12739,0.019919,0.039118,0.00067556,0.00070229,0.0021336,0.00056097,-0.46136,0.59644,1.1975,0.025007,-0.81675,0.15121,0,0,0,0,0,1,0.24294,0.18667,0.13333,0.08
-0.11813,299.25,-0.1367,0.014147,0.042175,0.14422,-0.1367,0.014147,0.042175,0.00073758,0.00074206,0.0022852,0.00061246,-0.52251,0.594,1.1974,0.038784,-0.78386,-0.02431,0,0,0,0,0,1,0.27331,0.21,0.15,0.09
-0.10386,299.24,-0.14444,0.0073302,0.044966,0.15245,-0.14444,0.0073302,0.044966,0.00079889,0.00077773,0.0024295,0.0006634,-0.58331,0.59194,1.1973,0.046724,-0.75247,-0.16127,0,0,0,0,0,1,0.30368,0.23333,0.16667,0.1
-0.093509,299.23,-0.15184,-0.00057751,0.049769,0.16124,-0.15184,-0.00057751,0.049769,0.00089016,0.00081198,0.0026119,0.00073949,-0.70287,0.58977,1.1972,0.051982,-0.71035,-0.30742,0,0,0,0,0,1,0.33405,0.25667,0.18333,0.11
-0.085734,299.21,-0.15914,-0.0096815,0.054795,0.16988,-0.15914,-0.0096815,0.054795,0.00099664,0.00084128,0.0028084,0.00082827,-0.82239,0.58762,1.197,0.047598,-0.65975,-0.4648,0,0,0,0,0,1,0.36442,0.28,0.2,0.12
