"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","alphat","epsilon","k","nut","p","p_rgh","rho","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.36579,308.23,-0.031237,-0.2149,-0.10522,0.2423,-0.031237,-0.2149,-0.10522,0.00076429,0.0016877,0.0035909,0.00064717,-32.717,0.33395,1.1822,-0.5809,1.1116,-0.87822,0,0,0,0,0,1,0,0,2.5,2.85
-0.29366,307.86,-0.025557,-0.19089,-0.1063,0.22253,-0.025557,-0.19089,-0.1063,0.00078219,0.0016547,0.0035944,0.00066383,-32.718,0.33908,1.1824,-0.54671,0.97013,-0.53215,0,0,0,0,0,1,0.023333,0.023333,2.5,2.85
-0.22154,307.5,-0.019877,-0.16688,-0.10737,0.20277,-0.019877,-0.16688,-0.10737,0.0008001,0.0016217,0.003598,0.00068048,-32.719,0.34421,1.1826,-0.51253,0.82868,-0.18609,0,0,0,0,0,1,0.046667,0.046667,2.5,2.85
-0.14942,307.13,-0.014198,-0.14287,-0.10845,0.183,-0.014198,-0.14287,-0.10845,0.000818,0.0015887,0.0036016,0.00069714,-32.719,0.34934,1.1828,-0.47835,0.68722,0.15997,0,0,0,0,0,1,0.07,0.07,2.5,2.85
-0.077293,306.76,-0.0085182,-0.11887,-0.10953,0.16323,-0.0085182,-0.11887,-0.10953,0.0008359,0.0015557,0.0036051,0.0007138,-32.72,0.35447,1.183,-0.44416,0.54577,0.50603,0,0,0,0,0,1,0.093333,0.093333,2.5,2.85
-0.036226,306.22,-0.0046127,-0.084855,-0.11004,0.15226,-0.0046127,-0.084855,-0.11004,0.00087137,0.0015236,0.0036367,0.00074445,-32.721,0.3623,1.1833,-0.38808,0.38964,0.75163,0,0,0,0,0,1,0.11667,0.11667,2.5,2.85
-0.0075812,305.6,-0.0014169,-0.04684,-0.11032,0.1448,-0.0014169,-0.04684,-0.11032,0.00091386,0.0014918,0.0036795,0.0007807,-32.722,0.37122,1.1837,-0.32323,0.22764,0.95705,0,0,0,0,0,1,0.14,0.14,2.5,2.85
0.021064,304.98,0.0017789,-0.0088255,-0.1106,0.13735,0.0017789,-0.0088255,-0.1106,0.00095636,0.0014599,0.0037223,0.00081695,-32.723,0.38014,1.184,-0.25839,0.065633,1.1625,0,0,0,0,0,1,0.16333,0.16333,2.5,2.85
0.049708,304.37,0.0049747,0.029189,-0.11089,0.12989,0.0049747,0.029189,-0.11089,0.00099885,0.0014281,0.0037651,0.0008532,-32.725,0.38905,1.1844,-0.19354,-0.096369,1.3679,0,0,0,0,0,1,0.18667,0.18667,2.5,2.85
0.044154,303.88,0.0039034,0.058098,-0.11027,0.12967,0.0039034,0.058098,-0.11027,0.0010496,0.0014253,0.0038516,0.00089555,-32.726,0.39682,1.1847,-0.13917,-0.19539,1.3941,0,0,0,0,0,1,0.21,0.21,2.5,2.85
