"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","alphat","epsilon","k","nut","p","p_rgh","rho","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.027671,298.02,-0.02093,0.18261,0.012036,0.18462,-0.02093,0.18261,0.012036,0.00067337,0.00098576,0.0026216,0.00059044,-1.208,0.55453,1.195,-0.27127,0.25026,1.6424,0,0,0,0,0,1,0,0,2.5,0.15
-0.022789,298.01,-0.020522,0.17917,0.0051428,0.18137,-0.020522,0.17917,0.0051428,0.00085392,0.0010248,0.0029242,0.00074411,-1.208,0.55471,1.1951,-0.25483,0.27963,1.4245,0,0,0,0,0,1,0.023333,0.023333,2.5,0.15
-0.017907,298.01,-0.020115,0.17573,-0.0017504,0.17812,-0.020115,0.17573,-0.0017504,0.0010345,0.0010638,0.0032269,0.00089779,-1.2079,0.55488,1.1952,-0.23838,0.309,1.2066,0,0,0,0,0,1,0.046667,0.046667,2.5,0.15
-0.013024,298.01,-0.019707,0.17229,-0.0086435,0.17487,-0.019707,0.17229,-0.0086435,0.001215,0.0011028,0.0035296,0.0010515,-1.2078,0.55505,1.1952,-0.22193,0.33838,0.9887,0,0,0,0,0,1,0.07,0.07,2.5,0.15
-0.0081419,298,-0.0193,0.16885,-0.015537,0.17162,-0.0193,0.16885,-0.015537,0.0013956,0.0011418,0.0038322,0.0012051,-1.2077,0.55523,1.1953,-0.20549,0.36775,0.77081,0,0,0,0,0,1,0.093333,0.093333,2.5,0.15
-0.0095592,297.96,-0.018317,0.16463,-0.024336,0.16929,-0.018317,0.16463,-0.024336,0.0016364,0.0012068,0.0042406,0.0014085,-1.2074,0.5558,1.1954,-0.18403,0.38003,0.56407,0,0,0,0,0,1,0.11667,0.11667,2.5,0.15
-0.013496,297.9,-0.017105,0.1601,-0.033898,0.16732,-0.017105,0.1601,-0.033898,0.0019012,0.0012821,0.0046911,0.0016317,-1.207,0.55652,1.1955,-0.16057,0.38547,0.3618,0,0,0,0,0,1,0.14,0.14,2.5,0.15
-0.017434,297.84,-0.015893,0.15556,-0.043459,0.16536,-0.015893,0.15556,-0.043459,0.0021661,0.0013574,0.0051417,0.001855,-1.2066,0.55725,1.1957,-0.1371,0.39091,0.15952,0,0,0,0,0,1,0.16333,0.16333,2.5,0.15
-0.021371,297.78,-0.014681,0.15102,-0.053021,0.16339,-0.014681,0.15102,-0.053021,0.002431,0.0014327,0.0055922,0.0020782,-1.2063,0.55798,1.1958,-0.11364,0.39635,-0.042751,0,0,0,0,0,1,0.18667,0.18667,2.5,0.15
-0.030603,297.7,-0.012789,0.14789,-0.060312,0.16256,-0.012789,0.14789,-0.060312,0.0026336,0.0015031,0.0059488,0.0022475,-1.2058,0.55889,1.196,-0.096065,0.38688,-0.14814,0,0,0,0,0,1,0.21,0.21,2.5,0.15
-0.046896,297.58,-0.0099901,0.14662,-0.064574,0.16322,-0.0099901,0.14662,-0.064574,0.0027532,0.0015669,0.00618,0.002345,-1.2052,0.56005,1.1962,-0.086332,0.35753,-0.12434,0,0,0,0,0,1,0.23333,0.23333,2.5,0.15
-0.063188,297.46,-0.0071912,0.14536,-0.068836,0.16389,-0.0071912,0.14536,-0.068836,0.0028727,0.0016306,0.0064112,0.0024424,-1.2046,0.5612,1.1964,-0.076599,0.32817,-0.10054,0,0,0,0,0,1,0.25667,0.25667,2.5,0.15
-0.079481,297.34,-0.0043922,0.14409,-0.073098,0.16456,-0.0043922,0.14409,-0.073098,0.0029922,0.0016944,0.0066424,0.0025399,-1.2039,0.56236,1.1966,-0.066865,0.29882,-0.076747,0,0,0,0,0,1,0.28,0.28,2.5,0.15
-0.095088,297.22,-0.0013353,0.14304,-0.07711,0.16537,-0.0013353,0.14304,-0.07711,0.0031012,0.0017549,0.0068572,0.0026284,-1.2033,0.56351,1.1968,-0.058238,0.27244,-0.054269,0,0,0,0,0,1,0.30333,0.30333,2.5,0.15
