"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","alphat","epsilon","k","nut","p","p_rgh","rho","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.027845,311.54,-0.1649,0.013749,0.023629,0.16715,-0.1649,0.013749,0.023629,0.00078484,0.0022959,0.0042682,0.00067111,-16.612,0.42647,1.1575,0.11413,-0.45464,1.4073,0,0,0,0,0,1,0,3.5,0,1.5
-0.026825,311.57,-0.16035,0.013657,0.024206,0.16277,-0.16035,0.013657,0.024206,0.0010973,0.002278,0.0047192,0.00093295,-16.612,0.42667,1.1575,0.095319,-0.45686,1.2488,0,0,0,0,0,1,0.016667,3.5,0.016667,1.5
-0.025804,311.6,-0.1558,0.013565,0.024784,0.15839,-0.1558,0.013565,0.024784,0.0014097,0.00226,0.0051701,0.0011948,-16.613,0.42686,1.1576,0.076504,-0.45908,1.0903,0,0,0,0,0,1,0.033333,3.5,0.033333,1.5
-0.024784,311.62,-0.15125,0.013473,0.025362,0.15401,-0.15125,0.013473,0.025362,0.0017221,0.0022421,0.0056211,0.0014566,-16.613,0.42705,1.1576,0.057688,-0.4613,0.93178,0,0,0,0,0,1,0.05,3.5,0.05,1.5
-0.023764,311.65,-0.1467,0.013381,0.025939,0.14962,-0.1467,0.013381,0.025939,0.0020346,0.0022242,0.0060721,0.0017184,-16.613,0.42725,1.1576,0.038873,-0.46352,0.77328,0,0,0,0,0,1,0.066667,3.5,0.066667,1.5
-0.022744,311.68,-0.14215,0.013289,0.026517,0.14524,-0.14215,0.013289,0.026517,0.002347,0.0022063,0.0065231,0.0019803,-16.613,0.42744,1.1576,0.020058,-0.46574,0.61477,0,0,0,0,0,1,0.083333,3.5,0.083333,1.5
-0.021724,311.71,-0.1376,0.013197,0.027095,0.14086,-0.1376,0.013197,0.027095,0.0026594,0.0021883,0.0069741,0.0022421,-16.613,0.42763,1.1576,0.0012422,-0.46796,0.45627,0,0,0,0,0,1,0.1,3.5,0.1,1.5
-0.02253,311.76,-0.1285,0.012252,0.028752,0.13258,-0.1285,0.012252,0.028752,0.0031797,0.0022007,0.0077149,0.0026859,-16.613,0.42784,1.1577,-0.016582,-0.4709,0.2993,0,0,0,0,0,1,0.11667,3.5,0.11667,1.5
-0.023336,311.81,-0.1194,0.011306,0.03041,0.12431,-0.1194,0.011306,0.03041,0.0037,0.002213,0.0084558,0.0031298,-16.614,0.42806,1.1577,-0.034406,-0.47384,0.14232,0,0,0,0,0,1,0.13333,3.5,0.13333,1.5
-0.024143,311.86,-0.11031,0.01036,0.032068,0.11604,-0.11031,0.01036,0.032068,0.0042202,0.0022254,0.0091967,0.0035736,-16.614,0.42827,1.1578,-0.052231,-0.47679,-0.01465,0,0,0,0,0,1,0.15,3.5,0.15,1.5
-0.024949,311.92,-0.10121,0.0094147,0.033725,0.10777,-0.10121,0.0094147,0.033725,0.0047405,0.0022377,0.0099375,0.0040174,-16.615,0.42848,1.1578,-0.070055,-0.47973,-0.17162,0,0,0,0,0,1,0.16667,3.5,0.16667,1.5
-0.025756,311.97,-0.092118,0.008469,0.035383,0.099494,-0.092118,0.008469,0.035383,0.0052607,0.0022501,0.010678,0.0044612,-16.615,0.4287,1.1578,-0.087879,-0.48268,-0.3286,0,0,0,0,0,1,0.18333,3.5,0.18333,1.5
-0.026562,312.02,-0.083022,0.0075234,0.03704,0.091221,-0.083022,0.0075234,0.03704,0.005781,0.0022624,0.011419,0.0049051,-16.615,0.42891,1.1579,-0.1057,-0.48562,-0.48557,0,0,0,0,0,1,0.2,3.5,0.2,1.5
-0.029554,312.07,-0.073933,0.0053522,0.039462,0.08588,-0.073933,0.0053522,0.039462,0.006109,0.002318,0.011895,0.0051948,-16.616,0.42884,1.1579,-0.10141,-0.48684,-0.48146,0,0,0,0,0,1,0.21667,3.5,0.21667,1.5
-0.032545,312.11,-0.064845,0.0031811,0.041883,0.080538,-0.064845,0.0031811,0.041883,0.006437,0.0023735,0.012371,0.0054846,-16.616,0.42876,1.1579,-0.097117,-0.48805,-0.47735,0,0,0,0,0,1,0.23333,3.5,0.23333,1.5
