"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","alphat","epsilon","k","nut","p","p_rgh","rho","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.023262,295,0.00047786,0.0052868,0.74285,0.74287,0.00047786,0.0052868,0.74285,0.00098629,0.0083121,0.008925,0.00080978,0.043279,0.64445,1.218,-0.078882,0.0077096,-4.3155e-05,0,0,0,0,0,1,0,3.5,2.5,0
-0.026747,295,0.00054807,0.0054998,0.74164,0.74166,0.00054807,0.0054998,0.74164,0.00098451,0.0082444,0.0088796,0.00080831,-0.015806,0.64512,1.218,-0.077512,0.0076292,-5.0977e-05,0,0,0,0,0,1,0.01,3.5,2.5,0.01
-0.030233,295,0.00061829,0.0057128,0.74044,0.74046,0.00061829,0.0057128,0.74044,0.00098272,0.0081767,0.0088342,0.00080685,-0.07489,0.64578,1.218,-0.076142,0.0075487,-5.8799e-05,0,0,0,0,0,1,0.02,3.5,2.5,0.02
-0.033718,295,0.0006885,0.0059259,0.73923,0.73926,0.0006885,0.0059259,0.73923,0.00098094,0.008109,0.0087888,0.00080538,-0.13397,0.64644,1.218,-0.074772,0.0074682,-6.662e-05,0,0,0,0,0,1,0.03,3.5,2.5,0.03
-0.037203,295,0.00075871,0.0061389,0.73803,0.73805,0.00075871,0.0061389,0.73803,0.00097915,0.0080413,0.0087434,0.00080392,-0.19306,0.64711,1.218,-0.073402,0.0073878,-7.4442e-05,0,0,0,0,0,1,0.04,3.5,2.5,0.04
-0.040688,295,0.00082892,0.0063519,0.73682,0.73685,0.00082892,0.0063519,0.73682,0.00097736,0.0079736,0.008698,0.00080246,-0.25214,0.64777,1.218,-0.072032,0.0073073,-8.2264e-05,0,0,0,0,0,1,0.05,3.5,2.5,0.05
-0.044174,295,0.00089913,0.006565,0.73562,0.73565,0.00089913,0.006565,0.73562,0.00097558,0.0079059,0.0086526,0.00080099,-0.31123,0.64844,1.218,-0.070662,0.0072268,-9.0086e-05,0,0,0,0,0,1,0.06,3.5,2.5,0.06
-0.047659,295,0.00096934,0.006778,0.73441,0.73445,0.00096934,0.006778,0.73441,0.00097379,0.0078383,0.0086072,0.00079953,-0.37031,0.6491,1.218,-0.069292,0.0071464,-9.7908e-05,0,0,0,0,0,1,0.07,3.5,2.5,0.07
-0.051144,295,0.0010396,0.006991,0.73321,0.73324,0.0010396,0.006991,0.73321,0.000972,0.0077706,0.0085618,0.00079806,-0.4294,0.64977,1.218,-0.067922,0.0070659,-0.00010573,0,0,0,0,0,1,0.08,3.5,2.5,0.08
-0.054629,295,0.0011098,0.007204,0.732,0.73204,0.0011098,0.007204,0.732,0.00097022,0.0077029,0.0085164,0.0007966,-0.48848,0.65043,1.218,-0.066552,0.0069855,-0.00011355,0,0,0,0,0,1,0.09,3.5,2.5,0.09
-0.058115,295,0.00118,0.0074171,0.7308,0.73084,0.00118,0.0074171,0.7308,0.00096843,0.0076352,0.008471,0.00079513,-0.54757,0.65109,1.218,-0.065182,0.006905,-0.00012137,0,0,0,0,0,1,0.1,3.5,2.5,0.1
-0.066255,295,0.0013816,0.0077612,0.72756,0.72761,0.0013816,0.0077612,0.72756,0.00096538,0.0075127,0.0083877,0.00079264,-0.66494,0.65323,1.218,-0.063764,0.0068537,-0.00014225,0,0,0,0,0,1,0.11,3.5,2.5,0.11
-0.074396,295,0.0015833,0.0081053,0.72433,0.72438,0.0015833,0.0081053,0.72433,0.00096232,0.0073902,0.0083045,0.00079014,-0.78231,0.65536,1.218,-0.062345,0.0068024,-0.00016314,0,0,0,0,0,1,0.12,3.5,2.5,0.12
-0.082536,295,0.001785,0.0084494,0.7211,0.72115,0.001785,0.0084494,0.7211,0.00095927,0.0072677,0.0082213,0.00078764,-0.89969,0.6575,1.218,-0.060926,0.0067512,-0.00018402,0,0,0,0,0,1,0.13,3.5,2.5,0.13
-0.090677,295,0.0019867,0.0087935,0.71786,0.71792,0.0019867,0.0087935,0.71786,0.00095621,0.0071453,0.008138,0.00078514,-1.0171,0.65963,1.218,-0.059508,0.0066999,-0.0002049,0,0,0,0,0,1,0.14,3.5,2.5,0.14
-0.098817,295,0.0021883,0.0091375,0.71463,0.71469,0.0021883,0.0091375,0.71463,0.00095316,0.0070228,0.0080548,0.00078264,-1.1344,0.66176,1.218,-0.058089,0.0066486,-0.00022578,0,0,0,0,0,1,0.15,3.5,2.5,0.15
-0.10696,295,0.00239,0.0094816,0.71139,0.71146,0.00239,0.0094816,0.71139,0.0009501,0.0069003,0.0079716,0.00078014,-1.2518,0.6639,1.218,-0.05667,0.0065973,-0.00024666,0,0,0,0,0,1,0.16,3.5,2.5,0.16
-0.1151,295,0.0025917,0.0098257,0.70816,0.70823,0.0025917,0.0098257,0.70816,0.00094705,0.0067778,0.0078883,0.00077764,-1.3692,0.66603,1.218,-0.055251,0.0065461,-0.00026755,0,0,0,0,0,1,0.17,3.5,2.5,0.17
-0.12324,295,0.0027933,0.01017,0.70492,0.705,0.0027933,0.01017,0.70492,0.00094399,0.0066553,0.0078051,0.00077515,-1.4866,0.66816,1.218,-0.053833,0.0064948,-0.00028843,0,0,0,0,0,1,0.18,3.5,2.5,0.18
-0.13138,295,0.002995,0.010514,0.70169,0.70178,0.002995,0.010514,0.70169,0.00094094,0.0065328,0.0077219,0.00077265,-1.6039,0.6703,1.218,-0.052414,0.0064435,-0.00030931,0,0,0,0,0,1,0.19,3.5,2.5,0.19
-0.13952,295,0.0031967,0.010858,0.69846,0.69855,0.0031967,0.010858,0.69846,0.00093788,0.0064103,0.0076386,0.00077015,-1.7213,0.67243,1.218,-0.050995,0.0063922,-0.00033019,0,0,0,0,0,1,0.2,3.5,2.5,0.2
-0.15041,295,0.0034699,0.011046,0.6937,0.69379,0.0034699,0.011046,0.6937,0.00093612,0.0063104,0.00757,0.00076873,-1.8374,0.67588,1.218,-0.050918,0.0064464,-0.00035877,0,0,0,0,0,1,0.21,3.5,2.5,0.21
-0.16129,295,0.0037431,0.011233,0.68894,0.68904,0.0037431,0.011233,0.68894,0.00093435,0.0062104,0.0075013,0.0007673,-1.9535,0.67933,1.218,-0.05084,0.0065006,-0.00038735,0,0,0,0,0,1,0.22,3.5,2.5,0.22
-0.17218,295,0.0040163,0.011421,0.68418,0.68429,0.0040163,0.011421,0.68418,0.00093259,0.0061105,0.0074326,0.00076588,-2.0695,0.68278,1.218,-0.050762,0.0065547,-0.00041593,0,0,0,0,0,1,0.23,3.5,2.5,0.23
-0.18307,295,0.0042896,0.011608,0.67942,0.67953,0.0042896,0.011608,0.67942,0.00093082,0.0060105,0.007364,0.00076446,-2.1856,0.68623,1.218,-0.050685,0.0066089,-0.00044451,0,0,0,0,0,1,0.24,3.5,2.5,0.24
-0.19395,295,0.0045628,0.011796,0.67466,0.67478,0.0045628,0.011796,0.67466,0.00092906,0.0059106,0.0072953,0.00076304,-2.3017,0.68968,1.218,-0.050607,0.0066631,-0.00047309,0,0,0,0,0,1,0.25,3.5,2.5,0.25
-0.20484,295,0.004836,0.011984,0.6699,0.67003,0.004836,0.011984,0.6699,0.00092729,0.0058106,0.0072266,0.00076161,-2.4178,0.69313,1.218,-0.050529,0.0067172,-0.00050167,0,0,0,0,0,1,0.26,3.5,2.5,0.26
-0.21572,295,0.0051092,0.012171,0.66514,0.66527,0.0051092,0.012171,0.66514,0.00092552,0.0057106,0.007158,0.00076019,-2.5338,0.69658,1.218,-0.050452,0.0067714,-0.00053025,0,0,0,0,0,1,0.27,3.5,2.5,0.27
-0.22661,295,0.0053825,0.012359,0.66038,0.66052,0.0053825,0.012359,0.66038,0.00092376,0.0056107,0.0070893,0.00075877,-2.6499,0.70004,1.218,-0.050374,0.0068256,-0.00055883,0,0,0,0,0,1,0.28,3.5,2.5,0.28
-0.2375,295,0.0056557,0.012547,0.65562,0.65577,0.0056557,0.012547,0.65562,0.00092199,0.0055107,0.0070206,0.00075735,-2.766,0.70349,1.218,-0.050296,0.0068797,-0.00058741,0,0,0,0,0,1,0.29,3.5,2.5,0.29
-0.24838,295,0.0059289,0.012734,0.65086,0.65101,0.0059289,0.012734,0.65086,0.00092023,0.0054108,0.006952,0.00075592,-2.8821,0.70694,1.218,-0.050219,0.0069339,-0.00061599,0,0,0,0,0,1,0.3,3.5,2.5,0.3
-0.26325,295,0.006163,0.012787,0.64465,0.64481,0.006163,0.012787,0.64465,0.00092051,0.0053284,0.0068979,0.00075621,-2.9973,0.71129,1.218,-0.050198,0.0069735,-0.00064588,0,0,0,0,0,1,0.31,3.5,2.5,0.31
-0.27812,295,0.006397,0.01284,0.63844,0.6386,0.006397,0.01284,0.63844,0.00092079,0.005246,0.0068439,0.00075651,-3.1125,0.71564,1.218,-0.050178,0.0070131,-0.00067577,0,0,0,0,0,1,0.32,3.5,2.5,0.32
-0.29298,295,0.0066311,0.012893,0.63222,0.63239,0.0066311,0.012893,0.63222,0.00092107,0.0051636,0.0067898,0.0007568,-3.2276,0.71999,1.218,-0.050158,0.0070527,-0.00070565,0,0,0,0,0,1,0.33,3.5,2.5,0.33
