"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","alphat","epsilon","k","nut","p","p_rgh","rho","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.52728,313.94,-0.14273,0.034688,0.044691,0.15353,-0.14273,0.034688,0.044691,0.00053409,0.00066218,0.0019003,0.00046083,0.018733,0.58677,1.1589,0.10054,-1.4443,1.7697,0,0,0,0,0,1,0,0,0,0
-0.48547,313.95,-0.14597,0.038327,0.041708,0.15768,-0.14597,0.038327,0.041708,0.00054311,0.00069683,0.0019647,0.00046867,-0.040373,0.58444,1.1589,0.016628,-1.3449,1.6711,0,0,0,0,0,1,0.030368,0.023333,0.016667,0.01
-0.43915,313.96,-0.14896,0.042071,0.038125,0.16109,-0.14896,0.042071,0.038125,0.00055443,0.00073491,0.0020373,0.00047852,-0.099482,0.5821,1.1589,-0.063646,-1.2283,1.5567,0,0,0,0,0,1,0.060736,0.046667,0.033333,0.02
-0.3876,313.97,-0.15169,0.045917,0.033946,0.16376,-0.15169,0.045917,0.033946,0.00056956,0.00077542,0.0021193,0.00049167,-0.15859,0.57976,1.1589,-0.1387,-1.0942,1.4272,0,0,0,0,0,1,0.091104,0.07,0.05,0.03
-0.33008,313.99,-0.15415,0.049862,0.029177,0.16569,-0.15415,0.049862,0.029177,0.00058997,0.00081741,0.0022121,0.00050941,-0.21771,0.5774,1.1589,-0.20697,-0.94265,1.2831,0,0,0,0,0,1,0.12147,0.093333,0.066667,0.04
-0.27308,314,-0.1582,0.053653,0.019919,0.17021,-0.1582,0.053653,0.019919,0.00062201,0.0008756,0.0023455,0.00053719,-0.27631,0.5755,1.1589,-0.28784,-0.80238,1.1342,0,0,0,0,0,1,0.15184,0.11667,0.083333,0.05
-0.21424,314.03,-0.16267,0.057443,0.007945,0.17554,-0.16267,0.057443,0.007945,0.00066654,0.00094193,0.0025105,0.00057577,-0.3347,0.57379,1.159,-0.36237,-0.65478,0.97151,0,0,0,0,0,1,0.18221,0.14,0.1,0.06
-0.15072,314.05,-0.16658,0.065821,-0.0051696,0.18274,-0.16658,0.065821,-0.0051696,0.0007394,0.001034,0.0027541,0.00063897,-0.39356,0.57162,1.159,-0.44537,-0.48649,0.79863,0,0,0,0,0,1,0.21258,0.16333,0.11667,0.07
-0.079549,314.07,-0.17023,0.074254,-0.019494,0.18939,-0.17023,0.074254,-0.019494,0.00083478,0.0011265,0.0030349,0.00072174,-0.45244,0.56943,1.159,-0.50124,-0.29909,0.59861,0,0,0,0,0,1,0.24294,0.18667,0.13333,0.08
-0.042703,314.09,-0.17116,0.082424,-0.03268,0.19454,-0.17116,0.082424,-0.03268,0.00094621,0.0012181,0.0033402,0.00081837,-0.50999,0.5686,1.1591,-0.51959,-0.15009,0.40639,0,0,0,0,0,1,0.27331,0.21,0.15,0.09
