"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","alphat","epsilon","k","nut","p","p_rgh","rho","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.053856,312.88,0.0019483,-0.10982,-0.0026348,0.11002,0.0019483,-0.10982,-0.0026348,0.00054353,0.00075081,0.0020402,0.00046895,-31.886,0.31558,1.1516,0.21524,0.038054,-1.2218,0,0,0,0,0,1,0,0,2.5,2.85
0.053202,312.86,0.0021602,-0.11244,-0.0023201,0.11262,0.0021602,-0.11244,-0.0023201,0.00070757,0.00076464,0.0022604,0.00061137,-31.886,0.3156,1.1516,0.19912,0.041442,-1.1061,0,0,0,0,0,1,0.023333,0.023333,2.5,2.85
0.052548,312.85,0.0023721,-0.11505,-0.0020054,0.11523,0.0023721,-0.11505,-0.0020054,0.00087161,0.00077847,0.0024806,0.0007538,-31.886,0.31562,1.1516,0.183,0.04483,-0.99038,0,0,0,0,0,1,0.046667,0.046667,2.5,2.85
0.051894,312.83,0.0025841,-0.11766,-0.0016907,0.11783,0.0025841,-0.11766,-0.0016907,0.0010356,0.00079229,0.0027008,0.00089622,-31.886,0.31564,1.1516,0.16688,0.048219,-0.87465,0,0,0,0,0,1,0.07,0.07,2.5,2.85
0.05124,312.82,0.002796,-0.12027,-0.001376,0.12044,0.002796,-0.12027,-0.001376,0.0011997,0.00080612,0.002921,0.0010386,-31.886,0.31566,1.1516,0.15076,0.051607,-0.75893,0,0,0,0,0,1,0.093333,0.093333,2.5,2.85
0.051078,312.79,0.003157,-0.12412,-0.0013894,0.12432,0.003157,-0.12412,-0.0013894,0.0014102,0.00083282,0.0032066,0.0012208,-31.886,0.31578,1.1516,0.12726,0.064788,-0.64165,0,0,0,0,0,1,0.11667,0.11667,2.5,2.85
0.051111,312.76,0.0035775,-0.12846,-0.0015341,0.1287,0.0035775,-0.12846,-0.0015341,0.0016392,0.00086466,0.0035184,0.0014188,-31.886,0.31594,1.1516,0.10082,0.081886,-0.52376,0,0,0,0,0,1,0.14,0.14,2.5,2.85
0.051145,312.74,0.0039981,-0.1328,-0.0016788,0.13309,0.0039981,-0.1328,-0.0016788,0.0018683,0.0008965,0.0038302,0.0016168,-31.885,0.3161,1.1516,0.074372,0.098984,-0.40586,0,0,0,0,0,1,0.16333,0.16333,2.5,2.85
0.051179,312.71,0.0044187,-0.13714,-0.0018235,0.13748,0.0044187,-0.13714,-0.0018235,0.0020974,0.00092835,0.004142,0.0018148,-31.885,0.31626,1.1516,0.047928,0.11608,-0.28797,0,0,0,0,0,1,0.18667,0.18667,2.5,2.85
0.051671,312.68,0.0045788,-0.14084,-0.0026576,0.14127,0.0045788,-0.14084,-0.0026576,0.0022618,0.00095975,0.0043765,0.0019561,-31.885,0.31653,1.1516,0.024879,0.13741,-0.21949,0,0,0,0,0,1,0.21,0.21,2.5,2.85
0.052774,312.65,0.0043916,-0.1437,-0.0044107,0.14428,0.0043916,-0.1437,-0.0044107,0.00234,0.00099055,0.0045078,0.002022,-31.885,0.31695,1.1516,0.006359,0.16437,-0.21688,0,0,0,0,0,1,0.23333,0.23333,2.5,2.85
0.053878,312.62,0.0042044,-0.14656,-0.0061639,0.14729,0.0042044,-0.14656,-0.0061639,0.0024182,0.0010213,0.0046392,0.0020879,-31.884,0.31736,1.1516,-0.012162,0.19133,-0.21428,0,0,0,0,0,1,0.25667,0.25667,2.5,2.85
0.054981,312.59,0.0040172,-0.14942,-0.0079171,0.1503,0.0040172,-0.14942,-0.0079171,0.0024964,0.0010521,0.0047706,0.0021538,-31.884,0.31778,1.1516,-0.030682,0.21829,-0.21168,0,0,0,0,0,1,0.28,0.28,2.5,2.85
0.05573,312.56,0.0036334,-0.15211,-0.0098944,0.15318,0.0036334,-0.15211,-0.0098944,0.0025624,0.0010815,0.0048891,0.002209,-31.884,0.31823,1.1516,-0.048773,0.24482,-0.20936,0,0,0,0,0,1,0.30333,0.30333,2.5,2.85
