"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","alphat","epsilon","k","nut","p","p_rgh","rho","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.24724,313.8,-0.029853,0.31682,0.10158,0.33506,-0.029853,0.31682,0.10158,0.00073961,0.0017767,0.003674,0.0006421,-1.2189,0.48322,1.1536,-0.76676,-0.94922,3.0492,0,0,0,0,0,1,0,0,2.5,0.15
-0.23674,313.81,-0.032424,0.31432,0.099222,0.33226,-0.032424,0.31432,0.099222,0.00082144,0.0017461,0.0037805,0.00071308,-1.2195,0.48259,1.1536,-0.75011,-0.82291,2.6648,0,0,0,0,0,1,0.023333,0.023333,2.5,0.15
-0.22624,313.82,-0.034994,0.31181,0.096861,0.32947,-0.034994,0.31181,0.096861,0.00090326,0.0017154,0.003887,0.00078406,-1.2201,0.48196,1.1535,-0.73346,-0.69661,2.2803,0,0,0,0,0,1,0.046667,0.046667,2.5,0.15
-0.21575,313.83,-0.037565,0.3093,0.0945,0.32667,-0.037565,0.3093,0.0945,0.00098508,0.0016848,0.0039935,0.00085504,-1.2207,0.48133,1.1535,-0.7168,-0.5703,1.8959,0,0,0,0,0,1,0.07,0.07,2.5,0.15
-0.20525,313.84,-0.040136,0.30679,0.09214,0.32387,-0.040136,0.30679,0.09214,0.0010669,0.0016542,0.0041001,0.00092602,-1.2212,0.4807,1.1535,-0.70015,-0.444,1.5115,0,0,0,0,0,1,0.093333,0.093333,2.5,0.15
-0.18831,313.85,-0.044875,0.302,0.088275,0.31904,-0.044875,0.302,0.088275,0.0011925,0.001635,0.004282,0.0010346,-1.222,0.47996,1.1534,-0.67023,-0.32411,1.1264,0,0,0,0,0,1,0.11667,0.11667,2.5,0.15
-0.1688,313.87,-0.050481,0.29628,0.083809,0.31339,-0.050481,0.29628,0.083809,0.0013356,0.0016203,0.0044942,0.0011582,-1.2227,0.47918,1.1534,-0.63501,-0.20679,0.74109,0,0,0,0,0,1,0.14,0.14,2.5,0.15
-0.14928,313.88,-0.056086,0.29057,0.079343,0.30775,-0.056086,0.29057,0.079343,0.0014786,0.0016056,0.0047063,0.0012818,-1.2235,0.4784,1.1534,-0.59978,-0.089471,0.35574,0,0,0,0,0,1,0.16333,0.16333,2.5,0.15
-0.12976,313.89,-0.061692,0.28486,0.074877,0.3021,-0.061692,0.28486,0.074877,0.0016217,0.001591,0.0049185,0.0014055,-1.2243,0.47762,1.1534,-0.56456,0.027848,-0.029614,0,0,0,0,0,1,0.18667,0.18667,2.5,0.15
-0.11336,313.89,-0.066753,0.27893,0.07066,0.29647,-0.066753,0.27893,0.07066,0.0017498,0.0015969,0.0051223,0.0015158,-1.2249,0.47713,1.1535,-0.52966,0.087311,-0.24771,0,0,0,0,0,1,0.21,0.21,2.5,0.15
