"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","alphat","epsilon","k","nut","p","p_rgh","rho","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.0065715,313.57,-0.0013381,0.1291,0.20823,0.24501,-0.0013381,0.1291,0.20823,0.00069941,0.0015971,0.0033771,0.00060357,-16.624,0.33922,1.1525,0.90098,-2.118,1.2372,0,0,0,0,0,1,0,0,2.5,1.5
-0.0080976,313.55,-0.0010955,0.12798,0.20913,0.2452,-0.0010955,0.12798,0.20913,0.0010249,0.0016019,0.0038664,0.00087928,-16.624,0.33953,1.1525,0.88579,-1.8706,1.0815,0,0,0,0,0,1,0.023333,0.023333,2.5,1.5
-0.0096237,313.54,-0.00085295,0.12687,0.21004,0.2454,-0.00085295,0.12687,0.21004,0.0013503,0.0016066,0.0043557,0.001155,-16.624,0.33984,1.1525,0.87061,-1.6232,0.92588,0,0,0,0,0,1,0.046667,0.046667,2.5,1.5
-0.01115,313.52,-0.00061039,0.12575,0.21094,0.2456,-0.00061039,0.12575,0.21094,0.0016758,0.0016113,0.004845,0.0014307,-16.624,0.34014,1.1525,0.85542,-1.3758,0.77022,0,0,0,0,0,1,0.07,0.07,2.5,1.5
-0.012676,313.51,-0.00036783,0.12463,0.21184,0.24579,-0.00036783,0.12463,0.21184,0.0020013,0.001616,0.0053343,0.0017064,-16.624,0.34045,1.1525,0.84023,-1.1284,0.61456,0,0,0,0,0,1,0.093333,0.093333,2.5,1.5
-0.016794,313.45,0.00064989,0.12288,0.21249,0.24549,0.00064989,0.12288,0.21249,0.0024688,0.0016386,0.006011,0.0021026,-16.624,0.34094,1.1526,0.81252,-0.8709,0.46083,0,0,0,0,0,1,0.11667,0.11667,2.5,1.5
-0.021949,313.38,0.0019777,0.12086,0.21303,0.24499,0.0019777,0.12086,0.21303,0.0029931,0.0016684,0.0067626,0.0025469,-16.624,0.34151,1.1526,0.77979,-0.60933,0.30788,0,0,0,0,0,1,0.14,0.14,2.5,1.5
-0.027104,313.31,0.0033055,0.11885,0.21358,0.24449,0.0033055,0.11885,0.21358,0.0035175,0.0016982,0.0075142,0.0029913,-16.624,0.34207,1.1526,0.74706,-0.34776,0.15493,0,0,0,0,0,1,0.16333,0.16333,2.5,1.5
-0.032259,313.24,0.0046332,0.11683,0.21412,0.24399,0.0046332,0.11683,0.21412,0.0040419,0.001728,0.0082659,0.0034357,-16.624,0.34263,1.1527,0.71434,-0.086193,0.0019858,0,0,0,0,0,1,0.18667,0.18667,2.5,1.5
-0.037564,313.14,0.0064709,0.11511,0.2136,0.24275,0.0064709,0.11511,0.2136,0.0044879,0.0017636,0.0088846,0.0038132,-16.624,0.34315,1.1527,0.68111,0.074717,-0.08251,0,0,0,0,0,1,0.21,0.21,2.5,1.5
-0.043069,312.98,0.0089885,0.11377,0.21165,0.24052,0.0089885,0.11377,0.21165,0.0048297,0.0018069,0.0093262,0.0041016,-16.624,0.34359,1.1528,0.64722,0.10142,-0.075737,0,0,0,0,0,1,0.23333,0.23333,2.5,1.5
-0.048574,312.83,0.011506,0.11242,0.20971,0.23828,0.011506,0.11242,0.20971,0.0051714,0.0018502,0.0097678,0.00439,-16.624,0.34403,1.1528,0.61332,0.12812,-0.068964,0,0,0,0,0,1,0.25667,0.25667,2.5,1.5
-0.054079,312.68,0.014024,0.11108,0.20776,0.23605,0.014024,0.11108,0.20776,0.0055132,0.0018935,0.010209,0.0046783,-16.624,0.34447,1.1528,0.57943,0.15482,-0.062191,0,0,0,0,0,1,0.28,0.28,2.5,1.5
-0.059144,312.51,0.016603,0.10985,0.20551,0.23363,0.016603,0.10985,0.20551,0.0058426,0.0019354,0.010633,0.0049559,-16.624,0.34489,1.1529,0.54604,0.1808,-0.055439,0,0,0,0,0,1,0.30333,0.30333,2.5,1.5
-0.061567,312.3,0.019552,0.10931,0.20141,0.23009,0.019552,0.10931,0.20141,0.0060981,0.0019687,0.010952,0.0051687,-16.624,0.34514,1.1529,0.51569,0.20249,-0.04882,0,0,0,0,0,1,0.32667,0.32667,2.5,1.5
-0.06399,312.08,0.022501,0.10876,0.19731,0.22655,0.022501,0.10876,0.19731,0.0063535,0.002002,0.011271,0.0053815,-16.625,0.34538,1.153,0.48534,0.22419,-0.0422,0,0,0,0,0,1,0.35,0.35,2.5,1.5
-0.066413,311.86,0.02545,0.10821,0.19321,0.22301,0.02545,0.10821,0.19321,0.006609,0.0020353,0.011589,0.0055943,-16.625,0.34563,1.153,0.45499,0.24588,-0.035581,0,0,0,0,0,1,0.37333,0.37333,2.5,1.5
-0.068835,311.64,0.0284,0.10767,0.18911,0.21947,0.0284,0.10767,0.18911,0.0068644,0.0020686,0.011908,0.0058071,-16.625,0.34588,1.153,0.42464,0.26757,-0.028961,0,0,0,0,0,1,0.39667,0.39667,2.5,1.5
-0.069695,311.39,0.031362,0.10747,0.18374,0.21531,0.031362,0.10747,0.18374,0.0070795,0.0020987,0.012178,0.005985,-16.626,0.34589,1.1531,0.39808,0.2838,-0.02579,0,0,0,0,0,1,0.42,0.42,2.5,1.5
-0.070293,311.14,0.034326,0.10733,0.17816,0.21104,0.034326,0.10733,0.17816,0.0072878,0.0021284,0.012439,0.0061571,-16.627,0.34586,1.1531,0.37215,0.29913,-0.023193,0,0,0,0,0,1,0.44333,0.44333,2.5,1.5
-0.070891,310.89,0.037291,0.1072,0.17258,0.20678,0.037291,0.1072,0.17258,0.0074961,0.002158,0.012701,0.0063292,-16.627,0.34583,1.1532,0.34622,0.31445,-0.020596,0,0,0,0,0,1,0.46667,0.46667,2.5,1.5
-0.07149,310.64,0.040255,0.10706,0.16701,0.20251,0.040255,0.10706,0.16701,0.0077044,0.0021877,0.012962,0.0065013,-16.628,0.3458,1.1532,0.32028,0.32977,-0.017999,0,0,0,0,0,1,0.49,0.49,2.5,1.5
-0.07167,310.4,0.043126,0.10685,0.16093,0.19808,0.043126,0.10685,0.16093,0.0078997,0.0022168,0.013211,0.0066634,-16.629,0.34559,1.1533,0.29628,0.34216,-0.018123,0,0,0,0,0,1,0.51333,0.51333,2.5,1.5
-0.071538,310.17,0.045927,0.10658,0.15449,0.19354,0.045927,0.10658,0.15449,0.0080852,0.0022456,0.01345,0.0068179,-16.629,0.34525,1.1533,0.27371,0.35234,-0.020287,0,0,0,0,0,1,0.53667,0.53667,2.5,1.5
-0.071405,309.93,0.048728,0.10631,0.14804,0.18899,0.048728,0.10631,0.14804,0.0082706,0.0022744,0.013689,0.0069724,-16.63,0.34491,1.1533,0.25115,0.36252,-0.022451,0,0,0,0,0,1,0.56,0.56,2.5,1.5
