"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","alphat","epsilon","k","nut","p","p_rgh","rho","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.0047522,311.02,0.12255,-0.0027652,-0.16424,0.20494,0.12255,-0.0027652,-0.16424,0.00085626,0.0024141,0.0046832,0.00076799,-16.189,0.54153,1.1371,-0.96831,-0.40873,-1.354,0,0,0,0,0,1,0,3.5,0,1.5
0.0052419,311.03,0.12476,-0.0020704,-0.15337,0.1988,0.12476,-0.0020704,-0.15337,0.001097,0.0024174,0.005118,0.00098533,-16.189,0.53993,1.137,-0.78341,-0.41146,-1.2411,0,0,0,0,0,1,0.016667,3.5,0.016667,1.5
0.015236,311.03,0.12697,-0.0013756,-0.14251,0.19266,0.12697,-0.0013756,-0.14251,0.0013377,0.0024208,0.0055528,0.0012027,-16.189,0.53832,1.1369,-0.59851,-0.41419,-1.1282,0,0,0,0,0,1,0.033333,3.5,0.033333,1.5
0.02523,311.03,0.12918,-0.00068078,-0.13164,0.18652,0.12918,-0.00068078,-0.13164,0.0015784,0.0024242,0.0059875,0.00142,-16.189,0.53672,1.1368,-0.41361,-0.41691,-1.0153,0,0,0,0,0,1,0.05,3.5,0.05,1.5
0.035224,311.03,0.13139,1.4034e-05,-0.12078,0.18038,0.13139,1.4034e-05,-0.12078,0.0018191,0.0024275,0.0064223,0.0016374,-16.189,0.53511,1.1367,-0.22871,-0.41964,-0.90242,0,0,0,0,0,1,0.066667,3.5,0.066667,1.5
0.045218,311.03,0.1336,0.00070885,-0.10991,0.17424,0.1336,0.00070885,-0.10991,0.0020598,0.0024309,0.0068571,0.0018547,-16.189,0.53351,1.1365,-0.043815,-0.42236,-0.78952,0,0,0,0,0,1,0.083333,3.5,0.083333,1.5
0.055212,311.04,0.13582,0.0014037,-0.099045,0.1681,0.13582,0.0014037,-0.099045,0.0023005,0.0024343,0.0072918,0.002072,-16.189,0.5319,1.1364,0.14108,-0.42509,-0.67662,0,0,0,0,0,1,0.1,3.5,0.1,1.5
0.064646,311.05,0.13634,0.0027465,-0.079323,0.16352,0.13634,0.0027465,-0.079323,0.0027058,0.0024094,0.0078399,0.0024301,-16.189,0.5288,1.1362,0.30159,-0.42413,-0.53814,0,0,0,0,0,1,0.11667,3.5,0.11667,1.5
0.07408,311.06,0.13686,0.0040894,-0.0596,0.15893,0.13686,0.0040894,-0.0596,0.003111,0.0023844,0.0083879,0.0027882,-16.188,0.52569,1.136,0.4621,-0.42317,-0.39966,0,0,0,0,0,1,0.13333,3.5,0.13333,1.5
0.083513,311.07,0.13738,0.0054322,-0.039877,0.15435,0.13738,0.0054322,-0.039877,0.0035163,0.0023595,0.0089359,0.0031463,-16.188,0.52258,1.1358,0.62261,-0.42221,-0.26117,0,0,0,0,0,1,0.15,3.5,0.15,1.5
0.092947,311.08,0.1379,0.0067751,-0.020154,0.14976,0.1379,0.0067751,-0.020154,0.0039215,0.0023346,0.0094839,0.0035044,-16.188,0.51948,1.1356,0.78311,-0.42125,-0.12269,0,0,0,0,0,1,0.16667,3.5,0.16667,1.5
0.10238,311.09,0.13842,0.0081179,-0.00043133,0.14518,0.13842,0.0081179,-0.00043133,0.0043268,0.0023097,0.010032,0.0038625,-16.188,0.51637,1.1353,0.94362,-0.42028,0.015791,0,0,0,0,0,1,0.18333,3.5,0.18333,1.5
0.11181,311.1,0.13894,0.0094608,0.019291,0.14059,0.13894,0.0094608,0.019291,0.004732,0.0022848,0.01058,0.0042206,-16.188,0.51326,1.1351,1.1041,-0.41932,0.15427,0,0,0,0,0,1,0.2,3.5,0.2,1.5
0.10784,311.15,0.13439,0.010588,0.033814,0.14301,0.13439,0.010588,0.033814,0.0050739,0.0022316,0.010767,0.0045115,-16.188,0.51001,1.1349,1.0509,-0.40901,0.1853,0,0,0,0,0,1,0.21667,3.5,0.21667,1.5
