"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","alphat","epsilon","k","nut","p","p_rgh","rho","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.040123,291,-0.0020247,-0.0032708,0.73992,0.73993,-0.0020247,-0.0032708,0.73992,0.00099909,0.008318,0.0089331,0.00081066,0.23176,0.83831,1.2324,0.050438,-0.031239,5.2701e-05,0,0,0,0,0,1,0,3.5,2.5,0
-0.047075,291,-0.0021421,-0.0034939,0.73819,0.7382,-0.0021421,-0.0034939,0.73819,0.00099761,0.0082505,0.0088891,0.00080945,0.17226,0.83925,1.2324,0.049779,-0.030836,5.6754e-05,0,0,0,0,0,1,0.01,3.5,2.5,0.01
-0.054027,291,-0.0022595,-0.003717,0.73647,0.73648,-0.0022595,-0.003717,0.73647,0.00099612,0.008183,0.0088451,0.00080824,0.11276,0.8402,1.2324,0.04912,-0.030432,6.0807e-05,0,0,0,0,0,1,0.02,3.5,2.5,0.02
-0.060979,291,-0.0023769,-0.0039401,0.73474,0.73475,-0.0023769,-0.0039401,0.73474,0.00099464,0.0081155,0.0088011,0.00080703,0.053261,0.84114,1.2324,0.048461,-0.030029,6.4861e-05,0,0,0,0,0,1,0.03,3.5,2.5,0.03
-0.067931,291,-0.0024943,-0.0041632,0.73301,0.73303,-0.0024943,-0.0041632,0.73301,0.00099315,0.008048,0.0087571,0.00080583,-0.0062371,0.84208,1.2324,0.047802,-0.029625,6.8914e-05,0,0,0,0,0,1,0.04,3.5,2.5,0.04
-0.074883,291,-0.0026117,-0.0043862,0.73128,0.7313,-0.0026117,-0.0043862,0.73128,0.00099167,0.0079806,0.0087131,0.00080462,-0.065735,0.84303,1.2324,0.047143,-0.029221,7.2967e-05,0,0,0,0,0,1,0.05,3.5,2.5,0.05
-0.081835,291,-0.0027291,-0.0046093,0.72955,0.72958,-0.0027291,-0.0046093,0.72955,0.00099018,0.0079131,0.0086692,0.00080341,-0.12523,0.84397,1.2324,0.046483,-0.028818,7.702e-05,0,0,0,0,0,1,0.06,3.5,2.5,0.06
-0.088786,291,-0.0028465,-0.0048324,0.72783,0.72785,-0.0028465,-0.0048324,0.72783,0.0009887,0.0078456,0.0086252,0.0008022,-0.18473,0.84492,1.2324,0.045824,-0.028414,8.1074e-05,0,0,0,0,0,1,0.07,3.5,2.5,0.07
-0.095738,291,-0.0029639,-0.0050555,0.7261,0.72612,-0.0029639,-0.0050555,0.7261,0.00098721,0.0077781,0.0085812,0.00080099,-0.24423,0.84586,1.2324,0.045165,-0.02801,8.5127e-05,0,0,0,0,0,1,0.08,3.5,2.5,0.08
-0.10269,291,-0.0030813,-0.0052786,0.72437,0.7244,-0.0030813,-0.0052786,0.72437,0.00098573,0.0077106,0.0085372,0.00079978,-0.30373,0.8468,1.2324,0.044506,-0.027607,8.918e-05,0,0,0,0,0,1,0.09,3.5,2.5,0.09
-0.10964,291,-0.0031987,-0.0055017,0.72264,0.72267,-0.0031987,-0.0055017,0.72264,0.00098424,0.0076431,0.0084932,0.00079857,-0.36323,0.84775,1.2324,0.043847,-0.027203,9.3233e-05,0,0,0,0,0,1,0.1,3.5,2.5,0.1
-0.12554,291,-0.0034341,-0.0060219,0.71799,0.71803,-0.0034341,-0.0060219,0.71799,0.0009823,0.0075206,0.0084143,0.00079699,-0.48106,0.85079,1.2324,0.043341,-0.026926,0.00010241,0,0,0,0,0,1,0.11,3.5,2.5,0.11
