"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","alphat","epsilon","k","nut","p","p_rgh","rho","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.48617,312.76,-0.026876,-0.045064,0.074746,0.091324,-0.026876,-0.045064,0.074746,0.00054856,0.00076327,0.0020713,0.00047496,0.20271,0.76785,1.1473,1.0657,-0.98306,-0.37185,0,0,0,0,0,1,0,0,0,0
-0.49594,312.76,-0.027259,-0.051076,0.07615,0.096474,-0.027259,-0.051076,0.07615,0.00056361,0.00083259,0.0021897,0.00048814,0.1457,0.76713,1.1474,1.052,-0.89684,-0.36358,0,0,0,0,0,1,0.030368,0.023333,0.016667,0.01
-0.50425,312.75,-0.027574,-0.056986,0.077569,0.10143,-0.027574,-0.056986,0.077569,0.00058102,0.00090707,0.0023184,0.00050342,0.08864,0.76638,1.1475,1.0274,-0.80535,-0.34985,0,0,0,0,0,1,0.060736,0.046667,0.033333,0.02
-0.51061,312.74,-0.027818,-0.062789,0.079,0.10617,-0.027818,-0.062789,0.079,0.00060227,0.00098571,0.0024593,0.00052212,0.031536,0.7656,1.1476,0.9917,-0.70855,-0.33089,0,0,0,0,0,1,0.091104,0.07,0.05,0.03
-0.51454,312.73,-0.027987,-0.068484,0.080441,0.11071,-0.027987,-0.068484,0.080441,0.00062887,0.0010675,0.0026142,0.00054558,-0.025611,0.76477,1.1477,0.94483,-0.60642,-0.30693,0,0,0,0,0,1,0.12147,0.093333,0.066667,0.04
-0.51772,312.71,-0.028565,-0.075042,0.081527,0.1158,-0.028565,-0.075042,0.081527,0.00066962,0.0011836,0.0028369,0.00058151,-0.082735,0.76406,1.1479,0.88967,-0.50129,-0.26879,0,0,0,0,0,1,0.15184,0.11667,0.083333,0.05
-0.51739,312.68,-0.029314,-0.081874,0.082427,0.12094,-0.029314,-0.081874,0.082427,0.00072411,0.0013158,0.0031053,0.00062958,-0.13992,0.76334,1.1482,0.8233,-0.39106,-0.22288,0,0,0,0,0,1,0.18221,0.14,0.1,0.06
-0.49937,312.67,-0.030038,-0.093714,0.082356,0.13034,-0.030038,-0.093714,0.082356,0.00080294,0.0014827,0.0034612,0.0006991,-0.19818,0.76154,1.1484,0.774,-0.2725,-0.17655,0,0,0,0,0,1,0.21258,0.16333,0.11667,0.07
-0.47506,312.65,-0.030775,-0.10536,0.082159,0.13932,-0.030775,-0.10536,0.082159,0.0009022,0.0016532,0.0038619,0.00078674,-0.25656,0.75966,1.1487,0.70562,-0.14908,-0.11514,0,0,0,0,0,1,0.24294,0.18667,0.13333,0.08
-0.44104,312.63,-0.030732,-0.11616,0.081688,0.14729,-0.030732,-0.11616,0.081688,0.0010163,0.0018191,0.0042845,0.00088731,-0.31505,0.75768,1.1489,0.61249,-0.063442,-0.078729,0,0,0,0,0,1,0.27331,0.21,0.15,0.09
-0.39571,312.62,-0.029819,-0.12587,0.080766,0.154,-0.029819,-0.12587,0.080766,0.0011403,0.0019773,0.0047152,0.00099619,-0.37367,0.75559,1.1491,0.49305,-0.033364,-0.089651,0,0,0,0,0,1,0.30368,0.23333,0.16667,0.1
-0.33646,312.61,-0.02854,-0.13357,0.08185,0.16133,-0.02854,-0.13357,0.08185,0.0013136,0.0021227,0.0052125,0.0011479,-0.4892,0.75287,1.1493,0.35725,-0.0014034,-0.096811,0,0,0,0,0,1,0.33405,0.25667,0.18333,0.11
-0.2729,312.6,-0.027432,-0.14065,0.082347,0.16736,-0.027432,-0.14065,0.082347,0.0015211,0.0022588,0.0057614,0.0013295,-0.60484,0.75012,1.1495,0.19677,0.032115,-0.10044,0,0,0,0,0,1,0.36442,0.28,0.2,0.12
-0.22043,312.58,-0.027312,-0.14699,0.082718,0.17389,-0.027312,-0.14699,0.082718,0.0017305,0.002389,0.0062951,0.0015132,-0.72057,0.74729,1.1497,0.1149,0.059941,-0.072263,0,0,0,0,0,1,0.39479,0.30333,0.21667,0.13
-0.17082,312.58,-0.025821,-0.15206,0.08255,0.17857,-0.025821,-0.15206,0.08255,0.001962,0.0025008,0.0068392,0.0017155,-0.83637,0.74438,1.1498,0.01436,0.088387,-0.046713,0,0,0,0,0,1,0.42515,0.32667,0.23333,0.14
-0.12267,312.58,-0.024425,-0.1564,0.081682,0.18186,-0.024425,-0.1564,0.081682,0.0022246,0.0026049,0.007427,0.0019448,-0.95219,0.74153,1.1499,-0.10089,0.11776,-0.021702,0,0,0,0,0,1,0.45552,0.35,0.25,0.15
-0.076289,312.58,-0.02311,-0.15998,0.080069,0.18374,-0.02311,-0.15998,0.080069,0.0025206,0.0027003,0.0080601,0.002203,-1.068,0.73874,1.1501,-0.23092,0.14826,0.002762,0,0,0,0,0,1,0.48589,0.37333,0.26667,0.16
-0.031948,312.58,-0.021861,-0.16277,0.077667,0.18416,-0.021861,-0.16277,0.077667,0.002852,0.0027855,0.0087405,0.002492,-1.1839,0.73604,1.1502,-0.37581,0.1801,0.026671,0,0,0,0,0,1,0.51626,0.39667,0.28333,0.17
0.0091209,312.59,-0.01962,-0.16385,0.074668,0.18247,-0.01962,-0.16385,0.074668,0.0032102,0.002845,0.0094278,0.0028035,-1.2997,0.73333,1.1503,-0.53581,0.20833,0.049128,0,0,0,0,0,1,0.54663,0.42,0.3,0.18
0.043282,312.6,-0.017425,-0.16228,0.071636,0.17938,-0.017425,-0.16228,0.071636,0.0035895,0.0028872,0.010128,0.0031331,-1.4154,0.73083,1.1504,-0.7073,0.23047,0.065877,0,0,0,0,0,1,0.57699,0.44333,0.31667,0.19
0.075664,312.61,-0.015245,-0.15996,0.067816,0.17518,-0.015245,-0.15996,0.067816,0.0040046,0.0029194,0.010875,0.0034934,-1.531,0.72846,1.1506,-0.88929,0.25142,0.081542,0,0,0,0,0,1,0.60736,0.46667,0.33333,0.2
0.099035,312.62,-0.013243,-0.15829,0.062219,0.1719,-0.013243,-0.15829,0.062219,0.0043632,0.0029745,0.011431,0.0038011,-1.6466,0.72611,1.1507,-0.91628,0.25143,0.093194,0,0,0,0,0,1,0.63773,0.49,0.35,0.21
0.11891,312.63,-0.010717,-0.15551,0.056199,0.16726,-0.010717,-0.15551,0.056199,0.0047303,0.0030115,0.011952,0.0041155,-1.762,0.72387,1.1509,-0.93812,0.24677,0.098809,0,0,0,0,0,1,0.6681,0.51333,0.36667,0.22
0.13579,312.65,-0.0077858,-0.15184,0.049709,0.16146,-0.0077858,-0.15184,0.049709,0.0051074,0.0030328,0.012444,0.0044379,-1.8773,0.72175,1.151,-0.95571,0.23775,0.098858,0,0,0,0,0,1,0.69847,0.53667,0.38333,0.23
0.15111,312.67,-0.0048348,-0.14765,0.042474,0.15461,-0.0048348,-0.14765,0.042474,0.0055044,0.0030473,0.012937,0.0047769,-1.9925,0.71981,1.1511,-0.9716,0.22766,0.096608,0,0,0,0,0,1,0.72883,0.56,0.4,0.24
0.15882,312.68,-0.0016355,-0.14201,0.035487,0.14743,-0.0016355,-0.14201,0.035487,0.0058969,0.003067,0.013427,0.0051106,-2.1073,0.71836,1.1512,-0.98326,0.21358,0.089672,0,0,0,0,0,1,0.7592,0.58333,0.41667,0.25
0.16379,312.7,0.0017432,-0.13608,0.028295,0.1401,0.0017432,-0.13608,0.028295,0.006295,0.003075,0.013891,0.0054488,-2.222,0.71704,1.1514,-0.99,0.19636,0.077639,0,0,0,0,0,1,0.78957,0.60667,0.43333,0.26
0.16528,312.72,0.0055264,-0.13028,0.021664,0.13353,0.0055264,-0.13028,0.021664,0.0066812,0.0030618,0.014291,0.0057776,-2.3366,0.71574,1.1514,-0.98836,0.17238,0.05611,0,0,0,0,0,1,0.81994,0.63,0.45,0.27
0.16589,312.74,0.0093425,-0.12428,0.014564,0.1268,0.0093425,-0.12428,0.014564,0.0070823,0.0030436,0.01469,0.0061189,-2.451,0.71458,1.1515,-0.98532,0.14689,0.032565,0,0,0,0,0,1,0.85031,0.65333,0.46667,0.28
0.16564,312.76,0.013196,-0.1181,0.0069987,0.11995,0.013196,-0.1181,0.0069987,0.0074984,0.0030203,0.015088,0.0064728,-2.5654,0.71357,1.1516,-0.9809,0.11967,0.0068817,0,0,0,0,0,1,0.88068,0.67667,0.48333,0.29
0.16454,312.78,0.017091,-0.11173,-0.0010267,0.11304,0.017091,-0.11173,-0.0010267,0.0079298,0.0029919,0.015487,0.0068395,-2.6797,0.71271,1.1516,-0.97513,0.090497,-0.021064,0,0,0,0,0,1,0.91104,0.7,0.5,0.3
0.15496,312.8,0.021837,-0.10761,-0.0063847,0.11082,0.021837,-0.10761,-0.0063847,0.0081907,0.0029899,0.015711,0.0070605,-2.7934,0.71216,1.1517,-0.96009,0.062517,-0.051319,0,0,0,0,0,1,0.94141,0.72333,0.51667,0.31
0.14576,312.82,0.02663,-0.10342,-0.011837,0.109,0.02663,-0.10342,-0.011837,0.0084627,0.0029851,0.015939,0.0072911,-2.9071,0.71166,1.1517,-0.94421,0.033448,-0.081472,0,0,0,0,0,1,0.97178,0.74667,0.53333,0.32
0.13691,312.84,0.031469,-0.099169,-0.017365,0.10755,0.031469,-0.099169,-0.017365,0.0087456,0.0029783,0.016172,0.0075314,-3.0208,0.7112,1.1517,-0.9276,0.0031816,-0.11155,0,0,0,0,0,1,1.0021,0.77,0.55,0.33
0.12834,312.86,0.036352,-0.094853,-0.022948,0.10643,0.036352,-0.094853,-0.022948,0.0090395,0.0029704,0.016413,0.0077813,-3.1345,0.7108,1.1518,-0.91034,-0.028388,-0.14159,0,0,0,0,0,1,1.0325,0.79333,0.56667,0.34
0.12042,312.89,0.041256,-0.091532,-0.027236,0.10646,0.041256,-0.091532,-0.027236,0.0093269,0.0029637,0.016655,0.0080284,-3.2483,0.71019,1.1518,-0.8911,-0.056124,-0.16857,0,0,0,0,0,1,1.0629,0.81667,0.58333,0.35
0.11312,312.94,0.04616,-0.088591,-0.030905,0.10684,0.04616,-0.088591,-0.030905,0.009619,0.0029589,0.016909,0.0082809,-3.3621,0.70945,1.1518,-0.8713,-0.082977,-0.19441,0,0,0,0,0,1,1.0933,0.84,0.6,0.36
0.10501,312.98,0.051511,-0.085445,-0.032872,0.10722,0.051511,-0.085445,-0.032872,0.0098727,0.0029734,0.017184,0.0084997,-3.4758,0.70884,1.1518,-0.85092,-0.11001,-0.22083,0,0,0,0,0,1,1.1236,0.86333,0.61667,0.37
0.097509,313.04,0.056841,-0.08231,-0.03466,0.10754,0.056841,-0.08231,-0.03466,0.010139,0.0029914,0.017484,0.0087291,-3.5896,0.70818,1.1518,-0.83103,-0.13799,-0.24736,0,0,0,0,0,1,1.154,0.88667,0.63333,0.38
0.089926,313.11,0.062083,-0.079745,-0.035649,0.10827,0.062083,-0.079745,-0.035649,0.0104,0.0030144,0.0178,0.0089568,-3.7034,0.70734,1.1517,-0.81102,-0.16232,-0.27134,0,0,0,0,0,1,1.1844,0.91,0.65,0.39
0.081918,313.19,0.067205,-0.077963,-0.03558,0.10956,0.067205,-0.077963,-0.03558,0.010652,0.0030433,0.01813,0.0091785,-3.8174,0.70624,1.1517,-0.79075,-0.18104,-0.29195,0,0,0,0,0,1,1.2147,0.93333,0.66667,0.4
0.072387,313.27,0.072535,-0.077194,-0.035653,0.11382,0.072535,-0.077194,-0.035653,0.010844,0.0030799,0.018402,0.0093489,-3.9312,0.70508,1.1516,-0.76691,-0.19997,-0.309,0,0,0,0,0,1,1.2451,0.95667,0.68333,0.41
0.063446,313.36,0.077801,-0.076369,-0.035403,0.11735,0.077801,-0.076369,-0.035403,0.011046,0.0031195,0.018695,0.0095282,-4.045,0.70377,1.1515,-0.74334,-0.21979,-0.32627,0,0,0,0,0,1,1.2755,0.98,0.7,0.42
0.056151,313.47,0.083364,-0.075713,-0.033418,0.12033,0.083364,-0.075713,-0.033418,0.011219,0.0031656,0.018982,0.0096829,-4.159,0.70226,1.1513,-0.72204,-0.23665,-0.34289,0,0,0,0,0,1,1.3058,1.0033,0.71667,0.43
0.048298,313.59,0.088646,-0.075708,-0.030858,0.12413,0.088646,-0.075708,-0.030858,0.011362,0.0032056,0.019232,0.0098153,-4.2732,0.70081,1.1513,-0.70117,-0.24315,-0.35196,0,0,0,0,0,1,1.3362,1.0267,0.73333,0.44
0.040909,313.73,0.09382,-0.075762,-0.027931,0.12744,0.09382,-0.075762,-0.027931,0.011516,0.0032502,0.01951,0.0099577,-4.3874,0.69919,1.1512,-0.68072,-0.24993,-0.36157,0,0,0,0,0,1,1.3666,1.05,0.75,0.45
0.033952,313.88,0.098891,-0.075887,-0.024622,0.13025,0.098891,-0.075887,-0.024622,0.011681,0.0033005,0.019818,0.01011,-4.5018,0.69739,1.1511,-0.66076,-0.25699,-0.37176,0,0,0,0,0,1,1.3969,1.0733,0.76667,0.46
0.027398,314.05,0.10386,-0.076094,-0.020913,0.13256,0.10386,-0.076094,-0.020913,0.011857,0.0033574,0.020159,0.010273,-4.6162,0.6954,1.151,-0.64133,-0.26434,-0.38257,0,0,0,0,0,1,1.4273,1.0967,0.78333,0.47
0.021675,314.2,0.10831,-0.076348,-0.017628,0.13545,0.10831,-0.076348,-0.017628,0.011999,0.0034013,0.020434,0.010408,-4.7309,0.69386,1.1511,-0.6233,-0.26804,-0.38487,0,0,0,0,0,1,1.4577,1.12,0.8,0.48
0.018324,314.39,0.11283,-0.077143,-0.013241,0.13866,0.11283,-0.077143,-0.013241,0.012122,0.0034405,0.020675,0.010528,-4.8458,0.69192,1.1511,-0.60906,-0.2687,-0.38579,0,0,0,0,0,1,1.488,1.1433,0.81667,0.49
0.015055,314.6,0.11717,-0.078166,-0.0085307,0.1417,0.11717,-0.078166,-0.0085307,0.012254,0.0034874,0.02095,0.010657,-4.9608,0.68987,1.1511,-0.59536,-0.26955,-0.38708,0,0,0,0,0,1,1.5184,1.1667,0.83333,0.5
0.011436,314.82,0.12119,-0.080308,-0.0034994,0.14646,0.12119,-0.080308,-0.0034994,0.012347,0.0035361,0.02119,0.010753,-5.0757,0.68725,1.151,-0.57688,-0.27113,-0.38572,0,0,0,0,0,1,1.5488,1.19,0.85,0.51
0.0077358,315,0.12443,-0.082156,0.0014952,0.15056,0.12443,-0.082156,0.0014952,0.012413,0.0035827,0.021402,0.010826,-5.1906,0.68409,1.1508,-0.55848,-0.27734,-0.37949,0,0,0,0,0,1,1.5791,1.2133,0.86667,0.52
0.0037168,315.16,0.12696,-0.083892,0.0065477,0.15426,0.12696,-0.083892,0.0065477,0.012458,0.0036304,0.021603,0.010883,-5.3056,0.68044,1.1506,-0.54034,-0.28712,-0.36921,0,0,0,0,0,1,1.6095,1.2367,0.88333,0.53
-0.00071037,315.34,0.12917,-0.085891,0.012025,0.15766,0.12917,-0.085891,0.012025,0.01251,0.0036871,0.021839,0.010947,-5.4207,0.67648,1.1503,-0.52266,-0.29713,-0.35872,0,0,0,0,0,1,1.6399,1.26,0.9,0.54
-0.0027589,315.57,0.13114,-0.088777,0.01817,0.16128,0.13114,-0.088777,0.01817,0.012547,0.003742,0.022055,0.011,-5.5361,0.67114,1.1498,-0.51209,-0.30485,-0.34737,0,0,0,0,0,1,1.6702,1.2833,0.91667,0.55
-0.0058876,315.78,0.13242,-0.09152,0.024732,0.16442,0.13242,-0.09152,0.024732,0.012572,0.0038064,0.022288,0.011044,-5.6515,0.66506,1.1492,-0.50228,-0.31551,-0.33309,0,0,0,0,0,1,1.7006,1.3067,0.93333,0.56
-0.010266,315.92,0.13254,-0.093376,0.031725,0.16687,0.13254,-0.093376,0.031725,0.012558,0.0038756,0.022497,0.011052,-5.7669,0.65766,1.1484,-0.49328,-0.33306,-0.31141,0,0,0,0,0,1,1.731,1.33,0.95,0.57
-0.015534,316.06,0.13222,-0.095498,0.039104,0.16919,0.13222,-0.095498,0.039104,0.012547,0.0039566,0.022743,0.011063,-5.8823,0.64982,1.1475,-0.4856,-0.35076,-0.28794,0,0,0,0,0,1,1.7614,1.3533,0.96667,0.58
-0.021727,316.22,0.13144,-0.097881,0.046876,0.17139,0.13144,-0.097881,0.046876,0.012539,0.0040495,0.023027,0.011078,-5.9977,0.64153,1.1465,-0.47932,-0.36847,-0.26251,0,0,0,0,0,1,1.7917,1.3767,0.98333,0.59
