"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","alphat","epsilon","k","nut","p","p_rgh","rho","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.58221,330.44,-0.058033,-0.28652,-0.12223,0.31904,-0.058033,-0.28652,-0.12223,0.0011846,0.0079331,0.009968,0.0010617,-30.895,0.34865,1.1176,-0.48442,1.3196,-2.7934,0,0,0,0,0,1,0,0,2.5,2.85
-0.57476,330.42,-0.065569,-0.28492,-0.12204,0.31936,-0.065569,-0.28492,-0.12204,0.0013919,0.0079273,0.010602,0.001253,-30.897,0.35282,1.1178,-0.46321,1.1874,-2.4553,0,0,0,0,0,1,0.023333,0.023333,2.5,2.85
-0.56732,330.4,-0.073106,-0.28331,-0.12185,0.31968,-0.073106,-0.28331,-0.12185,0.0015993,0.0079215,0.011236,0.0014442,-30.9,0.357,1.118,-0.44199,1.0552,-2.1173,0,0,0,0,0,1,0.046667,0.046667,2.5,2.85
-0.55987,330.39,-0.080643,-0.28171,-0.12166,0.32,-0.080643,-0.28171,-0.12166,0.0018067,0.0079157,0.011869,0.0016355,-30.902,0.36117,1.1183,-0.42078,0.92309,-1.7793,0,0,0,0,0,1,0.07,0.07,2.5,2.85
-0.55243,330.37,-0.088179,-0.28011,-0.12147,0.32031,-0.088179,-0.28011,-0.12147,0.0020141,0.0079099,0.012503,0.0018267,-30.904,0.36534,1.1185,-0.39957,0.79094,-1.4412,0,0,0,0,0,1,0.093333,0.093333,2.5,2.85
-0.53413,330.34,-0.10229,-0.27733,-0.12055,0.32283,-0.10229,-0.27733,-0.12055,0.0022742,0.0080045,0.013356,0.0020681,-30.908,0.3689,1.1188,-0.36502,0.66966,-1.1056,0,0,0,0,0,1,0.11667,0.11667,2.5,2.85
-0.51149,330.3,-0.11904,-0.27407,-0.11934,0.32623,-0.11904,-0.27407,-0.11934,0.0025553,0.0081391,0.014296,0.0023295,-30.913,0.37222,1.119,-0.32514,0.55272,-0.77105,0,0,0,0,0,1,0.14,0.14,2.5,2.85
-0.48885,330.26,-0.13578,-0.27082,-0.11812,0.32962,-0.13578,-0.27082,-0.11812,0.0028364,0.0082738,0.015237,0.0025909,-30.917,0.37553,1.1193,-0.28526,0.43578,-0.43647,0,0,0,0,0,1,0.16333,0.16333,2.5,2.85
-0.46621,330.23,-0.15253,-0.26756,-0.11691,0.33302,-0.15253,-0.26756,-0.11691,0.0031174,0.0084085,0.016177,0.0028524,-30.922,0.37885,1.1196,-0.24537,0.31884,-0.10188,0,0,0,0,0,1,0.18667,0.18667,2.5,2.85
-0.43866,330.19,-0.16908,-0.26434,-0.11531,0.33763,-0.16908,-0.26434,-0.11531,0.0033282,0.0085885,0.016928,0.0030497,-30.926,0.37884,1.1198,-0.20745,0.26628,0.086572,0,0,0,0,0,1,0.21,0.21,2.5,2.85
