"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","alphat","epsilon","k","nut","p","p_rgh","rho","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.33276,322.11,0.015703,0.16043,-0.13941,0.21572,0.015703,0.16043,-0.13941,0.00093916,0.0035689,0.0058791,0.00082213,-0.86151,0.81758,1.1467,-0.055012,1.5058,1.8099,0,0,0,0,0,1,0,0,2.5,0.15
-0.36731,321.84,0.019724,0.16264,-0.14168,0.21919,0.019724,0.16264,-0.14168,0.0011125,0.0036479,0.0063881,0.00098096,-0.86113,0.81846,1.1469,-0.098407,1.3445,1.6271,0,0,0,0,0,1,0.023333,0.023333,2.5,0.15
-0.40186,321.57,0.023745,0.16485,-0.14395,0.22265,0.023745,0.16485,-0.14395,0.0012858,0.003727,0.0068972,0.0011398,-0.86076,0.81935,1.1472,-0.1418,1.1832,1.4443,0,0,0,0,0,1,0.046667,0.046667,2.5,0.15
-0.43642,321.3,0.027766,0.16706,-0.14622,0.22612,0.027766,0.16706,-0.14622,0.0014591,0.003806,0.0074062,0.0012986,-0.86038,0.82023,1.1474,-0.1852,1.0219,1.2616,0,0,0,0,0,1,0.07,0.07,2.5,0.15
-0.47097,321.03,0.031787,0.16927,-0.14849,0.22958,0.031787,0.16927,-0.14849,0.0016325,0.0038851,0.0079152,0.0014575,-0.86,0.82112,1.1477,-0.22859,0.86056,1.0788,0,0,0,0,0,1,0.093333,0.093333,2.5,0.15
-0.50041,320.62,0.039076,0.17092,-0.14951,0.2328,0.039076,0.17092,-0.14951,0.0018784,0.004019,0.0086137,0.001679,-0.85968,0.8223,1.1481,-0.28521,0.69049,0.88208,0,0,0,0,0,1,0.11667,0.11667,2.5,0.15
-0.52781,320.15,0.047673,0.17236,-0.15001,0.23591,0.047673,0.17236,-0.15001,0.0021535,0.0041749,0.009388,0.0019255,-0.85937,0.8236,1.1486,-0.34712,0.51692,0.67983,0,0,0,0,0,1,0.14,0.14,2.5,0.15
-0.55522,319.68,0.05627,0.1738,-0.15052,0.23903,0.05627,0.1738,-0.15052,0.0024285,0.0043308,0.010162,0.0021721,-0.85907,0.8249,1.149,-0.40903,0.34334,0.47757,0,0,0,0,0,1,0.16333,0.16333,2.5,0.15
-0.58262,319.21,0.064867,0.17523,-0.15103,0.24214,0.064867,0.17523,-0.15103,0.0027036,0.0044867,0.010937,0.0024187,-0.85877,0.8262,1.1495,-0.47093,0.16977,0.27531,0,0,0,0,0,1,0.18667,0.18667,2.5,0.15
-0.591,318.78,0.073086,0.17474,-0.14955,0.24311,0.073086,0.17474,-0.14955,0.0029393,0.0046378,0.01158,0.0026259,-0.85869,0.82726,1.15,-0.51775,0.069562,0.14679,0,0,0,0,0,1,0.21,0.21,2.5,0.15
-0.57403,318.43,0.0808,0.17169,-0.14543,0.24123,0.0808,0.17169,-0.14543,0.0031226,0.0047827,0.01205,0.0027807,-0.85893,0.82798,1.1504,-0.54445,0.067181,0.11658,0,0,0,0,0,1,0.23333,0.23333,2.5,0.15
-0.55707,318.07,0.088514,0.16864,-0.14131,0.23934,0.088514,0.16864,-0.14131,0.0033059,0.0049276,0.01252,0.0029356,-0.85916,0.8287,1.1509,-0.57115,0.0648,0.086373,0,0,0,0,0,1,0.25667,0.25667,2.5,0.15
-0.5401,317.72,0.096229,0.16559,-0.1372,0.23746,0.096229,0.16559,-0.1372,0.0034893,0.0050724,0.01299,0.0030904,-0.8594,0.82942,1.1513,-0.59784,0.062419,0.056163,0,0,0,0,0,1,0.28,0.28,2.5,0.15
-0.52318,317.37,0.10352,0.16226,-0.13306,0.23537,0.10352,0.16226,-0.13306,0.0036694,0.0052176,0.013453,0.0032418,-0.85963,0.83014,1.1518,-0.62227,0.06406,0.027786,0,0,0,0,0,1,0.30333,0.30333,2.5,0.15
-0.5066,317.1,0.10824,0.15724,-0.12882,0.232,0.10824,0.15724,-0.12882,0.0038304,0.0053649,0.013868,0.0033731,-0.85988,0.83088,1.1523,-0.63307,0.089829,0.010405,0,0,0,0,0,1,0.32667,0.32667,2.5,0.15
-0.49002,316.82,0.11295,0.15223,-0.12459,0.22863,0.11295,0.15223,-0.12459,0.0039913,0.0055121,0.014284,0.0035043,-0.86012,0.83161,1.1529,-0.64387,0.1156,-0.0069754,0,0,0,0,0,1,0.35,0.35,2.5,0.15
-0.47344,316.55,0.11767,0.14721,-0.12035,0.22527,0.11767,0.14721,-0.12035,0.0041523,0.0056594,0.014699,0.0036355,-0.86036,0.83235,1.1534,-0.65467,0.14137,-0.024356,0,0,0,0,0,1,0.37333,0.37333,2.5,0.15
-0.45686,316.28,0.12239,0.14219,-0.11611,0.2219,0.12239,0.14219,-0.11611,0.0043133,0.0058066,0.015114,0.0037668,-0.86061,0.83308,1.1539,-0.66547,0.16713,-0.041737,0,0,0,0,0,1,0.39667,0.39667,2.5,0.15
-0.44515,316.06,0.12457,0.13683,-0.11299,0.21814,0.12457,0.13683,-0.11299,0.0044733,0.0059876,0.015567,0.0038963,-0.86062,0.8342,1.1546,-0.66862,0.19965,-0.053807,0,0,0,0,0,1,0.42,0.42,2.5,0.15
-0.43426,315.85,0.12633,0.1314,-0.11005,0.21431,0.12633,0.1314,-0.11005,0.0046332,0.0061742,0.016025,0.0040256,-0.8606,0.83538,1.1552,-0.6705,0.23329,-0.064993,0,0,0,0,0,1,0.44333,0.44333,2.5,0.15
-0.42336,315.64,0.12808,0.12598,-0.10712,0.21048,0.12808,0.12598,-0.10712,0.004793,0.0063607,0.016484,0.0041549,-0.86058,0.83655,1.1559,-0.67238,0.26693,-0.076178,0,0,0,0,0,1,0.46667,0.46667,2.5,0.15
-0.41247,315.44,0.12984,0.12056,-0.10418,0.20665,0.12984,0.12056,-0.10418,0.0049529,0.0065473,0.016943,0.0042842,-0.86056,0.83773,1.1565,-0.67425,0.30058,-0.087364,0,0,0,0,0,1,0.49,0.49,2.5,0.15
-0.40499,315.26,0.13005,0.11545,-0.10242,0.20281,0.13005,0.11545,-0.10242,0.0051116,0.0067797,0.017456,0.0044122,-0.86031,0.83937,1.1573,-0.67137,0.33586,-0.096536,0,0,0,0,0,1,0.51333,0.51333,2.5,0.15
-0.40008,315.11,0.12909,0.11058,-0.10154,0.19897,0.12909,0.11058,-0.10154,0.0052693,0.0070465,0.018009,0.0045393,-0.85988,0.84136,1.1583,-0.66493,0.37239,-0.1042,0,0,0,0,0,1,0.53667,0.53667,2.5,0.15
-0.39518,314.96,0.12814,0.10571,-0.10066,0.19513,0.12814,0.10571,-0.10066,0.005427,0.0073133,0.018562,0.0046664,-0.85946,0.84334,1.1592,-0.65848,0.40891,-0.11186,0,0,0,0,0,1,0.56,0.56,2.5,0.15
-0.39027,314.81,0.12718,0.10084,-0.099785,0.19129,0.12718,0.10084,-0.099785,0.0055847,0.0075801,0.019116,0.0047935,-0.85904,0.84533,1.1601,-0.65204,0.44544,-0.11952,0,0,0,0,0,1,0.58333,0.58333,2.5,0.15
-0.38929,314.67,0.1255,0.096286,-0.099748,0.18767,0.1255,0.096286,-0.099748,0.0057363,0.0078903,0.019709,0.0049148,-0.8585,0.84763,1.1611,-0.64215,0.47878,-0.1266,0,0,0,0,0,1,0.60667,0.60667,2.5,0.15
-0.39816,314.55,0.12199,0.09254,-0.10181,0.1846,0.12199,0.09254,-0.10181,0.0058724,0.0083089,0.020402,0.0050217,-0.85766,0.85075,1.1625,-0.62365,0.50418,-0.1322,0,0,0,0,0,1,0.63,0.63,2.5,0.15
-0.40702,314.43,0.11849,0.088795,-0.10388,0.18154,0.11849,0.088795,-0.10388,0.0060086,0.0087275,0.021096,0.0051286,-0.85683,0.85387,1.1639,-0.60516,0.52958,-0.13781,0,0,0,0,0,1,0.65333,0.65333,2.5,0.15
-0.41589,314.31,0.11498,0.08505,-0.10594,0.17847,0.11498,0.08505,-0.10594,0.0061447,0.0091462,0.021789,0.0052355,-0.856,0.85698,1.1652,-0.58666,0.55498,-0.14341,0,0,0,0,0,1,0.67667,0.67667,2.5,0.15
-0.42476,314.19,0.11148,0.081305,-0.10801,0.17541,0.11148,0.081305,-0.10801,0.0062808,0.0095648,0.022483,0.0053424,-0.85517,0.8601,1.1666,-0.56816,0.58037,-0.14902,0,0,0,0,0,1,0.7,0.7,2.5,0.15
-0.47133,313.99,0.10557,0.078689,-0.11212,0.17362,0.10557,0.078689,-0.11212,0.0063482,0.010215,0.023317,0.0053871,-0.85391,0.86475,1.1687,-0.53916,0.50314,-0.15871,0,0,0,0,0,1,0.72333,0.72333,2.5,0.15
-0.51791,313.78,0.099662,0.076073,-0.11623,0.17184,0.099662,0.076073,-0.11623,0.0064157,0.010865,0.024151,0.0054318,-0.85266,0.86941,1.1708,-0.51015,0.42591,-0.1684,0,0,0,0,0,1,0.74667,0.74667,2.5,0.15
-0.56449,313.58,0.093752,0.073457,-0.12034,0.17005,0.093752,0.073457,-0.12034,0.0064831,0.011515,0.024985,0.0054765,-0.85141,0.87407,1.1729,-0.48115,0.34868,-0.17809,0,0,0,0,0,1,0.77,0.77,2.5,0.15
-0.61107,313.37,0.087843,0.070841,-0.12445,0.16827,0.087843,0.070841,-0.12445,0.0065505,0.012165,0.025819,0.0055212,-0.85015,0.87872,1.175,-0.45214,0.27145,-0.18778,0,0,0,0,0,1,0.79333,0.79333,2.5,0.15
