"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","alphat","epsilon","k","nut","p","p_rgh","rho","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.063355,308.17,0.28044,0.0024279,-0.24583,0.37295,0.28044,0.0024279,-0.24583,0.0010939,0.004269,0.0069248,0.00095104,-16.576,0.56644,1.1654,-1.6026,0.077822,-2.6124,0,0,0,0,0,1,0,3.5,0,1.5
-0.036543,308.11,0.27812,0.0053278,-0.23285,0.36339,0.27812,0.0053278,-0.23285,0.0012476,0.0042744,0.0073434,0.0011038,-16.576,0.56512,1.1654,-1.3264,0.089735,-2.3497,0,0,0,0,0,1,0.016667,3.5,0.016667,1.5
-0.0097309,308.06,0.27581,0.0082276,-0.21986,0.35384,0.27581,0.0082276,-0.21986,0.0014014,0.0042799,0.007762,0.0012566,-16.576,0.56381,1.1653,-1.0502,0.10165,-2.087,0,0,0,0,0,1,0.033333,3.5,0.033333,1.5
0.017081,308.01,0.27349,0.011127,-0.20687,0.34429,0.27349,0.011127,-0.20687,0.0015552,0.0042854,0.0081805,0.0014094,-16.577,0.5625,1.1652,-0.77406,0.11356,-1.8243,0,0,0,0,0,1,0.05,3.5,0.05,1.5
0.043893,307.95,0.27117,0.014027,-0.19388,0.33474,0.27117,0.014027,-0.19388,0.0017089,0.0042909,0.0085991,0.0015622,-16.577,0.56118,1.1652,-0.49788,0.12548,-1.5616,0,0,0,0,0,1,0.066667,3.5,0.066667,1.5
0.070705,307.9,0.26885,0.016927,-0.1809,0.32518,0.26885,0.016927,-0.1809,0.0018627,0.0042963,0.0090177,0.001715,-16.577,0.55987,1.1651,-0.22171,0.13739,-1.2988,0,0,0,0,0,1,0.083333,3.5,0.083333,1.5
0.097517,307.85,0.26653,0.019827,-0.16791,0.31563,0.26653,0.019827,-0.16791,0.0020164,0.0043018,0.0094362,0.0018678,-16.578,0.55856,1.165,0.054472,0.1493,-1.0361,0,0,0,0,0,1,0.1,3.5,0.1,1.5
0.12963,307.75,0.25964,0.025124,-0.14331,0.30168,0.25964,0.025124,-0.14331,0.0021687,0.0041919,0.0096695,0.0020142,-16.578,0.55572,1.1649,0.30065,0.18413,-0.76094,0,0,0,0,0,1,0.11667,3.5,0.11667,1.5
0.16173,307.64,0.25274,0.030421,-0.11871,0.28772,0.25274,0.030421,-0.11871,0.002321,0.0040821,0.0099028,0.0021607,-16.579,0.55288,1.1647,0.54683,0.21895,-0.48575,0,0,0,0,0,1,0.13333,3.5,0.13333,1.5
0.19384,307.54,0.24585,0.035718,-0.094109,0.27377,0.24585,0.035718,-0.094109,0.0024733,0.0039722,0.010136,0.0023071,-16.58,0.55004,1.1646,0.79301,0.25378,-0.21057,0,0,0,0,0,1,0.15,3.5,0.15,1.5
0.22595,307.44,0.23896,0.041014,-0.069509,0.25981,0.23896,0.041014,-0.069509,0.0026256,0.0038623,0.010369,0.0024536,-16.58,0.5472,1.1644,1.0392,0.2886,0.064624,0,0,0,0,0,1,0.16667,3.5,0.16667,1.5
0.25806,307.34,0.23207,0.046311,-0.04491,0.24586,0.23207,0.046311,-0.04491,0.0027779,0.0037524,0.010603,0.0026,-16.581,0.54436,1.1643,1.2854,0.32342,0.33981,0,0,0,0,0,1,0.18333,3.5,0.18333,1.5
0.29017,307.24,0.22517,0.051608,-0.02031,0.2319,0.22517,0.051608,-0.02031,0.0029302,0.0036426,0.010836,0.0027464,-16.581,0.54152,1.1641,1.5315,0.35825,0.615,0,0,0,0,0,1,0.2,3.5,0.2,1.5
0.29365,307.18,0.21588,0.055002,-0.0015,0.22759,0.21588,0.055002,-0.0015,0.0029623,0.0034283,0.010483,0.0027519,-16.582,0.53825,1.1639,1.4585,0.39815,0.62636,0,0,0,0,0,1,0.21667,3.5,0.21667,1.5
0.29713,307.12,0.2066,0.058397,0.01731,0.22328,0.2066,0.058397,0.01731,0.0029943,0.0032141,0.01013,0.0027574,-16.582,0.53497,1.1637,1.3854,0.43805,0.63772,0,0,0,0,0,1,0.23333,3.5,0.23333,1.5
0.30062,307.06,0.19731,0.061791,0.03612,0.21898,0.19731,0.061791,0.03612,0.0030263,0.0029999,0.0097768,0.0027628,-16.583,0.5317,1.1635,1.3124,0.47795,0.64908,0,0,0,0,0,1,0.25,3.5,0.25,1.5
0.3041,307,0.18802,0.065185,0.05493,0.21467,0.18802,0.065185,0.05493,0.0030583,0.0027856,0.0094237,0.0027683,-16.583,0.52843,1.1633,1.2393,0.51786,0.66044,0,0,0,0,0,1,0.26667,3.5,0.26667,1.5
0.30758,306.94,0.17873,0.06858,0.07374,0.21036,0.17873,0.06858,0.07374,0.0030903,0.0025714,0.0090707,0.0027737,-16.583,0.52516,1.1631,1.1662,0.55776,0.67181,0,0,0,0,0,1,0.28333,3.5,0.28333,1.5
0.31106,306.88,0.16944,0.071974,0.09255,0.20605,0.16944,0.071974,0.09255,0.0031223,0.0023572,0.0087176,0.0027792,-16.584,0.52188,1.1629,1.0932,0.59766,0.68317,0,0,0,0,0,1,0.3,3.5,0.3,1.5
0.30947,306.87,0.16058,0.073335,0.10373,0.20723,0.16058,0.073335,0.10373,0.0032325,0.0022164,0.0085105,0.0028461,-16.584,0.5182,1.1627,1.0234,0.62855,0.67694,0,0,0,0,0,1,0.31667,3.5,0.31667,1.5
0.30788,306.87,0.15172,0.074696,0.1149,0.20841,0.15172,0.074696,0.1149,0.0033426,0.0020757,0.0083034,0.0029131,-16.584,0.51452,1.1625,0.95364,0.65944,0.67071,0,0,0,0,0,1,0.33333,3.5,0.33333,1.5
0.30629,306.87,0.14286,0.076057,0.12608,0.20959,0.14286,0.076057,0.12608,0.0034528,0.0019349,0.0080963,0.00298,-16.585,0.51084,1.1622,0.88387,0.69033,0.66447,0,0,0,0,0,1,0.35,3.5,0.35,1.5
