"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","alphat","epsilon","k","nut","p","p_rgh","rho","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.54171,306.13,-0.087323,0.024065,0.045101,0.10119,-0.087323,0.024065,0.045101,0.00056827,0.0009143,0.0022885,0.00048404,0.055373,0.62212,1.158,0.25484,-1.3205,1.0124,0,0,0,0,0,1,0,0,0,0
-0.55195,306.15,-0.093429,0.024232,0.048298,0.10846,-0.093429,0.024232,0.048298,0.00058114,0.00097779,0.0023916,0.00049519,-0.0035405,0.62019,1.1579,0.25121,-1.3064,0.97167,0,0,0,0,0,1,0.030368,0.023333,0.016667,0.01
-0.55808,306.18,-0.099518,0.024068,0.051557,0.11545,-0.099518,0.024068,0.051557,0.00059635,0.0010462,0.0025047,0.00050836,-0.062479,0.61822,1.1579,0.24652,-1.279,0.91396,0,0,0,0,0,1,0.060736,0.046667,0.033333,0.02
-0.55957,306.2,-0.10558,0.023578,0.054882,0.12217,-0.10558,0.023578,0.054882,0.00061545,0.0011184,0.0026297,0.00052489,-0.12144,0.61623,1.1579,0.24022,-1.2378,0.83902,0,0,0,0,0,1,0.091104,0.07,0.05,0.03
-0.55587,306.23,-0.11162,0.022771,0.058278,0.1286,-0.11162,0.022771,0.058278,0.00064,0.001193,0.0027683,0.00054611,-0.18043,0.61421,1.1578,0.23172,-1.1829,0.74666,0,0,0,0,0,1,0.12147,0.093333,0.066667,0.04
-0.52792,306.26,-0.12301,0.020244,0.061347,0.14007,-0.12301,0.020244,0.061347,0.00067737,0.0012962,0.0029645,0.00057836,-0.24066,0.61106,1.1578,0.22736,-1.1522,0.67278,0,0,0,0,0,1,0.15184,0.11667,0.083333,0.05
-0.48937,306.3,-0.13654,0.01662,0.064295,0.15336,-0.13654,0.01662,0.064295,0.00072742,0.001411,0.0031989,0.00062149,-0.3014,0.60745,1.1579,0.22268,-1.1156,0.58552,0,0,0,0,0,1,0.18221,0.14,0.1,0.06
-0.45143,306.34,-0.14932,0.012123,0.067671,0.16601,-0.14932,0.012123,0.067671,0.00079729,0.0015427,0.0034927,0.00068185,-0.36281,0.60325,1.1579,0.20924,-1.0489,0.46055,0,0,0,0,0,1,0.21258,0.16333,0.11667,0.07
-0.41093,306.38,-0.16196,0.0064795,0.071003,0.17797,-0.16196,0.0064795,0.071003,0.000885,0.0016735,0.0038217,0.00075763,-0.42422,0.59902,1.1579,0.19282,-0.95713,0.30201,0,0,0,0,0,1,0.24294,0.18667,0.13333,0.08
-0.37197,306.42,-0.17395,0.0005468,0.073933,0.18951,-0.17395,0.0005468,0.073933,0.00098329,0.0017941,0.0041588,0.00084251,-0.48549,0.59488,1.158,0.16604,-0.87777,0.1424,0,0,0,0,0,1,0.27331,0.21,0.15,0.09
-0.34028,306.46,-0.1852,-0.0050689,0.076264,0.20109,-0.1852,-0.0050689,0.076264,0.001085,0.0019007,0.0044844,0.00093028,-0.54658,0.59085,1.158,0.12611,-0.83178,0.0038547,0,0,0,0,0,1,0.30368,0.23333,0.16667,0.1
-0.31019,306.51,-0.19591,-0.010676,0.08133,0.21387,-0.19591,-0.010676,0.08133,0.0012353,0.0020038,0.0048911,0.0010601,-0.66488,0.58617,1.158,0.082829,-0.77053,-0.15585,0,0,0,0,0,1,0.33405,0.25667,0.18333,0.11
-0.28395,306.55,-0.20637,-0.016824,0.086207,0.22597,-0.20637,-0.016824,0.086207,0.001414,0.0020939,0.0053342,0.0012144,-0.7832,0.58143,1.1579,0.026945,-0.69494,-0.33502,0,0,0,0,0,1,0.36442,0.28,0.2,0.12
-0.25794,306.53,-0.21609,-0.023712,0.089842,0.23686,-0.21609,-0.023712,0.089842,0.0015749,0.0021746,0.0057239,0.001354,-0.90191,0.57643,1.1579,0.021744,-0.60131,-0.32892,0,0,0,0,0,1,0.39479,0.30333,0.21667,0.13
-0.23561,306.52,-0.22258,-0.029377,0.093272,0.24531,-0.22258,-0.029377,0.093272,0.0017474,0.0022336,0.0061017,0.0015037,-1.0204,0.57163,1.158,0.0042673,-0.49218,-0.3288,0,0,0,0,0,1,0.42515,0.32667,0.23333,0.14
-0.21148,306.5,-0.22876,-0.035297,0.096336,0.25313,-0.22876,-0.035297,0.096336,0.0019397,0.0022836,0.0064994,0.0016707,-1.1389,0.56679,1.158,-0.021632,-0.37238,-0.329,0,0,0,0,0,1,0.45552,0.35,0.25,0.15
