"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","alphat","epsilon","k","nut","p","p_rgh","rho","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.054984,306.54,0.013833,0.69788,0.045453,0.6996,0.013833,0.69788,0.045453,0.00083925,0.0027845,0.0048915,0.00072621,-31.694,0.4096,1.1484,1.4498,-0.43257,7.0846,0,0,0,0,0,1,0,0,2.5,2.85
-0.049477,306.57,0.015788,0.70024,0.045016,0.70198,0.015788,0.70024,0.045016,0.00091562,0.0026815,0.0049196,0.0007951,-31.694,0.40856,1.1483,1.4551,-0.37301,6.2736,0,0,0,0,0,1,0.023333,0.023333,2.5,2.85
-0.043971,306.6,0.017744,0.70261,0.044579,0.70436,0.017744,0.70261,0.044579,0.000992,0.0025784,0.0049477,0.00086399,-31.694,0.40753,1.1483,1.4605,-0.31345,5.4626,0,0,0,0,0,1,0.046667,0.046667,2.5,2.85
-0.038464,306.63,0.019699,0.70498,0.044142,0.70674,0.019699,0.70498,0.044142,0.0010684,0.0024754,0.0049758,0.00093288,-31.694,0.40649,1.1482,1.4658,-0.25389,4.6515,0,0,0,0,0,1,0.07,0.07,2.5,2.85
-0.032957,306.66,0.021655,0.70734,0.043705,0.70912,0.021655,0.70734,0.043705,0.0011447,0.0023723,0.0050039,0.0010018,-31.694,0.40545,1.1482,1.4712,-0.19433,3.8405,0,0,0,0,0,1,0.093333,0.093333,2.5,2.85
-0.024465,306.7,0.024904,0.70989,0.042509,0.71173,0.024904,0.70989,0.042509,0.0012865,0.0022807,0.0051251,0.0011288,-31.694,0.40374,1.1481,1.4771,-0.12898,3.0208,0,0,0,0,0,1,0.11667,0.11667,2.5,2.85
-0.014778,306.75,0.028672,0.71252,0.04101,0.71442,0.028672,0.71252,0.04101,0.0014545,0.0021936,0.0052836,0.0012792,-31.693,0.40176,1.1481,1.4834,-0.061316,2.1977,0,0,0,0,0,1,0.14,0.14,2.5,2.85
-0.0050912,306.79,0.032439,0.71514,0.039511,0.71711,0.032439,0.71514,0.039511,0.0016224,0.0021065,0.0054421,0.0014295,-31.693,0.39978,1.148,1.4896,0.0063509,1.3746,0,0,0,0,0,1,0.16333,0.16333,2.5,2.85
0.0045957,306.84,0.036206,0.71776,0.038012,0.7198,0.036206,0.71776,0.038012,0.0017904,0.0020194,0.0056006,0.0015799,-31.693,0.3978,1.1479,1.4958,0.074017,0.55142,0,0,0,0,0,1,0.18667,0.18667,2.5,2.85
0.012827,306.88,0.039415,0.71913,0.036113,0.72123,0.039415,0.71913,0.036113,0.0019545,0.0019909,0.0058021,0.0017263,-31.693,0.3959,1.1478,1.4991,0.11884,0.073588,0,0,0,0,0,1,0.21,0.21,2.5,2.85
0.019116,306.91,0.041878,0.71881,0.03368,0.72097,0.041878,0.71881,0.03368,0.0021136,0.0020404,0.0060607,0.0018674,-31.692,0.39409,1.1477,1.4988,0.13319,0.056174,0,0,0,0,0,1,0.23333,0.23333,2.5,2.85
0.025406,306.93,0.044341,0.71849,0.031247,0.7207,0.044341,0.71849,0.031247,0.0022726,0.0020899,0.0063193,0.0020086,-31.692,0.39228,1.1477,1.4984,0.14755,0.03876,0,0,0,0,0,1,0.25667,0.25667,2.5,2.85
0.031696,306.96,0.046805,0.71817,0.028814,0.72044,0.046805,0.71817,0.028814,0.0024317,0.0021394,0.0065779,0.0021497,-31.691,0.39047,1.1476,1.498,0.16191,0.021346,0,0,0,0,0,1,0.28,0.28,2.5,2.85
0.037304,306.99,0.049001,0.71764,0.026347,0.71995,0.049001,0.71764,0.026347,0.0025853,0.002192,0.006836,0.002286,-31.691,0.38864,1.1475,1.497,0.17575,0.0049456,0,0,0,0,0,1,0.30333,0.30333,2.5,2.85
0.038825,307.01,0.049598,0.71577,0.023672,0.71807,0.049598,0.71577,0.023672,0.0027063,0.0022632,0.0070905,0.0023932,-31.69,0.3867,1.1474,1.4923,0.18648,-0.0053718,0,0,0,0,0,1,0.32667,0.32667,2.5,2.85
