"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","alphat","epsilon","k","nut","p","p_rgh","rho","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.77628,313.57,-0.065307,-0.23687,0.14475,0.28682,-0.065307,-0.23687,0.14475,0.00074815,0.0018892,0.0037959,0.00064542,-1.2418,0.46088,1.1559,0.7404,-1.2907,-2.3693,0,0,0,0,0,1,0,0,2.5,0.15
-0.72382,313.24,-0.071768,-0.23693,0.13962,0.28629,-0.071768,-0.23693,0.13962,0.00083955,0.0019003,0.0039894,0.00072346,-1.2438,0.45931,1.1562,0.74847,-1.1077,-2.0793,0,0,0,0,0,1,0.023333,0.023333,2.5,0.15
-0.67136,312.91,-0.078228,-0.23698,0.13449,0.28576,-0.078228,-0.23698,0.13449,0.00093095,0.0019115,0.0041829,0.0008015,-1.2458,0.45775,1.1565,0.75654,-0.92469,-1.7893,0,0,0,0,0,1,0.046667,0.046667,2.5,0.15
-0.6189,312.58,-0.084689,-0.23703,0.12935,0.28523,-0.084689,-0.23703,0.12935,0.0010223,0.0019226,0.0043764,0.00087955,-1.2477,0.45619,1.1569,0.76461,-0.74167,-1.4994,0,0,0,0,0,1,0.07,0.07,2.5,0.15
-0.56644,312.25,-0.091149,-0.23709,0.12422,0.28471,-0.091149,-0.23709,0.12422,0.0011137,0.0019337,0.0045699,0.00095759,-1.2497,0.45462,1.1572,0.77268,-0.55866,-1.2094,0,0,0,0,0,1,0.093333,0.093333,2.5,0.15
-0.49396,311.69,-0.10237,-0.23603,0.11541,0.28507,-0.10237,-0.23603,0.11541,0.0012315,0.0019581,0.0048201,0.0010573,-1.2526,0.45242,1.1577,0.77804,-0.38897,-0.90848,0,0,0,0,0,1,0.11667,0.11667,2.5,0.15
-0.41347,311.04,-0.1155,-0.23453,0.10514,0.28578,-0.1155,-0.23453,0.10514,0.0013598,0.0019878,0.005093,0.0011656,-1.2559,0.44997,1.1584,0.78233,-0.22461,-0.6032,0,0,0,0,0,1,0.14,0.14,2.5,0.15
-0.33297,310.39,-0.12863,-0.23303,0.094859,0.28649,-0.12863,-0.23303,0.094859,0.0014881,0.0020174,0.0053659,0.001274,-1.2592,0.44752,1.1591,0.78661,-0.060247,-0.29791,0,0,0,0,0,1,0.16333,0.16333,2.5,0.15
-0.25248,309.73,-0.14175,-0.23153,0.084582,0.28721,-0.14175,-0.23153,0.084582,0.0016164,0.0020471,0.0056389,0.0013823,-1.2625,0.44507,1.1597,0.79089,0.10412,0.0073724,0,0,0,0,0,1,0.18667,0.18667,2.5,0.15
-0.19082,309.08,-0.15356,-0.22926,0.074452,0.28814,-0.15356,-0.22926,0.074452,0.0017091,0.0020764,0.0058384,0.0014596,-1.2654,0.44315,1.1604,0.78657,0.18083,0.19247,0,0,0,0,0,1,0.21,0.21,2.5,0.15
-0.15426,308.42,-0.16359,-0.22596,0.06452,0.28936,-0.16359,-0.22596,0.06452,0.0017544,0.0021053,0.00594,0.0014955,-1.2678,0.44193,1.1612,0.77078,0.14068,0.21733,0,0,0,0,0,1,0.23333,0.23333,2.5,0.15
-0.11771,307.77,-0.17363,-0.22266,0.054588,0.29058,-0.17363,-0.22266,0.054588,0.0017997,0.0021342,0.0060416,0.0015314,-1.2701,0.44072,1.162,0.75499,0.10053,0.24218,0,0,0,0,0,1,0.25667,0.25667,2.5,0.15
-0.08115,307.11,-0.18366,-0.21935,0.044657,0.2918,-0.18366,-0.21935,0.044657,0.001845,0.0021632,0.0061432,0.0015672,-1.2724,0.43951,1.1628,0.7392,0.060379,0.26703,0,0,0,0,0,1,0.28,0.28,2.5,0.15
-0.048686,306.45,-0.19287,-0.21603,0.034901,0.29281,-0.19287,-0.21603,0.034901,0.0018828,0.0021918,0.006233,0.0015968,-1.2746,0.43848,1.1636,0.72136,0.019043,0.29118,0,0,0,0,0,1,0.30333,0.30333,2.5,0.15
