"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","alphat","epsilon","k","nut","p","p_rgh","rho","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.046709,335.28,0.026508,0.00082028,0.14133,0.14379,0.026508,0.00082028,0.14133,0.00088202,0.0035678,0.0058785,0.00081849,-15.578,0.29997,1.0791,1.2654,0.79586,-0.86157,0,0,0,0,0,1,0,3.5,0,1.5
0.050952,335.13,0.036255,0.0016657,0.1388,0.1452,0.036255,0.0016657,0.1388,0.0011843,0.0036109,0.0065739,0.0010994,-15.578,0.30167,1.0792,1.1187,0.80588,-0.86814,0,0,0,0,0,1,0.016667,3.5,0.016667,1.5
0.055194,334.97,0.046002,0.0025112,0.13627,0.14661,0.046002,0.0025112,0.13627,0.0014865,0.003654,0.0072693,0.0013803,-15.577,0.30337,1.0793,0.97198,0.81589,-0.8747,0,0,0,0,0,1,0.033333,3.5,0.033333,1.5
0.059437,334.82,0.05575,0.0033567,0.13374,0.14801,0.05575,0.0033567,0.13374,0.0017888,0.0036972,0.0079647,0.0016613,-15.577,0.30506,1.0795,0.82529,0.8259,-0.88127,0,0,0,0,0,1,0.05,3.5,0.05,1.5
0.06368,334.66,0.065497,0.0042022,0.13121,0.14942,0.065497,0.0042022,0.13121,0.002091,0.0037403,0.0086601,0.0019422,-15.577,0.30676,1.0796,0.67859,0.83592,-0.88783,0,0,0,0,0,1,0.066667,3.5,0.066667,1.5
0.067922,334.51,0.075245,0.0050476,0.12869,0.15082,0.075245,0.0050476,0.12869,0.0023933,0.0037834,0.0093555,0.0022231,-15.577,0.30846,1.0797,0.5319,0.84593,-0.8944,0,0,0,0,0,1,0.083333,3.5,0.083333,1.5
0.072165,334.35,0.084992,0.0058931,0.12616,0.15223,0.084992,0.0058931,0.12616,0.0026955,0.0038265,0.010051,0.0025041,-15.577,0.31016,1.0798,0.38521,0.85595,-0.90096,0,0,0,0,0,1,0.1,3.5,0.1,1.5
0.071911,334.07,0.10075,0.0089976,0.11914,0.16015,0.10075,0.0089976,0.11914,0.0031688,0.0039419,0.01113,0.0029408,-15.577,0.31249,1.0799,0.21146,0.84907,-0.87291,0,0,0,0,0,1,0.11667,3.5,0.11667,1.5
0.071657,333.79,0.1165,0.012102,0.11211,0.16806,0.1165,0.012102,0.11211,0.003642,0.0040572,0.01221,0.0033775,-15.577,0.31482,1.0801,0.037702,0.84219,-0.84486,0,0,0,0,0,1,0.13333,3.5,0.13333,1.5
0.071403,333.5,0.13226,0.015207,0.10509,0.17598,0.13226,0.015207,0.10509,0.0041153,0.0041725,0.01329,0.0038142,-15.576,0.31715,1.0802,-0.13605,0.83531,-0.81681,0,0,0,0,0,1,0.15,3.5,0.15,1.5
0.071149,333.22,0.14802,0.018311,0.098071,0.1839,0.14802,0.018311,0.098071,0.0045885,0.0042878,0.014369,0.0042509,-15.576,0.31948,1.0804,-0.30981,0.82843,-0.78875,0,0,0,0,0,1,0.16667,3.5,0.16667,1.5
0.070894,332.94,0.16377,0.021416,0.091049,0.19181,0.16377,0.021416,0.091049,0.0050618,0.0044031,0.015449,0.0046876,-15.576,0.32181,1.0805,-0.48356,0.82155,-0.7607,0,0,0,0,0,1,0.18333,3.5,0.18333,1.5
0.07064,332.66,0.17953,0.02452,0.084028,0.19973,0.17953,0.02452,0.084028,0.0055351,0.0045185,0.016528,0.0051243,-15.576,0.32414,1.0807,-0.65732,0.81467,-0.73265,0,0,0,0,0,1,0.2,3.5,0.2,1.5
0.06269,332.47,0.18879,0.030428,0.074051,0.20708,0.18879,0.030428,0.074051,0.0058297,0.0046458,0.017193,0.0053937,-15.576,0.32424,1.0807,-0.69451,0.77237,-0.67197,0,0,0,0,0,1,0.21667,3.5,0.21667,1.5
0.05474,332.29,0.19805,0.036337,0.064074,0.21442,0.19805,0.036337,0.064074,0.0061244,0.0047731,0.017857,0.0056631,-15.576,0.32434,1.0807,-0.73171,0.73007,-0.6113,0,0,0,0,0,1,0.23333,3.5,0.23333,1.5
0.046789,332.11,0.2073,0.042245,0.054097,0.22177,0.2073,0.042245,0.054097,0.0064191,0.0049004,0.018521,0.0059325,-15.576,0.32444,1.0807,-0.7689,0.68778,-0.55062,0,0,0,0,0,1,0.25,3.5,0.25,1.5
0.038839,331.93,0.21656,0.048153,0.04412,0.22912,0.21656,0.048153,0.04412,0.0067138,0.0050277,0.019186,0.0062019,-15.576,0.32454,1.0807,-0.8061,0.64548,-0.48995,0,0,0,0,0,1,0.26667,3.5,0.26667,1.5
0.030889,331.75,0.22582,0.054061,0.034143,0.23646,0.22582,0.054061,0.034143,0.0070085,0.005155,0.01985,0.0064713,-15.575,0.32463,1.0807,-0.84329,0.60318,-0.42928,0,0,0,0,0,1,0.28333,3.5,0.28333,1.5
0.022938,331.57,0.23508,0.05997,0.024166,0.24381,0.23508,0.05997,0.024166,0.0073031,0.0052822,0.020515,0.0067407,-15.575,0.32473,1.0807,-0.88049,0.56089,-0.3686,0,0,0,0,0,1,0.3,3.5,0.3,1.5
0.018672,331.55,0.23934,0.067232,0.013793,0.25034,0.23934,0.067232,0.013793,0.007533,0.0053445,0.020954,0.0069541,-15.576,0.3227,1.0806,-0.87979,0.51228,-0.32597,0,0,0,0,0,1,0.31667,3.5,0.31667,1.5
0.014406,331.53,0.24359,0.074495,0.0034202,0.25688,0.24359,0.074495,0.0034202,0.0077629,0.0054067,0.021393,0.0071674,-15.576,0.32066,1.0805,-0.87908,0.46368,-0.28333,0,0,0,0,0,1,0.33333,3.5,0.33333,1.5
0.010139,331.51,0.24785,0.081758,-0.0069528,0.26341,0.24785,0.081758,-0.0069528,0.0079928,0.005469,0.021833,0.0073808,-15.576,0.31863,1.0803,-0.87838,0.41508,-0.24069,0,0,0,0,0,1,0.35,3.5,0.35,1.5
0.0058731,331.49,0.2521,0.089021,-0.017326,0.26994,0.2521,0.089021,-0.017326,0.0082227,0.0055312,0.022272,0.0075942,-15.576,0.3166,1.0802,-0.87768,0.36648,-0.19806,0,0,0,0,0,1,0.36667,3.5,0.36667,1.5
0.0016068,331.48,0.25636,0.096284,-0.027699,0.27647,0.25636,0.096284,-0.027699,0.0084526,0.0055935,0.022711,0.0078075,-15.576,0.31456,1.0801,-0.87698,0.31787,-0.15542,0,0,0,0,0,1,0.38333,3.5,0.38333,1.5
-0.0026595,331.46,0.26062,0.10355,-0.038072,0.283,0.26062,0.10355,-0.038072,0.0086824,0.0056557,0.023151,0.0080209,-15.577,0.31253,1.08,-0.87628,0.26927,-0.11279,0,0,0,0,0,1,0.4,3.5,0.4,1.5
-0.00352,331.58,0.26147,0.10981,-0.04641,0.28809,0.26147,0.10981,-0.04641,0.0088871,0.0056492,0.023405,0.0082136,-15.577,0.30913,1.0798,-0.84584,0.2323,-0.088742,0,0,0,0,0,1,0.41667,3.5,0.41667,1.5
-0.0043805,331.7,0.26233,0.11607,-0.054748,0.29318,0.26233,0.11607,-0.054748,0.0090917,0.0056428,0.02366,0.0084063,-15.577,0.30572,1.0796,-0.81541,0.19533,-0.064696,0,0,0,0,0,1,0.43333,3.5,0.43333,1.5
-0.005241,331.83,0.26319,0.12234,-0.063087,0.29827,0.26319,0.12234,-0.063087,0.0092963,0.0056363,0.023914,0.008599,-15.578,0.30232,1.0793,-0.78497,0.15835,-0.040651,0,0,0,0,0,1,0.45,3.5,0.45,1.5
-0.0061014,331.95,0.26404,0.1286,-0.071425,0.30336,0.26404,0.1286,-0.071425,0.0095009,0.0056298,0.024168,0.0087917,-15.578,0.29891,1.0791,-0.75453,0.12138,-0.016606,0,0,0,0,0,1,0.46667,3.5,0.46667,1.5
-0.0069619,332.07,0.2649,0.13487,-0.079763,0.30845,0.2649,0.13487,-0.079763,0.0097055,0.0056234,0.024423,0.0089844,-15.578,0.29551,1.0789,-0.72409,0.084408,0.0074394,0,0,0,0,0,1,0.48333,3.5,0.48333,1.5
-0.0078224,332.2,0.26576,0.14113,-0.088101,0.31354,0.26576,0.14113,-0.088101,0.0099101,0.0056169,0.024677,0.0091771,-15.579,0.2921,1.0787,-0.69366,0.047435,0.031485,0,0,0,0,0,1,0.5,3.5,0.5,1.5
-0.0083242,332.39,0.2651,0.14538,-0.093489,0.31677,0.2651,0.14538,-0.093489,0.010112,0.00559,0.024863,0.0093676,-15.579,0.28836,1.0785,-0.65275,0.026533,0.041847,0,0,0,0,0,1,0.51667,3.5,0.51667,1.5
-0.008826,332.58,0.26445,0.14963,-0.098878,0.32,0.26445,0.14963,-0.098878,0.010315,0.0055632,0.025049,0.0095581,-15.58,0.28461,1.0783,-0.61185,0.0056311,0.05221,0,0,0,0,0,1,0.53333,3.5,0.53333,1.5
-0.0093278,332.78,0.2638,0.15389,-0.10427,0.32323,0.2638,0.15389,-0.10427,0.010517,0.0055363,0.025236,0.0097486,-15.58,0.28087,1.0781,-0.57095,-0.015271,0.062572,0,0,0,0,0,1,0.55,3.5,0.55,1.5
-0.0098296,332.97,0.26315,0.15814,-0.10965,0.32646,0.26315,0.15814,-0.10965,0.010719,0.0055095,0.025422,0.0099391,-15.58,0.27712,1.0778,-0.53004,-0.036173,0.072935,0,0,0,0,0,1,0.56667,3.5,0.56667,1.5
-0.010331,333.16,0.26249,0.16239,-0.11504,0.32969,0.26249,0.16239,-0.11504,0.010921,0.0054826,0.025608,0.01013,-15.581,0.27337,1.0776,-0.48914,-0.057075,0.083297,0,0,0,0,0,1,0.58333,3.5,0.58333,1.5
-0.010833,333.36,0.26184,0.16665,-0.12043,0.33292,0.26184,0.16665,-0.12043,0.011124,0.0054558,0.025794,0.01032,-15.581,0.26963,1.0774,-0.44823,-0.077977,0.09366,0,0,0,0,0,1,0.6,3.5,0.6,1.5
-0.011804,333.56,0.26074,0.16891,-0.12283,0.33415,0.26074,0.16891,-0.12283,0.011349,0.0054346,0.025998,0.010531,-15.582,0.26616,1.0772,-0.40529,-0.088765,0.098611,0,0,0,0,0,1,0.61667,3.5,0.61667,1.5
-0.012776,333.77,0.25965,0.17117,-0.12524,0.33539,0.25965,0.17117,-0.12524,0.011575,0.0054134,0.026201,0.010743,-15.582,0.2627,1.077,-0.36235,-0.099552,0.10356,0,0,0,0,0,1,0.63333,3.5,0.63333,1.5
-0.013747,333.98,0.25855,0.17344,-0.12764,0.33663,0.25855,0.17344,-0.12764,0.0118,0.0053922,0.026404,0.010954,-15.583,0.25924,1.0768,-0.31941,-0.11034,0.10852,0,0,0,0,0,1,0.65,3.5,0.65,1.5
-0.014718,334.19,0.25746,0.1757,-0.13005,0.33786,0.25746,0.1757,-0.13005,0.012025,0.005371,0.026608,0.011166,-15.583,0.25577,1.0766,-0.27647,-0.12113,0.11347,0,0,0,0,0,1,0.66667,3.5,0.66667,1.5
-0.015689,334.4,0.25636,0.17796,-0.13245,0.3391,0.25636,0.17796,-0.13245,0.012251,0.0053498,0.026811,0.011377,-15.584,0.25231,1.0764,-0.23353,-0.13191,0.11842,0,0,0,0,0,1,0.68333,3.5,0.68333,1.5
-0.016661,334.61,0.25527,0.18023,-0.13485,0.34034,0.25527,0.18023,-0.13485,0.012476,0.0053286,0.027015,0.011588,-15.584,0.24885,1.0762,-0.19059,-0.1427,0.12337,0,0,0,0,0,1,0.7,3.5,0.7,1.5
-0.016846,334.81,0.25404,0.18081,-0.13428,0.33951,0.25404,0.18081,-0.13428,0.012735,0.0053183,0.027262,0.011831,-15.585,0.24548,1.076,-0.14679,-0.14862,0.12778,0,0,0,0,0,1,0.71667,3.5,0.71667,1.5
-0.017032,335.01,0.25281,0.1814,-0.1337,0.33868,0.25281,0.1814,-0.1337,0.012994,0.005308,0.027509,0.012073,-15.586,0.24211,1.0758,-0.103,-0.15454,0.13219,0,0,0,0,0,1,0.73333,3.5,0.73333,1.5
