"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","alphat","epsilon","k","nut","p","p_rgh","rho","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.67935,334.84,0.015442,-0.12482,0.06026,0.13946,0.015442,-0.12482,0.06026,0.00054436,0.00082086,0.0022209,0.00050776,-0.11006,0.41064,1.0812,1.3416,-0.52987,-1.6099,0,0,0,0,0,1,0,0,0,0
-0.64591,334.82,0.018573,-0.12901,0.060122,0.14478,0.018573,-0.12901,0.060122,0.00055281,0.00086201,0.0022916,0.0005157,-0.16412,0.40941,1.0812,1.278,-0.43326,-1.4924,0,0,0,0,0,1,0.030368,0.023333,0.016667,0.01
-0.61046,334.81,0.021958,-0.13266,0.059741,0.14921,0.021958,-0.13266,0.059741,0.00056187,0.00090326,0.0023634,0.00052421,-0.21822,0.40813,1.0812,1.1978,-0.33848,-1.3656,0,0,0,0,0,1,0.060736,0.046667,0.033333,0.02
-0.57184,334.81,0.02559,-0.13579,0.059138,0.15277,0.02559,-0.13579,0.059138,0.00057219,0.00094421,0.002437,0.0005339,-0.27238,0.40678,1.0812,1.101,-0.24738,-1.2311,0,0,0,0,0,1,0.091104,0.07,0.05,0.03
-0.52888,334.82,0.029463,-0.13838,0.058334,0.15548,0.029463,-0.13838,0.058334,0.00058445,0.00098444,0.0025134,0.00054541,-0.32658,0.40538,1.0811,0.98789,-0.16181,-1.091,0,0,0,0,0,1,0.12147,0.093333,0.066667,0.04
-0.49814,334.79,0.036193,-0.14079,0.058251,0.15884,0.036193,-0.14079,0.058251,0.00060432,0.0010449,0.0026297,0.00056405,-0.38055,0.40428,1.0811,0.86623,-0.0655,-0.95764,0,0,0,0,0,1,0.15184,0.11667,0.083333,0.05
-0.466,334.75,0.044225,-0.14292,0.058489,0.16223,0.044225,-0.14292,0.058489,0.00063114,0.0011135,0.0027701,0.00058924,-0.43453,0.40318,1.081,0.73107,0.026024,-0.82274,0,0,0,0,0,1,0.18221,0.14,0.1,0.06
-0.41421,334.73,0.053959,-0.14776,0.055071,0.16971,0.053959,-0.14776,0.055071,0.00067582,0.0012107,0.0029798,0.0006308,-0.4886,0.40199,1.0811,0.60823,0.1149,-0.68541,0,0,0,0,0,1,0.21258,0.16333,0.11667,0.07
-0.34352,334.72,0.064264,-0.15231,0.051564,0.17681,0.064264,-0.15231,0.051564,0.0007335,0.0013104,0.0032183,0.00068442,-0.54289,0.40057,1.0811,0.46456,0.17679,-0.5417,0,0,0,0,0,1,0.24294,0.18667,0.13333,0.08
-0.24902,334.71,0.075129,-0.15584,0.047904,0.18317,0.075129,-0.15584,0.047904,0.0008025,0.0014114,0.0034802,0.00074848,-0.5974,0.39894,1.0812,0.29535,0.20043,-0.45423,0,0,0,0,0,1,0.27331,0.21,0.15,0.09
-0.13433,334.7,0.086313,-0.15834,0.044004,0.18882,0.086313,-0.15834,0.044004,0.0008805,0.0015134,0.0037617,0.00082078,-0.65216,0.39711,1.0812,0.10049,0.1974,-0.44137,0,0,0,0,0,1,0.30368,0.23333,0.16667,0.1
-0.011107,334.76,0.097034,-0.1578,0.039618,0.19258,0.097034,-0.1578,0.039618,0.00098009,0.0016011,0.0040606,0.00091316,-0.76054,0.39436,1.0811,-0.10704,0.17947,-0.41706,0,0,0,0,0,1,0.33405,0.25667,0.18333,0.11
