"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","alphat","epsilon","k","nut","p","p_rgh","rho","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.79422,339.51,-0.072547,0.12096,-0.15428,0.21137,-0.072547,0.12096,-0.15428,0.0011056,0.0078127,0.0097249,0.0010337,-29.612,0.48563,1.0767,0.24116,1.7169,1.1676,0,0,0,0,0,1,0,0,2.5,2.85
-0.7873,339.43,-0.081696,0.11916,-0.1542,0.21425,-0.081696,0.11916,-0.1542,0.0013408,0.0078301,0.01046,0.0012478,-29.615,0.48122,1.0766,0.23897,1.5452,1.0242,0,0,0,0,0,1,0.023333,0.023333,2.5,2.85
-0.78037,339.36,-0.090844,0.11736,-0.15412,0.21713,-0.090844,0.11736,-0.15412,0.001576,0.0078475,0.011196,0.0014618,-29.618,0.4768,1.0766,0.23679,1.3736,0.88078,0,0,0,0,0,1,0.046667,0.046667,2.5,2.85
-0.77345,339.28,-0.099993,0.11556,-0.15404,0.22001,-0.099993,0.11556,-0.15404,0.0018113,0.007865,0.011931,0.0016758,-29.621,0.47238,1.0765,0.2346,1.2019,0.73737,0,0,0,0,0,1,0.07,0.07,2.5,2.85
-0.76653,339.21,-0.10914,0.11376,-0.15396,0.22289,-0.10914,0.11376,-0.15396,0.0020465,0.0078824,0.012666,0.0018899,-29.623,0.46797,1.0765,0.23241,1.0302,0.59395,0,0,0,0,0,1,0.093333,0.093333,2.5,2.85
-0.7411,339.12,-0.12569,0.11112,-0.15245,0.23065,-0.12569,0.11112,-0.15245,0.0023565,0.0079908,0.013649,0.0021719,-29.628,0.45991,1.0763,0.22975,0.866,0.45516,0,0,0,0,0,1,0.11667,0.11667,2.5,2.85
-0.70827,339.02,-0.1452,0.10814,-0.15037,0.24038,-0.1452,0.10814,-0.15037,0.0026965,0.0081355,0.01473,0.0024812,-29.634,0.45041,1.0762,0.2269,0.70472,0.31822,0,0,0,0,0,1,0.14,0.14,2.5,2.85
-0.67544,338.93,-0.1647,0.10516,-0.14828,0.2501,-0.1647,0.10516,-0.14828,0.0030365,0.0082803,0.015811,0.0027904,-29.64,0.4409,1.0761,0.22405,0.54344,0.18128,0,0,0,0,0,1,0.16333,0.16333,2.5,2.85
-0.6426,338.83,-0.18421,0.10218,-0.1462,0.25982,-0.18421,0.10218,-0.1462,0.0033765,0.008425,0.016893,0.0030997,-29.645,0.43139,1.0759,0.2212,0.38216,0.044332,0,0,0,0,0,1,0.18667,0.18667,2.5,2.85
-0.60129,338.77,-0.20313,0.099574,-0.14318,0.27046,-0.20313,0.099574,-0.14318,0.0036482,0.0085974,0.017754,0.0033472,-29.651,0.42137,1.0758,0.21893,0.30157,-0.029566,0,0,0,0,0,1,0.21,0.21,2.5,2.85
-0.54866,338.75,-0.22126,0.097465,-0.1389,0.2823,-0.22126,0.097465,-0.1389,0.003829,0.0088065,0.018323,0.0035125,-29.656,0.41065,1.0756,0.21743,0.32855,-0.019405,0,0,0,0,0,1,0.23333,0.23333,2.5,2.85
-0.49603,338.72,-0.23939,0.095356,-0.13463,0.29415,-0.23939,0.095356,-0.13463,0.0040097,0.0090155,0.018891,0.0036777,-29.662,0.39994,1.0754,0.21593,0.35553,-0.0092436,0,0,0,0,0,1,0.25667,0.25667,2.5,2.85
-0.4434,338.7,-0.25753,0.093247,-0.13036,0.306,-0.25753,0.093247,-0.13036,0.0041905,0.0092246,0.01946,0.003843,-29.667,0.38922,1.0752,0.21443,0.38251,0.00091765,0,0,0,0,0,1,0.28,0.28,2.5,2.85
-0.39252,338.68,-0.27496,0.091203,-0.12607,0.31755,-0.27496,0.091203,-0.12607,0.0043655,0.009428,0.020008,0.0040034,-29.673,0.37846,1.075,0.2128,0.41012,0.010559,0,0,0,0,0,1,0.30333,0.30333,2.5,2.85
-0.35214,338.69,-0.28819,0.089543,-0.12169,0.32732,-0.28819,0.089543,-0.12169,0.0045065,0.0095965,0.020439,0.0041345,-29.677,0.36742,1.0747,0.2104,0.44151,0.01708,0,0,0,0,0,1,0.32667,0.32667,2.5,2.85
-0.31176,338.7,-0.30141,0.087884,-0.11731,0.33709,-0.30141,0.087884,-0.11731,0.0046474,0.0097651,0.02087,0.0042657,-29.682,0.35638,1.0745,0.208,0.47291,0.023601,0,0,0,0,0,1,0.35,0.35,2.5,2.85
-0.27139,338.7,-0.31464,0.086224,-0.11293,0.34686,-0.31464,0.086224,-0.11293,0.0047884,0.0099337,0.021301,0.0043968,-29.686,0.34534,1.0743,0.20561,0.5043,0.030122,0,0,0,0,0,1,0.37333,0.37333,2.5,2.85
-0.23101,338.71,-0.32787,0.084564,-0.10855,0.35663,-0.32787,0.084564,-0.10855,0.0049293,0.010102,0.021732,0.004528,-29.691,0.3343,1.074,0.20321,0.5357,0.036643,0,0,0,0,0,1,0.39667,0.39667,2.5,2.85
-0.20859,338.73,-0.33709,0.083249,-0.10452,0.36368,-0.33709,0.083249,-0.10452,0.005061,0.010282,0.022166,0.0046526,-29.694,0.32399,1.0738,0.19943,0.56187,0.042216,0,0,0,0,0,1,0.42,0.42,2.5,2.85
-0.18917,338.75,-0.34564,0.081992,-0.10055,0.37027,-0.34564,0.081992,-0.10055,0.0051912,0.010464,0.022599,0.004776,-29.697,0.3138,1.0735,0.19543,0.58718,0.047631,0,0,0,0,0,1,0.44333,0.44333,2.5,2.85
-0.16974,338.77,-0.3542,0.080735,-0.096571,0.37686,-0.3542,0.080735,-0.096571,0.0053213,0.010646,0.023033,0.0048995,-29.7,0.30361,1.0733,0.19142,0.61249,0.053045,0,0,0,0,0,1,0.46667,0.46667,2.5,2.85
-0.15032,338.79,-0.36275,0.079477,-0.092596,0.38346,-0.36275,0.079477,-0.092596,0.0054515,0.010828,0.023467,0.005023,-29.703,0.29342,1.073,0.18742,0.63779,0.05846,0,0,0,0,0,1,0.49,0.49,2.5,2.85
-0.13806,338.81,-0.3687,0.07847,-0.088888,0.38792,-0.3687,0.07847,-0.088888,0.0055864,0.011017,0.023922,0.0051516,-29.704,0.28402,1.0727,0.18231,0.65782,0.063673,0,0,0,0,0,1,0.51333,0.51333,2.5,2.85
-0.13116,338.84,-0.37269,0.077649,-0.085378,0.39078,-0.37269,0.077649,-0.085378,0.0057248,0.01121,0.024394,0.005284,-29.705,0.27523,1.0725,0.17637,0.67388,0.068736,0,0,0,0,0,1,0.53667,0.53667,2.5,2.85
-0.12427,338.87,-0.37667,0.076829,-0.081869,0.39365,-0.37667,0.076829,-0.081869,0.0058632,0.011404,0.024866,0.0054165,-29.706,0.26644,1.0722,0.17043,0.68994,0.073799,0,0,0,0,0,1,0.56,0.56,2.5,2.85
-0.11737,338.9,-0.38066,0.076009,-0.07836,0.39651,-0.38066,0.076009,-0.07836,0.0060016,0.011597,0.025338,0.0055489,-29.707,0.25765,1.0719,0.16449,0.706,0.078862,0,0,0,0,0,1,0.58333,0.58333,2.5,2.85
-0.11261,338.93,-0.38343,0.075329,-0.074961,0.39832,-0.38343,0.075329,-0.074961,0.0061438,0.011791,0.025819,0.0056852,-29.708,0.24921,1.0716,0.15801,0.71928,0.083848,0,0,0,0,0,1,0.60667,0.60667,2.5,2.85
-0.11319,338.96,-0.38318,0.074999,-0.071839,0.39746,-0.38318,0.074999,-0.071839,0.0062955,0.011987,0.026325,0.0058311,-29.707,0.24168,1.0713,0.1502,0.72559,0.088642,0,0,0,0,0,1,0.63,0.63,2.5,2.85
-0.11377,338.99,-0.38292,0.074669,-0.068717,0.3966,-0.38292,0.074669,-0.068717,0.0064472,0.012182,0.02683,0.0059769,-29.706,0.23415,1.071,0.14238,0.7319,0.093436,0,0,0,0,0,1,0.65333,0.65333,2.5,2.85
-0.11434,339.02,-0.38267,0.07434,-0.065594,0.39574,-0.38267,0.07434,-0.065594,0.0065989,0.012378,0.027335,0.0061228,-29.705,0.22662,1.0707,0.13457,0.73822,0.098231,0,0,0,0,0,1,0.67667,0.67667,2.5,2.85
-0.11492,339.06,-0.38241,0.07401,-0.062472,0.39488,-0.38241,0.07401,-0.062472,0.0067506,0.012574,0.027841,0.0062687,-29.704,0.21909,1.0704,0.12675,0.74453,0.10303,0,0,0,0,0,1,0.7,0.7,2.5,2.85
-0.12076,339.09,-0.37835,0.074215,-0.059631,0.39058,-0.37835,0.074215,-0.059631,0.0069054,0.012766,0.028352,0.0064185,-29.702,0.21206,1.0701,0.11749,0.7422,0.10737,0,0,0,0,0,1,0.72333,0.72333,2.5,2.85
-0.12661,339.12,-0.37428,0.07442,-0.05679,0.38628,-0.37428,0.07442,-0.05679,0.0070603,0.012958,0.028864,0.0065684,-29.699,0.20503,1.0698,0.10822,0.73986,0.11172,0,0,0,0,0,1,0.74667,0.74667,2.5,2.85
-0.13245,339.16,-0.37021,0.074624,-0.053949,0.38198,-0.37021,0.074624,-0.053949,0.0072151,0.01315,0.029376,0.0067183,-29.697,0.198,1.0695,0.09895,0.73753,0.11607,0,0,0,0,0,1,0.77,0.77,2.5,2.85
-0.1383,339.19,-0.36615,0.074829,-0.051108,0.37768,-0.36615,0.074829,-0.051108,0.00737,0.013343,0.029888,0.0068681,-29.695,0.19097,1.0691,0.089682,0.73519,0.12042,0,0,0,0,0,1,0.79333,0.79333,2.5,2.85
-0.14718,339.23,-0.35972,0.075427,-0.048449,0.37127,-0.35972,0.075427,-0.048449,0.0075151,0.013529,0.030379,0.0070096,-29.692,0.18407,1.0688,0.079671,0.72784,0.12422,0,0,0,0,0,1,0.81667,0.81667,2.5,2.85
-0.15729,339.27,-0.35235,0.076182,-0.045861,0.36401,-0.35235,0.076182,-0.045861,0.0076564,0.013712,0.030862,0.0071477,-29.688,0.17722,1.0684,0.069362,0.71848,0.12781,0,0,0,0,0,1,0.84,0.84,2.5,2.85
-0.16739,339.3,-0.34498,0.076937,-0.043274,0.35676,-0.34498,0.076937,-0.043274,0.0077977,0.013896,0.031345,0.0072858,-29.685,0.17037,1.0681,0.059054,0.70913,0.13139,0,0,0,0,0,1,0.86333,0.86333,2.5,2.85
-0.17749,339.34,-0.3376,0.077692,-0.040687,0.3495,-0.3376,0.077692,-0.040687,0.007939,0.01408,0.031828,0.0074239,-29.682,0.16352,1.0677,0.048745,0.69977,0.13497,0,0,0,0,0,1,0.88667,0.88667,2.5,2.85
-0.18849,339.37,-0.32907,0.078663,-0.038212,0.34126,-0.32907,0.078663,-0.038212,0.0080686,0.014257,0.032284,0.0075513,-29.678,0.15712,1.0674,0.038119,0.68791,0.13795,0,0,0,0,0,1,0.91,0.91,2.5,2.85
-0.20068,339.41,-0.31898,0.079921,-0.035886,0.3317,-0.31898,0.079921,-0.035886,0.0081826,0.014424,0.032703,0.0076643,-29.675,0.1513,1.067,0.027069,0.67271,0.14013,0,0,0,0,0,1,0.93333,0.93333,2.5,2.85
-0.21287,339.44,-0.30889,0.081179,-0.03356,0.32215,-0.30889,0.081179,-0.03356,0.0082966,0.014591,0.033123,0.0077774,-29.671,0.14549,1.0667,0.016019,0.65751,0.14231,0,0,0,0,0,1,0.95667,0.95667,2.5,2.85
-0.22507,339.48,-0.2988,0.082438,-0.031234,0.31259,-0.2988,0.082438,-0.031234,0.0084106,0.014758,0.033542,0.0078904,-29.668,0.13968,1.0664,0.0049695,0.64231,0.14449,0,0,0,0,0,1,0.98,0.98,2.5,2.85
-0.23717,339.51,-0.28841,0.083746,-0.02894,0.30282,-0.28841,0.083746,-0.02894,0.0085201,0.014921,0.033948,0.0079991,-29.664,0.13407,1.0661,-0.0061256,0.62646,0.14639,0,0,0,0,0,1,1.0033,1.0033,2.5,2.85
