"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","alphat","epsilon","k","nut","p","p_rgh","rho","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.29695,305.83,-0.038968,-0.25803,0.10515,0.28229,-0.038968,-0.25803,0.10515,0.00077789,0.0017975,0.0038223,0.00068806,-1.006,0.63556,1.1079,0.96092,-0.79915,-2.0005,0,0,0,0,0,1,0,0,2.5,0.15
-0.24176,305.55,-0.039959,-0.24724,0.10239,0.27195,-0.039959,-0.24724,0.10239,0.00083671,0.0018472,0.00402,0.00074658,-1.0069,0.63448,1.1081,0.94431,-0.64213,-1.6535,0,0,0,0,0,1,0.023333,0.023333,2.5,0.15
-0.18656,305.28,-0.040951,-0.23645,0.099638,0.26161,-0.040951,-0.23645,0.099638,0.00089552,0.0018969,0.0042176,0.0008051,-1.0078,0.63339,1.1082,0.92769,-0.4851,-1.3065,0,0,0,0,0,1,0.046667,0.046667,2.5,0.15
-0.13137,305,-0.041942,-0.22567,0.096881,0.25127,-0.041942,-0.22567,0.096881,0.00095434,0.0019466,0.0044153,0.00086362,-1.0088,0.63231,1.1084,0.91108,-0.32808,-0.95953,0,0,0,0,0,1,0.07,0.07,2.5,0.15
-0.076174,304.72,-0.042934,-0.21488,0.094125,0.24093,-0.042934,-0.21488,0.094125,0.0010132,0.0019963,0.0046129,0.00092214,-1.0097,0.63123,1.1085,0.89446,-0.17105,-0.61253,0,0,0,0,0,1,0.093333,0.093333,2.5,0.15
-0.02023,304.38,-0.046435,-0.19976,0.090305,0.22817,-0.046435,-0.19976,0.090305,0.0011113,0.0021323,0.0049998,0.0010187,-1.0111,0.62954,1.1089,0.86698,-0.0050222,-0.28335,0,0,0,0,0,1,0.11667,0.11667,2.5,0.15
0.036015,304.01,-0.050941,-0.18291,0.08606,0.21444,-0.050941,-0.18291,0.08606,0.0012253,0.0023029,0.0054624,0.0011304,-1.0128,0.62762,1.1092,0.83515,0.16461,0.038701,0,0,0,0,0,1,0.14,0.14,2.5,0.15
0.092259,303.65,-0.055447,-0.16606,0.081815,0.20071,-0.055447,-0.16606,0.081815,0.0013392,0.0024734,0.0059251,0.0012422,-1.0144,0.62569,1.1096,0.80332,0.33424,0.36075,0,0,0,0,0,1,0.16333,0.16333,2.5,0.15
0.1485,303.28,-0.059952,-0.14921,0.07757,0.18698,-0.059952,-0.14921,0.07757,0.0014531,0.002644,0.0063877,0.0013539,-1.0161,0.62377,1.11,0.7715,0.50387,0.6828,0,0,0,0,0,1,0.18667,0.18667,2.5,0.15
0.18654,303.03,-0.065074,-0.13549,0.073758,0.17719,-0.065074,-0.13549,0.073758,0.0015702,0.00286,0.006903,0.0014661,-1.0177,0.62196,1.1104,0.74096,0.61492,0.85129,0,0,0,0,0,1,0.21,0.21,2.5,0.15
0.20029,302.93,-0.071017,-0.12594,0.070524,0.17265,-0.071017,-0.12594,0.070524,0.0016914,0.0031365,0.0074887,0.0015789,-1.0191,0.62029,1.1109,0.71216,0.64785,0.81505,0,0,0,0,0,1,0.23333,0.23333,2.5,0.15
