"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","alphat","epsilon","k","nut","p","p_rgh","rho","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.096748,335.07,-0.020604,0.0772,-0.64146,0.64642,-0.020604,0.0772,-0.64146,0.0017524,0.027446,0.022905,0.0016154,-15.624,0.38521,1.0884,-0.059104,5.8875,0.55697,0,0,0,0,0,1,0,0,2.5,1.5
-0.07283,334.96,-0.022228,0.07287,-0.6306,0.63522,-0.022228,0.07287,-0.6306,0.0026433,0.025736,0.024458,0.0024383,-15.626,0.38773,1.0887,-0.063014,5.0783,0.43952,0,0,0,0,0,1,0.023333,0.023333,2.5,1.5
-0.048912,334.86,-0.023852,0.068541,-0.61974,0.62402,-0.023852,0.068541,-0.61974,0.0035341,0.024026,0.026012,0.0032612,-15.627,0.39025,1.0889,-0.066923,4.2691,0.32207,0,0,0,0,0,1,0.046667,0.046667,2.5,1.5
-0.024994,334.75,-0.025476,0.064212,-0.60887,0.61282,-0.025476,0.064212,-0.60887,0.004425,0.022316,0.027565,0.0040841,-15.628,0.39276,1.0892,-0.070833,3.4599,0.20462,0,0,0,0,0,1,0.07,0.07,2.5,1.5
-0.0010766,334.65,-0.0271,0.059883,-0.59801,0.60162,-0.0271,0.059883,-0.59801,0.0053158,0.020606,0.029119,0.004907,-15.629,0.39528,1.0895,-0.074742,2.6507,0.087167,0,0,0,0,0,1,0.093333,0.093333,2.5,1.5
0.030801,334.48,-0.030237,0.052421,-0.57985,0.58317,-0.030237,0.052421,-0.57985,0.0066987,0.018659,0.031052,0.0061844,-15.631,0.39891,1.0898,-0.081152,1.8387,-0.034172,0,0,0,0,0,1,0.11667,0.11667,2.5,1.5
0.065863,334.28,-0.033978,0.043706,-0.55877,0.56181,-0.033978,0.043706,-0.55877,0.0082783,0.016618,0.033138,0.0076435,-15.634,0.40297,1.0903,-0.088561,1.0256,-0.15706,0,0,0,0,0,1,0.14,0.14,2.5,1.5
0.10093,334.08,-0.037719,0.034992,-0.53768,0.54045,-0.037719,0.034992,-0.53768,0.009858,0.014577,0.035223,0.0091026,-15.636,0.40704,1.0907,-0.095971,0.2125,-0.27996,0,0,0,0,0,1,0.16333,0.16333,2.5,1.5
0.13599,333.89,-0.041461,0.026277,-0.5166,0.51909,-0.041461,0.026277,-0.5166,0.011438,0.012536,0.037308,0.010562,-15.638,0.41111,1.0912,-0.10338,-0.60062,-0.40285,0,0,0,0,0,1,0.18667,0.18667,2.5,1.5
0.16501,333.69,-0.045068,0.01747,-0.49603,0.49856,-0.045068,0.01747,-0.49603,0.012802,0.011164,0.03879,0.011822,-15.64,0.41451,1.0915,-0.11049,-1.0691,-0.47766,0,0,0,0,0,1,0.21,0.21,2.5,1.5
0.18597,333.51,-0.048498,0.0085391,-0.47614,0.47915,-0.048498,0.0085391,-0.47614,0.013879,0.010686,0.039468,0.012816,-15.642,0.41702,1.0918,-0.11719,-1.078,-0.48835,0,0,0,0,0,1,0.23333,0.23333,2.5,1.5
0.20693,333.33,-0.051928,-0.00039149,-0.45625,0.45973,-0.051928,-0.00039149,-0.45625,0.014955,0.010207,0.040146,0.01381,-15.644,0.41954,1.0922,-0.1239,-1.0869,-0.49905,0,0,0,0,0,1,0.25667,0.25667,2.5,1.5
0.22789,333.14,-0.055358,-0.0093221,-0.43635,0.44032,-0.055358,-0.0093221,-0.43635,0.016032,0.0097278,0.040824,0.014804,-15.646,0.42205,1.0925,-0.1306,-1.0958,-0.50974,0,0,0,0,0,1,0.28,0.28,2.5,1.5
0.24826,332.96,-0.058612,-0.01831,-0.41659,0.4212,-0.058612,-0.01831,-0.41659,0.017038,0.0092848,0.041426,0.015732,-15.648,0.42442,1.0928,-0.13723,-1.1048,-0.52025,0,0,0,0,0,1,0.30333,0.30333,2.5,1.5
0.2651,332.77,-0.060808,-0.027639,-0.39762,0.40386,-0.060808,-0.027639,-0.39762,0.017617,0.0090572,0.041576,0.016265,-15.65,0.42587,1.093,-0.14338,-1.1149,-0.5297,0,0,0,0,0,1,0.32667,0.32667,2.5,1.5
0.28194,332.57,-0.063005,-0.036969,-0.37864,0.38653,-0.063005,-0.036969,-0.37864,0.018196,0.0088296,0.041726,0.016799,-15.651,0.42731,1.0932,-0.14954,-1.1249,-0.53915,0,0,0,0,0,1,0.35,0.35,2.5,1.5
0.29877,332.38,-0.065201,-0.046299,-0.35967,0.36919,-0.065201,-0.046299,-0.35967,0.018774,0.008602,0.041876,0.017332,-15.653,0.42876,1.0934,-0.15569,-1.1349,-0.5486,0,0,0,0,0,1,0.37333,0.37333,2.5,1.5
0.31561,332.19,-0.067397,-0.055628,-0.3407,0.35185,-0.067397,-0.055628,-0.3407,0.019353,0.0083744,0.042027,0.017865,-15.654,0.43021,1.0936,-0.16184,-1.145,-0.55805,0,0,0,0,0,1,0.39667,0.39667,2.5,1.5
0.3271,331.99,-0.068803,-0.065281,-0.32232,0.33694,-0.068803,-0.065281,-0.32232,0.01966,0.0082432,0.042032,0.018146,-15.655,0.43027,1.0937,-0.16713,-1.1543,-0.56384,0,0,0,0,0,1,0.42,0.42,2.5,1.5
0.33771,331.8,-0.070076,-0.074986,-0.30404,0.32244,-0.070076,-0.074986,-0.30404,0.019921,0.0081281,0.042012,0.018386,-15.656,0.43009,1.0937,-0.17228,-1.1636,-0.56902,0,0,0,0,0,1,0.44333,0.44333,2.5,1.5
0.34832,331.6,-0.071349,-0.084692,-0.28577,0.30793,-0.071349,-0.084692,-0.28577,0.020183,0.008013,0.041993,0.018625,-15.656,0.42992,1.0938,-0.17742,-1.1728,-0.5742,0,0,0,0,0,1,0.46667,0.46667,2.5,1.5
0.35893,331.4,-0.072623,-0.094398,-0.26749,0.29342,-0.072623,-0.094398,-0.26749,0.020444,0.0078978,0.041974,0.018865,-15.657,0.42974,1.0938,-0.18256,-1.1821,-0.57938,0,0,0,0,0,1,0.49,0.49,2.5,1.5
0.36472,331.21,-0.073348,-0.10409,-0.24958,0.28132,-0.073348,-0.10409,-0.24958,0.020601,0.0078293,0.041959,0.019007,-15.657,0.42801,1.0937,-0.18641,-1.1893,-0.57962,0,0,0,0,0,1,0.51333,0.51333,2.5,1.5
0.36691,331.02,-0.073661,-0.11377,-0.23195,0.271,-0.073661,-0.11377,-0.23195,0.02068,0.0077957,0.041947,0.019078,-15.657,0.42511,1.0935,-0.18929,-1.195,-0.57615,0,0,0,0,0,1,0.53667,0.53667,2.5,1.5
0.3691,330.82,-0.073974,-0.12345,-0.21432,0.26069,-0.073974,-0.12345,-0.21432,0.02076,0.0077622,0.041936,0.019149,-15.657,0.4222,1.0933,-0.19217,-1.2007,-0.57267,0,0,0,0,0,1,0.56,0.56,2.5,1.5
0.37129,330.63,-0.074288,-0.13313,-0.19668,0.25038,-0.074288,-0.13313,-0.19668,0.020839,0.0077286,0.041924,0.019219,-15.657,0.4193,1.0931,-0.19505,-1.2064,-0.5692,0,0,0,0,0,1,0.58333,0.58333,2.5,1.5
0.37019,330.45,-0.074351,-0.14259,-0.17928,0.24164,-0.074351,-0.14259,-0.17928,0.020896,0.0077154,0.041944,0.019269,-15.656,0.41556,1.0929,-0.1969,-1.2097,-0.56211,0,0,0,0,0,1,0.60667,0.60667,2.5,1.5
0.36086,330.29,-0.073788,-0.15147,-0.16247,0.23683,-0.073788,-0.15147,-0.16247,0.020898,0.0077533,0.042043,0.019267,-15.655,0.40972,1.0924,-0.19618,-1.2073,-0.54596,0,0,0,0,0,1,0.63,0.63,2.5,1.5
0.35154,330.13,-0.073225,-0.16035,-0.14565,0.23203,-0.073225,-0.16035,-0.14565,0.0209,0.0077913,0.042143,0.019265,-15.654,0.40387,1.0919,-0.19547,-1.2049,-0.52982,0,0,0,0,0,1,0.65333,0.65333,2.5,1.5
0.34222,329.96,-0.072662,-0.16923,-0.12883,0.22723,-0.072662,-0.16923,-0.12883,0.020902,0.0078292,0.042242,0.019262,-15.653,0.39803,1.0914,-0.19475,-1.2024,-0.51367,0,0,0,0,0,1,0.67667,0.67667,2.5,1.5
0.33289,329.8,-0.072099,-0.17812,-0.11202,0.22242,-0.072099,-0.17812,-0.11202,0.020904,0.0078671,0.042342,0.01926,-15.652,0.39218,1.091,-0.19403,-1.2,-0.49752,0,0,0,0,0,1,0.7,0.7,2.5,1.5
0.31115,329.7,-0.070846,-0.18516,-0.096601,0.22267,-0.070846,-0.18516,-0.096601,0.02091,0.0079714,0.042616,0.019258,-15.65,0.38431,1.0903,-0.18925,-1.1841,-0.46682,0,0,0,0,0,1,0.72333,0.72333,2.5,1.5
0.28941,329.61,-0.069594,-0.1922,-0.081184,0.22292,-0.069594,-0.1922,-0.081184,0.020915,0.0080756,0.04289,0.019257,-15.648,0.37644,1.0896,-0.18447,-1.1681,-0.43613,0,0,0,0,0,1,0.74667,0.74667,2.5,1.5
0.26767,329.51,-0.068342,-0.19924,-0.065766,0.22317,-0.068342,-0.19924,-0.065766,0.02092,0.0081799,0.043163,0.019255,-15.646,0.36857,1.089,-0.17969,-1.1522,-0.40543,0,0,0,0,0,1,0.77,0.77,2.5,1.5
0.24593,329.42,-0.067089,-0.20628,-0.050349,0.22342,-0.067089,-0.20628,-0.050349,0.020926,0.0082841,0.043437,0.019253,-15.644,0.3607,1.0883,-0.17491,-1.1363,-0.37473,0,0,0,0,0,1,0.79333,0.79333,2.5,1.5
0.21881,329.4,-0.065498,-0.21132,-0.036595,0.2253,-0.065498,-0.21132,-0.036595,0.020969,0.0084264,0.043844,0.019287,-15.642,0.35227,1.0876,-0.16821,-1.1089,-0.33631,0,0,0,0,0,1,0.81667,0.81667,2.5,1.5
0.18954,329.41,-0.063772,-0.21557,-0.023506,0.22783,-0.063772,-0.21557,-0.023506,0.021028,0.0085839,0.044304,0.019334,-15.64,0.34362,1.0868,-0.16074,-1.0769,-0.29482,0,0,0,0,0,1,0.84,0.84,2.5,1.5
0.16027,329.42,-0.062046,-0.21981,-0.010416,0.23037,-0.062046,-0.21981,-0.010416,0.021087,0.0087414,0.044763,0.019382,-15.637,0.33497,1.0861,-0.15327,-1.0449,-0.25332,0,0,0,0,0,1,0.86333,0.86333,2.5,1.5
