"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","alphat","epsilon","k","nut","p","p_rgh","rho","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-2.0835,302.56,-0.18402,0.11123,0.016641,0.21567,-0.18402,0.11123,0.016641,0.00067164,0.0011355,0.002818,0.00059095,-0.14402,0.44431,1.1566,-0.94695,-2.0692,2.2816,0,0,0,0,0,1,0,0,0,0
-1.9231,302.64,-0.18881,0.11241,0.018151,0.22274,-0.18881,0.11241,0.018151,0.00067451,0.0011539,0.0028457,0.00059353,-0.20659,0.43748,1.1566,-0.90222,-2.0055,2.0913,0,0,0,0,0,1,0.030368,0.023333,0.016667,0.01
-1.7449,302.75,-0.19249,0.11313,0.019668,0.22752,-0.19249,0.11313,0.019668,0.00067764,0.0011695,0.0028708,0.0005964,-0.26911,0.43069,1.1565,-0.85557,-1.9267,1.8541,0,0,0,0,0,1,0.060736,0.046667,0.033333,0.02
-1.5472,302.89,-0.19505,0.11338,0.021189,0.23002,-0.19505,0.11338,0.021189,0.00068172,0.0011822,0.0028943,0.00060015,-0.33157,0.42395,1.1565,-0.8077,-1.8346,1.5703,0,0,0,0,0,1,0.091104,0.07,0.05,0.03
-1.3278,303.05,-0.19652,0.11318,0.022712,0.23027,-0.19652,0.11318,0.022712,0.00068744,0.0011919,0.0029176,0.00060538,-0.39397,0.41726,1.1564,-0.75934,-1.7308,1.24,0,0,0,0,0,1,0.12147,0.093333,0.066667,0.04
-1.0284,303.27,-0.20459,0.1082,0.024696,0.23614,-0.20459,0.1082,0.024696,0.00069802,0.0012085,0.0029587,0.00061502,-0.45819,0.40855,1.1563,-0.67633,-1.6738,0.9114,0,0,0,0,0,1,0.15184,0.11667,0.083333,0.05
-0.69584,303.55,-0.21429,0.10043,0.026979,0.24225,-0.21429,0.10043,0.026979,0.00071307,0.0012233,0.0030069,0.00062867,-0.523,0.39917,1.1562,-0.58218,-1.6201,0.53527,0,0,0,0,0,1,0.18221,0.14,0.1,0.06
-0.32122,303.97,-0.21484,0.094712,0.028639,0.24373,-0.21484,0.094712,0.028639,0.00072578,0.0012055,0.0030062,0.00064037,-0.58931,0.38788,1.156,-0.51549,-1.4964,0.10761,0,0,0,0,0,1,0.21258,0.16333,0.11667,0.07
0.043262,304.46,-0.21243,0.086831,0.030287,0.23803,-0.21243,0.086831,0.030287,0.00074176,0.0011733,0.0029925,0.00065496,-0.65508,0.37715,1.1558,-0.44816,-1.3567,-0.40277,0,0,0,0,0,1,0.24294,0.18667,0.13333,0.08
0.32856,305.01,-0.20697,0.078114,0.032096,0.22894,-0.20697,0.078114,0.032096,0.00075847,0.0011262,0.0029598,0.00067035,-0.71936,0.36821,1.1555,-0.39019,-1.214,-0.86287,0,0,0,0,0,1,0.27331,0.21,0.15,0.09
0.50164,305.6,-0.19919,0.068825,0.034305,0.22005,-0.19919,0.068825,0.034305,0.00077327,0.001066,0.0029053,0.00068433,-0.78192,0.36141,1.1552,-0.34442,-1.08,-1.1961,0,0,0,0,0,1,0.30368,0.23333,0.16667,0.1
0.64629,306.26,-0.1892,0.057295,0.038319,0.2075,-0.1892,0.057295,0.038319,0.00079984,0.0010021,0.002866,0.00070832,-0.90059,0.35501,1.1548,-0.30915,-0.94648,-1.5623,0,0,0,0,0,1,0.33405,0.25667,0.18333,0.11
0.76492,306.98,-0.17746,0.043633,0.042598,0.19142,-0.17746,0.043633,0.042598,0.00083177,0.00092735,0.0028205,0.00073658,-1.0188,0.34904,1.1544,-0.28944,-0.81942,-1.9635,0,0,0,0,0,1,0.36442,0.28,0.2,0.12
0.76191,307.37,-0.16858,0.026233,0.045786,0.17785,-0.16858,0.026233,0.045786,0.00084512,0.00086823,0.0027388,0.00074651,-1.1353,0.34504,1.1541,-0.2284,-0.70926,-1.946,0,0,0,0,0,1,0.39479,0.30333,0.21667,0.13
0.71463,307.65,-0.15459,0.011824,0.049649,0.16687,-0.15459,0.011824,0.049649,0.0008567,0.00082193,0.0026729,0.00075484,-1.2501,0.34325,1.1539,-0.19142,-0.59373,-1.8923,0,0,0,0,0,1,0.42515,0.32667,0.23333,0.14
