"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","alphat","epsilon","k","nut","p","p_rgh","rho","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.41202,322.89,-0.053115,0.18891,-0.10401,0.22347,-0.053115,0.18891,-0.10401,0.00092587,0.003906,0.0061362,0.00081606,-31.746,-0.10007,1.1318,0.47671,0.90602,1.8582,0,0,0,0,0,1,0,0,2.5,2.85
-0.38023,322.9,-0.05743,0.18902,-0.10043,0.22326,-0.05743,0.18902,-0.10043,0.0011168,0.0038866,0.0065334,0.0009836,-31.748,-0.10221,1.1318,0.47419,0.76663,1.6334,0,0,0,0,0,1,0.023333,0.023333,2.5,2.85
-0.34843,322.91,-0.061746,0.18914,-0.096849,0.22305,-0.061746,0.18914,-0.096849,0.0013078,0.0038673,0.0069307,0.0011511,-31.749,-0.10436,1.1318,0.47167,0.62724,1.4086,0,0,0,0,0,1,0.046667,0.046667,2.5,2.85
-0.31664,322.92,-0.066061,0.18926,-0.093268,0.22284,-0.066061,0.18926,-0.093268,0.0014988,0.003848,0.0073279,0.0013187,-31.751,-0.10651,1.1317,0.46916,0.48785,1.1838,0,0,0,0,0,1,0.07,0.07,2.5,2.85
-0.28484,322.93,-0.070377,0.18938,-0.089687,0.22263,-0.070377,0.18938,-0.089687,0.0016898,0.0038286,0.0077251,0.0014862,-31.753,-0.10865,1.1317,0.46664,0.34846,0.959,0,0,0,0,0,1,0.093333,0.093333,2.5,2.85
-0.24108,322.95,-0.07836,0.18953,-0.083819,0.22383,-0.07836,0.18953,-0.083819,0.0019698,0.0038576,0.0083129,0.0017319,-31.755,-0.11195,1.1317,0.46099,0.21278,0.73157,0,0,0,0,0,1,0.11667,0.11667,2.5,2.85
-0.19254,322.97,-0.087812,0.18968,-0.077036,0.2256,-0.087812,0.18968,-0.077036,0.0022855,0.0039059,0.0089768,0.0020088,-31.758,-0.1157,1.1317,0.45409,0.078592,0.5031,0,0,0,0,0,1,0.14,0.14,2.5,2.85
-0.144,322.99,-0.097263,0.18984,-0.070253,0.22737,-0.097263,0.18984,-0.070253,0.0026012,0.0039542,0.0096408,0.0022858,-31.76,-0.11945,1.1316,0.44719,-0.0556,0.27462,0,0,0,0,0,1,0.16333,0.16333,2.5,2.85
-0.095455,323.01,-0.10671,0.19,-0.06347,0.22914,-0.10671,0.19,-0.06347,0.0029169,0.0040025,0.010305,0.0025627,-31.763,-0.1232,1.1316,0.44029,-0.18979,0.046149,0,0,0,0,0,1,0.18667,0.18667,2.5,2.85
-0.057304,323.03,-0.11563,0.19028,-0.057038,0.23169,-0.11563,0.19028,-0.057038,0.0031945,0.0040849,0.010889,0.0028064,-31.765,-0.12671,1.1315,0.43269,-0.26194,-0.08641,0,0,0,0,0,1,0.21,0.21,2.5,2.85
-0.03301,323.05,-0.12383,0.19071,-0.051072,0.23528,-0.12383,0.19071,-0.051072,0.0034214,0.0042126,0.011367,0.0030057,-31.767,-0.1299,1.1315,0.42416,-0.25136,-0.091082,0,0,0,0,0,1,0.23333,0.23333,2.5,2.85
-0.0087151,323.06,-0.13202,0.19115,-0.045106,0.23886,-0.13202,0.19115,-0.045106,0.0036483,0.0043404,0.011845,0.003205,-31.77,-0.13309,1.1314,0.41563,-0.24078,-0.095754,0,0,0,0,0,1,0.25667,0.25667,2.5,2.85
0.01558,323.08,-0.14022,0.19158,-0.039141,0.24245,-0.14022,0.19158,-0.039141,0.0038751,0.0044681,0.012323,0.0034043,-31.772,-0.13628,1.1314,0.4071,-0.2302,-0.10043,0,0,0,0,0,1,0.28,0.28,2.5,2.85
0.037602,323.1,-0.14795,0.19212,-0.033308,0.24602,-0.14795,0.19212,-0.033308,0.0040962,0.0045948,0.012788,0.0035986,-31.774,-0.13944,1.1314,0.39873,-0.21954,-0.10459,0,0,0,0,0,1,0.30333,0.30333,2.5,2.85
0.045993,323.11,-0.15292,0.19328,-0.028276,0.24947,-0.15292,0.19328,-0.028276,0.0042824,0.0047149,0.013182,0.003763,-31.775,-0.14247,1.1313,0.39126,-0.20838,-0.10574,0,0,0,0,0,1,0.32667,0.32667,2.5,2.85
0.054384,323.13,-0.15789,0.19443,-0.023243,0.25293,-0.15789,0.19443,-0.023243,0.0044686,0.004835,0.013575,0.0039275,-31.777,-0.14549,1.1313,0.3838,-0.19721,-0.10689,0,0,0,0,0,1,0.35,0.35,2.5,2.85
0.062775,323.15,-0.16286,0.19558,-0.01821,0.25638,-0.16286,0.19558,-0.01821,0.0046548,0.0049551,0.013969,0.004092,-31.778,-0.14852,1.1312,0.37633,-0.18604,-0.10804,0,0,0,0,0,1,0.37333,0.37333,2.5,2.85
0.071166,323.17,-0.16783,0.19674,-0.013178,0.25983,-0.16783,0.19674,-0.013178,0.004841,0.0050751,0.014363,0.0042565,-31.78,-0.15154,1.1312,0.36887,-0.17487,-0.10919,0,0,0,0,0,1,0.39667,0.39667,2.5,2.85
0.072039,323.19,-0.17088,0.1985,-0.0089439,0.26297,-0.17088,0.1985,-0.0089439,0.0049888,0.0051998,0.014707,0.0043874,-31.781,-0.1543,1.1311,0.36308,-0.16415,-0.10921,0,0,0,0,0,1,0.42,0.42,2.5,2.85
0.071659,323.21,-0.17361,0.20036,-0.0048433,0.26605,-0.17361,0.20036,-0.0048433,0.0051302,0.0053252,0.015043,0.0045126,-31.782,-0.15701,1.131,0.35757,-0.15349,-0.10903,0,0,0,0,0,1,0.44333,0.44333,2.5,2.85
0.071279,323.23,-0.17633,0.20222,-0.0007426,0.26914,-0.17633,0.20222,-0.0007426,0.0052716,0.0054506,0.01538,0.0046379,-31.783,-0.15972,1.131,0.35206,-0.14284,-0.10886,0,0,0,0,0,1,0.46667,0.46667,2.5,2.85
