"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","alphat","epsilon","k","nut","p","p_rgh","rho","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.35215,300.29,-0.057557,-0.22865,0.10002,0.25758,-0.057557,-0.22865,0.10002,0.00074681,0.0016927,0.0035913,0.00064442,-1.2964,0.42008,1.1652,0.47138,-0.7939,-2.045,0,0,0,0,0,1,0,0,2.5,0.15
-0.31202,300.35,-0.060511,-0.22456,0.0947,0.25278,-0.060511,-0.22456,0.0947,0.00087666,0.0016713,0.0037723,0.00075646,-1.2978,0.41863,1.1652,0.44104,-0.65605,-1.7574,0,0,0,0,0,1,0.023333,0.023333,2.5,0.15
-0.2719,300.41,-0.063465,-0.22046,0.089384,0.24797,-0.063465,-0.22046,0.089384,0.0010065,0.0016499,0.0039532,0.0008685,-1.2992,0.41718,1.1653,0.4107,-0.51821,-1.4698,0,0,0,0,0,1,0.046667,0.046667,2.5,0.15
-0.23177,300.48,-0.066419,-0.21637,0.084068,0.24317,-0.066419,-0.21637,0.084068,0.0011364,0.0016285,0.0041342,0.00098054,-1.3006,0.41573,1.1653,0.38036,-0.38036,-1.1823,0,0,0,0,0,1,0.07,0.07,2.5,0.15
-0.19165,300.54,-0.069374,-0.21227,0.078753,0.23837,-0.069374,-0.21227,0.078753,0.0012662,0.0016071,0.0043152,0.0010926,-1.302,0.41428,1.1653,0.35002,-0.24251,-0.8947,0,0,0,0,0,1,0.093333,0.093333,2.5,0.15
-0.14068,300.64,-0.075288,-0.20562,0.070668,0.23234,-0.075288,-0.20562,0.070668,0.0014423,0.0016011,0.0045751,0.0012444,-1.3039,0.41233,1.1654,0.29948,-0.11509,-0.60906,0,0,0,0,0,1,0.11667,0.11667,2.5,0.15
-0.08538,300.77,-0.082386,-0.19793,0.061476,0.22582,-0.082386,-0.19793,0.061476,0.0016369,0.0016013,0.0048665,0.0014121,-1.3059,0.41017,1.1654,0.24086,0.0081453,-0.32419,0,0,0,0,0,1,0.14,0.14,2.5,0.15
-0.030077,300.89,-0.089484,-0.19025,0.052284,0.21931,-0.089484,-0.19025,0.052284,0.0018315,0.0016015,0.005158,0.0015798,-1.308,0.40802,1.1655,0.18225,0.13139,-0.039313,0,0,0,0,0,1,0.16333,0.16333,2.5,0.15
0.025227,301.02,-0.096582,-0.18257,0.043091,0.21279,-0.096582,-0.18257,0.043091,0.0020261,0.0016017,0.0054494,0.0017476,-1.31,0.40587,1.1655,0.12363,0.25463,0.24556,0,0,0,0,0,1,0.18667,0.18667,2.5,0.15
0.065834,301.13,-0.10298,-0.17525,0.034695,0.20758,-0.10298,-0.17525,0.034695,0.002178,0.0016229,0.0056981,0.0018778,-1.3116,0.40423,1.1656,0.067816,0.31549,0.40535,0,0,0,0,0,1,0.21,0.21,2.5,0.15
0.086848,301.24,-0.10844,-0.16843,0.02736,0.20411,-0.10844,-0.16843,0.02736,0.0022728,0.0016721,0.0058896,0.0019582,-1.3125,0.40326,1.1656,0.015753,0.2932,0.39838,0,0,0,0,0,1,0.23333,0.23333,2.5,0.15
0.10786,301.34,-0.11391,-0.16161,0.020024,0.20065,-0.11391,-0.16161,0.020024,0.0023677,0.0017213,0.0060812,0.0020386,-1.3134,0.4023,1.1657,-0.03631,0.27091,0.39141,0,0,0,0,0,1,0.25667,0.25667,2.5,0.15
0.12887,301.44,-0.11937,-0.15479,0.012689,0.19718,-0.11937,-0.15479,0.012689,0.0024625,0.0017705,0.0062728,0.0021189,-1.3143,0.40133,1.1658,-0.088374,0.24862,0.38443,0,0,0,0,0,1,0.28,0.28,2.5,0.15
0.14733,301.53,-0.12415,-0.14805,0.0054407,0.19369,-0.12415,-0.14805,0.0054407,0.0025491,0.0018217,0.0064586,0.0021919,-1.3151,0.40053,1.1658,-0.13884,0.22772,0.37644,0,0,0,0,0,1,0.30333,0.30333,2.5,0.15
0.15046,301.56,-0.12478,-0.14184,-0.0012856,0.19004,-0.12478,-0.14184,-0.0012856,0.0025854,0.0018848,0.0066096,0.0022206,-1.315,0.40074,1.166,-0.17974,0.21522,0.3623,0,0,0,0,0,1,0.32667,0.32667,2.5,0.15
0.1536,301.59,-0.12541,-0.13562,-0.008012,0.18639,-0.12541,-0.13562,-0.008012,0.0026218,0.0019479,0.0067606,0.0022493,-1.315,0.40095,1.1662,-0.22063,0.20273,0.34817,0,0,0,0,0,1,0.35,0.35,2.5,0.15
0.15673,301.61,-0.12604,-0.1294,-0.014738,0.18274,-0.12604,-0.1294,-0.014738,0.0026581,0.002011,0.0069116,0.002278,-1.3149,0.40115,1.1663,-0.26152,0.19023,0.33403,0,0,0,0,0,1,0.37333,0.37333,2.5,0.15
0.15986,301.64,-0.12668,-0.12318,-0.021465,0.17908,-0.12668,-0.12318,-0.021465,0.0026945,0.0020741,0.0070626,0.0023067,-1.3148,0.40136,1.1665,-0.30242,0.17773,0.3199,0,0,0,0,0,1,0.39667,0.39667,2.5,0.15
0.14448,301.54,-0.12352,-0.11793,-0.027986,0.17512,-0.12352,-0.11793,-0.027986,0.0026935,0.0021469,0.0071864,0.0023031,-1.314,0.40274,1.1668,-0.32964,0.16707,0.2931,0,0,0,0,0,1,0.42,0.42,2.5,0.15
0.12601,301.42,-0.11972,-0.11285,-0.034474,0.1711,-0.11972,-0.11285,-0.034474,0.0026864,0.0022213,0.0073056,0.0022942,-1.3129,0.40432,1.1672,-0.35458,0.15672,0.26419,0,0,0,0,0,1,0.44333,0.44333,2.5,0.15
0.10754,301.29,-0.11593,-0.10776,-0.040962,0.16709,-0.11593,-0.10776,-0.040962,0.0026792,0.0022957,0.0074249,0.0022852,-1.3119,0.4059,1.1676,-0.37952,0.14636,0.23528,0,0,0,0,0,1,0.46667,0.46667,2.5,0.15
0.089075,301.17,-0.11214,-0.10267,-0.047449,0.16307,-0.11214,-0.10267,-0.047449,0.002672,0.0023701,0.0075441,0.0022762,-1.3109,0.40749,1.168,-0.40447,0.13601,0.20637,0,0,0,0,0,1,0.49,0.49,2.5,0.15
0.06081,300.93,-0.10587,-0.099068,-0.053511,0.15933,-0.10587,-0.099068,-0.053511,0.0026421,0.0024437,0.0076269,0.0022479,-1.3098,0.40947,1.1686,-0.41721,0.11808,0.1638,0,0,0,0,0,1,0.51333,0.51333,2.5,0.15
0.025195,300.6,-0.097734,-0.096579,-0.059254,0.15578,-0.097734,-0.096579,-0.059254,0.0025951,0.0025166,0.0076824,0.0022053,-1.3086,0.41177,1.1694,-0.42081,0.094473,0.11097,0,0,0,0,0,1,0.53667,0.53667,2.5,0.15
-0.01042,300.27,-0.089602,-0.094089,-0.064997,0.15224,-0.089602,-0.094089,-0.064997,0.0025482,0.0025895,0.0077379,0.0021626,-1.3075,0.41406,1.1702,-0.42441,0.070866,0.05814,0,0,0,0,0,1,0.56,0.56,2.5,0.15
-0.046035,299.94,-0.08147,-0.0916,-0.070741,0.1487,-0.08147,-0.0916,-0.070741,0.0025012,0.0026625,0.0077934,0.00212,-1.3064,0.41635,1.1709,-0.42801,0.04726,0.0053114,0,0,0,0,0,1,0.58333,0.58333,2.5,0.15
-0.074719,299.58,-0.072385,-0.090658,-0.075569,0.14587,-0.072385,-0.090658,-0.075569,0.0024442,0.0027326,0.0078241,0.0020694,-1.3056,0.41859,1.1719,-0.42421,0.0079144,-0.050332,0,0,0,0,0,1,0.60667,0.60667,2.5,0.15
-0.086077,299.11,-0.060913,-0.093584,-0.078109,0.14485,-0.060913,-0.093584,-0.078109,0.0023623,0.0027957,0.0077929,0.0019992,-1.3055,0.42068,1.1732,-0.40192,-0.070778,-0.11301,0,0,0,0,0,1,0.63,0.63,2.5,0.15
-0.097435,298.65,-0.049442,-0.09651,-0.08065,0.14382,-0.049442,-0.09651,-0.08065,0.0022804,0.0028589,0.0077617,0.001929,-1.3055,0.42278,1.1745,-0.37963,-0.14947,-0.17569,0,0,0,0,0,1,0.65333,0.65333,2.5,0.15
-0.10879,298.19,-0.037971,-0.099436,-0.083191,0.1428,-0.037971,-0.099436,-0.083191,0.0021984,0.002922,0.0077304,0.0018588,-1.3054,0.42487,1.1758,-0.35733,-0.22816,-0.23837,0,0,0,0,0,1,0.67667,0.67667,2.5,0.15
-0.12015,297.73,-0.026499,-0.10236,-0.085732,0.14177,-0.026499,-0.10236,-0.085732,0.0021165,0.0029851,0.0076992,0.0017886,-1.3054,0.42696,1.1771,-0.33504,-0.30686,-0.30105,0,0,0,0,0,1,0.7,0.7,2.5,0.15
-0.01238,297.46,-0.015394,-0.11008,-0.077541,0.14344,-0.015394,-0.11008,-0.077541,0.0020277,0.0031429,0.0077195,0.001714,-1.3067,0.42865,1.179,-0.29125,-0.59504,-0.25954,0,0,0,0,0,1,0.72333,0.72333,2.5,0.15
