"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","alphat","epsilon","k","nut","p","p_rgh","rho","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.018306,331.46,-0.064604,0.013751,-0.31648,0.32329,-0.064604,0.013751,-0.31648,0.00094539,0.0041042,0.0064189,0.0008486,-16.111,0.29686,1.115,-3.1375,-0.21016,0.53763,0,0,0,0,0,1,0,3.5,0,1.5
-0.020892,331.41,-0.062684,0.015705,-0.31622,0.32281,-0.062684,0.015705,-0.31622,0.0011304,0.0040036,0.0067103,0.0010168,-16.111,0.2991,1.1151,-2.8709,-0.21263,0.46956,0,0,0,0,0,1,0.016667,3.5,0.016667,1.5
-0.023477,331.35,-0.060763,0.01766,-0.31596,0.32232,-0.060763,0.01766,-0.31596,0.0013155,0.0039031,0.0070017,0.001185,-16.111,0.30133,1.1152,-2.6043,-0.21511,0.40149,0,0,0,0,0,1,0.033333,3.5,0.033333,1.5
-0.026062,331.29,-0.058842,0.019614,-0.3157,0.32184,-0.058842,0.019614,-0.3157,0.0015005,0.0038025,0.0072931,0.0013533,-16.111,0.30357,1.1154,-2.3377,-0.21759,0.33342,0,0,0,0,0,1,0.05,3.5,0.05,1.5
-0.028648,331.24,-0.056922,0.021568,-0.31544,0.32135,-0.056922,0.021568,-0.31544,0.0016856,0.003702,0.0075844,0.0015215,-16.111,0.3058,1.1155,-2.0711,-0.22007,0.26535,0,0,0,0,0,1,0.066667,3.5,0.066667,1.5
-0.031233,331.18,-0.055001,0.023522,-0.31518,0.32086,-0.055001,0.023522,-0.31518,0.0018706,0.0036015,0.0078758,0.0016897,-16.111,0.30803,1.1157,-1.8045,-0.22255,0.19728,0,0,0,0,0,1,0.083333,3.5,0.083333,1.5
-0.033818,331.13,-0.05308,0.025476,-0.31492,0.32038,-0.05308,0.025476,-0.31492,0.0020557,0.0035009,0.0081672,0.0018579,-16.111,0.31027,1.1158,-1.5379,-0.22502,0.12921,0,0,0,0,0,1,0.1,3.5,0.1,1.5
-0.036687,331.04,-0.048373,0.029725,-0.31416,0.31956,-0.048373,0.029725,-0.31416,0.0024394,0.0033895,0.0087027,0.0022071,-16.111,0.31421,1.1161,-1.2664,-0.22936,0.054316,0,0,0,0,0,1,0.11667,3.5,0.11667,1.5
-0.039556,330.94,-0.043666,0.033973,-0.31339,0.31874,-0.043666,0.033973,-0.31339,0.002823,0.003278,0.0092382,0.0025564,-16.111,0.31815,1.1164,-0.99488,-0.2337,-0.020576,0,0,0,0,0,1,0.13333,3.5,0.13333,1.5
-0.042425,330.85,-0.038959,0.038221,-0.31263,0.31793,-0.038959,0.038221,-0.31263,0.0032067,0.0031665,0.0097737,0.0029056,-16.111,0.32209,1.1166,-0.72335,-0.23804,-0.095467,0,0,0,0,0,1,0.15,3.5,0.15,1.5
-0.045294,330.75,-0.034251,0.04247,-0.31187,0.31711,-0.034251,0.04247,-0.31187,0.0035904,0.0030551,0.010309,0.0032549,-16.111,0.32604,1.1169,-0.45181,-0.24237,-0.17036,0,0,0,0,0,1,0.16667,3.5,0.16667,1.5
-0.048163,330.66,-0.029544,0.046718,-0.3111,0.31629,-0.029544,0.046718,-0.3111,0.003974,0.0029436,0.010845,0.0036041,-16.111,0.32998,1.1172,-0.18028,-0.24671,-0.24525,0,0,0,0,0,1,0.18333,3.5,0.18333,1.5
-0.051032,330.56,-0.024837,0.050966,-0.31034,0.31547,-0.024837,0.050966,-0.31034,0.0043577,0.0028322,0.01138,0.0039533,-16.111,0.33392,1.1174,0.091247,-0.25105,-0.32014,0,0,0,0,0,1,0.2,3.5,0.2,1.5
-0.050552,330.5,-0.019009,0.055592,-0.30882,0.31481,-0.019009,0.055592,-0.30882,0.0047108,0.0028213,0.011791,0.0042755,-16.111,0.33671,1.1176,0.10316,-0.25093,-0.32753,0,0,0,0,0,1,0.21667,3.5,0.21667,1.5
-0.050073,330.43,-0.013182,0.060218,-0.30729,0.31415,-0.013182,0.060218,-0.30729,0.005064,0.0028105,0.012203,0.0045977,-16.111,0.3395,1.1178,0.11507,-0.25082,-0.33492,0,0,0,0,0,1,0.23333,3.5,0.23333,1.5
-0.049593,330.36,-0.0073547,0.064843,-0.30577,0.31348,-0.0073547,0.064843,-0.30577,0.0054171,0.0027997,0.012614,0.0049199,-16.111,0.3423,1.118,0.12698,-0.2507,-0.3423,0,0,0,0,0,1,0.25,3.5,0.25,1.5
-0.049113,330.29,-0.0015274,0.069469,-0.30425,0.31282,-0.0015274,0.069469,-0.30425,0.0057702,0.0027889,0.013025,0.005242,-16.112,0.34509,1.1183,0.13889,-0.25059,-0.34969,0,0,0,0,0,1,0.26667,3.5,0.26667,1.5
-0.048633,330.22,0.0042999,0.074095,-0.30273,0.31215,0.0042999,0.074095,-0.30273,0.0061234,0.002778,0.013436,0.0055642,-16.112,0.34788,1.1185,0.15081,-0.25048,-0.35708,0,0,0,0,0,1,0.28333,3.5,0.28333,1.5
-0.048154,330.15,0.010127,0.07872,-0.30121,0.31149,0.010127,0.07872,-0.30121,0.0064765,0.0027672,0.013847,0.0058864,-16.112,0.35068,1.1187,0.16272,-0.25036,-0.36447,0,0,0,0,0,1,0.3,3.5,0.3,1.5
-0.046084,330.09,0.015945,0.083212,-0.29842,0.31071,0.015945,0.083212,-0.29842,0.0067477,0.0027664,0.014124,0.0061339,-16.113,0.35225,1.1188,0.17816,-0.24432,-0.36133,0,0,0,0,0,1,0.31667,3.5,0.31667,1.5
-0.044013,330.03,0.021762,0.087703,-0.29564,0.30993,0.021762,0.087703,-0.29564,0.0070189,0.0027656,0.014401,0.0063814,-16.113,0.35383,1.119,0.1936,-0.23828,-0.35819,0,0,0,0,0,1,0.33333,3.5,0.33333,1.5
-0.041943,329.97,0.02758,0.092194,-0.29285,0.30915,0.02758,0.092194,-0.29285,0.0072902,0.0027649,0.014678,0.0066289,-16.114,0.35541,1.1191,0.20904,-0.23223,-0.35506,0,0,0,0,0,1,0.35,3.5,0.35,1.5
-0.039873,329.91,0.033398,0.096685,-0.29007,0.30837,0.033398,0.096685,-0.29007,0.0075614,0.0027641,0.014955,0.0068763,-16.114,0.35699,1.1193,0.22448,-0.22619,-0.35192,0,0,0,0,0,1,0.36667,3.5,0.36667,1.5
-0.037803,329.85,0.039215,0.10118,-0.28729,0.30759,0.039215,0.10118,-0.28729,0.0078326,0.0027633,0.015231,0.0071238,-16.115,0.35857,1.1194,0.23992,-0.22015,-0.34879,0,0,0,0,0,1,0.38333,3.5,0.38333,1.5
-0.035732,329.79,0.045033,0.10567,-0.2845,0.30681,0.045033,0.10567,-0.2845,0.0081038,0.0027625,0.015508,0.0073713,-16.115,0.36014,1.1195,0.25536,-0.2141,-0.34565,0,0,0,0,0,1,0.4,3.5,0.4,1.5
-0.033003,329.73,0.050117,0.10974,-0.28018,0.30554,0.050117,0.10974,-0.28018,0.0083108,0.0027632,0.015703,0.0075594,-16.116,0.36055,1.1196,0.27284,-0.20502,-0.3363,0,0,0,0,0,1,0.41667,3.5,0.41667,1.5
-0.030274,329.67,0.055201,0.11381,-0.27586,0.30426,0.055201,0.11381,-0.27586,0.0085177,0.0027639,0.015897,0.0077474,-16.117,0.36095,1.1197,0.29032,-0.19593,-0.32696,0,0,0,0,0,1,0.43333,3.5,0.43333,1.5
-0.027545,329.61,0.060286,0.11788,-0.27154,0.30298,0.060286,0.11788,-0.27154,0.0087246,0.0027646,0.016092,0.0079354,-16.118,0.36135,1.1198,0.30781,-0.18685,-0.31762,0,0,0,0,0,1,0.45,3.5,0.45,1.5
-0.024816,329.55,0.06537,0.12195,-0.26722,0.30171,0.06537,0.12195,-0.26722,0.0089315,0.0027653,0.016286,0.0081235,-16.119,0.36176,1.1199,0.32529,-0.17776,-0.30827,0,0,0,0,0,1,0.46667,3.5,0.46667,1.5
-0.022086,329.49,0.070454,0.12602,-0.2629,0.30043,0.070454,0.12602,-0.2629,0.0091385,0.002766,0.016481,0.0083115,-16.119,0.36216,1.12,0.34278,-0.16868,-0.29893,0,0,0,0,0,1,0.48333,3.5,0.48333,1.5
-0.019357,329.43,0.075538,0.13009,-0.25858,0.29916,0.075538,0.13009,-0.25858,0.0093454,0.0027667,0.016676,0.0084995,-16.12,0.36256,1.12,0.36026,-0.15959,-0.28958,0,0,0,0,0,1,0.5,3.5,0.5,1.5
-0.016391,329.36,0.079595,0.13362,-0.25265,0.29719,0.079595,0.13362,-0.25265,0.0095032,0.0027788,0.016851,0.0086419,-16.121,0.3617,1.1201,0.37944,-0.14903,-0.27738,0,0,0,0,0,1,0.51667,3.5,0.51667,1.5
-0.013426,329.29,0.083652,0.13714,-0.24672,0.29522,0.083652,0.13714,-0.24672,0.0096611,0.0027908,0.017026,0.0087842,-16.122,0.36084,1.1201,0.39861,-0.13847,-0.26518,0,0,0,0,0,1,0.53333,3.5,0.53333,1.5
-0.01046,329.22,0.08771,0.14067,-0.24078,0.29326,0.08771,0.14067,-0.24078,0.0098189,0.0028029,0.017201,0.0089266,-16.123,0.35998,1.1201,0.41779,-0.12791,-0.25298,0,0,0,0,0,1,0.55,3.5,0.55,1.5
-0.0074942,329.15,0.091767,0.14419,-0.23485,0.29129,0.091767,0.14419,-0.23485,0.0099768,0.002815,0.017376,0.0090689,-16.124,0.35912,1.1201,0.43696,-0.11736,-0.24078,0,0,0,0,0,1,0.56667,3.5,0.56667,1.5
-0.0045285,329.08,0.095824,0.14771,-0.22892,0.28932,0.095824,0.14771,-0.22892,0.010135,0.002827,0.017551,0.0092112,-16.125,0.35825,1.1201,0.45614,-0.1068,-0.22858,0,0,0,0,0,1,0.58333,3.5,0.58333,1.5
-0.0015628,329.01,0.099881,0.15124,-0.22299,0.28735,0.099881,0.15124,-0.22299,0.010293,0.0028391,0.017727,0.0093536,-16.126,0.35739,1.1201,0.47531,-0.096239,-0.21638,0,0,0,0,0,1,0.6,3.5,0.6,1.5
0.0020536,328.93,0.10281,0.15415,-0.21527,0.28463,0.10281,0.15415,-0.21527,0.010402,0.0028766,0.017936,0.0094512,-16.127,0.3548,1.12,0.49841,-0.084583,-0.2027,0,0,0,0,0,1,0.61667,3.5,0.61667,1.5
0.00567,328.85,0.10573,0.15705,-0.20755,0.28191,0.10573,0.15705,-0.20755,0.010511,0.0029142,0.018145,0.0095488,-16.128,0.3522,1.1199,0.52152,-0.072926,-0.18902,0,0,0,0,0,1,0.63333,3.5,0.63333,1.5
0.0092864,328.77,0.10866,0.15996,-0.19983,0.27919,0.10866,0.15996,-0.19983,0.010621,0.0029517,0.018354,0.0096464,-16.129,0.3496,1.1198,0.54462,-0.061269,-0.17534,0,0,0,0,0,1,0.65,3.5,0.65,1.5
0.012903,328.69,0.11158,0.16287,-0.19211,0.27647,0.11158,0.16287,-0.19211,0.01073,0.0029893,0.018564,0.009744,-16.13,0.34701,1.1197,0.56772,-0.049612,-0.16166,0,0,0,0,0,1,0.66667,3.5,0.66667,1.5
0.016519,328.61,0.11451,0.16577,-0.18439,0.27375,0.11451,0.16577,-0.18439,0.01084,0.0030268,0.018773,0.0098417,-16.131,0.34441,1.1196,0.59082,-0.037955,-0.14797,0,0,0,0,0,1,0.68333,3.5,0.68333,1.5
0.020136,328.53,0.11743,0.16868,-0.17667,0.27103,0.11743,0.16868,-0.17667,0.010949,0.0030644,0.018982,0.0099393,-16.132,0.34181,1.1195,0.61392,-0.026298,-0.13429,0,0,0,0,0,1,0.7,3.5,0.7,1.5
0.025641,328.44,0.11919,0.17094,-0.16667,0.26776,0.11919,0.17094,-0.16667,0.011001,0.0031441,0.019264,0.0099845,-16.133,0.33623,1.1192,0.64551,-0.012746,-0.11881,0,0,0,0,0,1,0.71667,3.5,0.71667,1.5
0.031146,328.36,0.12094,0.1732,-0.15668,0.26449,0.12094,0.1732,-0.15668,0.011053,0.0032239,0.019545,0.01003,-16.135,0.33066,1.1189,0.6771,0.00080716,-0.10332,0,0,0,0,0,1,0.73333,3.5,0.73333,1.5
0.036651,328.28,0.12269,0.17546,-0.14668,0.26122,0.12269,0.17546,-0.14668,0.011105,0.0033036,0.019826,0.010075,-16.136,0.32508,1.1186,0.70869,0.01436,-0.087839,0,0,0,0,0,1,0.75,3.5,0.75,1.5
