"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","alphat","epsilon","k","nut","p","p_rgh","rho","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.142,291,-0.0045786,-0.0030422,0.48134,0.48137,-0.0045786,-0.0030422,0.48134,0.00099135,0.0077774,0.0086044,0.0008044,0.13944,0.74286,1.2324,0.045142,-0.071094,4.733e-05,0,0,0,0,0,1,0,3.5,2.5,0
-0.16276,291,-0.0048109,-0.0030986,0.47821,0.47824,-0.0048109,-0.0030986,0.47821,0.00099203,0.0076943,0.0085583,0.00080495,0.08017,0.74404,1.2324,0.04451,-0.070292,4.0771e-05,0,0,0,0,0,1,0.01,3.5,2.5,0.01
-0.18351,291,-0.0050431,-0.003155,0.47507,0.47511,-0.0050431,-0.003155,0.47507,0.00099271,0.0076111,0.0085122,0.0008055,0.020895,0.74521,1.2324,0.043879,-0.069489,3.4212e-05,0,0,0,0,0,1,0.02,3.5,2.5,0.02
-0.20427,291,-0.0052754,-0.0032114,0.47194,0.47198,-0.0052754,-0.0032114,0.47194,0.00099339,0.007528,0.008466,0.00080605,-0.038379,0.74639,1.2324,0.043247,-0.068686,2.7654e-05,0,0,0,0,0,1,0.03,3.5,2.5,0.03
-0.22502,291,-0.0055077,-0.0032678,0.4688,0.46885,-0.0055077,-0.0032678,0.4688,0.00099407,0.0074449,0.0084199,0.0008066,-0.097653,0.74756,1.2324,0.042615,-0.067883,2.1095e-05,0,0,0,0,0,1,0.04,3.5,2.5,0.04
-0.24578,291,-0.00574,-0.0033242,0.46566,0.46571,-0.00574,-0.0033242,0.46566,0.00099475,0.0073618,0.0083738,0.00080715,-0.15693,0.74874,1.2324,0.041984,-0.067081,1.4536e-05,0,0,0,0,0,1,0.05,3.5,2.5,0.05
-0.26653,291,-0.0059723,-0.0033806,0.46253,0.46258,-0.0059723,-0.0033806,0.46253,0.00099543,0.0072787,0.0083277,0.0008077,-0.2162,0.74991,1.2324,0.041352,-0.066278,7.9767e-06,0,0,0,0,0,1,0.06,3.5,2.5,0.06
-0.28729,291,-0.0062046,-0.003437,0.45939,0.45945,-0.0062046,-0.003437,0.45939,0.00099611,0.0071956,0.0082815,0.00080825,-0.27548,0.75108,1.2324,0.040721,-0.065475,1.4177e-06,0,0,0,0,0,1,0.07,3.5,2.5,0.07
-0.30804,291,-0.0064368,-0.0034934,0.45626,0.45632,-0.0064368,-0.0034934,0.45626,0.00099679,0.0071125,0.0082354,0.0008088,-0.33475,0.75226,1.2324,0.040089,-0.064673,-5.1412e-06,0,0,0,0,0,1,0.08,3.5,2.5,0.08
-0.3288,291,-0.0066691,-0.0035499,0.45312,0.45319,-0.0066691,-0.0035499,0.45312,0.00099747,0.0070294,0.0081893,0.00080935,-0.39402,0.75343,1.2324,0.039457,-0.06387,-1.17e-05,0,0,0,0,0,1,0.09,3.5,2.5,0.09
-0.34955,291,-0.0069014,-0.0036063,0.44999,0.45005,-0.0069014,-0.0036063,0.44999,0.00099815,0.0069463,0.0081431,0.0008099,-0.4533,0.75461,1.2324,0.038826,-0.063067,-1.8259e-05,0,0,0,0,0,1,0.1,3.5,2.5,0.1
-0.39205,291,-0.0073616,-0.0035777,0.44184,0.44192,-0.0073616,-0.0035777,0.44184,0.0010055,0.0068107,0.0080848,0.00081583,-0.5708,0.758,1.2324,0.039275,-0.062984,-5.388e-05,0,0,0,0,0,1,0.11,3.5,2.5,0.11
-0.43454,291,-0.0078217,-0.0035492,0.43369,0.43378,-0.0078217,-0.0035492,0.43369,0.0010128,0.006675,0.0080264,0.00082175,-0.68829,0.76139,1.2324,0.039724,-0.062901,-8.95e-05,0,0,0,0,0,1,0.12,3.5,2.5,0.12
-0.47703,291,-0.0082819,-0.0035206,0.42554,0.42565,-0.0082819,-0.0035206,0.42554,0.0010201,0.0065394,0.0079681,0.00082768,-0.80579,0.76478,1.2324,0.040173,-0.062817,-0.00012512,0,0,0,0,0,1,0.13,3.5,2.5,0.13
-0.51953,291,-0.008742,-0.0034921,0.41739,0.41751,-0.008742,-0.0034921,0.41739,0.0010274,0.0064038,0.0079098,0.0008336,-0.92329,0.76817,1.2324,0.040622,-0.062734,-0.00016074,0,0,0,0,0,1,0.14,3.5,2.5,0.14
-0.56202,291.01,-0.0092022,-0.0034635,0.40925,0.40938,-0.0092022,-0.0034635,0.40925,0.0010347,0.0062682,0.0078514,0.00083952,-1.0408,0.77156,1.2324,0.041071,-0.062651,-0.00019636,0,0,0,0,0,1,0.15,3.5,2.5,0.15
-0.60451,291.01,-0.0096623,-0.003435,0.4011,0.40124,-0.0096623,-0.003435,0.4011,0.001042,0.0061326,0.0077931,0.00084545,-1.1583,0.77495,1.2324,0.04152,-0.062567,-0.00023198,0,0,0,0,0,1,0.16,3.5,2.5,0.16
-0.647,291.01,-0.010122,-0.0034065,0.39295,0.39311,-0.010122,-0.0034065,0.39295,0.0010493,0.005997,0.0077347,0.00085137,-1.2758,0.77834,1.2324,0.041969,-0.062484,-0.0002676,0,0,0,0,0,1,0.17,3.5,2.5,0.17
-0.6895,291.01,-0.010583,-0.0033779,0.3848,0.38497,-0.010583,-0.0033779,0.3848,0.0010566,0.0058613,0.0076764,0.0008573,-1.3933,0.78173,1.2324,0.042418,-0.062401,-0.00030322,0,0,0,0,0,1,0.18,3.5,2.5,0.18
-0.73199,291.01,-0.011043,-0.0033494,0.37665,0.37683,-0.011043,-0.0033494,0.37665,0.0010639,0.0057257,0.0076181,0.00086322,-1.5108,0.78512,1.2324,0.042867,-0.062317,-0.00033884,0,0,0,0,0,1,0.19,3.5,2.5,0.19
-0.77448,291.01,-0.011503,-0.0033208,0.3685,0.3687,-0.011503,-0.0033208,0.3685,0.0010713,0.0055901,0.0075597,0.00086915,-1.6283,0.78851,1.2324,0.043316,-0.062234,-0.00037446,0,0,0,0,0,1,0.2,3.5,2.5,0.2
-0.81877,291.04,-0.011988,-0.0031522,0.35729,0.35751,-0.011988,-0.0031522,0.35729,0.0011073,0.0055698,0.007662,0.00089839,-1.7448,0.79248,1.2322,0.051153,-0.064281,-0.00044518,0,0,0,0,0,1,0.21,3.5,2.5,0.21
-0.86306,291.08,-0.012472,-0.0029835,0.34607,0.34633,-0.012472,-0.0029835,0.34607,0.0011434,0.0055495,0.0077642,0.00092763,-1.8613,0.79645,1.2321,0.05899,-0.066327,-0.0005159,0,0,0,0,0,1,0.22,3.5,2.5,0.22
-0.90734,291.11,-0.012957,-0.0028148,0.33485,0.33515,-0.012957,-0.0028148,0.33485,0.0011794,0.0055292,0.0078664,0.00095687,-1.9778,0.80042,1.232,0.066827,-0.068374,-0.00058661,0,0,0,0,0,1,0.23,3.5,2.5,0.23
-0.95163,291.14,-0.013442,-0.0026461,0.32364,0.32396,-0.013442,-0.0026461,0.32364,0.0012155,0.0055089,0.0079687,0.00098611,-2.0944,0.80439,1.2319,0.074664,-0.07042,-0.00065733,0,0,0,0,0,1,0.24,3.5,2.5,0.24
-0.99592,291.17,-0.013926,-0.0024775,0.31242,0.31278,-0.013926,-0.0024775,0.31242,0.0012515,0.0054886,0.0080709,0.0010154,-2.2109,0.80835,1.2318,0.082501,-0.072467,-0.00072805,0,0,0,0,0,1,0.25,3.5,2.5,0.25
-1.0402,291.2,-0.014411,-0.0023088,0.3012,0.30159,-0.014411,-0.0023088,0.3012,0.0012876,0.0054683,0.0081731,0.0010446,-2.3274,0.81232,1.2317,0.090338,-0.074514,-0.00079876,0,0,0,0,0,1,0.26,3.5,2.5,0.26
-1.0845,291.24,-0.014896,-0.0021401,0.28998,0.29041,-0.014896,-0.0021401,0.28998,0.0013236,0.005448,0.0082754,0.0010738,-2.444,0.81629,1.2315,0.098175,-0.07656,-0.00086948,0,0,0,0,0,1,0.27,3.5,2.5,0.27
-1.1288,291.27,-0.01538,-0.0019714,0.27877,0.27923,-0.01538,-0.0019714,0.27877,0.0013596,0.0054277,0.0083776,0.0011031,-2.5605,0.82026,1.2314,0.10601,-0.078607,-0.0009402,0,0,0,0,0,1,0.28,3.5,2.5,0.28
-1.1731,291.3,-0.015865,-0.0018028,0.26755,0.26804,-0.015865,-0.0018028,0.26755,0.0013957,0.0054074,0.0084798,0.0011323,-2.677,0.82423,1.2313,0.11385,-0.080653,-0.0010109,0,0,0,0,0,1,0.29,3.5,2.5,0.29
-1.2174,291.33,-0.01635,-0.0016341,0.25633,0.25686,-0.01635,-0.0016341,0.25633,0.0014317,0.0053871,0.0085821,0.0011616,-2.7935,0.82819,1.2312,0.12169,-0.0827,-0.0010816,0,0,0,0,0,1,0.3,3.5,2.5,0.3
-1.2255,291.67,-0.01691,-0.0022512,0.24256,0.24326,-0.01691,-0.0022512,0.24256,0.0015955,0.0055606,0.0091679,0.0012971,-2.9105,0.8269,1.23,0.143,-0.083853,-0.00078121,0,0,0,0,0,1,0.31,3.5,2.5,0.31
-1.2337,292.01,-0.01747,-0.0028683,0.22879,0.22967,-0.01747,-0.0028683,0.22879,0.0017594,0.005734,0.0097538,0.0014327,-3.0275,0.8256,1.2288,0.16431,-0.085006,-0.00048079,0,0,0,0,0,1,0.32,3.5,2.5,0.32
-1.2419,292.35,-0.018029,-0.0034855,0.21503,0.21607,-0.018029,-0.0034855,0.21503,0.0019232,0.0059075,0.01034,0.0015683,-3.1444,0.8243,1.2276,0.18562,-0.086159,-0.00018036,0,0,0,0,0,1,0.33,3.5,2.5,0.33
-1.2501,292.69,-0.018589,-0.0041026,0.20126,0.20248,-0.018589,-0.0041026,0.20126,0.002087,0.006081,0.010926,0.0017038,-3.2614,0.823,1.2264,0.20693,-0.087312,0.00012006,0,0,0,0,0,1,0.34,3.5,2.5,0.34
