"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","alphat","epsilon","k","nut","p","p_rgh","rho","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.16676,300.45,-0.053007,-0.0041011,0.046901,0.070897,-0.053007,-0.0041011,0.046901,0.00042916,0.0003656,0.0012825,0.00038013,-0.067429,0.49358,1.13,0.44405,-1.0104,0.15074,0,0,0,0,0,1,0,0,0,0
-0.17631,300.36,-0.0523,-0.006897,0.048632,0.072264,-0.0523,-0.006897,0.048632,0.00043418,0.00039101,0.0013297,0.00038358,-0.12328,0.49311,1.13,0.44629,-0.93229,0.12695,0,0,0,0,0,1,0.030368,0.023333,0.016667,0.01
-0.18319,300.27,-0.051574,-0.0097819,0.050309,0.073538,-0.051574,-0.0097819,0.050309,0.00044106,0.00041734,0.0013815,0.00038878,-0.17914,0.49264,1.1301,0.44214,-0.85159,0.096127,0,0,0,0,0,1,0.060736,0.046667,0.033333,0.02
-0.18733,300.18,-0.050815,-0.012739,0.051934,0.074683,-0.050815,-0.012739,0.051934,0.00045079,0.0004443,0.0014386,0.0003966,-0.235,0.49218,1.1301,0.43112,-0.76826,0.05813,0,0,0,0,0,1,0.091104,0.07,0.05,0.03
-0.18868,300.09,-0.050005,-0.015751,0.053508,0.075665,-0.050006,-0.015751,0.053508,0.00046433,0.0004716,0.0015022,0.00040789,-0.29087,0.49172,1.1302,0.41275,-0.68225,0.012827,0,0,0,0,0,1,0.12147,0.093333,0.066667,0.04
-0.18888,300.04,-0.051566,-0.020262,0.055247,0.079272,-0.051566,-0.020262,0.055247,0.0004894,0.00052139,0.0016172,0.00042947,-0.34683,0.49125,1.1303,0.39682,-0.61111,-0.019383,0,0,0,0,0,1,0.15184,0.11667,0.083333,0.05
-0.1875,300,-0.054073,-0.025532,0.057038,0.08384,-0.054073,-0.025532,0.057038,0.00052473,0.00058096,0.0017633,0.00046025,-0.40284,0.49074,1.1304,0.37541,-0.54183,-0.056267,0,0,0,0,0,1,0.18221,0.14,0.1,0.06
-0.18725,299.91,-0.055597,-0.03353,0.058379,0.08934,-0.055597,-0.03353,0.058379,0.00057313,0.00064811,0.0019412,0.00050229,-0.45921,0.48995,1.1305,0.36273,-0.45625,-0.091979,0,0,0,0,0,1,0.21258,0.16333,0.11667,0.07
-0.1826,299.82,-0.056729,-0.041317,0.059507,0.094103,-0.056729,-0.041317,0.059507,0.00063335,0.00071356,0.0021357,0.00055491,-0.51561,0.48913,1.1306,0.33298,-0.36326,-0.13609,0,0,0,0,0,1,0.24294,0.18667,0.13333,0.08
-0.17574,299.74,-0.057472,-0.048492,0.060446,0.098366,-0.057472,-0.048492,0.060446,0.00070241,0.00078081,0.0023463,0.00061559,-0.57202,0.48831,1.1308,0.2855,-0.29206,-0.18525,0,0,0,0,0,1,0.27331,0.21,0.15,0.09
-0.16785,299.7,-0.058127,-0.055321,0.06128,0.10268,-0.058127,-0.055321,0.06128,0.00077793,0.0008527,0.0025751,0.00068228,-0.62847,0.48745,1.1309,0.22345,-0.25658,-0.24204,0,0,0,0,0,1,0.30368,0.23333,0.16667,0.1
-0.15568,299.66,-0.058197,-0.061555,0.064269,0.10851,-0.058197,-0.061555,0.064269,0.0008854,0.00092449,0.0028538,0.00077765,-0.74058,0.48614,1.1309,0.15083,-0.2215,-0.31254,0,0,0,0,0,1,0.33405,0.25667,0.18333,0.11
-0.14172,299.62,-0.058151,-0.067857,0.067131,0.11379,-0.058151,-0.067857,0.067131,0.0010145,0.00099384,0.0031665,0.00089246,-0.85278,0.48471,1.1309,0.059059,-0.18499,-0.3968,0,0,0,0,0,1,0.36442,0.28,0.2,0.12
-0.13384,299.69,-0.060592,-0.074289,0.07054,0.12182,-0.060592,-0.074289,0.07054,0.0011367,0.00107,0.003474,0.001001,-0.96515,0.48307,1.1309,0.033197,-0.15583,-0.37778,0,0,0,0,0,1,0.39479,0.30333,0.21667,0.13
-0.12494,299.79,-0.061919,-0.080022,0.073755,0.12879,-0.061919,-0.080022,0.073755,0.0012707,0.0011471,0.0037999,0.0011199,-1.0777,0.4813,1.1308,-0.0041831,-0.11833,-0.35285,0,0,0,0,0,1,0.42515,0.32667,0.23333,0.14
-0.11525,299.88,-0.063032,-0.085727,0.076805,0.1351,-0.063032,-0.085727,0.076805,0.0014217,0.0012223,0.0041512,0.0012541,-1.1902,0.47942,1.1307,-0.051828,-0.076615,-0.33183,0,0,0,0,0,1,0.45552,0.35,0.25,0.15
-0.10529,299.98,-0.063919,-0.091386,0.079679,0.14069,-0.063919,-0.091386,0.079679,0.0015912,0.0012956,0.0045301,0.001405,-1.3029,0.47742,1.1306,-0.11043,-0.030566,-0.31486,0,0,0,0,0,1,0.48589,0.37333,0.26667,0.16
-0.095597,300.07,-0.064566,-0.096978,0.082364,0.14551,-0.064566,-0.096978,0.082364,0.0017806,0.0013669,0.0049388,0.0015737,-1.4157,0.4753,1.1304,-0.1807,0.01996,-0.30208,0,0,0,0,0,1,0.51626,0.39667,0.28333,0.17
-0.087486,300.19,-0.064441,-0.10199,0.084683,0.14923,-0.064441,-0.10199,0.084683,0.0019886,0.0014388,0.0053788,0.0017589,-1.5286,0.47306,1.1302,-0.26393,0.07425,-0.28603,0,0,0,0,0,1,0.54663,0.42,0.3,0.18
-0.080727,300.38,-0.065262,-0.10591,0.087278,0.15338,-0.065262,-0.10591,0.087278,0.002197,0.0015023,0.005809,0.0019444,-1.6417,0.47057,1.13,-0.35824,0.13059,-0.27479,0,0,0,0,0,1,0.57699,0.44333,0.31667,0.19
-0.074022,300.56,-0.065899,-0.10976,0.089655,0.15697,-0.065899,-0.10976,0.089655,0.0024241,0.0015622,0.0062648,0.002147,-1.7548,0.46797,1.1297,-0.46333,0.1918,-0.26522,0,0,0,0,0,1,0.60736,0.46667,0.33333,0.2
-0.067926,300.73,-0.06709,-0.11418,0.091697,0.16255,-0.06709,-0.11418,0.091697,0.002638,0.0016317,0.0066765,0.0023383,-1.8681,0.46489,1.1295,-0.47785,0.19783,-0.25503,0,0,0,0,0,1,0.63773,0.49,0.35,0.21
-0.061458,300.92,-0.06777,-0.11807,0.093445,0.16718,-0.06777,-0.11807,0.093445,0.0028655,0.0017038,0.0071096,0.0025417,-1.9814,0.46171,1.1293,-0.49316,0.20142,-0.24418,0,0,0,0,0,1,0.6681,0.51333,0.36667,0.22
-0.054823,301.12,-0.068105,-0.12153,0.094901,0.17097,-0.068105,-0.12153,0.094901,0.003108,0.0017786,0.0075668,0.0027583,-2.0948,0.45845,1.129,-0.50911,0.20312,-0.2321,0,0,0,0,0,1,0.69847,0.53667,0.38333,0.23
-0.048212,301.32,-0.068418,-0.12483,0.09612,0.17415,-0.068418,-0.12483,0.09612,0.0033687,0.0018551,0.0080506,0.0029914,-2.2082,0.4551,1.1288,-0.52542,0.20453,-0.22012,0,0,0,0,0,1,0.72883,0.56,0.4,0.24
-0.041577,301.56,-0.069085,-0.12751,0.097446,0.17736,-0.069085,-0.12751,0.097446,0.0036216,0.001926,0.0085112,0.0032181,-2.3216,0.45171,1.1285,-0.5409,0.2048,-0.2133,0,0,0,0,0,1,0.7592,0.58333,0.41667,0.25
-0.035144,301.81,-0.06952,-0.12983,0.098569,0.17985,-0.06952,-0.12983,0.098569,0.0038865,0.0020002,0.0089933,0.0034556,-2.435,0.44827,1.1282,-0.55686,0.20326,-0.20676,0,0,0,0,0,1,0.78957,0.60667,0.43333,0.26
-0.02905,302.08,-0.069494,-0.13143,0.099481,0.18139,-0.069494,-0.13143,0.099481,0.0041597,0.0020816,0.0095011,0.0037,-2.5484,0.44482,1.1279,-0.57343,0.19824,-0.19917,0,0,0,0,0,1,0.81994,0.63,0.45,0.27
-0.023448,302.35,-0.069479,-0.13289,0.10019,0.18237,-0.069479,-0.13289,0.10019,0.0044489,0.0021667,0.010037,0.0039588,-2.6618,0.44131,1.1276,-0.59043,0.1927,-0.19112,0,0,0,0,0,1,0.85031,0.65333,0.46667,0.28
-0.018409,302.63,-0.069477,-0.13418,0.10069,0.18278,-0.069477,-0.13418,0.10069,0.004755,0.0022564,0.010604,0.0042329,-2.7752,0.43776,1.1273,-0.60798,0.18664,-0.1825,0,0,0,0,0,1,0.88068,0.67667,0.48333,0.29
-0.014003,302.9,-0.069492,-0.1353,0.10099,0.18258,-0.069492,-0.1353,0.10099,0.0050788,0.0023515,0.011205,0.0045232,-2.8886,0.43416,1.1269,-0.62617,0.18008,-0.17319,0,0,0,0,0,1,0.91104,0.7,0.5,0.3
-0.010105,303.23,-0.069531,-0.13545,0.10144,0.18412,-0.069531,-0.13545,0.10144,0.0053205,0.0024459,0.011696,0.0047405,-3.0018,0.43048,1.1267,-0.63835,0.17268,-0.16748,0,0,0,0,0,1,0.94141,0.72333,0.51667,0.31
-0.0071025,303.55,-0.069675,-0.13548,0.10181,0.18528,-0.069675,-0.13548,0.10181,0.0055713,0.002545,0.012211,0.0049662,-3.1149,0.42679,1.1264,-0.6503,0.16473,-0.16082,0,0,0,0,0,1,0.97178,0.74667,0.53333,0.32
-0.0049924,303.87,-0.069929,-0.13539,0.10211,0.18604,-0.069929,-0.13539,0.10211,0.0058322,0.0026497,0.012751,0.0052012,-3.228,0.42307,1.1261,-0.66204,0.15639,-0.15306,0,0,0,0,0,1,1.0021,0.77,0.55,0.33
-0.0037705,304.19,-0.070295,-0.13515,0.10237,0.18634,-0.070295,-0.13515,0.10237,0.006104,0.0027607,0.013321,0.0054463,-3.3411,0.41932,1.1258,-0.67358,0.14779,-0.14409,0,0,0,0,0,1,1.0325,0.79333,0.56667,0.34
-0.003148,304.54,-0.070413,-0.13396,0.10276,0.18572,-0.070413,-0.13396,0.10276,0.0063758,0.0028823,0.013914,0.0056909,-3.4541,0.41558,1.1255,-0.68388,0.13775,-0.13422,0,0,0,0,0,1,1.0629,0.81667,0.58333,0.35
-0.0033391,304.89,-0.070469,-0.13224,0.10318,0.1844,-0.070469,-0.13224,0.10318,0.006656,0.0030133,0.01454,0.0059429,-3.567,0.41184,1.1251,-0.6935,0.12737,-0.12267,0,0,0,0,0,1,1.0933,0.84,0.6,0.36
-0.0032283,305.27,-0.070161,-0.13,0.10367,0.183,-0.070161,-0.13,0.10367,0.0069049,0.0031397,0.015121,0.0061672,-3.6799,0.40829,1.1248,-0.70172,0.11626,-0.1164,0,0,0,0,0,1,1.1236,0.86333,0.61667,0.37
-0.0041658,305.65,-0.07004,-0.12766,0.10419,0.18124,-0.07004,-0.12766,0.10419,0.0071636,0.0032749,0.015737,0.0064008,-3.7927,0.40473,1.1245,-0.70971,0.10475,-0.1085,0,0,0,0,0,1,1.154,0.88667,0.63333,0.38
-0.0057895,306.04,-0.069912,-0.12466,0.10485,0.17883,-0.069912,-0.12466,0.10485,0.0074252,0.0034187,0.016375,0.006637,-3.9055,0.40119,1.1242,-0.71669,0.093025,-0.099856,0,0,0,0,0,1,1.1844,0.91,0.65,0.39
-0.0080572,306.44,-0.069658,-0.12074,0.10568,0.1756,-0.069658,-0.12074,0.10568,0.0076887,0.0035718,0.017036,0.0068745,-4.0182,0.39765,1.1238,-0.72216,0.081588,-0.090227,0,0,0,0,0,1,1.2147,0.93333,0.66667,0.4
-0.012082,306.83,-0.070009,-0.11735,0.10656,0.17483,-0.070009,-0.11735,0.10656,0.0079232,0.0037189,0.017649,0.007087,-4.1307,0.39397,1.1236,-0.72421,0.074578,-0.07673,0,0,0,0,0,1,1.2451,0.95667,0.68333,0.41
-0.017095,307.22,-0.070467,-0.1137,0.10751,0.17368,-0.070467,-0.1137,0.10751,0.0081702,0.0038748,0.018298,0.0073112,-4.243,0.39027,1.1233,-0.72553,0.068527,-0.060467,0,0,0,0,0,1,1.2755,0.98,0.7,0.42
-0.022095,307.63,-0.070409,-0.10955,0.10867,0.17262,-0.070409,-0.10955,0.10867,0.0083777,0.0040223,0.018881,0.0074996,-4.3553,0.38678,1.123,-0.72488,0.061341,-0.050268,0,0,0,0,0,1,1.3058,1.0033,0.71667,0.43
-0.026765,308.03,-0.070232,-0.10413,0.10998,0.1708,-0.070232,-0.10413,0.10998,0.0085767,0.0041664,0.019443,0.0076797,-4.4676,0.38326,1.1227,-0.72255,0.055445,-0.042202,0,0,0,0,0,1,1.3362,1.0267,0.73333,0.44
-0.032632,308.44,-0.070216,-0.09847,0.11141,0.16866,-0.070216,-0.09847,0.11141,0.0087883,0.004321,0.020046,0.0078715,-4.5797,0.37971,1.1224,-0.71926,0.050599,-0.030835,0,0,0,0,0,1,1.3666,1.05,0.75,0.45
-0.039614,308.86,-0.070353,-0.092539,0.11295,0.16618,-0.070353,-0.092539,0.11295,0.0090132,0.0044864,0.02069,0.0080758,-4.6919,0.37613,1.122,-0.71494,0.047046,-0.016097,0,0,0,0,0,1,1.3969,1.0733,0.76667,0.46
-0.04763,309.28,-0.070636,-0.086315,0.11463,0.16334,-0.070636,-0.086315,0.11463,0.009252,0.0046627,0.021377,0.0082934,-4.804,0.3725,1.1217,-0.70949,0.045034,0.0020838,0,0,0,0,0,1,1.4273,1.0967,0.78333,0.47
-0.054014,309.67,-0.070822,-0.078837,0.11621,0.16,-0.070822,-0.078837,0.11621,0.0094788,0.004821,0.022006,0.0084992,-4.9162,0.36878,1.1213,-0.70349,0.044772,0.015278,0,0,0,0,0,1,1.4577,1.12,0.8,0.48
-0.06107,310.09,-0.070491,-0.070918,0.11807,0.15696,-0.070491,-0.070918,0.11807,0.0096673,0.0049703,0.022566,0.0086699,-5.0282,0.36509,1.121,-0.6958,0.042994,0.022639,0,0,0,0,0,1,1.488,1.1433,0.81667,0.49
-0.069112,310.52,-0.070374,-0.062687,0.12009,0.15364,-0.070374,-0.062687,0.12009,0.0098703,0.0051314,0.023172,0.0088545,-5.1403,0.36132,1.1206,-0.68696,0.042831,0.033772,0,0,0,0,0,1,1.5184,1.1667,0.83333,0.5
-0.077072,310.93,-0.070604,-0.055107,0.12219,0.1534,-0.070604,-0.055107,0.12219,0.010052,0.0052761,0.023712,0.0090211,-5.2521,0.35738,1.1202,-0.67534,0.047957,0.048061,0,0,0,0,0,1,1.5488,1.19,0.85,0.51
-0.084119,311.33,-0.070887,-0.046917,0.1242,0.15339,-0.070887,-0.046917,0.1242,0.010226,0.0054035,0.024203,0.0091793,-5.364,0.35331,1.1199,-0.66288,0.054625,0.059811,0,0,0,0,0,1,1.5791,1.2133,0.86667,0.52
-0.090262,311.7,-0.071156,-0.038088,0.1261,0.15351,-0.071156,-0.038088,0.1261,0.010395,0.0055158,0.024657,0.0093337,-5.4759,0.34912,1.1195,-0.6495,0.062688,0.069651,0,0,0,0,0,1,1.6095,1.2367,0.88333,0.53
-0.09649,312.08,-0.071454,-0.028806,0.12805,0.15354,-0.071454,-0.028806,0.12805,0.010578,0.00563,0.025132,0.0095007,-5.5877,0.34481,1.1191,-0.63475,0.072604,0.082035,0,0,0,0,0,1,1.6399,1.26,0.9,0.54
-0.10214,312.52,-0.071475,-0.019451,0.13051,0.15432,-0.071475,-0.019451,0.13051,0.010732,0.0057371,0.025554,0.0096425,-5.6996,0.33967,1.1186,-0.62227,0.080846,0.091079,0,0,0,0,0,1,1.6702,1.2833,0.91667,0.55
-0.10758,312.96,-0.071645,-0.0097605,0.133,0.15539,-0.071645,-0.0097605,0.133,0.010888,0.0058385,0.025967,0.0097867,-5.8115,0.33438,1.118,-0.60872,0.090939,0.10121,0,0,0,0,0,1,1.7006,1.3067,0.93333,0.56
-0.11203,313.37,-0.071766,0.00033377,0.13518,0.15715,-0.071766,0.00033377,0.13518,0.011025,0.0059116,0.026295,0.0099123,-5.9234,0.32893,1.1175,-0.59437,0.10244,0.10755,0,0,0,0,0,1,1.731,1.33,0.95,0.57
-0.11622,313.78,-0.071976,0.010909,0.13745,0.15901,-0.071976,0.010909,0.13745,0.011174,0.0059834,0.026639,0.01005,-6.0353,0.32332,1.1169,-0.57854,0.11586,0.11628,0,0,0,0,0,1,1.7614,1.3533,0.96667,0.58
