"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","alphat","epsilon","k","nut","p","p_rgh","rho","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.18397,320.14,-0.030659,0.24419,-0.070367,0.25676,-0.030659,0.24419,-0.070367,0.00064919,0.00149,0.0032095,0.00058862,-30.704,0.11063,1.1022,0.56201,0.78179,2.5434,0,0,0,0,0,1,0,0,2.5,2.85
-0.18567,320.88,-0.035999,0.24598,-0.070554,0.25936,-0.035999,0.24598,-0.070554,0.00078826,0.0015213,0.0034976,0.00071394,-30.704,0.10413,1.102,0.56563,0.70238,2.2593,0,0,0,0,0,1,0.023333,0.023333,2.5,2.85
-0.18737,321.62,-0.04134,0.24778,-0.070741,0.26196,-0.04134,0.24778,-0.070741,0.00092733,0.0015527,0.0037858,0.00083926,-30.705,0.09763,1.1018,0.56925,0.62296,1.9752,0,0,0,0,0,1,0.046667,0.046667,2.5,2.85
-0.18907,322.37,-0.04668,0.24957,-0.070928,0.26455,-0.04668,0.24957,-0.070928,0.0010664,0.0015841,0.0040739,0.00096459,-30.706,0.091131,1.1016,0.57287,0.54355,1.6911,0,0,0,0,0,1,0.07,0.07,2.5,2.85
-0.19077,323.11,-0.05202,0.25136,-0.071115,0.26715,-0.05202,0.25136,-0.071115,0.0012055,0.0016154,0.004362,0.0010899,-30.706,0.084632,1.1014,0.57649,0.46414,1.4071,0,0,0,0,0,1,0.093333,0.093333,2.5,2.85
-0.19027,324.17,-0.061466,0.25287,-0.07068,0.2709,-0.061466,0.25287,-0.07068,0.0014035,0.0017098,0.0048304,0.0012692,-30.707,0.075609,1.1011,0.57833,0.3856,1.1152,0,0,0,0,0,1,0.11667,0.11667,2.5,2.85
-0.18889,325.36,-0.072554,0.25426,-0.069997,0.27511,-0.072554,0.25426,-0.069997,0.0016251,0.0018294,0.0053709,0.00147,-30.708,0.065576,1.1008,0.57947,0.30741,0.82033,0,0,0,0,0,1,0.14,0.14,2.5,2.85
-0.18752,326.55,-0.083641,0.25565,-0.069314,0.27932,-0.083641,0.25565,-0.069314,0.0018467,0.0019489,0.0059114,0.0016708,-30.71,0.055543,1.1004,0.5806,0.22922,0.52542,0,0,0,0,0,1,0.16333,0.16333,2.5,2.85
-0.18614,327.73,-0.094729,0.25704,-0.068631,0.28353,-0.094729,0.25704,-0.068631,0.0020684,0.0020685,0.0064519,0.0018716,-30.711,0.04551,1.1001,0.58173,0.15103,0.23051,0,0,0,0,0,1,0.18667,0.18667,2.5,2.85
-0.18125,328.69,-0.1057,0.25722,-0.067324,0.28716,-0.1057,0.25722,-0.067324,0.0022619,0.0022088,0.0069637,0.0020478,-30.712,0.037528,1.0999,0.57882,0.10928,0.056834,0,0,0,0,0,1,0.21,0.21,2.5,2.85
-0.17165,329.33,-0.11652,0.25578,-0.065185,0.29005,-0.11652,0.25578,-0.065185,0.002418,0.0023769,0.0074374,0.0021909,-30.714,0.032281,1.0998,0.5705,0.11612,0.044795,0,0,0,0,0,1,0.23333,0.23333,2.5,2.85
-0.16205,329.97,-0.12733,0.25435,-0.063046,0.29293,-0.12733,0.25435,-0.063046,0.002574,0.0025449,0.0079111,0.0023341,-30.715,0.027033,1.0996,0.56218,0.12297,0.032756,0,0,0,0,0,1,0.25667,0.25667,2.5,2.85
-0.15245,330.61,-0.13815,0.25291,-0.060907,0.29581,-0.13815,0.25291,-0.060907,0.0027301,0.002713,0.0083848,0.0024773,-30.716,0.021786,1.0995,0.55387,0.12981,0.020717,0,0,0,0,0,1,0.28,0.28,2.5,2.85
-0.14253,331.19,-0.14879,0.25137,-0.058697,0.2987,-0.14879,0.25137,-0.058697,0.0028839,0.0028779,0.0088489,0.0026185,-30.718,0.016891,1.0994,0.5449,0.13752,0.010428,0,0,0,0,0,1,0.30333,0.30333,2.5,2.85
-0.1307,331.44,-0.15832,0.24913,-0.056066,0.30165,-0.15832,0.24913,-0.056066,0.0030239,0.0030241,0.0092558,0.0027475,-30.719,0.014111,1.0993,0.53202,0.15044,0.010642,0,0,0,0,0,1,0.32667,0.32667,2.5,2.85
-0.11887,331.69,-0.16785,0.2469,-0.053435,0.30461,-0.16785,0.2469,-0.053435,0.0031639,0.0031703,0.0096627,0.0028765,-30.721,0.011331,1.0993,0.51915,0.16337,0.010856,0,0,0,0,0,1,0.35,0.35,2.5,2.85
