"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","alphat","epsilon","k","nut","p","p_rgh","rho","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.8435,315.86,-0.066326,-0.3669,0.16217,0.40812,-0.066326,-0.3669,0.16217,0.00080249,0.002456,0.0045154,0.00070183,-1.195,0.48784,1.1396,1.0198,-1.3837,-3.5588,0,0,0,0,0,1,0,0,2.5,0.15
-0.77713,315.3,-0.072323,-0.36398,0.15659,0.40465,-0.072323,-0.36398,0.15659,0.0008996,0.0024512,0.0047161,0.00078649,-1.1972,0.48628,1.1401,1.0217,-1.17,-3.1081,0,0,0,0,0,1,0.023333,0.023333,2.5,0.15
-0.71076,314.74,-0.07832,-0.36106,0.15101,0.40117,-0.07832,-0.36106,0.15101,0.0009967,0.0024465,0.0049168,0.00087116,-1.1995,0.48472,1.1406,1.0237,-0.95634,-2.6575,0,0,0,0,0,1,0.046667,0.046667,2.5,0.15
-0.64439,314.18,-0.084316,-0.35815,0.14544,0.3977,-0.084316,-0.35815,0.14544,0.0010938,0.0024417,0.0051175,0.00095582,-1.2018,0.48316,1.1411,1.0256,-0.74264,-2.2068,0,0,0,0,0,1,0.07,0.07,2.5,0.15
-0.57802,313.62,-0.090313,-0.35523,0.13986,0.39423,-0.090313,-0.35523,0.13986,0.0011909,0.0024369,0.0053181,0.0010405,-1.204,0.4816,1.1415,1.0275,-0.52894,-1.7562,0,0,0,0,0,1,0.093333,0.093333,2.5,0.15
-0.48904,312.73,-0.10123,-0.34957,0.13097,0.38968,-0.10123,-0.34957,0.13097,0.0013367,0.0024666,0.0056433,0.0011661,-1.2073,0.47942,1.1423,1.0268,-0.32392,-1.3009,0,0,0,0,0,1,0.11667,0.11667,2.5,0.15
-0.391,311.71,-0.11413,-0.34282,0.12074,0.38471,-0.11413,-0.34282,0.12074,0.0015018,0.0025101,0.0060182,0.001308,-1.2111,0.47701,1.1432,1.0249,-0.12238,-0.84376,0,0,0,0,0,1,0.14,0.14,2.5,0.15
-0.29297,310.7,-0.12702,-0.33606,0.11052,0.37973,-0.12702,-0.33606,0.11052,0.001667,0.0025535,0.0063932,0.00145,-1.2148,0.47459,1.1441,1.0231,0.079163,-0.38664,0,0,0,0,0,1,0.16333,0.16333,2.5,0.15
-0.19493,309.68,-0.13991,-0.3293,0.10029,0.37476,-0.13991,-0.3293,0.10029,0.0018322,0.002597,0.0067681,0.0015919,-1.2185,0.47217,1.145,1.0213,0.28071,0.070483,0,0,0,0,0,1,0.18667,0.18667,2.5,0.15
-0.1187,308.74,-0.15208,-0.32207,0.090521,0.37048,-0.15208,-0.32207,0.090521,0.0019789,0.0026597,0.0071156,0.0017166,-1.2218,0.47021,1.1459,1.0143,0.3871,0.33495,0,0,0,0,0,1,0.21,0.21,2.5,0.15
-0.071522,307.91,-0.16328,-0.3142,0.081359,0.36713,-0.16328,-0.3142,0.081359,0.0021008,0.0027481,0.0074265,0.0018182,-1.2244,0.46885,1.1468,1.0006,0.36662,0.34256,0,0,0,0,0,1,0.23333,0.23333,2.5,0.15
-0.024349,307.08,-0.17448,-0.30633,0.072196,0.36377,-0.17448,-0.30633,0.072196,0.0022227,0.0028364,0.0077375,0.0019198,-1.2271,0.4675,1.1477,0.98692,0.34615,0.35017,0,0,0,0,0,1,0.25667,0.25667,2.5,0.15
0.022823,306.25,-0.18568,-0.29846,0.063034,0.36042,-0.18568,-0.29846,0.063034,0.0023447,0.0029248,0.0080484,0.0020213,-1.2297,0.46615,1.1487,0.97322,0.32567,0.35777,0,0,0,0,0,1,0.28,0.28,2.5,0.15
0.06547,305.44,-0.19633,-0.29057,0.053883,0.35711,-0.19633,-0.29057,0.053883,0.0024603,0.0030122,0.0083479,0.0021174,-1.2322,0.46498,1.1496,0.95758,0.30471,0.36401,0,0,0,0,0,1,0.30333,0.30333,2.5,0.15
0.080957,304.75,-0.2037,-0.28254,0.044805,0.35407,-0.2037,-0.28254,0.044805,0.0025384,0.0030941,0.008579,0.0021807,-1.2339,0.46492,1.1507,0.93039,0.28081,0.36203,0,0,0,0,0,1,0.32667,0.32667,2.5,0.15
0.096445,304.06,-0.21108,-0.27451,0.035726,0.35103,-0.21108,-0.27451,0.035726,0.0026164,0.003176,0.0088101,0.0022439,-1.2355,0.46487,1.1519,0.9032,0.25691,0.36005,0,0,0,0,0,1,0.35,0.35,2.5,0.15
0.11193,303.37,-0.21845,-0.26648,0.026648,0.34798,-0.21845,-0.26648,0.026648,0.0026945,0.0032579,0.0090412,0.0023071,-1.2371,0.46481,1.153,0.876,0.23301,0.35807,0,0,0,0,0,1,0.37333,0.37333,2.5,0.15
0.12742,302.68,-0.22582,-0.25845,0.017569,0.34494,-0.22582,-0.25845,0.017569,0.0027725,0.0033398,0.0092723,0.0023703,-1.2388,0.46476,1.1542,0.84881,0.20912,0.35609,0,0,0,0,0,1,0.39667,0.39667,2.5,0.15
0.12189,302.08,-0.2308,-0.25079,0.008793,0.34248,-0.2308,-0.25079,0.008793,0.0028008,0.0034185,0.0094213,0.0023901,-1.2392,0.46636,1.1557,0.81118,0.1681,0.34819,0,0,0,0,0,1,0.42,0.42,2.5,0.15
0.11285,301.5,-0.23539,-0.24319,6.6861e-05,0.34011,-0.23539,-0.24319,6.6861e-05,0.0028209,0.0034966,0.0095566,0.0024026,-1.2395,0.46823,1.1573,0.77182,0.12423,0.33931,0,0,0,0,0,1,0.44333,0.44333,2.5,0.15
0.10382,300.92,-0.23997,-0.2356,-0.0086593,0.33775,-0.23997,-0.2356,-0.0086593,0.0028409,0.0035748,0.009692,0.0024151,-1.2397,0.47011,1.1589,0.73246,0.080353,0.33043,0,0,0,0,0,1,0.46667,0.46667,2.5,0.15
0.094779,300.33,-0.24455,-0.228,-0.017385,0.33538,-0.24455,-0.228,-0.017385,0.002861,0.0036529,0.0098273,0.0024276,-1.24,0.47199,1.1605,0.6931,0.03648,0.32155,0,0,0,0,0,1,0.49,0.49,2.5,0.15
0.080407,299.8,-0.24751,-0.22094,-0.02518,0.33316,-0.24751,-0.22094,-0.02518,0.0028508,0.0037188,0.0098952,0.0024135,-1.2396,0.47494,1.1625,0.65166,-0.023842,0.31075,0,0,0,0,0,1,0.51333,0.51333,2.5,0.15
0.062032,299.29,-0.24923,-0.21429,-0.032275,0.33104,-0.24923,-0.21429,-0.032275,0.0028178,0.0037756,0.0099124,0.0023794,-1.2389,0.47871,1.1647,0.60866,-0.096503,0.29851,0,0,0,0,0,1,0.53667,0.53667,2.5,0.15
0.043658,298.78,-0.25096,-0.20763,-0.03937,0.32893,-0.25096,-0.20763,-0.03937,0.0027849,0.0038324,0.0099297,0.0023453,-1.2381,0.48248,1.167,0.56566,-0.16916,0.28627,0,0,0,0,0,1,0.56,0.56,2.5,0.15
0.025283,298.28,-0.25269,-0.20098,-0.046465,0.32681,-0.25269,-0.20098,-0.046465,0.002752,0.0038891,0.0099469,0.0023112,-1.2373,0.48625,1.1693,0.52266,-0.24182,0.27403,0,0,0,0,0,1,0.58333,0.58333,2.5,0.15
0.01479,297.78,-0.25387,-0.19459,-0.052401,0.32456,-0.25387,-0.19459,-0.052401,0.0027057,0.0039372,0.009927,0.002266,-1.2366,0.49039,1.1718,0.48138,-0.32707,0.26265,0,0,0,0,0,1,0.60667,0.60667,2.5,0.15
0.024001,297.29,-0.25369,-0.18885,-0.055438,0.32198,-0.25369,-0.18885,-0.055438,0.0026261,0.0039635,0.009814,0.0021927,-1.2358,0.49545,1.1749,0.4444,-0.44378,0.25343,0,0,0,0,0,1,0.63,0.63,2.5,0.15
0.033212,296.81,-0.2535,-0.18311,-0.058476,0.3194,-0.2535,-0.18311,-0.058476,0.0025465,0.0039899,0.009701,0.0021195,-1.235,0.50052,1.1779,0.40742,-0.5605,0.24421,0,0,0,0,0,1,0.65333,0.65333,2.5,0.15
0.042423,296.32,-0.25332,-0.17737,-0.061513,0.31681,-0.25332,-0.17737,-0.061513,0.0024669,0.0040162,0.009588,0.0020462,-1.2342,0.50558,1.181,0.37044,-0.67721,0.235,0,0,0,0,0,1,0.67667,0.67667,2.5,0.15
0.051634,295.84,-0.25314,-0.17162,-0.06455,0.31423,-0.25314,-0.17162,-0.06455,0.0023873,0.0040425,0.009475,0.001973,-1.2334,0.51064,1.1841,0.33346,-0.79392,0.22578,0,0,0,0,0,1,0.7,0.7,2.5,0.15
0.16618,295.36,-0.25271,-0.16612,-0.058566,0.31041,-0.25271,-0.16612,-0.058566,0.0022791,0.0040669,0.0092791,0.0018784,-1.2336,0.51604,1.188,0.30901,-0.9725,0.23475,0,0,0,0,0,1,0.72333,0.72333,2.5,0.15
0.28072,294.88,-0.25228,-0.16061,-0.052581,0.30659,-0.25228,-0.16061,-0.052581,0.002171,0.0040912,0.0090832,0.0017839,-1.2339,0.52144,1.1918,0.28455,-1.1511,0.24373,0,0,0,0,0,1,0.74667,0.74667,2.5,0.15
0.39527,294.4,-0.25185,-0.1551,-0.046597,0.30277,-0.25185,-0.1551,-0.046597,0.0020628,0.0041155,0.0088872,0.0016893,-1.2341,0.52683,1.1957,0.2601,-1.3296,0.2527,0,0,0,0,0,1,0.77,0.77,2.5,0.15
0.50981,293.93,-0.25142,-0.1496,-0.040613,0.29896,-0.25142,-0.1496,-0.040613,0.0019547,0.0041399,0.0086913,0.0015947,-1.2344,0.53223,1.1995,0.23564,-1.5082,0.26168,0,0,0,0,0,1,0.79333,0.79333,2.5,0.15
0.57845,293.51,-0.25302,-0.14248,-0.022684,0.29754,-0.25302,-0.14248,-0.022684,0.0018586,0.0042387,0.0085646,0.0015128,-1.2344,0.53799,1.2034,0.22982,-1.6824,0.27749,0,0,0,0,0,1,0.81667,0.81667,2.5,0.15
0.62874,293.11,-0.25544,-0.13471,2.1195e-05,0.29709,-0.25544,-0.13471,2.1195e-05,0.0017673,0.0043673,0.0084657,0.001436,-1.2344,0.54389,1.2073,0.23144,-1.8548,0.29605,0,0,0,0,0,1,0.84,0.84,2.5,0.15
0.67902,292.71,-0.25786,-0.12694,0.022727,0.29663,-0.25786,-0.12694,0.022727,0.0016761,0.0044959,0.0083668,0.0013591,-1.2343,0.5498,1.2112,0.23306,-2.0272,0.31461,0,0,0,0,0,1,0.86333,0.86333,2.5,0.15
0.7293,292.31,-0.26028,-0.11918,0.045433,0.29618,-0.26028,-0.11918,0.045433,0.0015848,0.0046245,0.0082678,0.0012823,-1.2343,0.55571,1.2151,0.23468,-2.1996,0.33317,0,0,0,0,0,1,0.88667,0.88667,2.5,0.15
0.70568,292,-0.25885,-0.11058,0.07517,0.30019,-0.25885,-0.11058,0.07517,0.0015099,0.0048179,0.0082396,0.0012199,-1.2309,0.56413,1.2184,0.2441,-2.3003,0.33799,0,0,0,0,0,1,0.91,0.91,2.5,0.15
0.58352,291.8,-0.25229,-0.10086,0.11428,0.31018,-0.25229,-0.10086,0.11428,0.0014567,0.0050978,0.0083057,0.0011766,-1.223,0.57591,1.221,0.26392,-2.3055,0.3245,0,0,0,0,0,1,0.93333,0.93333,2.5,0.15
0.46136,291.59,-0.24572,-0.091139,0.1534,0.32016,-0.24572,-0.091139,0.1534,0.0014035,0.0053777,0.0083719,0.0011334,-1.2152,0.58769,1.2235,0.28373,-2.3106,0.31102,0,0,0,0,0,1,0.95667,0.95667,2.5,0.15
0.3392,291.39,-0.23916,-0.081419,0.19251,0.33014,-0.23916,-0.081419,0.19251,0.0013503,0.0056576,0.008438,0.0010901,-1.2073,0.59947,1.2261,0.30354,-2.3157,0.29753,0,0,0,0,0,1,0.98,0.98,2.5,0.15
0.21423,291.21,-0.23123,-0.072322,0.23015,0.34051,-0.23123,-0.072322,0.23015,0.0013006,0.0059197,0.0084968,0.0010497,-1.1987,0.61158,1.2284,0.3212,-2.2932,0.27988,0,0,0,0,0,1,1.0033,1.0033,2.5,0.15
0.072382,291.17,-0.21511,-0.066954,0.25897,0.3532,-0.21511,-0.066954,0.25897,0.0012718,0.0060754,0.0085119,0.0010266,-1.1858,0.62573,1.2293,0.32588,-2.1052,0.23723,0,0,0,0,0,1,1.0267,1.0267,2.5,0.15
-0.069468,291.13,-0.19898,-0.061587,0.28778,0.36589,-0.19898,-0.061587,0.28778,0.0012429,0.006231,0.008527,0.0010034,-1.1729,0.63987,1.2301,0.33057,-1.9171,0.19458,0,0,0,0,0,1,1.05,1.05,2.5,0.15
-0.21132,291.09,-0.18285,-0.056219,0.31659,0.37858,-0.18285,-0.056219,0.31659,0.001214,0.0063867,0.008542,0.00098027,-1.16,0.65402,1.2309,0.33526,-1.729,0.15193,0,0,0,0,0,1,1.0733,1.0733,2.5,0.15
-0.35317,291.05,-0.16672,-0.050851,0.3454,0.39127,-0.16672,-0.050851,0.3454,0.0011851,0.0065424,0.0085571,0.00095711,-1.1472,0.66817,1.2318,0.33994,-1.541,0.10929,0,0,0,0,0,1,1.0967,1.0967,2.5,0.15
-0.43209,291.04,-0.15337,-0.049194,0.35663,0.39538,-0.15337,-0.049194,0.35663,0.001169,0.0065457,0.0085041,0.0009442,-1.1376,0.67791,1.232,0.33291,-1.364,0.083257,0,0,0,0,0,1,1.12,1.12,2.5,0.15
-0.50053,291.03,-0.14048,-0.048155,0.36492,0.39806,-0.14048,-0.048155,0.36492,0.001155,0.0065238,0.0084397,0.000933,-1.1286,0.68693,1.232,0.32392,-1.1889,0.059999,0,0,0,0,0,1,1.1433,1.1433,2.5,0.15
-0.56896,291.03,-0.12759,-0.047116,0.37321,0.40075,-0.12759,-0.047116,0.37321,0.001141,0.0065018,0.0083754,0.00092179,-1.1196,0.69594,1.2321,0.31494,-1.0138,0.036741,0,0,0,0,0,1,1.1667,1.1667,2.5,0.15
-0.6374,291.03,-0.1147,-0.046078,0.38151,0.40343,-0.1147,-0.046078,0.38151,0.001127,0.0064798,0.008311,0.00091059,-1.1106,0.70496,1.2322,0.30595,-0.83863,0.013482,0,0,0,0,0,1,1.19,1.19,2.5,0.15
-0.66897,291.02,-0.10374,-0.04506,0.38655,0.40465,-0.10374,-0.04506,0.38655,0.0011177,0.0064643,0.0082673,0.00090311,-1.1035,0.71207,1.2323,0.29778,-0.72077,0.002951,0,0,0,0,0,1,1.2133,1.2133,2.5,0.15
-0.6729,291.02,-0.09422,-0.044057,0.38915,0.40477,-0.09422,-0.044057,0.38915,0.0011118,0.0064537,0.0082391,0.00089843,-1.0977,0.71775,1.2323,0.29022,-0.64583,0.0019653,0,0,0,0,0,1,1.2367,1.2367,2.5,0.15
-0.67683,291.02,-0.084704,-0.043054,0.39175,0.40489,-0.084704,-0.043054,0.39175,0.001106,0.0064432,0.0082108,0.00089374,-1.0919,0.72343,1.2323,0.28267,-0.5709,0.00097958,0,0,0,0,0,1,1.26,1.26,2.5,0.15
-0.68077,291.02,-0.075187,-0.042052,0.39434,0.40501,-0.075187,-0.042052,0.39434,0.0011001,0.0064326,0.0081826,0.00088906,-1.0861,0.72912,1.2323,0.27511,-0.49597,-6.1236e-06,0,0,0,0,0,1,1.2833,1.2833,2.5,0.15
-0.68474,291.02,-0.066406,-0.040998,0.39637,0.40494,-0.066406,-0.040998,0.39637,0.0010955,0.0064248,0.0081609,0.00088542,-1.0809,0.7342,1.2323,0.26764,-0.42848,-0.0006745,0,0,0,0,0,1,1.3067,1.3067,2.5,0.15
-0.68884,291.02,-0.059462,-0.039817,0.39698,0.40439,-0.059462,-0.039817,0.39698,0.0010942,0.006424,0.0081557,0.00088439,-1.0772,0.73778,1.2323,0.26037,-0.37959,-0.00054958,0,0,0,0,0,1,1.33,1.33,2.5,0.15
-0.69294,291.02,-0.052518,-0.038636,0.39759,0.40385,-0.052518,-0.038636,0.39759,0.0010929,0.0064232,0.0081504,0.00088336,-1.0735,0.74137,1.2323,0.2531,-0.3307,-0.00042465,0,0,0,0,0,1,1.3533,1.3533,2.5,0.15
-0.69704,291.02,-0.045573,-0.037455,0.3982,0.4033,-0.045573,-0.037455,0.3982,0.0010916,0.0064224,0.0081451,0.00088233,-1.0698,0.74495,1.2323,0.24584,-0.28181,-0.00029972,0,0,0,0,0,1,1.3767,1.3767,2.5,0.15
-0.70114,291.02,-0.038629,-0.036274,0.39881,0.40275,-0.038629,-0.036274,0.39881,0.0010903,0.0064215,0.0081398,0.0008813,-1.0661,0.74853,1.2323,0.23857,-0.23292,-0.00017479,0,0,0,0,0,1,1.4,1.4,2.5,0.15
-0.71252,291.03,-0.032139,-0.034951,0.39819,0.40155,-0.032139,-0.034951,0.39819,0.0010931,0.0064336,0.0081578,0.00088354,-1.0642,0.75024,1.2323,0.23113,-0.18341,-0.00063114,0,0,0,0,0,1,1.4233,1.4233,2.5,0.15
-0.72391,291.03,-0.025648,-0.033629,0.39756,0.40036,-0.025648,-0.033629,0.39756,0.0010959,0.0064457,0.0081759,0.00088578,-1.0624,0.75195,1.2323,0.22368,-0.1339,-0.0010875,0,0,0,0,0,1,1.4467,1.4467,2.5,0.15
-0.73529,291.03,-0.019158,-0.032306,0.39693,0.39916,-0.019158,-0.032306,0.39693,0.0010987,0.0064578,0.0081939,0.00088801,-1.0606,0.75366,1.2323,0.21624,-0.084395,-0.0015438,0,0,0,0,0,1,1.47,1.47,2.5,0.15
-0.74667,291.03,-0.012667,-0.030984,0.3963,0.39796,-0.012667,-0.030984,0.3963,0.0011015,0.0064699,0.0082119,0.00089025,-1.0588,0.75538,1.2323,0.20879,-0.034888,-0.0020002,0,0,0,0,0,1,1.4933,1.4933,2.5,0.15
-0.77196,291.04,-0.0047594,-0.02957,0.39405,0.39558,-0.0047594,-0.02957,0.39405,0.0011114,0.0065143,0.008277,0.00089809,-1.0581,0.75586,1.2323,0.20204,0.03822,-0.0030035,0,0,0,0,0,1,1.5167,1.5167,2.5,0.15
-0.80281,291.05,0.0037151,-0.028119,0.39114,0.39272,0.0037151,-0.028119,0.39114,0.0011241,0.0065716,0.0083608,0.00090818,-1.058,0.75585,1.2323,0.19556,0.12077,-0.0042256,0,0,0,0,0,1,1.54,1.54,2.5,0.15
-0.83365,291.06,0.01219,-0.026669,0.38823,0.38987,0.01219,-0.026669,0.38823,0.0011367,0.006629,0.0084446,0.00091826,-1.0579,0.75584,1.2323,0.18909,0.20332,-0.0054477,0,0,0,0,0,1,1.5633,1.5633,2.5,0.15
-0.8645,291.07,0.020664,-0.025219,0.38532,0.38702,0.020664,-0.025219,0.38532,0.0011494,0.0066863,0.0085285,0.00092835,-1.0578,0.75583,1.2323,0.18261,0.28586,-0.0066699,0,0,0,0,0,1,1.5867,1.5867,2.5,0.15
-0.88744,291.1,0.030953,-0.023755,0.37953,0.38216,0.030953,-0.023755,0.37953,0.0011734,0.0068024,0.0086922,0.00094754,-1.0588,0.75467,1.2322,0.17817,0.42445,-0.010711,0,0,0,0,0,1,1.61,1.61,2.5,0.15
-0.89982,291.15,0.043661,-0.022273,0.36991,0.37462,0.043661,-0.022273,0.36991,0.0012123,0.0069967,0.0089625,0.00097888,-1.0613,0.75198,1.2322,0.17643,0.63775,-0.018512,0,0,0,0,0,1,1.6333,1.6333,2.5,0.15
