"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","alphat","epsilon","k","nut","p","p_rgh","rho","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.027728,309.46,0.018147,-0.14786,-0.34355,0.37446,0.018147,-0.14786,-0.34355,0.00091991,0.0029024,0.0052032,0.00078845,-16.938,0.38324,1.1779,0.28779,3.1556,-1.4043,0,0,0,0,0,1,0,0,2.5,1.5
-0.024288,309.41,0.021471,-0.14631,-0.33776,0.36878,0.021471,-0.14631,-0.33776,0.0011312,0.0027738,0.005428,0.00097492,-16.938,0.38225,1.1778,0.29666,2.7296,-1.2185,0,0,0,0,0,1,0.023333,0.023333,2.5,1.5
-0.020847,309.36,0.024796,-0.14476,-0.33198,0.36311,0.024796,-0.14476,-0.33198,0.0013425,0.0026452,0.0056528,0.0011614,-16.938,0.38126,1.1778,0.30554,2.3036,-1.0327,0,0,0,0,0,1,0.046667,0.046667,2.5,1.5
-0.017406,309.31,0.02812,-0.1432,-0.32619,0.35743,0.02812,-0.1432,-0.32619,0.0015538,0.0025166,0.0058775,0.0013479,-16.938,0.38027,1.1777,0.31441,1.8775,-0.84694,0,0,0,0,0,1,0.07,0.07,2.5,1.5
-0.013965,309.26,0.031444,-0.14165,-0.3204,0.35175,0.031444,-0.14165,-0.3204,0.001765,0.002388,0.0061023,0.0015343,-16.938,0.37927,1.1776,0.32329,1.4515,-0.66115,0,0,0,0,0,1,0.093333,0.093333,2.5,1.5
-0.0081083,309.19,0.037052,-0.13835,-0.31147,0.34307,0.037052,-0.13835,-0.31147,0.002122,0.0022309,0.0064178,0.0018482,-16.938,0.37747,1.1775,0.33729,1.0318,-0.46985,0,0,0,0,0,1,0.11667,0.11667,2.5,1.5
-0.0012851,309.11,0.043572,-0.13435,-0.30129,0.33318,0.043572,-0.13435,-0.30129,0.0025371,0.0020624,0.0067697,0.0022131,-16.938,0.37535,1.1774,0.35334,0.61457,-0.27633,0,0,0,0,0,1,0.14,0.14,2.5,1.5
0.005538,309.03,0.050092,-0.13035,-0.2911,0.32329,0.050092,-0.13035,-0.2911,0.0029523,0.0018939,0.0071215,0.002578,-16.939,0.37322,1.1773,0.36938,0.19737,-0.082817,0,0,0,0,0,1,0.16333,0.16333,2.5,1.5
0.012361,308.95,0.056612,-0.12636,-0.28092,0.3134,0.056612,-0.12636,-0.28092,0.0033674,0.0017255,0.0074733,0.0029429,-16.939,0.37109,1.1771,0.38543,-0.21982,0.1107,0,0,0,0,0,1,0.18667,0.18667,2.5,1.5
0.018632,308.89,0.062894,-0.12178,-0.27186,0.30464,0.062894,-0.12178,-0.27186,0.003764,0.0016037,0.0077619,0.0032903,-16.94,0.36892,1.177,0.40034,-0.4508,0.22613,0,0,0,0,0,1,0.21,0.21,2.5,1.5
0.024166,308.84,0.068856,-0.11643,-0.2643,0.29738,0.068856,-0.11643,-0.2643,0.004136,0.0015443,0.0079661,0.0036145,-16.941,0.36667,1.1769,0.41373,-0.43351,0.23743,0,0,0,0,0,1,0.23333,0.23333,2.5,1.5
0.029699,308.8,0.074819,-0.11107,-0.25675,0.29011,0.074819,-0.11107,-0.25675,0.004508,0.0014849,0.0081702,0.0039386,-16.941,0.36442,1.1768,0.42712,-0.41622,0.24874,0,0,0,0,0,1,0.25667,0.25667,2.5,1.5
0.035233,308.75,0.080782,-0.10572,-0.2492,0.28285,0.080782,-0.10572,-0.2492,0.0048799,0.0014254,0.0083744,0.0042628,-16.942,0.36218,1.1767,0.44051,-0.39893,0.26005,0,0,0,0,0,1,0.28,0.28,2.5,1.5
0.040424,308.71,0.086599,-0.10026,-0.24197,0.27594,0.086599,-0.10026,-0.24197,0.0052433,0.0013705,0.0085704,0.0045791,-16.943,0.35995,1.1766,0.45355,-0.38189,0.27038,0,0,0,0,0,1,0.30333,0.30333,2.5,1.5
