"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","alphat","epsilon","k","nut","p","p_rgh","rho","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.015752,291,-0.0042867,-0.0015473,0.99445,0.99446,-0.0042867,-0.0015473,0.99445,0.0010084,0.0086523,0.0091531,0.00081821,0.00029189,0.59697,1.2324,0.022758,-0.065083,-9.2599e-06,0,0,0,0,0,1,0,3.5,2.5,0
-0.017521,291,-0.0045339,-0.0015559,0.99357,0.99358,-0.0045339,-0.0015559,0.99357,0.0010069,0.0085958,0.0091159,0.00081701,-0.059467,0.59766,1.2324,0.022321,-0.064089,-8.5607e-06,0,0,0,0,0,1,0.01,3.5,2.5,0.01
-0.019289,291,-0.0047812,-0.0015645,0.99269,0.9927,-0.0047812,-0.0015645,0.99269,0.0010054,0.0085393,0.0090787,0.00081581,-0.11923,0.59835,1.2324,0.021885,-0.063095,-7.8615e-06,0,0,0,0,0,1,0.02,3.5,2.5,0.02
-0.021058,291,-0.0050285,-0.001573,0.99181,0.99182,-0.0050285,-0.001573,0.99181,0.0010039,0.0084829,0.0090415,0.00081461,-0.17898,0.59904,1.2324,0.021448,-0.062101,-7.1623e-06,0,0,0,0,0,1,0.03,3.5,2.5,0.03
-0.022826,291,-0.0052757,-0.0015816,0.99093,0.99094,-0.0052757,-0.0015816,0.99093,0.0010024,0.0084264,0.0090042,0.00081341,-0.23874,0.59973,1.2324,0.021011,-0.061108,-6.4632e-06,0,0,0,0,0,1,0.04,3.5,2.5,0.04
-0.024595,291,-0.005523,-0.0015902,0.99005,0.99006,-0.005523,-0.0015902,0.99005,0.001001,0.0083699,0.008967,0.00081221,-0.2985,0.60042,1.2324,0.020575,-0.060114,-5.764e-06,0,0,0,0,0,1,0.05,3.5,2.5,0.05
-0.026363,291,-0.0057703,-0.0015987,0.98916,0.98918,-0.0057703,-0.0015987,0.98916,0.00099949,0.0083134,0.0089298,0.00081101,-0.35826,0.60111,1.2324,0.020138,-0.05912,-5.0648e-06,0,0,0,0,0,1,0.06,3.5,2.5,0.06
-0.028132,291,-0.0060176,-0.0016073,0.98828,0.9883,-0.0060176,-0.0016073,0.98828,0.00099802,0.0082569,0.0088926,0.00080981,-0.41802,0.6018,1.2324,0.019702,-0.058127,-4.3656e-06,0,0,0,0,0,1,0.07,3.5,2.5,0.07
-0.0299,291,-0.0062648,-0.0016158,0.9874,0.98742,-0.0062648,-0.0016158,0.9874,0.00099654,0.0082004,0.0088553,0.00080861,-0.47778,0.60249,1.2324,0.019265,-0.057133,-3.6664e-06,0,0,0,0,0,1,0.08,3.5,2.5,0.08
-0.031669,291,-0.0065121,-0.0016244,0.98652,0.98654,-0.0065121,-0.0016244,0.98652,0.00099506,0.008144,0.0088181,0.00080741,-0.53754,0.60318,1.2324,0.018829,-0.056139,-2.9672e-06,0,0,0,0,0,1,0.09,3.5,2.5,0.09
