"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","alphat","epsilon","k","nut","p","p_rgh","rho","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.726,306.49,0.0074385,-0.14084,0.098961,0.17229,0.0074385,-0.14084,0.098961,0.00063577,0.001106,0.0026309,0.00052883,0.022823,0.58805,1.1834,2.1798,-0.84307,-1.3961,0,0,0,0,0,1,0,0,0,0
-1.7207,306.56,0.010247,-0.1467,0.1009,0.17935,0.010247,-0.1467,0.1009,0.0006423,0.0011472,0.002691,0.00053382,-0.03836,0.58449,1.1834,2.0959,-0.72241,-1.3085,0,0,0,0,0,1,0.030368,0.023333,0.016667,0.01
-1.7019,306.62,0.013071,-0.15229,0.10257,0.18578,0.013071,-0.15229,0.10257,0.00065029,0.0011911,0.002757,0.00054009,-0.099593,0.58089,1.1834,1.9952,-0.59734,-1.1981,0,0,0,0,0,1,0.060736,0.046667,0.033333,0.02
-1.6695,306.69,0.015907,-0.1576,0.104,0.19155,0.015907,-0.1576,0.104,0.00066074,0.0012371,0.0028305,0.0005485,-0.16087,0.57725,1.1833,1.878,-0.4682,-1.0654,0,0,0,0,0,1,0.091104,0.07,0.05,0.03
-1.6236,306.76,0.018754,-0.16261,0.10517,0.19664,0.018754,-0.16261,0.10517,0.00067463,0.0012846,0.002913,0.0005599,-0.2222,0.57357,1.1833,1.7443,-0.33534,-0.9104,0,0,0,0,0,1,0.12147,0.093333,0.066667,0.04
-1.5569,306.83,0.022963,-0.16672,0.10559,0.20069,0.022963,-0.16672,0.10559,0.00069814,0.0013525,0.0030383,0.00057954,-0.2839,0.56959,1.1833,1.5864,-0.19156,-0.74492,0,0,0,0,0,1,0.15184,0.11667,0.083333,0.05
-1.4743,306.88,0.027689,-0.17021,0.10553,0.20376,0.027689,-0.17021,0.10553,0.00073139,0.0014301,0.0031947,0.00060753,-0.34577,0.56548,1.1832,1.4107,-0.043897,-0.56029,0,0,0,0,0,1,0.18221,0.14,0.1,0.06
-1.3157,306.97,0.031929,-0.18159,0.10258,0.21391,0.031929,-0.18159,0.10258,0.00077959,0.001518,0.0033898,0.00064819,-0.41013,0.55879,1.1832,1.2698,0.1074,-0.37036,0,0,0,0,0,1,0.21258,0.16333,0.11667,0.07
-1.1534,307.07,0.03617,-0.19232,0.099058,0.22282,0.03617,-0.19232,0.099058,0.00084212,0.0016031,0.0036098,0.00070116,-0.47448,0.55215,1.1832,1.1051,0.25322,-0.13788,0,0,0,0,0,1,0.24294,0.18667,0.13333,0.08
-0.99576,307.13,0.040243,-0.20311,0.095481,0.23144,0.040243,-0.20311,0.095481,0.00091745,0.001685,0.0038499,0.00076505,-0.53884,0.5456,1.1831,0.92532,0.33182,0.020064,0,0,0,0,0,1,0.27331,0.21,0.15,0.09
