"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","alphat","epsilon","k","nut","p","p_rgh","rho","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.69293,310.87,-0.062197,-0.25017,-0.13979,0.29511,-0.062197,-0.25017,-0.13979,0.00093222,0.0034476,0.0056923,0.00079543,-32.363,0.34846,1.1702,-0.62119,1.2775,-2.5156,0,0,0,0,0,1,0,0,2.5,2.85
-0.64934,310.9,-0.067951,-0.25104,-0.13565,0.29547,-0.067951,-0.25104,-0.13565,0.0010914,0.0034063,0.0059815,0.00093284,-32.365,0.34256,1.1701,-0.62089,1.1006,-2.2233,0,0,0,0,0,1,0.023333,0.023333,2.5,2.85
-0.60574,310.92,-0.073705,-0.2519,-0.13151,0.29582,-0.073705,-0.2519,-0.13151,0.0012505,0.003365,0.0062707,0.0010703,-32.367,0.33666,1.1699,-0.62058,0.92375,-1.931,0,0,0,0,0,1,0.046667,0.046667,2.5,2.85
-0.56215,310.95,-0.079459,-0.25276,-0.12736,0.29618,-0.079459,-0.25276,-0.12736,0.0014096,0.0033237,0.0065598,0.0012077,-32.369,0.33076,1.1698,-0.62028,0.74688,-1.6387,0,0,0,0,0,1,0.07,0.07,2.5,2.85
-0.51855,310.98,-0.085213,-0.25363,-0.12322,0.29654,-0.085213,-0.25363,-0.12322,0.0015688,0.0032823,0.006849,0.0013451,-32.371,0.32486,1.1697,-0.61997,0.57002,-1.3464,0,0,0,0,0,1,0.093333,0.093333,2.5,2.85
-0.45682,311.01,-0.095746,-0.25475,-0.11643,0.29875,-0.095746,-0.25475,-0.11643,0.0017903,0.0032518,0.0072334,0.001536,-32.374,0.31552,1.1694,-0.61778,0.40286,-1.0506,0,0,0,0,0,1,0.11667,0.11667,2.5,2.85
-0.38782,311.06,-0.10819,-0.25598,-0.10858,0.30169,-0.10819,-0.25598,-0.10858,0.0020367,0.0032256,0.0076559,0.0017484,-32.378,0.30481,1.1692,-0.61483,0.2396,-0.75345,0,0,0,0,0,1,0.14,0.14,2.5,2.85
-0.31883,311.1,-0.12064,-0.2572,-0.10074,0.30464,-0.12064,-0.2572,-0.10074,0.0022832,0.0031994,0.0080784,0.0019608,-32.382,0.2941,1.1689,-0.61189,0.07633,-0.45625,0,0,0,0,0,1,0.16333,0.16333,2.5,2.85
-0.24984,311.15,-0.13308,-0.25843,-0.092891,0.30759,-0.13308,-0.25843,-0.092891,0.0025296,0.0031732,0.0085009,0.0021731,-32.385,0.28339,1.1687,-0.60894,-0.086936,-0.15905,0,0,0,0,0,1,0.18667,0.18667,2.5,2.85
-0.1937,311.18,-0.14482,-0.25943,-0.085484,0.31117,-0.14482,-0.25943,-0.085484,0.0027369,0.0031679,0.0088334,0.0023514,-32.388,0.27337,1.1684,-0.60477,-0.16939,0.013696,0,0,0,0,0,1,0.21,0.21,2.5,2.85
-0.1547,311.21,-0.15561,-0.26012,-0.078662,0.3156,-0.15561,-0.26012,-0.078662,0.0028919,0.0031905,0.0090457,0.0024842,-32.391,0.26427,1.1682,-0.59895,-0.1441,0.020518,0,0,0,0,0,1,0.23333,0.23333,2.5,2.85
-0.11571,311.24,-0.16641,-0.26082,-0.071839,0.32002,-0.16641,-0.26082,-0.071839,0.0030469,0.0032131,0.009258,0.002617,-32.394,0.25517,1.168,-0.59314,-0.11882,0.02734,0,0,0,0,0,1,0.25667,0.25667,2.5,2.85
-0.076714,311.27,-0.1772,-0.26151,-0.065017,0.32445,-0.1772,-0.26151,-0.065017,0.003202,0.0032356,0.0094703,0.0027497,-32.397,0.24607,1.1678,-0.58733,-0.093527,0.034162,0,0,0,0,0,1,0.28,0.28,2.5,2.85
-0.04068,311.3,-0.18743,-0.2622,-0.058358,0.32877,-0.18743,-0.2622,-0.058358,0.0033529,0.0032578,0.0096738,0.0028789,-32.399,0.23712,1.1675,-0.58143,-0.068731,0.040452,0,0,0,0,0,1,0.30333,0.30333,2.5,2.85
-0.022414,311.33,-0.19424,-0.26284,-0.052679,0.33245,-0.19424,-0.26284,-0.052679,0.003479,0.0032777,0.0098244,0.0029864,-32.401,0.2291,1.1673,-0.57497,-0.046884,0.043556,0,0,0,0,0,1,0.32667,0.32667,2.5,2.85
-0.0041478,311.35,-0.20106,-0.26348,-0.047,0.33614,-0.20106,-0.26348,-0.047,0.0036052,0.0032976,0.0099751,0.0030939,-32.404,0.22108,1.1671,-0.56851,-0.025037,0.04666,0,0,0,0,0,1,0.35,0.35,2.5,2.85
0.014118,311.37,-0.20787,-0.26412,-0.041321,0.33982,-0.20787,-0.26412,-0.041321,0.0037313,0.0033175,0.010126,0.0032014,-32.406,0.21307,1.1669,-0.56205,-0.0031896,0.049764,0,0,0,0,0,1,0.37333,0.37333,2.5,2.85
0.032385,311.39,-0.21469,-0.26476,-0.035642,0.34351,-0.21469,-0.26476,-0.035642,0.0038575,0.0033374,0.010276,0.0033089,-32.408,0.20505,1.1667,-0.5556,0.018657,0.052867,0,0,0,0,0,1,0.39667,0.39667,2.5,2.85
0.039917,311.41,-0.21918,-0.26536,-0.030841,0.34633,-0.21918,-0.26536,-0.030841,0.003968,0.003366,0.010419,0.0034031,-32.409,0.19783,1.1665,-0.54909,0.037268,0.054919,0,0,0,0,0,1,0.42,0.42,2.5,2.85
0.045661,311.42,-0.22328,-0.26595,-0.026185,0.34902,-0.22328,-0.26595,-0.026185,0.0040759,0.003396,0.010561,0.0034951,-32.411,0.19075,1.1663,-0.54258,0.05534,0.056795,0,0,0,0,0,1,0.44333,0.44333,2.5,2.85
0.051405,311.44,-0.22738,-0.26654,-0.02153,0.3517,-0.22738,-0.26654,-0.02153,0.0041838,0.0034261,0.010703,0.003587,-32.412,0.18366,1.1661,-0.53606,0.073412,0.058671,0,0,0,0,0,1,0.46667,0.46667,2.5,2.85
0.057149,311.45,-0.23148,-0.26714,-0.016874,0.35438,-0.23148,-0.26714,-0.016874,0.0042916,0.0034562,0.010845,0.003679,-32.413,0.17658,1.1659,-0.52955,0.091483,0.060547,0,0,0,0,0,1,0.49,0.49,2.5,2.85
