"Q","T","U:0","U:1","U:2","Umag","Ux","Uy","Uz","alphat","epsilon","k","nut","p","p_rgh","rho","vorticity:0","vorticity:1","vorticity:2","wallHeatFlux","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.24857,308.45,-0.063733,0.17996,0.073941,0.20639,-0.063733,0.17996,0.073941,0.00075589,0.0019984,0.0038202,0.00061861,-1.1395,0.59666,1.192,-0.47289,-0.21225,1.9507,0,0,0,0,0,1,0,0,2.5,0.15
-0.19425,308.51,-0.062551,0.18269,0.064838,0.20648,-0.062551,0.18269,0.064838,0.00089533,0.0019985,0.0040495,0.00073302,-1.1407,0.59558,1.192,-0.48666,-0.077452,1.7458,0,0,0,0,0,1,0.023333,0.023333,2.5,0.15
-0.13994,308.58,-0.061369,0.18543,0.055735,0.20658,-0.061369,0.18543,0.055735,0.0010348,0.0019987,0.0042789,0.00084743,-1.1418,0.5945,1.192,-0.50043,0.05735,1.5409,0,0,0,0,0,1,0.046667,0.046667,2.5,0.15
-0.08562,308.64,-0.060187,0.18816,0.046632,0.20667,-0.060187,0.18816,0.046632,0.0011742,0.0019988,0.0045082,0.00096184,-1.143,0.59341,1.1921,-0.5142,0.19215,1.3361,0,0,0,0,0,1,0.07,0.07,2.5,0.15
-0.031304,308.71,-0.059005,0.1909,0.037529,0.20676,-0.059005,0.1909,0.037529,0.0013137,0.0019989,0.0047375,0.0010763,-1.1442,0.59233,1.1921,-0.52797,0.32695,1.1312,0,0,0,0,0,1,0.093333,0.093333,2.5,0.15
0.0149,308.78,-0.059769,0.19387,0.025065,0.20941,-0.059769,0.19387,0.025065,0.0015201,0.0020397,0.0051058,0.0012462,-1.1452,0.59152,1.1921,-0.5443,0.43879,0.91602,0,0,0,0,0,1,0.11667,0.11667,2.5,0.15
0.057858,308.86,-0.061312,0.19693,0.011255,0.21308,-0.061312,0.19693,0.011255,0.0017533,0.0020967,0.0055295,0.0014384,-1.146,0.59083,1.1922,-0.56164,0.54144,0.69674,0,0,0,0,0,1,0.14,0.14,2.5,0.15
0.10082,308.93,-0.062855,0.19999,-0.0025543,0.21675,-0.062855,0.19999,-0.0025543,0.0019865,0.0021537,0.0059533,0.0016305,-1.1468,0.59013,1.1923,-0.57899,0.64409,0.47746,0,0,0,0,0,1,0.16333,0.16333,2.5,0.15
0.14377,309.01,-0.064398,0.20305,-0.016364,0.22042,-0.064398,0.20305,-0.016364,0.0022196,0.0022106,0.0063771,0.0018227,-1.1477,0.58944,1.1923,-0.59633,0.74674,0.25818,0,0,0,0,0,1,0.18667,0.18667,2.5,0.15
0.16053,309.06,-0.066945,0.20478,-0.02745,0.22366,-0.066945,0.20478,-0.02745,0.0024213,0.0022909,0.0067697,0.0019894,-1.1476,0.58956,1.1924,-0.60832,0.78707,0.12452,0,0,0,0,0,1,0.21,0.21,2.5,0.15
0.14234,309.06,-0.07083,0.20474,-0.034905,0.22631,-0.07083,0.20474,-0.034905,0.0025809,0.0024022,0.0071207,0.0021221,-1.1465,0.59077,1.1925,-0.61316,0.74428,0.10501,0,0,0,0,0,1,0.23333,0.23333,2.5,0.15
0.12416,309.07,-0.074715,0.2047,-0.04236,0.22897,-0.074715,0.2047,-0.04236,0.0027406,0.0025134,0.0074718,0.0022549,-1.1453,0.59197,1.1926,-0.61799,0.7015,0.085509,0,0,0,0,0,1,0.25667,0.25667,2.5,0.15
