model,grid,time,TavgRackInlet,T95RackInlet,TmaxRackInlet,TavgRoom,T95Room,TmaxRoom,returnOutletTareaAvg,returnOutletTmassFlowAvg,roomHotspotFraction315,rackRiskFraction305,deltaP
RNGkEpsilon,grid_07,4000,301.8583,314.0,315.5313,306.1456,313.0722,319.9372,309.5377,309.2974,0.01307473,0.4333333,0.671308
RNGkEpsilon,grid_07,5000,303.4425,314.0693,315.8743,307.5168,315.3075,317.6877,305.6251,304.9104,0.06344689,0.5074074,0.516483
RNGkEpsilon,grid_07,6000,304.0827,314.4335,315.565,307.9039,314.5188,317.6761,310.7575,310.4457,0.03170286,0.5388889,0.5220031
RNGkEpsilon,grid_07,7000,302.8383,312.154,314.4114,306.8078,313.2432,318.15,310.9898,309.8926,0.01182242,0.5314815,0.6704858
RNGkEpsilon,grid_07,8000,302.5654,314.8965,316.5281,307.2715,314.705,318.2166,309.8875,309.295,0.03939992,0.4759259,0.6091151
RNGkEpsilon,grid_10,4000,302.3995,313.7578,317.3276,306.9158,313.5905,319.3432,312.7001,312.4612,0.0226381,0.4607008,0.5864047
RNGkEpsilon,grid_10,5000,302.9565,313.9425,315.8079,306.9756,313.873,319.3866,310.1505,309.7734,0.02646667,0.4881629,0.506287
RNGkEpsilon,grid_10,6000,302.9633,313.4094,316.3676,307.5319,314.0248,317.5246,309.1721,308.5043,0.01609524,0.5255682,0.5354461
RNGkEpsilon,grid_10,7000,300.6625,312.4983,314.4526,307.0009,312.7466,315.6451,311.9076,311.8061,0.001161905,0.3484848,0.6557802
RNGkEpsilon,grid_10,8000,304.4907,314.1041,316.4301,307.1913,313.3296,318.4192,309.2873,307.6061,0.0142381,0.5823864,0.5468733
RNGkEpsilon,grid_14,4000,301.905,312.3077,317.2315,306.7931,312.9219,319.6296,306.86,305.9838,0.01650082,0.431085,0.5268079
RNGkEpsilon,grid_14,5000,300.3698,309.8935,312.4696,305.946,311.9594,315.5737,310.8977,310.7672,0.002135198,0.340176,0.6166605
RNGkEpsilon,grid_14,6000,302.2277,311.6754,313.6316,306.9751,313.5057,316.413,311.4449,309.1328,0.00755917,0.4775171,0.5781729
RNGkEpsilon,grid_14,7000,302.3998,312.8987,314.8332,306.9431,313.0343,317.5647,310.5041,309.9431,0.006522796,0.4794721,0.642634
RNGkEpsilon,grid_14,8000,303.2989,312.8662,317.6204,306.9807,313.3012,319.1133,306.7368,306.3282,0.01300105,0.5166178,0.5488564
