caseID,caseName,Usupply,Tsupply,totalRackPowerW,expectedSupplyFlow,nLateSamples,TavgRackInlet_mean,TavgRackInlet_std,T95RackInlet_mean,T95RackInlet_std,TmaxRackInlet_mean,TmaxRackInlet_std,TavgRoom_mean,T95Room_mean,TmaxRoom_mean,rackInletHotspotFraction_mean,rackInletHotspotFraction_std,roomHotspotVolumeFraction_mean,roomHotspotVolumeFraction_std,returnOutletTmassFlowAvg_mean,returnOutletOutflowFlux_mean,deltaP_supply_minus_return_mean,pressurePowerProxy_mean,flowBalanceErrorPercent_mean,estimatedHeatRemovedW_mean,heatBalanceErrorPercent_mean
C00,baseline,0.75,291,18000,1.08,5,302.694,1.376889,313.542,0.638322,316.077,1.058799,307.123,313.513,318.064,0.481061,0.087019,0.016120,0.009706,310.030,1.020708,0.566158,0.577791,5.489988,23421.198,30.1177
C01,lowSupplyVelocity,0.50,291,18000,0.72,5,311.345,1.580050,321.095,2.253783,322.878,2.328616,315.271,321.953,326.402,0.779451,0.044604,0.632602,0.051131,316.956,0.686425,0.613516,0.421149,4.663251,21505.688,19.4760
C02,highSupplyVelocity,1.00,291,18000,1.44,5,297.343,1.216821,306.492,2.061128,311.442,1.143718,303.546,309.416,314.870,0.135038,0.096749,0.000509,0.001024,305.955,1.362325,0.483812,0.659173,5.394091,24570.245,36.5014
C03,warmerSupplyAir,0.75,295,18000,1.08,5,307.231,0.955406,317.918,1.070636,319.829,1.469695,311.750,318.755,323.812,0.579356,0.039529,0.329992,0.045954,314.241,1.008508,0.540104,0.544610,6.619634,23396.814,29.9823
C04,highRackLoad,0.75,291,30000,1.08,5,313.482,2.409131,328.967,2.776275,332.267,2.509419,318.358,328.859,335.055,0.689015,0.039931,0.693665,0.025128,323.522,1.040157,0.827594,0.860368,3.689168,40785.841,35.9528
C05,overloadedRack_L2,0.75,291,23000,1.08,5,307.639,1.781527,319.761,1.948536,321.925,2.140449,312.275,319.894,327.121,0.635038,0.065367,0.406059,0.055013,315.579,1.039362,0.721842,0.750216,3.762766,30801.791,33.9208
C06,worstCase_lowFlow_highLoad,0.50,291,30000,0.72,5,328.264,0.919473,342.631,2.113379,346.129,1.390452,332.235,342.327,348.627,0.863068,0.010716,0.941895,0.012550,336.365,0.717488,0.857471,0.615510,1.343286,39271.312,30.9044
C07,mitigation_highFlow_highLoad,1.00,291,30000,1.44,5,306.043,1.708758,321.503,1.283714,325.365,1.797407,311.713,321.075,329.180,0.510511,0.066383,0.363686,0.032272,316.766,1.377908,0.673114,0.927090,4.311956,42807.023,42.6901
C08,overloadedRack_L2_lowFlow,0.50,291,23000,0.72,5,317.140,1.185939,330.504,0.754622,333.966,1.132960,323.015,332.485,340.176,0.810701,0.023281,0.861990,0.041283,327.060,0.695121,0.792239,0.552134,3.455435,30222.074,31.4003
C09,overloadedRack_L2_highFlow,1.00,291,23000,1.44,5,299.856,0.877403,313.106,0.976133,315.788,1.162042,306.815,314.796,324.106,0.271875,0.065596,0.052651,0.028743,306.592,1.376232,0.596640,0.821148,4.428314,25873.560,12.4937
